epoch,loss,accuracy,tp_0,fp_0,fn_0,tn_0,tp_1,fp_1,fn_1,tn_1,tp_2,fp_2,fn_2,tn_2,tp_3,fp_3,fn_3,tn_3,tp_4,fp_4,fn_4,tn_4,tp_5,fp_5,fn_5,tn_5,tp_6,fp_6,fn_6,tn_6,tp_7,fp_7,fn_7,tn_7,tp_8,fp_8,fn_8,tn_8,tp_9,fp_9,fn_9,tn_9,val_loss,val_accuracy,val_tp_0,val_fp_0,val_fn_0,val_tn_0,val_tp_1,val_fp_1,val_fn_1,val_tn_1,val_tp_2,val_fp_2,val_fn_2,val_tn_2,val_tp_3,val_fp_3,val_fn_3,val_tn_3,val_tp_4,val_fp_4,val_fn_4,val_tn_4,val_tp_5,val_fp_5,val_fn_5,val_tn_5,val_tp_6,val_fp_6,val_fn_6,val_tn_6,val_tp_7,val_fp_7,val_fn_7,val_tn_7,val_tp_8,val_fp_8,val_fn_8,val_tn_8,val_tp_9,val_fp_9,val_fn_9,val_tn_9,timestamp,epoch_time_sec,max_mem_mb
1,2.012387614075668,0.2354009687836383,400,932,1098,12420,323,1083,1147,12297,93,405,1398,12954,208,947,1256,12439,384,1153,1146,12167,284,1157,1132,12277,487,1537,997,11829,243,1186,1246,12175,602,1274,901,12073,475,1677,1030,11668,1.8759449933664487,0.26477635782747605,207,314,281,4198,70,160,423,4347,85,381,430,4104,174,570,325,3931,266,962,187,3585,58,117,447,4378,10,36,516,4438,149,553,363,3935,126,239,371,4264,180,343,332,4145,2026-08-22 00:05:16,19.75,233.75
2,1.864312169754595,0.28478202368137784,457,851,1041,12501,431,982,1039,12398,153,525,1338,12834,308,1037,1156,12349,438,1085,1092,12235,422,1187,994,12247,465,1294,1019,12072,367,1144,1122,12217,615,1004,888,12343,570,1515,935,11830,1.761290738757807,0.31869009584664537,162,217,326,4295,229,461,264,4046,43,171,472,4314,206,686,293,3815,145,389,308,4158,157,280,348,4215,196,465,330,4009,105,229,407,4259,239,307,258,4196,112,201,400,4287,2026-08-22 00:05:35,19.59,233.75
3,1.7681533484464056,0.3188912809472551,548,820,950,12532,540,1035,930,12345,244,684,1247,12675,253,813,1211,12573,383,875,1147,12445,517,1209,899,12225,487,1225,997,12141,457,1205,1032,12156,704,896,799,12451,607,1348,898,11997,1.785168025059441,0.3156948881789137,195,234,293,4278,277,604,216,3903,25,42,490,4443,315,1078,184,3423,41,91,412,4456,0,2,505,4493,280,615,246,3859,57,82,455,4406,320,473,177,4030,70,199,442,4289,2026-08-22 00:05:55,19.67,233.75
4,1.7043272492960015,0.34546555435952636,607,811,891,12541,614,999,856,12381,231,626,1260,12733,346,1057,1118,12329,391,876,1139,12444,507,1033,909,12401,529,1258,955,12108,509,1184,980,12177,770,770,733,12577,624,1108,881,12237,1.6775231997425946,0.356629392971246,268,424,220,4088,330,565,163,3942,63,86,452,4399,157,492,342,4009,10,23,443,4524,240,518,265,3977,280,675,246,3799,135,210,377,4278,206,120,291,4383,92,106,420,4382,2026-08-22 00:06:15,19.7,233.75
5,1.6421837591124042,0.3743945102260495,662,735,836,12617,719,939,751,12441,305,702,1186,12657,340,980,1124,12406,357,766,1173,12554,505,1016,911,12418,564,1284,920,12082,588,1150,901,12211,875,733,628,12614,643,987,862,12358,1.6250815734314843,0.375,184,119,304,4393,173,184,320,4323,73,117,442,4368,4,20,495,4481,224,649,229,3898,277,563,228,3932,74,111,452,4363,280,700,232,3788,275,178,222,4325,314,481,198,4007,2026-08-22 00:06:35,19.68,233.75
6,1.5859735707548899,0.40406350914962325,698,664,800,12688,788,846,682,12534,381,764,1110,12595,302,844,1162,12542,429,758,1101,12562,562,1029,854,12405,589,1152,895,12214,645,1158,844,12203,914,720,589,12627,691,916,814,12429,1.6190512873494207,0.39696485623003197,248,230,240,4282,206,236,287,4271,22,42,493,4443,107,255,392,4246,223,605,230,3942,131,137,374,4358,280,554,246,3920,129,121,383,4367,362,403,135,4100,275,434,237,4054,2026-08-22 00:06:55,19.73,233.75
7,1.5372252849896064,0.42962863293864373,671,668,827,12684,826,853,644,12527,372,695,1119,12664,395,911,1069,12475,461,727,1069,12593,550,945,866,12489,694,1123,790,12243,719,984,770,12377,953,686,550,12661,745,872,760,12473,1.6142109499190942,0.4221246006389776,188,158,300,4354,282,479,211,4028,69,88,446,4397,110,247,389,4254,133,187,320,4360,231,333,274,4162,277,344,249,4130,204,184,308,4304,303,251,194,4252,315,617,197,3871,2026-08-22 00:07:15,19.68,233.75
8,1.4894941318278934,0.44853336921420883,679,643,819,12709,815,813,655,12567,401,714,1090,12645,428,899,1036,12487,525,713,1005,12607,575,910,841,12524,756,960,728,12406,766,936,723,12425,966,710,537,12637,749,892,756,12453,1.4738950060960203,0.4586661341853035,280,334,208,4178,241,203,252,4304,88,111,427,4374,237,473,262,4028,182,306,271,4241,121,138,384,4357,321,378,205,4096,214,188,298,4300,310,246,187,4257,297,332,215,4156,2026-08-22 00:07:34,19.71,233.75
9,1.4345425881276987,0.4702637244348762,730,666,768,12686,839,786,631,12594,438,734,1053,12625,446,907,1018,12479,565,735,965,12585,593,867,823,12567,841,891,643,12475,806,849,683,12512,949,654,554,12693,769,785,736,12560,1.5243393464591175,0.44548722044728434,215,144,273,4368,313,457,180,4050,182,324,333,4161,125,236,374,4265,116,163,337,4384,176,262,329,4233,389,525,137,3949,166,141,346,4347,261,133,236,4370,285,387,227,4101,2026-08-22 00:07:54,19.71,233.75
10,1.3967383308225865,0.4872847147470398,758,636,740,12716,874,719,596,12661,494,746,997,12613,454,902,1010,12484,563,735,967,12585,611,845,805,12589,877,823,607,12543,812,788,677,12573,986,640,517,12707,814,773,691,12572,1.4683449462579843,0.4680511182108626,298,336,190,4176,179,131,314,4376,123,138,392,4347,133,240,366,4261,121,173,332,4374,199,233,306,4262,316,249,210,4225,362,629,150,3859,279,175,218,4328,332,354,180,4134,2026-08-22 00:08:14,19.71,233.75
