epoch,loss,accuracy,tp_0,fp_0,fn_0,tn_0,tp_1,fp_1,fn_1,tn_1,tp_2,fp_2,fn_2,tn_2,tp_3,fp_3,fn_3,tn_3,tp_4,fp_4,fn_4,tn_4,tp_5,fp_5,fn_5,tn_5,tp_6,fp_6,fn_6,tn_6,tp_7,fp_7,fn_7,tn_7,tp_8,fp_8,fn_8,tn_8,tp_9,fp_9,fn_9,tn_9,val_loss,val_accuracy,val_tp_0,val_fp_0,val_fn_0,val_tn_0,val_tp_1,val_fp_1,val_fn_1,val_tn_1,val_tp_2,val_fp_2,val_fn_2,val_tn_2,val_tp_3,val_fp_3,val_fn_3,val_tn_3,val_tp_4,val_fp_4,val_fn_4,val_tn_4,val_tp_5,val_fp_5,val_fn_5,val_tn_5,val_tp_6,val_fp_6,val_fn_6,val_tn_6,val_tp_7,val_fp_7,val_fn_7,val_tn_7,val_tp_8,val_fp_8,val_fn_8,val_tn_8,val_tp_9,val_fp_9,val_fn_9,val_tn_9,timestamp,epoch_time_sec,max_mem_mb
1,1.8826123405680977,0.2798391397084963,1525,2644,2987,37844,1463,3709,3044,36784,590,2105,3895,38410,760,3055,3741,37444,1233,2959,3314,37494,1128,3727,3367,36778,1520,3972,2954,36554,943,3099,3545,37413,1882,3102,2621,37395,1548,4036,2940,36476,1.7638275642364551,0.3109025559105431,190,240,298,4272,44,35,449,4472,47,94,468,4391,48,152,451,4349,256,848,197,3699,100,158,405,4337,41,80,485,4394,326,1133,186,3355,243,300,254,4203,259,406,253,4082,2026-08-22 02:10:19,54.56,233.75
2,1.6595470919076802,0.3806212228937078,1957,2344,2555,38144,2072,2898,2435,37595,791,1937,3694,38578,1183,3222,3318,37277,1487,2670,3060,37783,1422,3076,3073,37429,1881,3284,2593,37242,1801,3061,2687,37451,2468,2405,2035,38092,2066,2975,2422,37537,1.579516780071746,0.41793130990415334,274,453,214,4059,321,457,172,4050,85,116,430,4369,97,212,402,4289,173,277,280,4270,266,574,239,3921,177,118,349,4356,197,242,315,4246,275,217,222,4286,224,245,288,4243,2026-08-22 02:11:14,54.71,233.75
3,1.5140176720564957,0.44192143618912194,2197,2145,2315,38343,2457,2637,2050,37856,1175,2068,3310,38447,1247,2910,3254,37589,1647,2306,2900,38147,1552,2892,2943,37613,2414,2940,2060,37586,2215,2661,2273,37851,2800,2146,1703,38351,2185,2406,2303,38106,1.4975401583951884,0.45107827476038337,222,241,266,4271,161,101,332,4406,135,162,380,4323,193,487,306,4014,202,318,251,4229,228,414,277,4081,246,168,280,4306,179,88,333,4400,413,564,84,3939,279,199,233,4289,2026-08-22 02:12:09,54.66,233.75
4,1.4147437486070524,0.4823142552435123,2292,2046,2220,38442,2563,2283,1944,38210,1430,2238,3055,38277,1419,2753,3082,37746,1715,2172,2832,38281,1806,2725,2689,37780,2669,2496,1805,38030,2479,2381,2009,38131,2932,1967,1571,38530,2399,2235,2089,38277,1.3811755582166556,0.49460862619808305,263,222,225,4290,381,514,112,3993,216,334,299,4151,98,122,401,4379,187,253,266,4294,178,225,327,4270,335,251,191,4223,285,286,227,4202,324,172,173,4331,210,144,302,4344,2026-08-22 02:13:04,54.77,233.75
5,1.3441284284912052,0.5083096338428724,2443,1936,2069,38552,2731,2154,1776,38339,1556,2218,2929,38297,1491,2750,3010,37749,1853,2167,2694,38286,1890,2661,2605,37844,2826,2212,1648,38314,2531,2196,1957,38316,3030,1744,1473,38753,2522,2089,1966,38423,1.3309894611660285,0.5163738019169329,285,229,203,4283,238,144,255,4363,201,245,314,4240,143,216,356,4285,188,251,265,4296,240,335,265,4160,367,282,159,4192,317,353,195,4135,304,142,193,4361,297,223,215,4265,2026-08-22 02:13:59,54.7,233.75
6,1.292452759518981,0.5277728403839318,2534,1868,1978,38620,2837,1978,1670,38515,1696,2193,2789,38322,1562,2784,2939,37715,1934,2132,2613,38321,1919,2582,2576,37923,2912,2009,1562,38517,2634,1999,1854,38513,3117,1666,1386,38831,2604,2040,1884,38472,1.2830878073415055,0.5325479233226837,342,408,146,4104,332,258,161,4249,179,170,336,4315,91,117,408,4384,158,144,295,4403,305,440,200,4055,328,210,198,4264,325,308,187,4180,335,142,162,4361,269,139,243,4349,2026-08-22 02:14:54,54.71,233.75
7,1.2434178094740147,0.5461917881265553,2590,1836,1922,38652,2926,1882,1581,38611,1790,2178,2695,38337,1619,2573,2882,37926,2084,2165,2463,38288,2082,2541,2413,37964,2914,1849,1560,38677,2692,1902,1796,38610,3171,1608,1332,38889,2712,1886,1776,38626,1.2083536807340556,0.5672923322683706,257,144,231,4368,306,194,187,4313,221,196,294,4289,185,271,314,4230,216,233,237,4314,262,303,243,4192,369,223,157,4251,303,182,209,4306,359,153,138,4350,358,265,154,4223,2026-08-22 02:15:48,54.73,233.75
8,1.1936746446466768,0.5682545325275506,2667,1749,1845,38739,3013,1721,1494,38772,1875,2059,2610,38456,1748,2586,2753,37913,2177,2069,2370,38384,2203,2443,2292,38062,3057,1761,1417,38765,2786,1734,1702,38778,3262,1502,1241,38995,2781,1807,1707,38705,1.2341042458058926,0.5473242811501597,262,177,226,4335,326,236,167,4271,291,500,224,3985,214,303,285,4198,153,119,300,4428,227,204,278,4291,360,165,166,4309,259,152,253,4336,392,295,105,4208,252,113,260,4375,2026-08-22 02:16:43,54.76,233.75
9,1.157903659356433,0.5789637397795947,2755,1766,1757,38722,3107,1649,1400,38844,1925,2084,2560,38431,1787,2602,2714,37897,2252,2028,2295,38425,2207,2408,2288,38097,3107,1596,1367,38930,2815,1690,1673,38822,3239,1440,1264,39057,2860,1683,1628,38829,1.2048334454576048,0.5628993610223643,221,140,267,4372,294,139,199,4368,295,441,220,4044,177,215,322,4286,212,163,241,4384,234,167,271,4328,371,201,155,4273,291,150,221,4338,432,442,65,4061,287,128,225,4360,2026-08-22 02:17:38,54.7,233.75
10,1.1184072663277187,0.5932945254177036,2842,1670,1670,38818,3153,1584,1354,38909,1992,2095,2493,38420,1827,2517,2674,37982,2324,1994,2223,38459,2253,2320,2242,38185,3172,1624,1302,38902,2890,1586,1598,38926,3340,1310,1163,39187,2908,1599,1580,38913,1.168500811337663,0.5876597444089456,311,192,177,4320,332,166,161,4341,239,237,276,4248,285,405,214,4096,288,357,165,4190,272,225,233,4270,290,81,236,4393,307,181,205,4307,342,132,155,4371,272,86,240,4402,2026-08-22 02:18:33,54.7,233.75
