epoch,loss,accuracy,tp_0,fp_0,fn_0,tn_0,tp_1,fp_1,fn_1,tn_1,tp_2,fp_2,fn_2,tn_2,tp_3,fp_3,fn_3,tn_3,tp_4,fp_4,fn_4,tn_4,tp_5,fp_5,fn_5,tn_5,tp_6,fp_6,fn_6,tn_6,tp_7,fp_7,fn_7,tn_7,tp_8,fp_8,fn_8,tn_8,tp_9,fp_9,fn_9,tn_9,val_loss,val_accuracy,val_tp_0,val_fp_0,val_fn_0,val_tn_0,val_tp_1,val_fp_1,val_fn_1,val_tn_1,val_tp_2,val_fp_2,val_fn_2,val_tn_2,val_tp_3,val_fp_3,val_fn_3,val_tn_3,val_tp_4,val_fp_4,val_fn_4,val_tn_4,val_tp_5,val_fp_5,val_fn_5,val_tn_5,val_tp_6,val_fp_6,val_fn_6,val_tn_6,val_tp_7,val_fp_7,val_fn_7,val_tn_7,val_tp_8,val_fp_8,val_fn_8,val_tn_8,val_tp_9,val_fp_9,val_fn_9,val_tn_9,timestamp,epoch_time_sec,max_mem_mb
1,2.201745196872173,0.16603875134553284,305,1244,1193,12108,177,1079,1295,12299,92,614,1420,12724,144,1064,1330,12312,140,734,1312,12664,212,1251,1318,12069,503,1883,999,11465,175,1096,1302,12277,442,1671,997,11740,271,1753,1223,11603,2.2077662015494446,0.1733226837060703,157,809,353,3681,129,732,363,3776,15,62,500,4423,0,0,474,4526,0,0,530,4470,282,1763,216,2739,107,260,394,4239,0,0,489,4511,176,508,305,4011,0,0,510,4490,2026-08-17 22:41:45,20.27,233.75
2,2.159261333416301,0.1778794402583423,345,1344,1153,12008,229,1239,1243,12139,70,466,1442,12872,195,1206,1279,12170,171,639,1281,12759,192,1414,1338,11906,478,1686,1024,11662,188,1166,1289,12207,537,1596,902,11815,239,1450,1255,11906,2.1329669403953675,0.2018769968051118,101,192,409,4298,40,156,452,4352,2,8,513,4477,142,768,332,3758,0,0,530,4470,0,0,498,4502,264,924,237,3575,58,251,431,4260,185,482,296,4037,216,1211,294,3279,2026-08-17 22:42:05,20.11,233.75
3,2.1485574523907305,0.17626480086114102,291,1049,1207,12303,230,1259,1242,12119,81,598,1431,12740,130,826,1344,12550,173,702,1279,12696,249,1576,1281,11744,514,1861,988,11487,172,1035,1305,12338,544,1769,895,11642,236,1555,1258,11801,2.136682994068621,0.17891373801916932,3,4,507,4486,0,0,492,4508,14,89,501,4396,4,40,470,4486,11,23,519,4447,222,1242,276,3260,258,978,243,3521,0,1,489,4510,384,1727,97,2792,0,0,510,4490,2026-08-17 22:42:25,20.08,233.75
4,2.1462791951531615,0.1860199138858988,289,1189,1209,12163,231,1359,1241,12019,94,553,1418,12785,176,1101,1298,12275,119,522,1333,12876,218,1328,1312,11992,590,1873,912,11475,206,1050,1271,12323,565,1791,874,11620,277,1319,1217,12037,2.1572906548222797,0.16972843450479233,126,626,384,3864,59,281,433,4227,5,26,510,4459,106,783,368,3743,144,514,386,3956,65,482,433,4020,31,113,470,4386,18,131,471,4380,182,580,299,3939,113,615,397,3875,2026-08-17 22:42:46,20.2,233.75
5,2.149418383419706,0.18171420882669537,351,1167,1147,12185,255,1398,1217,11980,91,568,1421,12770,135,841,1339,12535,144,632,1308,12766,242,1398,1288,11922,522,1905,980,11443,166,931,1311,12442,491,1633,948,11778,304,1676,1190,11680,2.1254814646114557,0.19528753993610223,59,79,451,4411,232,1066,260,3442,16,72,499,4413,100,563,374,3963,46,120,484,4350,151,827,347,3675,180,667,321,3832,12,61,477,4450,142,312,339,4207,38,257,472,4233,2026-08-17 22:43:06,20.2,233.75
6,2.1063715858531333,0.19516953713670612,333,1027,1165,12325,363,1608,1109,11770,95,542,1417,12796,128,675,1346,12701,144,568,1308,12830,301,1624,1229,11696,540,1811,962,11537,171,937,1306,12436,476,1400,963,12011,343,1764,1151,11592,2.073913180409148,0.2128594249201278,38,155,472,4335,46,214,446,4294,64,313,451,4172,0,0,474,4526,34,75,496,4395,195,877,303,3625,216,759,285,3740,28,158,461,4353,191,439,290,4080,251,947,259,3543,2026-08-17 22:43:26,20.19,233.75
7,2.0920267011428932,0.19907158234660927,398,1290,1100,12062,306,1496,1166,11882,140,890,1372,12448,207,1017,1267,12359,115,468,1337,12930,317,1488,1213,11832,549,1653,953,11695,142,801,1335,12572,443,1243,996,12168,342,1545,1152,11811,2.070412363868933,0.20507188498402557,140,448,370,4042,67,292,425,4216,118,568,397,3917,139,797,335,3729,60,165,470,4305,4,12,494,4490,145,461,356,4038,12,29,477,4482,170,422,311,4097,171,780,339,3710,2026-08-17 22:43:47,20.27,233.75
8,2.080655498448178,0.20566469321851452,434,1249,1064,12103,258,1106,1214,12272,182,932,1330,12406,190,965,1284,12411,178,605,1274,12793,334,1565,1196,11755,555,1701,947,11647,107,679,1370,12694,444,1307,995,12104,375,1684,1119,11672,2.0998770756462513,0.20587060702875398,45,59,465,4431,189,700,303,3808,19,111,496,4374,13,55,461,4471,5,17,525,4453,291,1609,207,2893,226,737,275,3762,68,225,421,4286,80,136,401,4383,93,322,417,4168,2026-08-17 22:44:07,20.19,233.75
9,2.0599648484116093,0.2172362755651238,374,1022,1124,12330,335,1366,1137,12012,186,916,1326,12422,191,935,1283,12441,175,687,1277,12711,301,1420,1229,11900,559,1608,943,11740,199,899,1278,12474,499,1327,940,12084,410,1441,1084,11915,2.0274026458636643,0.23282747603833867,141,298,369,4192,39,88,453,4420,38,196,477,4289,24,88,450,4438,59,230,471,4240,27,88,471,4414,269,893,232,3606,146,675,343,3836,202,448,279,4071,219,832,291,3658,2026-08-17 22:44:27,20.21,233.75
10,2.0435032575071435,0.2322389666307858,392,1057,1106,12295,444,1520,1028,11858,176,804,1336,12534,272,1098,1202,12278,232,725,1220,12673,295,1245,1235,12075,548,1568,954,11780,224,953,1253,12420,510,1262,929,12149,345,1180,1149,12176,2.041089518763387,0.23462460063897764,96,301,414,4189,172,611,320,3897,44,174,471,4311,204,899,270,3627,69,145,461,4325,2,15,496,4487,137,404,364,4095,80,321,409,4190,242,597,239,3922,125,362,385,4128,2026-08-17 22:44:47,20.22,233.75
