epoch,loss,accuracy,tp_0,fp_0,fn_0,tn_0,tp_1,fp_1,fn_1,tn_1,tp_2,fp_2,fn_2,tn_2,tp_3,fp_3,fn_3,tn_3,tp_4,fp_4,fn_4,tn_4,tp_5,fp_5,fn_5,tn_5,tp_6,fp_6,fn_6,tn_6,tp_7,fp_7,fn_7,tn_7,tp_8,fp_8,fn_8,tn_8,tp_9,fp_9,fn_9,tn_9,val_loss,val_accuracy,val_tp_0,val_fp_0,val_fn_0,val_tn_0,val_tp_1,val_fp_1,val_fn_1,val_tn_1,val_tp_2,val_fp_2,val_fn_2,val_tn_2,val_tp_3,val_fp_3,val_fn_3,val_tn_3,val_tp_4,val_fp_4,val_fn_4,val_tn_4,val_tp_5,val_fp_5,val_fn_5,val_tn_5,val_tp_6,val_fp_6,val_fn_6,val_tn_6,val_tp_7,val_fp_7,val_fn_7,val_tn_7,val_tp_8,val_fp_8,val_fn_8,val_tn_8,val_tp_9,val_fp_9,val_fn_9,val_tn_9,timestamp,epoch_time_sec,max_mem_mb
1,2.191057440948961,0.16481514397440455,649,2972,3841,37538,573,3658,3935,36834,320,2152,4165,38363,497,3305,4029,37169,631,3206,3839,37324,581,3649,3921,36849,1402,5380,3097,35121,338,2561,4173,37928,1823,6751,2696,33730,601,3951,3889,36559,2.1607214966521098,0.1733226837060703,97,487,413,4003,16,92,476,4416,178,1264,337,3221,52,292,422,4234,158,548,372,3922,0,0,498,4502,77,379,424,4120,0,0,489,4511,246,846,235,3673,42,226,468,4264,2026-08-17 23:16:24,55.59,233.75
2,2.1548605899220887,0.18067899040170637,511,2092,3979,38418,538,3387,3970,37105,381,2194,4104,38321,564,3280,3962,37194,665,2505,3805,38025,669,3863,3833,36635,1495,5435,3004,35066,419,2599,4092,37890,1930,6030,2589,34451,958,5485,3532,35025,2.128149573795331,0.20087859424920126,31,61,479,4429,64,355,428,4153,2,12,513,4473,5,35,469,4491,7,31,523,4439,165,772,333,3730,280,978,221,3521,39,228,450,4283,249,761,232,3758,163,762,347,3728,2026-08-17 23:17:20,55.81,233.75
3,2.1242780628638296,0.1987646640597227,1055,3091,3435,37419,952,4580,3556,35912,357,1912,4128,38603,822,4208,3704,36266,789,2544,3681,37986,556,2880,3946,37618,1374,4640,3125,35861,388,2138,4123,38351,1660,5201,2859,35280,992,4861,3498,35649,2.1028199355823163,0.21186102236421725,119,254,391,4236,141,716,351,3792,79,350,436,4135,34,231,440,4295,155,441,375,4029,79,329,419,4173,79,238,422,4261,65,429,424,4082,160,381,321,4138,149,571,361,3919,2026-08-17 23:18:16,55.84,233.75
4,2.0965009674329247,0.21205119089939567,1174,3154,3316,37356,1177,5139,3331,35353,446,1969,4039,38546,747,3607,3779,36867,949,2899,3521,37631,584,2977,3918,37521,1395,4133,3104,36368,539,2616,3972,37873,1530,4459,2989,36022,1001,4505,3489,36005,2.064806324605363,0.22563897763578275,151,333,359,4157,195,787,297,3721,52,187,463,4298,60,270,414,4256,262,909,268,3561,27,88,471,4414,57,146,444,4353,104,513,385,3998,130,289,351,4230,91,349,419,4141,2026-08-17 23:19:12,55.86,233.75
5,2.074579153584705,0.2212273373622467,1133,2864,3357,37646,1094,4277,3414,36215,356,1771,4129,38744,905,3919,3621,36555,1106,3543,3364,36987,563,2502,3939,37996,1274,3814,3225,36687,755,3336,3756,37153,1592,4442,2927,36039,1178,4576,3312,35934,2.036272581012104,0.2248402555910543,14,10,496,4480,90,344,402,4164,9,24,506,4461,185,862,289,3664,188,527,342,3943,63,266,435,4236,127,409,374,4090,21,30,468,4481,323,1108,158,3411,105,295,405,4195,2026-08-17 23:20:08,55.82,233.75
6,2.0333101591350258,0.2378688233202986,1231,2791,3259,37719,1117,4128,3391,36364,473,2118,4012,38397,1096,4384,3430,36090,1089,3158,3381,37372,743,2821,3759,37677,1232,3431,3267,37070,819,3023,3692,37466,1789,4574,2730,35907,1117,3866,3373,36644,2.0423742155678357,0.22803514376996806,134,322,376,4168,134,415,358,4093,38,151,477,4334,103,463,371,4063,61,190,469,4280,60,359,438,4143,211,637,290,3862,125,426,364,4085,220,696,261,3823,56,199,454,4291,2026-08-17 23:21:04,55.85,233.75
7,2.025464083603426,0.24380110202630642,1283,2912,3207,37598,1164,4098,3344,36394,585,2113,3900,38402,1219,4501,3307,35973,1094,3028,3376,37502,620,2582,3882,37916,1346,3572,3153,36929,978,3399,3533,37090,1616,4419,2903,36062,1065,3406,3425,37104,2.0065585256765446,0.24460862619808307,135,268,375,4222,110,351,382,4157,34,81,481,4404,149,548,325,3978,61,135,469,4335,36,178,462,4324,183,519,318,3980,155,713,334,3798,199,473,282,4046,162,510,348,3980,2026-08-17 23:22:00,55.88,233.75
8,2.004080126516937,0.25124422324920015,1264,2653,3226,37857,1384,4117,3124,36375,524,1917,3961,38598,1203,4600,3323,35874,1056,3139,3414,37391,712,2766,3790,37732,1316,3547,3183,36954,936,3222,3575,37267,1781,4289,2738,36192,1130,3444,3360,37066,2.0084773286843833,0.24900159744408945,120,179,390,4311,205,818,287,3690,20,53,495,4432,215,925,259,3601,92,244,438,4226,11,44,487,4458,223,674,278,3825,58,176,431,4335,175,303,306,4216,127,338,383,4152,2026-08-17 23:22:56,55.9,233.75
9,1.9871248156838768,0.25697653750444366,1306,2816,3184,37694,1538,4393,2970,36099,594,2196,3891,38319,1227,4546,3299,35928,1161,3043,3309,37487,665,2588,3837,37910,1302,3558,3197,36943,1003,3248,3508,37241,1801,4166,2718,36315,967,2882,3523,37628,1.9825167972058915,0.2547923322683706,265,705,245,3785,99,258,393,4250,71,247,444,4238,171,676,303,3850,147,336,383,4134,24,46,474,4456,172,551,329,3948,94,348,395,4163,131,293,350,4226,101,265,409,4225,2026-08-17 23:23:52,55.95,233.75
10,1.9720183607102117,0.265130643441166,1389,2792,3101,37718,1638,4464,2870,36028,588,1981,3897,38534,1255,4494,3271,35980,1077,2676,3393,37854,811,2828,3691,37670,1334,3464,3165,37037,1088,3411,3423,37078,1778,4082,2741,36399,973,2877,3517,37633,1.9794115605064855,0.25339456869009586,57,106,453,4384,137,230,355,4278,77,340,438,4145,80,288,394,4238,230,687,300,3783,151,585,347,3917,106,329,395,4170,58,153,431,4358,280,821,201,3698,88,197,422,4293,2026-08-17 23:24:48,55.86,233.75
