epoch,loss,accuracy,tp_0,fp_0,fn_0,tn_0,tp_1,fp_1,fn_1,tn_1,tp_2,fp_2,fn_2,tn_2,tp_3,fp_3,fn_3,tn_3,tp_4,fp_4,fn_4,tn_4,tp_5,fp_5,fn_5,tn_5,tp_6,fp_6,fn_6,tn_6,tp_7,fp_7,fn_7,tn_7,tp_8,fp_8,fn_8,tn_8,tp_9,fp_9,fn_9,tn_9,val_loss,val_accuracy,val_tp_0,val_fp_0,val_fn_0,val_tn_0,val_tp_1,val_fp_1,val_fn_1,val_tn_1,val_tp_2,val_fp_2,val_fn_2,val_tn_2,val_tp_3,val_fp_3,val_fn_3,val_tn_3,val_tp_4,val_fp_4,val_fn_4,val_tn_4,val_tp_5,val_fp_5,val_fn_5,val_tn_5,val_tp_6,val_fp_6,val_fn_6,val_tn_6,val_tp_7,val_fp_7,val_fn_7,val_tn_7,val_tp_8,val_fp_8,val_fn_8,val_tn_8,val_tp_9,val_fp_9,val_fn_9,val_tn_9,timestamp,epoch_time_sec,max_mem_mb
1,0.4157643284973467,0.38468783638320775,765,1454,733,11898,735,882,737,12496,186,384,1326,12954,173,357,1301,13019,375,719,1077,12679,606,1187,924,12133,940,1770,562,11578,686,808,791,12565,615,687,824,12724,637,884,857,12472,0.35851483004161727,0.46904952076677314,347,423,163,4067,393,436,99,4072,104,132,411,4353,71,107,403,4419,52,40,478,4430,344,677,154,3825,301,277,200,4222,299,271,190,4240,232,156,249,4363,204,134,306,4356,2026-08-18 00:49:13,8.2,106.29
2,0.32972609640707623,0.5225376749192681,816,640,682,12712,1008,693,464,12685,491,629,1021,12709,354,585,1120,12791,462,554,990,12844,808,1074,722,12246,1032,881,470,12467,987,747,490,12626,901,672,538,12739,901,615,593,12741,0.3053036273097078,0.5714856230031949,318,185,192,4305,372,240,120,4268,228,364,287,4121,138,212,336,4314,240,228,290,4242,225,192,273,4310,364,300,137,4199,297,135,192,4376,325,107,156,4412,350,180,160,4310,2026-08-18 00:49:22,8.1,106.29
3,0.28933356819419737,0.5897470398277718,898,591,600,12761,1098,562,374,12816,608,635,904,12703,485,633,989,12743,625,526,827,12872,835,842,695,12478,1090,722,412,12626,1050,575,427,12798,1006,503,433,12908,1057,509,437,12847,0.28849557137336973,0.5980431309904153,281,114,229,4376,345,110,147,4398,175,156,340,4329,208,310,266,4216,244,150,286,4320,312,451,186,4051,337,201,164,4298,320,164,169,4347,387,181,94,4338,382,172,128,4318,2026-08-18 00:49:30,8.08,106.29
4,0.2564596706365743,0.6442411194833154,999,493,499,12859,1143,406,329,12972,702,612,810,12726,604,585,870,12791,756,527,696,12871,911,740,619,12580,1136,582,366,12766,1093,482,384,12891,1079,430,360,12981,1146,424,348,12932,0.2687313627130307,0.623202875399361,376,241,134,4249,373,154,119,4354,203,173,312,4312,208,255,266,4271,282,201,248,4269,253,237,245,4265,339,156,162,4343,349,195,140,4316,373,153,108,4366,360,119,150,4371,2026-08-18 00:49:38,7.99,106.29
5,0.23013340710663308,0.6860199138858988,1070,452,428,12900,1211,350,261,13028,756,576,756,12762,671,578,803,12798,861,487,591,12911,967,626,563,12694,1169,505,333,12843,1146,401,331,12972,1158,349,281,13062,1188,329,306,13027,0.2552508685154656,0.6357827476038339,378,200,132,4290,406,156,86,4352,227,232,288,4253,187,211,287,4315,308,227,222,4243,258,243,240,4259,366,165,135,4334,339,174,150,4337,348,97,133,4422,362,116,148,4374,2026-08-18 00:49:46,8.07,106.29
6,0.2056368188120513,0.7236275565123789,1126,366,372,12986,1260,245,212,13133,852,544,660,12794,730,530,744,12846,934,477,518,12921,1013,571,517,12749,1202,426,300,12922,1197,344,280,13029,1183,314,256,13097,1245,291,249,13065,0.2529008923628079,0.6475638977635783,335,120,175,4370,394,129,98,4379,233,202,282,4283,240,306,234,4220,339,281,191,4189,276,251,222,4251,328,96,173,4403,322,119,167,4392,387,134,94,4385,386,122,124,4368,2026-08-18 00:49:54,7.99,106.29
7,0.1818071859252145,0.7696447793326158,1182,320,316,13032,1322,202,150,13176,944,480,568,12858,848,458,626,12918,1029,378,423,13020,1103,495,427,12825,1245,329,257,13019,1234,284,243,13089,1220,255,219,13156,1299,223,195,13133,0.255002354423459,0.6491613418530351,378,205,132,4285,385,141,107,4367,260,222,255,4263,203,216,271,4310,318,217,212,4253,283,269,215,4233,321,87,180,4412,334,138,155,4373,375,128,106,4391,390,130,120,4360,2026-08-18 00:50:02,8.11,106.29
8,0.15824189079991582,0.8079924650161464,1257,250,241,13102,1341,154,131,13224,1046,411,466,12927,933,403,541,12973,1088,330,364,13068,1139,434,391,12886,1279,280,223,13068,1292,233,185,13140,1297,187,142,13224,1331,165,163,13191,0.2585528539106869,0.6473642172523961,329,129,181,4361,380,136,112,4372,247,196,268,4289,197,213,277,4313,310,204,220,4266,277,262,221,4240,350,127,151,4372,352,195,137,4316,407,162,74,4357,388,139,122,4351,2026-08-18 00:50:10,8.1,106.29
9,0.13867903610869872,0.8406889128094726,1306,219,192,13133,1390,115,82,13263,1110,360,402,12978,1020,347,454,13029,1136,284,316,13114,1185,360,345,12960,1331,244,171,13104,1330,170,147,13203,1302,153,137,13258,1372,116,122,13240,0.2676997935524383,0.6393769968051118,321,99,189,4391,378,120,114,4388,191,123,324,4362,229,296,245,4230,338,283,192,4187,261,232,237,4270,376,223,125,4276,331,151,158,4360,381,130,100,4389,392,145,118,4345,2026-08-18 00:50:18,7.99,106.29
10,0.11881394363514702,0.8723762109795479,1325,164,173,13188,1393,86,79,13292,1201,328,311,13010,1086,295,388,13081,1208,203,244,13195,1267,280,263,13040,1358,184,144,13164,1360,137,117,13236,1347,133,92,13278,1408,87,86,13269,0.2707221527307178,0.6369808306709265,366,190,144,4300,339,98,153,4410,220,161,295,4324,251,364,223,4162,309,217,221,4253,263,239,235,4263,361,140,140,4359,353,193,136,4318,321,46,160,4473,401,168,109,4322,2026-08-18 00:50:26,7.99,106.29
