epoch,loss,accuracy,tp_0,fp_0,fn_0,tn_0,tp_1,fp_1,fn_1,tn_1,tp_2,fp_2,fn_2,tn_2,tp_3,fp_3,fn_3,tn_3,tp_4,fp_4,fn_4,tn_4,tp_5,fp_5,fn_5,tn_5,tp_6,fp_6,fn_6,tn_6,tp_7,fp_7,fn_7,tn_7,tp_8,fp_8,fn_8,tn_8,tp_9,fp_9,fn_9,tn_9,val_loss,val_accuracy,val_tp_0,val_fp_0,val_fn_0,val_tn_0,val_tp_1,val_fp_1,val_fn_1,val_tn_1,val_tp_2,val_fp_2,val_fn_2,val_tn_2,val_tp_3,val_fp_3,val_fn_3,val_tn_3,val_tp_4,val_fp_4,val_fn_4,val_tn_4,val_tp_5,val_fp_5,val_fn_5,val_tn_5,val_tp_6,val_fp_6,val_fn_6,val_tn_6,val_tp_7,val_fp_7,val_fn_7,val_tn_7,val_tp_8,val_fp_8,val_fn_8,val_tn_8,val_tp_9,val_fp_9,val_fn_9,val_tn_9,timestamp,epoch_time_sec,max_mem_mb
1,0.35279767552156954,0.4862024528972627,2360,2573,2130,37937,2943,2358,1565,38134,1083,1434,3402,39081,969,1703,3557,38771,1607,2332,2863,38198,2195,3220,2307,37278,2966,3081,1533,37420,2552,2309,1959,38180,2738,2099,1781,38382,2467,2011,2023,38499,0.28156539740653846,0.6052316293929713,290,115,220,4375,330,84,162,4424,243,289,272,4196,226,358,248,4168,251,175,279,4295,235,201,263,4301,355,217,146,4282,314,149,175,4362,393,190,88,4329,389,196,121,4294,2026-08-18 01:03:00,21.37,106.29
2,0.262079026564622,0.6313766441521508,2984,1506,1506,39004,3553,1261,955,39231,2048,1849,2437,38666,1692,2026,2834,38448,2329,1698,2141,38832,2483,2185,2019,38313,3368,1784,1131,38717,3195,1576,1316,38913,3422,1352,1097,39129,3339,1350,1151,39160,0.2370577671657355,0.6739217252396166,350,107,160,4383,406,113,86,4395,233,154,282,4331,221,245,253,4281,325,170,205,4300,317,267,181,4235,398,249,103,4250,368,167,121,4344,373,71,108,4448,379,87,131,4403,2026-08-18 01:03:22,21.25,106.29
3,0.22476894694780736,0.6875888730892286,3229,1276,1261,39234,3726,952,782,39540,2418,1698,2067,38817,2092,1953,2434,38521,2747,1603,1723,38927,2618,1845,1884,38653,3533,1335,966,39166,3368,1283,1143,39206,3634,1101,885,39380,3576,1013,914,39497,0.21179106562567976,0.7090654952076677,389,121,121,4369,409,93,83,4415,268,128,247,4357,248,263,226,4263,309,102,221,4368,344,291,154,4211,388,125,113,4374,362,110,127,4401,397,85,84,4434,434,134,76,4356,2026-08-18 01:03:43,21.39,106.29
4,0.20082754622039065,0.7225604337006755,3352,1206,1138,39304,3856,770,652,39722,2643,1521,1842,38994,2292,1870,2234,38604,2983,1440,1487,39090,2770,1591,1732,38907,3614,1200,885,39301,3509,1142,1002,39347,3760,866,759,39615,3735,880,755,39630,0.21489256130049403,0.7008785942492013,326,73,184,4417,448,198,44,4310,294,178,221,4307,276,266,198,4260,402,252,128,4218,256,88,242,4414,383,107,118,4392,323,104,166,4407,430,175,51,4344,366,55,144,4435,2026-08-18 01:04:05,21.51,106.29
5,0.1836355648421008,0.7537993245645218,3490,1064,1000,39446,3933,631,575,39861,2889,1436,1596,39079,2532,1697,1994,38777,3174,1290,1296,39240,2920,1442,1582,39056,3685,1027,814,39474,3617,982,894,39507,3834,750,685,39731,3847,760,643,39750,0.19666555307258052,0.7228434504792333,376,122,134,4368,428,93,64,4415,262,94,253,4391,251,238,223,4288,350,119,180,4351,345,273,153,4229,401,125,100,4374,378,117,111,4394,431,143,50,4376,393,61,117,4429,2026-08-18 01:04:26,21.48,106.29
6,0.16883572761646123,0.7755954496978315,3558,987,932,39523,3989,529,519,39963,3052,1270,1433,39245,2743,1610,1783,38864,3274,1161,1196,39369,3054,1334,1448,39164,3748,899,751,39602,3690,890,821,39599,3904,730,615,39751,3889,689,601,39821,0.19387135809412398,0.7360223642172524,342,58,168,4432,405,60,87,4448,294,131,221,4354,305,313,169,4213,368,129,162,4341,318,166,180,4336,406,141,95,4358,377,107,112,4404,414,88,67,4431,453,125,57,4365,2026-08-18 01:04:48,21.3,106.29
7,0.15612063787869615,0.7954585851404194,3656,893,834,39617,4050,480,458,40012,3148,1190,1337,39325,2866,1526,1660,38948,3408,1101,1062,39429,3132,1225,1370,39273,3831,818,668,39683,3784,738,727,39751,3971,598,548,39883,3952,633,538,39877,0.19072066114162103,0.7348242811501597,393,109,117,4381,442,114,50,4394,281,105,234,4380,283,289,191,4237,373,144,157,4326,293,142,205,4360,423,156,78,4343,357,77,132,4434,392,65,89,4454,438,124,72,4366,2026-08-18 01:05:09,21.33,106.29
8,0.14425232933441537,0.8136331318876644,3757,794,733,39716,4101,445,407,40047,3255,1049,1230,39466,2988,1407,1538,39067,3513,977,957,39553,3239,1146,1263,39352,3911,718,588,39783,3847,696,664,39793,4027,602,492,39879,3976,552,514,39958,0.18243525098687924,0.7492012779552716,371,80,139,4410,437,95,55,4413,329,182,186,4303,268,215,206,4311,404,174,126,4296,318,137,180,4365,413,136,88,4363,369,86,120,4425,420,93,61,4426,417,56,93,4434,2026-08-18 01:05:30,21.03,106.29
9,0.13384167133697064,0.8316299324564522,3829,739,661,39771,4139,384,369,40108,3360,971,1125,39544,3094,1287,1432,39187,3604,920,866,39610,3361,990,1141,39508,3976,674,523,39827,3890,593,621,39896,4099,534,420,39947,4072,484,418,40026,0.1823768179994612,0.7505990415335463,407,101,103,4389,433,93,59,4415,303,105,212,4380,240,166,234,4360,387,166,143,4304,329,160,169,4342,429,182,72,4317,379,111,110,4400,415,86,66,4433,430,78,80,4412,2026-08-18 01:05:51,21.14,106.29
10,0.12273708105728247,0.8472271596160682,3872,707,618,39803,4221,325,287,40167,3470,868,1015,39647,3254,1196,1272,39278,3667,807,803,39723,3465,933,1037,39565,3950,599,549,39902,3984,566,527,39923,4125,460,394,40021,4119,412,371,40098,0.18382493806437564,0.7527955271565495,372,99,138,4391,409,50,83,4458,349,171,166,4314,253,162,221,4364,406,198,124,4272,347,159,151,4343,406,109,95,4390,368,109,121,4402,425,100,56,4419,429,79,81,4411,2026-08-18 01:06:13,21.4,106.29
11,0.11322874972153782,0.8621134020618557,3941,602,549,39908,4237,287,271,40205,3539,847,946,39668,3355,1114,1171,39360,3777,735,693,39795,3571,846,931,39652,4042,518,457,39983,4007,484,504,40005,4180,403,339,40078,4149,366,341,40144,0.18414736792635614,0.7498003194888179,391,122,119,4368,412,53,80,4455,344,175,171,4310,280,219,194,4307,337,103,193,4367,330,157,168,4345,388,68,113,4431,393,134,96,4377,430,121,51,4398,442,101,68,4389,2026-08-18 01:06:34,21.42,106.29
12,0.10442484542926117,0.8719783149662282,3988,561,502,39949,4244,282,264,40210,3640,782,845,39733,3458,1036,1068,39438,3842,688,628,39842,3620,745,882,39753,4046,476,453,40025,4055,452,456,40037,4186,379,333,40102,4160,360,330,40150,0.19124095676282343,0.7432108626198083,383,113,127,4377,421,72,71,4436,328,166,187,4319,279,262,195,4264,353,126,177,4344,346,199,152,4303,400,110,101,4389,354,67,135,4444,427,113,54,4406,424,57,86,4433,2026-08-18 01:06:56,21.5,106.29
13,0.09475851009165821,0.8873311411304657,4054,469,436,40041,4267,238,241,40254,3704,688,781,39827,3553,941,973,39533,3942,591,528,39939,3733,652,769,39846,4110,465,389,40036,4108,381,403,40108,4226,356,293,40125,4232,290,258,40220,0.191679208625715,0.7436102236421726,355,76,155,4414,431,80,61,4428,332,172,183,4313,261,218,213,4308,373,161,157,4309,369,238,129,4264,410,114,91,4385,352,87,137,4424,408,71,73,4448,426,66,84,4424,2026-08-18 01:07:17,21.38,106.29
14,0.08655880701884103,0.8999511198009242,4095,429,395,40081,4310,200,198,40292,3816,618,669,39897,3685,811,841,39663,3979,517,491,40013,3827,608,675,39890,4151,380,348,40121,4148,382,363,40107,4240,303,279,40178,4247,254,243,40256,0.19501635264426756,0.740814696485623,394,132,116,4358,425,78,67,4430,324,161,191,4324,309,298,165,4228,366,148,164,4322,314,170,184,4332,387,102,114,4397,360,85,129,4426,410,69,71,4450,417,51,93,4439,2026-08-18 01:07:38,21.27,106.29
15,0.07871407576645613,0.9100382154283683,4137,378,353,40132,4329,186,179,40306,3876,556,609,39959,3797,748,729,39726,4028,490,442,40040,3880,558,622,39940,4203,338,296,40163,4160,315,351,40174,4288,258,231,40223,4254,221,236,40289,0.19511982184439042,0.7446086261980831,392,123,118,4367,422,82,70,4426,332,162,183,4323,267,203,207,4323,368,164,162,4306,331,154,167,4348,418,142,83,4357,372,110,117,4401,416,75,65,4444,407,60,103,4430,2026-08-18 01:08:00,21.45,106.29
16,0.07137294065439329,0.9198586917881265,4141,331,349,40179,4357,170,151,40322,3961,502,524,40013,3855,675,671,39799,4093,431,377,40099,3967,487,535,40011,4213,299,286,40202,4203,271,308,40218,4327,235,192,40246,4278,204,212,40306,0.2001131556544322,0.7378194888178914,402,155,108,4335,415,76,77,4432,294,119,221,4366,285,269,189,4257,369,153,161,4317,305,148,193,4354,396,103,105,4396,369,105,120,4406,426,91,55,4428,426,94,84,4396,2026-08-18 01:08:21,21.49,106.29
17,0.06486069033866952,0.928346071809456,4186,331,304,40179,4370,147,138,40345,3983,451,502,40064,3961,552,565,39922,4143,387,327,40143,4049,443,453,40055,4234,285,265,40216,4223,228,288,40261,4329,216,190,40265,4297,185,193,40325,0.20545337427728855,0.7348242811501597,389,139,121,4351,429,90,63,4418,325,162,190,4323,251,205,223,4321,359,135,171,4335,334,214,164,4288,401,132,100,4367,370,103,119,4408,389,45,92,4474,429,99,81,4391,2026-08-18 01:08:43,21.31,106.29
18,0.060106688468106864,0.9366112691077142,4214,308,276,40202,4377,115,131,40377,4066,397,419,40118,4014,534,512,39940,4183,321,287,40209,4086,364,416,40134,4264,254,235,40247,4259,223,252,40266,4347,193,172,40288,4338,143,152,40367,0.20656733545727624,0.737020766773163,383,117,127,4373,425,78,67,4430,336,154,179,4331,326,355,148,4171,363,133,167,4337,246,83,252,4419,402,130,99,4369,381,123,108,4388,414,81,67,4438,410,60,100,4430,2026-08-18 01:09:04,21.43,106.29
19,0.05401309633270301,0.9439210806967651,4228,258,262,40252,4391,112,117,40380,4091,361,394,40154,4118,447,408,40027,4221,270,249,40260,4146,330,356,40168,4281,216,218,40285,4293,198,218,40291,4369,179,150,40302,4338,153,152,40357,0.2110657326686687,0.729832268370607,386,130,124,4360,420,74,72,4434,322,164,193,4321,267,250,207,4276,355,168,175,4302,296,158,202,4344,423,175,78,4324,359,81,130,4430,413,87,68,4432,409,63,101,4427,2026-08-18 01:09:26,21.54,106.29
20,0.04906212360791166,0.9511864557412015,4270,227,220,40283,4402,88,106,40404,4141,351,344,40164,4160,377,366,40097,4237,238,233,40292,4205,275,297,40223,4322,196,177,40305,4323,173,188,40316,4386,158,133,40323,4358,113,132,40397,0.20774462334097574,0.7302316293929713,392,144,118,4346,419,96,73,4412,318,173,197,4312,255,179,219,4347,349,168,181,4302,321,168,177,4334,399,124,102,4375,362,111,127,4400,415,90,66,4429,422,95,88,4395,2026-08-18 01:09:47,21.3,106.29
21,0.04608625670061657,0.9553634909349449,4286,198,204,40312,4413,97,95,40395,4195,283,290,40232,4208,370,318,40104,4255,219,215,40311,4220,239,282,40259,4336,178,163,40323,4340,164,171,40325,4385,138,134,40343,4354,122,136,40388,0.2143919684064274,0.7272364217252396,392,145,118,4345,422,92,70,4416,357,253,158,4232,271,223,203,4303,349,160,181,4310,305,148,193,4354,406,145,95,4354,342,66,147,4445,404,74,77,4445,389,57,121,4433,2026-08-18 01:10:08,21.49,106.29
22,0.04367843699527966,0.9580296836118023,4295,182,195,40328,4418,84,90,40408,4211,281,274,40234,4219,301,307,40173,4283,212,187,40318,4220,259,282,40239,4351,178,148,40323,4343,144,168,40345,4411,141,108,40340,4360,107,130,40403,0.21010103180837897,0.7318290734824281,394,159,116,4331,414,70,78,4438,306,160,209,4325,272,233,202,4293,343,141,187,4329,304,145,194,4357,427,167,74,4332,373,112,116,4399,414,75,67,4444,411,80,99,4410,2026-08-18 01:10:30,21.35,106.29
23,0.039383500222387534,0.964250799857803,4329,170,161,40340,4425,67,83,40425,4265,225,220,40290,4294,265,232,40209,4297,174,173,40356,4269,200,233,40298,4354,153,145,40348,4357,135,154,40354,4418,117,101,40364,4384,102,106,40408,0.21569122482960026,0.7274361022364217,369,109,141,4381,431,95,61,4413,326,174,189,4311,277,268,197,4258,340,146,190,4324,301,158,197,4344,405,159,96,4340,365,111,124,4400,399,55,82,4464,422,90,88,4400,2026-08-18 01:10:51,21.34,106.29
