epoch,loss,accuracy,tp_0,fp_0,fn_0,tn_0,tp_1,fp_1,fn_1,tn_1,tp_2,fp_2,fn_2,tn_2,tp_3,fp_3,fn_3,tn_3,tp_4,fp_4,fn_4,tn_4,tp_5,fp_5,fn_5,tn_5,tp_6,fp_6,fn_6,tn_6,tp_7,fp_7,fn_7,tn_7,tp_8,fp_8,fn_8,tn_8,tp_9,fp_9,fn_9,tn_9,val_loss,val_accuracy,val_tp_0,val_fp_0,val_fn_0,val_tn_0,val_tp_1,val_fp_1,val_fn_1,val_tn_1,val_tp_2,val_fp_2,val_fn_2,val_tn_2,val_tp_3,val_fp_3,val_fn_3,val_tn_3,val_tp_4,val_fp_4,val_fn_4,val_tn_4,val_tp_5,val_fp_5,val_fn_5,val_tn_5,val_tp_6,val_fp_6,val_fn_6,val_tn_6,val_tp_7,val_fp_7,val_fn_7,val_tn_7,val_tp_8,val_fp_8,val_fn_8,val_tn_8,val_tp_9,val_fp_9,val_fn_9,val_tn_9,timestamp,epoch_time_sec,max_mem_mb
1,0.47759615441441405,0.25396932185145316,422,1359,1076,11993,485,1182,987,12196,72,331,1440,13007,164,648,1310,12728,214,658,1238,12740,416,1446,1114,11874,675,2063,827,11285,384,991,1093,12382,573,1368,866,12043,370,1029,1124,12327,0.4467837805755603,0.3023162939297125,191,391,319,4099,357,996,135,3512,44,86,471,4399,32,93,442,4433,31,50,499,4420,254,788,244,3714,166,334,335,4165,173,263,316,4248,187,318,294,4201,77,169,433,4321,2026-08-18 01:38:31,10.35,106.29
2,0.4338762582759939,0.32931916038751347,498,854,1000,12498,693,1283,779,12095,138,323,1374,13015,250,811,1224,12565,283,651,1169,12747,556,1413,974,11907,696,1410,806,11938,617,1154,860,12219,626,1034,813,12377,531,1029,963,12327,0.4140530300026123,0.3726038338658147,196,243,314,4247,282,492,210,4016,84,208,431,4277,131,390,343,4136,103,184,427,4286,168,262,330,4240,226,409,275,4090,207,306,282,4205,217,212,264,4307,248,432,262,4058,2026-08-18 01:38:41,10.25,106.29
3,0.4143118195885349,0.3653794402583423,562,839,936,12513,721,1125,751,12253,216,481,1296,12857,270,802,1204,12574,294,634,1158,12764,574,1243,956,12077,722,1266,780,12082,718,1110,759,12263,712,879,727,12532,642,1040,852,12316,0.3971386740382868,0.4055511182108626,151,145,359,4345,305,370,187,4138,38,55,477,4430,113,187,361,4339,99,153,431,4317,276,560,222,3942,278,375,223,4124,238,378,251,4133,334,505,147,4014,195,245,315,4245,2026-08-18 01:38:51,10.18,106.29
4,0.39851666500930255,0.4009687836383208,587,833,911,12519,768,936,704,12442,264,484,1248,12854,318,708,1156,12668,326,578,1126,12820,655,1303,875,12017,762,1186,740,12162,758,974,719,12399,808,897,631,12514,707,998,787,12358,0.3903498725769238,0.41174121405750796,214,295,296,4195,282,372,210,4136,84,111,431,4374,99,246,375,4280,158,249,372,4221,166,291,332,4211,280,396,221,4103,273,466,216,4045,268,206,213,4313,235,309,275,4181,2026-08-18 01:39:01,10.13,106.29
5,0.388123607353194,0.420008073196986,618,780,880,12572,779,954,693,12424,305,546,1207,12792,329,732,1145,12644,376,657,1076,12741,638,1170,892,12150,803,1165,699,12183,810,874,667,12499,838,837,601,12574,740,899,754,12457,0.3768201448475591,0.4396964856230032,222,239,288,4251,316,397,176,4111,134,212,381,4273,93,210,381,4316,162,236,368,4234,219,391,279,4111,274,365,227,4134,273,367,216,4144,252,129,229,4390,253,256,257,4234,2026-08-18 01:39:11,10.16,106.29
6,0.38054183778323963,0.4276103336921421,644,792,854,12560,803,903,669,12475,311,617,1201,12721,335,692,1139,12684,425,637,1027,12761,667,1207,863,12113,839,1108,663,12240,790,885,687,12488,814,749,625,12662,728,904,766,12452,0.3662341606978791,0.45227635782747605,191,171,319,4319,229,175,263,4333,127,189,388,4296,139,333,335,4193,154,190,376,4280,313,601,185,3901,262,301,239,4198,246,241,243,4270,287,181,194,4338,315,355,195,4135,2026-08-18 01:39:22,10.31,106.29
7,0.36985504593543783,0.44792787944025836,648,772,850,12580,832,819,640,12559,385,667,1127,12671,358,767,1116,12609,434,602,1018,12796,681,1095,849,12225,864,1085,638,12263,818,795,659,12578,843,728,596,12683,788,869,706,12487,0.35897766391690167,0.46425718849840253,242,286,268,4204,248,192,244,4316,157,255,358,4230,159,349,315,4177,178,223,352,4247,183,235,315,4267,293,321,208,4178,283,258,206,4253,313,317,168,4202,265,243,245,4247,2026-08-18 01:39:32,10.2,106.29
8,0.3595607306395203,0.46427610333692143,707,807,791,12545,826,771,646,12607,415,676,1097,12662,360,708,1114,12668,499,624,953,12774,699,1114,831,12206,863,1010,639,12338,831,772,646,12601,873,679,566,12732,828,788,666,12568,0.355766520284997,0.4638578274760383,226,222,284,4268,291,282,201,4226,160,266,355,4219,94,186,380,4340,177,247,353,4223,264,472,234,4030,238,191,263,4308,297,316,192,4195,313,286,168,4233,261,211,249,4279,2026-08-18 01:39:42,10.14,106.29
9,0.3547321815761478,0.47497308934338,735,740,763,12612,887,749,585,12629,427,673,1085,12665,389,700,1085,12676,534,682,918,12716,651,1005,879,12315,875,965,627,12383,837,774,640,12599,873,705,566,12706,845,804,649,12552,0.34297780064157785,0.48682108626198084,227,166,283,4324,339,327,153,4181,131,226,384,4259,130,244,344,4282,207,231,323,4239,174,195,324,4307,285,228,216,4271,336,465,153,4046,303,215,178,4304,302,269,208,4221,2026-08-18 01:39:53,10.11,106.29
10,0.3494153830540578,0.4788751345532831,737,745,761,12607,878,760,594,12618,449,707,1063,12631,391,729,1083,12647,491,661,961,12737,693,957,837,12363,886,957,616,12391,842,736,635,12637,863,699,576,12712,881,788,613,12568,0.3395138003003483,0.4976038338658147,289,236,221,4254,251,155,241,4353,90,105,425,4380,190,399,284,4127,194,238,336,4232,229,316,269,4186,268,225,233,4274,305,297,184,4214,313,162,168,4357,358,380,152,4110,2026-08-18 01:40:03,10.11,106.29
