epoch,loss,accuracy,tp_0,fp_0,fn_0,tn_0,tp_1,fp_1,fn_1,tn_1,tp_2,fp_2,fn_2,tn_2,tp_3,fp_3,fn_3,tn_3,tp_4,fp_4,fn_4,tn_4,tp_5,fp_5,fn_5,tn_5,tp_6,fp_6,fn_6,tn_6,tp_7,fp_7,fn_7,tn_7,tp_8,fp_8,fn_8,tn_8,tp_9,fp_9,fn_9,tn_9,val_loss,val_accuracy,val_tp_0,val_fp_0,val_fn_0,val_tn_0,val_tp_1,val_fp_1,val_fn_1,val_tn_1,val_tp_2,val_fp_2,val_fn_2,val_tn_2,val_tp_3,val_fp_3,val_fn_3,val_tn_3,val_tp_4,val_fp_4,val_fn_4,val_tn_4,val_tp_5,val_fp_5,val_fn_5,val_tn_5,val_tp_6,val_fp_6,val_fn_6,val_tn_6,val_tp_7,val_fp_7,val_fn_7,val_tn_7,val_tp_8,val_fp_8,val_fn_8,val_tn_8,val_tp_9,val_fp_9,val_fn_9,val_tn_9,timestamp,epoch_time_sec,max_mem_mb
1,0.4401524572706375,0.32098738002132954,1463,2813,3022,37702,2044,3819,2456,36681,526,1399,3973,39102,793,2426,3702,38079,919,2440,3566,38075,1403,3713,3091,36793,1959,4243,2517,36281,1643,3143,2875,37339,2135,3472,2390,37003,1559,3088,2964,37389,0.39673023387646905,0.40634984025559107,198,271,317,4214,290,338,210,4162,122,279,379,4220,167,412,338,4083,66,79,449,4406,203,377,303,4117,290,389,234,4087,207,195,275,4323,287,389,188,4136,200,241,277,4282,2026-08-22 10:04:09,24.43,106.29
2,0.38762242456919943,0.4172591539281905,1838,2356,2647,38159,2500,2957,2000,37543,949,1835,3550,38666,1105,2438,3390,38067,1214,1973,3271,38542,1779,3271,2715,37235,2468,3308,2008,37216,2286,2771,2232,37711,2538,2562,1987,37913,2099,2753,2424,37724,0.3726698210635505,0.4353035143769968,206,172,309,4313,261,230,239,4270,108,146,393,4353,140,288,365,4207,106,98,409,4387,188,265,318,4229,327,551,197,3925,248,302,234,4216,367,537,108,3988,225,235,252,4288,2026-08-22 10:04:34,24.31,106.29
3,0.3616629746665405,0.46058478492712407,2086,2279,2399,38236,2647,2437,1853,38063,1214,2023,3285,38478,1096,2162,3399,38343,1534,2120,2951,38395,1963,2899,2531,37607,2635,2928,1841,37596,2411,2542,2107,37940,2745,2312,1780,38163,2394,2573,2129,37904,0.3509516917859403,0.48043130990415334,178,94,337,4391,360,406,140,4094,145,176,356,4323,135,220,370,4275,205,228,310,4257,157,149,349,4345,267,298,257,4178,290,339,192,4179,334,292,141,4233,331,396,146,4127,2026-08-22 10:04:58,24.3,106.29
4,0.3431073860409333,0.4914237468894419,2256,2145,2229,38370,2848,2227,1652,38273,1466,2177,3033,38324,1184,2196,3311,38309,1695,2122,2790,38393,2015,2761,2479,37745,2688,2690,1788,37834,2467,2290,2051,38192,2881,2059,1644,38416,2615,2218,1908,38259,0.33217017933393056,0.5057907348242812,273,161,242,4324,281,150,219,4350,119,114,382,4385,75,156,430,4339,204,221,311,4264,269,381,237,4113,333,327,191,4149,265,230,217,4288,324,222,151,4303,384,511,93,4012,2026-08-22 10:05:23,24.31,106.29
5,0.3305945573907665,0.5133976182012087,2324,2027,2161,38488,2883,1911,1617,38589,1621,2308,2878,38193,1357,2169,3138,38336,1810,2093,2675,38422,2109,2617,2385,37889,2758,2495,1718,38029,2516,2183,2002,38299,2995,1912,1530,38563,2728,2184,1795,38293,0.32139650763223726,0.5271565495207667,313,278,202,4207,330,161,170,4339,194,261,307,4238,181,364,324,4131,165,123,350,4362,306,434,200,4060,278,157,246,4319,295,277,187,4241,281,148,194,4377,294,160,183,4363,2026-08-22 10:05:47,24.29,106.29
6,0.3202451694077374,0.5306389975115535,2425,1959,2060,38556,2971,1900,1529,38600,1757,2220,2742,38281,1442,2204,3053,38301,1968,2021,2517,38494,2155,2562,2339,37944,2819,2284,1657,38240,2625,2057,1893,38425,2959,1912,1566,38563,2759,2001,1764,38476,0.310902691782473,0.5415335463258786,278,169,237,4316,319,130,181,4370,205,259,296,4240,162,260,343,4235,256,276,259,4209,220,206,286,4288,333,307,191,4169,297,249,185,4269,335,287,140,4238,303,149,174,4374,2026-08-22 10:06:11,24.33,106.29
7,0.3124430903094204,0.5426146462851049,2505,1966,1980,38549,3075,1732,1425,38768,1736,2231,2763,38270,1479,2315,3016,38190,2068,2145,2417,38370,2138,2415,2356,38091,2785,2262,1691,38262,2715,1959,1803,38523,3043,1685,1482,38790,2873,1873,1650,38604,0.29854801178168944,0.5634984025559105,301,180,214,4305,331,117,169,4383,205,197,296,4302,190,288,315,4207,289,340,226,4145,213,204,293,4290,356,297,168,4179,278,199,204,4319,319,162,156,4363,333,201,144,4322,2026-08-22 10:06:36,24.27,106.29
8,0.30539740424191364,0.5550790970494134,2531,1928,1954,38587,3134,1700,1366,38800,1780,2135,2719,38366,1630,2359,2865,38146,2113,2105,2372,38410,2196,2360,2298,38146,2865,2076,1611,38448,2683,1842,1835,38640,3078,1700,1447,38775,2969,1816,1554,38661,0.29541631816579894,0.5676916932907349,310,214,205,4271,351,151,149,4349,160,135,341,4364,184,282,321,4213,227,129,288,4356,235,226,271,4268,338,221,186,4255,339,341,143,4177,339,234,136,4291,355,229,122,4294,2026-08-22 10:07:00,24.42,106.29
9,0.29902619702977895,0.5642330252399573,2581,1820,1904,38695,3118,1642,1382,38858,1894,2127,2605,38374,1672,2320,2823,38185,2163,2013,2322,38502,2289,2408,2205,38098,2893,2043,1583,38481,2723,1752,1795,38730,3106,1658,1419,38817,2951,1827,1572,38650,0.29124208913443567,0.5706869009584664,324,231,191,4254,337,160,163,4340,207,164,294,4335,192,269,313,4226,251,213,264,4272,263,289,243,4205,300,160,224,4316,324,252,158,4266,298,170,177,4355,356,240,121,4283,2026-08-22 10:07:24,24.31,106.29
10,0.29325682786947205,0.57534216139353,2667,1838,1818,38677,3187,1550,1313,38950,1954,2144,2545,38357,1693,2318,2802,38187,2228,1954,2257,38561,2303,2284,2191,38222,2931,1917,1545,38607,2749,1822,1769,38660,3151,1545,1374,38930,3026,1739,1497,38738,0.28361926594386083,0.5832667731629393,315,184,200,4301,328,114,172,4386,200,202,301,4297,169,221,336,4274,274,239,241,4246,270,286,236,4208,330,171,194,4305,317,242,165,4276,359,202,116,4323,355,222,122,4301,2026-08-22 10:07:49,24.47,106.29
