model,database,augmentation,data_fraction,seed,best_checkpoint_epoch,final_epoch,final_train_loss,final_val_loss,final_train_accuracy,final_val_accuracy,minimum_val_loss,minimum_val_loss_epoch,maximum_val_accuracy,maximum_val_accuracy_epoch,max_mem_mb,total_time_sec
DeiT-Tiny,cifar_10,No augmentation,0.33,1,23,100,1.0337780053832394e-08,7.910206788645004,1.0,0.5101837060702875,1.3215388349069954,23,0.5373402555910544,33,233.75,1981.7000000000003
DeiT-Tiny,cifar_10,Strong augmentation,0.33,1,95,100,1.3591568731132442,1.4672896385954592,0.5094187298170075,0.4744408945686901,1.4589517419330609,95,0.4796325878594249,99,233.75,2024.2299999999998
DeiT-Tiny,cifar_10,No augmentation,1,1,30,100,0.0046097177458941,3.93647660234104,0.998466939210807,0.5988418530351438,1.1358205140970004,30,0.6068290734824281,41,233.75,5525.990000000001
DeiT-Tiny,cifar_10,Strong augmentation,1,1,100,100,1.3379313195679818,1.3620607576812038,0.5212184500533239,0.5045926517571885,1.3620607576812038,100,0.5075878594249201,98,233.75,5598.87
Efficient-CapsNet,cifar_10,No augmentation,0.33,1,6,100,0.0014098725610977,0.3437173008537902,0.9997308934337998,0.5836661341853036,0.2529008923628079,6,0.6491613418530351,7,106.29,804.2
Efficient-CapsNet,cifar_10,Strong augmentation,0.33,1,99,100,0.2385795837663218,0.2478362276864509,0.6601856835306782,0.6443690095846646,0.242279834069383,99,0.6541533546325878,96,106.29,1016.4000000000001
Efficient-CapsNet,cifar_10,No augmentation,1,1,9,100,0.004221983716596,0.2528862556615195,0.9971116246000712,0.7042731629392971,0.1823768179994612,9,0.7527955271565495,10,106.29,2131.43
Efficient-CapsNet,cifar_10,Strong augmentation,1,1,100,100,0.1997980647612796,0.1941853109211586,0.7145396373977959,0.724241214057508,0.1941853109211586,100,0.724241214057508,100,106.29,2473.0299999999993
ResNet-18,cifar_10,No augmentation,0.33,1,5,100,0.0004143911644629,2.029899016254769,1.0,0.7108626198083067,1.0177885951896826,5,0.715055910543131,96,274.56,2627.21
ResNet-18,cifar_10,Strong augmentation,0.33,1,85,100,0.3132967096347406,0.6204789313978661,0.8914155005382132,0.8039137380191693,0.5937234290396444,85,0.8057108626198083,85,274.56,2630.5299999999997
ResNet-18,cifar_10,No augmentation,1,1,4,100,0.0002482119937084,1.2905414782036957,0.9999111269107714,0.8330670926517572,0.6487940400600815,4,0.8346645367412141,85,274.56,7154.859999999999
ResNet-18,cifar_10,Strong augmentation,1,1,94,100,0.1892711049123904,0.3731357080463213,0.9339895129754712,0.880591054313099,0.3603247002439615,94,0.8849840255591054,82,274.56,7164.070000000001
