epoch,loss,accuracy,tp_0,fp_0,fn_0,tn_0,tp_1,fp_1,fn_1,tn_1,tp_2,fp_2,fn_2,tn_2,tp_3,fp_3,fn_3,tn_3,tp_4,fp_4,fn_4,tn_4,tp_5,fp_5,fn_5,tn_5,tp_6,fp_6,fn_6,tn_6,tp_7,fp_7,fn_7,tn_7,tp_8,fp_8,fn_8,tn_8,tp_9,fp_9,fn_9,tn_9,val_loss,val_accuracy,val_tp_0,val_fp_0,val_fn_0,val_tn_0,val_tp_1,val_fp_1,val_fn_1,val_tn_1,val_tp_2,val_fp_2,val_fn_2,val_tn_2,val_tp_3,val_fp_3,val_fn_3,val_tn_3,val_tp_4,val_fp_4,val_fn_4,val_tn_4,val_tp_5,val_fp_5,val_fn_5,val_tn_5,val_tp_6,val_fp_6,val_fn_6,val_tn_6,val_tp_7,val_fp_7,val_fn_7,val_tn_7,val_tp_8,val_fp_8,val_fn_8,val_tn_8,val_tp_9,val_fp_9,val_fn_9,val_tn_9,timestamp,epoch_time_sec,max_mem_mb
1,1.6849142024925117,0.3783638320775027,589,885,909,12467,713,909,757,12471,319,818,1172,12541,348,980,1116,12406,449,1060,1081,12260,484,908,932,12526,677,1035,807,12331,568,751,921,12610,771,963,732,12384,699,924,806,12421,1.4524104888446796,0.45666932907348246,117,55,371,4457,296,209,197,4298,164,286,351,4199,162,332,337,4169,170,324,283,4223,234,286,271,4209,130,24,396,4450,376,593,136,3895,416,502,81,4001,217,107,295,4381,2026-08-22 12:10:54,26.13,274.56
2,1.2726870254885136,0.5377421959095802,837,709,661,12643,973,540,497,12840,558,735,933,12624,517,906,947,12480,634,717,896,12603,634,740,782,12694,972,664,512,12702,917,666,572,12695,1017,597,486,12750,934,583,571,12762,1.2149477008813487,0.5589057507987221,226,190,262,4322,419,401,74,4106,256,325,259,4160,162,206,337,4295,129,56,324,4491,224,162,281,4333,381,198,145,4276,362,275,150,4213,420,364,77,4139,213,31,299,4457,2026-08-22 12:11:20,26.2,274.56
3,1.0289759376398073,0.6369079655543596,1012,523,486,12829,1138,372,332,13008,785,659,706,12700,615,714,849,12672,797,622,733,12698,742,668,674,12766,1061,533,423,12833,1016,489,473,12872,1155,384,348,12963,1132,433,373,12912,1.0335071509638534,0.6263977635782748,322,161,166,4351,405,160,88,4347,225,123,290,4362,356,612,143,3889,223,127,230,4420,141,103,364,4392,393,200,133,4274,349,119,163,4369,390,197,107,4306,329,65,183,4423,2026-08-22 12:11:46,26.25,274.56
4,0.8251522332590285,0.7074138858988159,1121,426,377,12926,1223,256,247,13124,937,537,554,12822,722,652,742,12734,955,538,575,12782,844,606,572,12828,1139,384,345,12982,1089,366,400,12995,1225,284,278,13063,1260,286,245,13059,0.9668489304213478,0.6627396166134185,332,157,156,4355,426,194,67,4313,258,172,257,4313,348,491,151,4010,269,133,184,4414,249,177,256,4318,335,106,191,4368,320,87,192,4401,360,70,137,4433,417,99,95,4389,2026-08-22 12:12:13,26.23,274.56
5,0.6348347165516555,0.780005382131324,1223,300,275,13052,1306,165,164,13215,1059,448,432,12911,857,502,607,12884,1102,399,428,12921,937,477,479,12957,1245,284,239,13082,1220,288,269,13073,1314,204,189,13143,1317,203,188,13142,0.9998470539102158,0.659944089456869,329,185,159,4327,294,46,199,4461,278,158,237,4327,210,206,289,4295,279,105,174,4442,371,400,134,4095,350,83,176,4391,323,65,189,4423,424,173,73,4330,444,277,68,4211,2026-08-22 12:12:39,26.3,274.56
6,0.4347114678877291,0.8480220667384284,1296,224,202,13128,1372,90,98,13290,1196,311,295,13048,1032,377,432,13009,1224,295,306,13025,1083,340,333,13094,1321,212,163,13154,1306,160,183,13201,1363,128,140,13219,1398,122,107,13223,1.0812718633550424,0.6629392971246006,333,169,155,4343,329,54,164,4453,253,124,262,4361,149,106,350,4395,295,178,158,4369,392,481,113,4014,433,188,93,4286,295,58,217,4430,394,140,103,4363,443,186,69,4302,2026-08-22 12:13:05,26.24,274.56
7,0.26907037256488053,0.9073600645855759,1377,135,121,13217,1407,64,63,13316,1328,185,163,13174,1180,237,284,13149,1349,175,181,13145,1211,211,205,13223,1390,107,94,13259,1377,109,112,13252,1426,81,77,13266,1428,73,77,13272,1.0915381486851947,0.6849041533546326,348,158,140,4354,360,36,133,4471,290,166,225,4319,216,199,283,4302,342,291,111,4256,335,282,170,4213,391,117,135,4357,322,67,190,4421,406,133,91,4370,415,126,97,4362,2026-08-22 12:13:32,26.23,274.56
8,0.17951330587125522,0.9409311087190527,1424,76,74,13276,1424,42,46,13338,1370,121,121,13238,1316,147,148,13239,1420,107,110,13213,1276,136,140,13298,1424,81,60,13285,1417,57,72,13304,1452,58,51,13289,1456,46,49,13299,1.3140447849568468,0.6635383386581469,361,175,127,4337,445,245,48,4262,244,100,271,4385,289,296,210,4205,374,410,79,4137,232,94,273,4401,329,79,197,4395,303,95,209,4393,372,103,125,4400,369,85,143,4403,2026-08-22 12:13:58,26.15,274.56
9,0.12380050109630196,0.9591630785791173,1440,67,58,13285,1440,24,30,13356,1409,86,82,13273,1357,103,107,13283,1455,76,75,13244,1338,78,78,13356,1442,45,42,13321,1437,41,52,13320,1462,45,41,13302,1470,35,35,13310,1.4073072648086487,0.6719249201277955,323,126,165,4386,426,150,67,4357,350,284,165,4201,272,265,227,4236,293,177,160,4370,205,80,300,4415,394,182,132,4292,396,257,116,4231,345,59,152,4444,356,60,156,4428,2026-08-22 12:14:24,26.15,274.56
10,0.1056377462264796,0.9636706135629709,1445,57,53,13295,1438,35,32,13345,1420,73,71,13286,1373,87,91,13299,1480,59,50,13261,1329,66,87,13368,1442,45,42,13321,1449,37,40,13324,1474,33,29,13314,1467,41,38,13304,1.386084539869342,0.6835063897763578,328,139,160,4373,383,81,110,4426,230,82,285,4403,315,379,184,4122,281,153,172,4394,282,169,223,4326,395,161,131,4313,388,173,124,4315,391,128,106,4375,424,118,88,4370,2026-08-22 12:14:50,26.19,274.56
