epoch,loss,accuracy,tp_0,fp_0,fn_0,tn_0,tp_1,fp_1,fn_1,tn_1,tp_2,fp_2,fn_2,tn_2,tp_3,fp_3,fn_3,tn_3,tp_4,fp_4,fn_4,tn_4,tp_5,fp_5,fn_5,tn_5,tp_6,fp_6,fn_6,tn_6,tp_7,fp_7,fn_7,tn_7,tp_8,fp_8,fn_8,tn_8,tp_9,fp_9,fn_9,tn_9,val_loss,val_accuracy,val_tp_0,val_fp_0,val_fn_0,val_tn_0,val_tp_1,val_fp_1,val_fn_1,val_tn_1,val_tp_2,val_fp_2,val_fn_2,val_tn_2,val_tp_3,val_fp_3,val_fn_3,val_tn_3,val_tp_4,val_fp_4,val_fn_4,val_tn_4,val_tp_5,val_fp_5,val_fn_5,val_tn_5,val_tp_6,val_fp_6,val_fn_6,val_tn_6,val_tp_7,val_fp_7,val_fn_7,val_tn_7,val_tp_8,val_fp_8,val_fn_8,val_tn_8,val_tp_9,val_fp_9,val_fn_9,val_tn_9,timestamp,epoch_time_sec,max_mem_mb
1,1.3736503857482256,0.5007109847138287,2361,2226,2151,38262,2906,1926,1601,38567,1505,2364,2980,38151,1425,2705,3076,37794,1745,2361,2802,38092,1958,2710,2537,37795,2659,2265,1815,38261,2466,1951,2022,38561,2894,1981,1609,38516,2615,1977,1873,38535,0.988115452825071,0.6465654952076677,343,264,145,4248,410,115,83,4392,281,220,234,4265,244,256,255,4245,317,339,136,4208,267,132,238,4363,359,182,167,4292,291,80,221,4408,362,120,135,4383,358,60,154,4428,2026-08-22 14:55:07,71.61,274.56
2,0.8966497697685691,0.6814788482047636,3172,1444,1340,39044,3768,819,739,39674,2547,1885,1938,38630,2036,2129,2465,38370,2732,1673,1815,38780,2583,1928,1912,38577,3348,1350,1126,39176,3210,1245,1278,39267,3634,932,869,39565,3636,929,852,39583,0.7939592209486915,0.7252396166134185,371,174,117,4338,449,97,44,4410,326,162,189,4323,255,183,244,4318,340,218,113,4329,358,254,147,4241,396,107,130,4367,379,90,133,4398,369,57,128,4446,382,33,130,4455,2026-08-22 14:56:18,71.46,274.56
3,0.6630960013512145,0.7659527195165304,3555,1067,957,39421,4011,479,496,40014,3024,1454,1461,39061,2567,1726,1934,38773,3316,1285,1231,39168,2951,1435,1544,39070,3650,964,824,39562,3604,887,884,39625,3892,612,611,39885,3899,622,589,39890,0.7203972476739853,0.7525958466453674,367,124,121,4388,389,23,104,4484,336,122,179,4363,335,255,164,4246,301,73,152,4474,370,251,135,4244,373,51,153,4423,393,77,119,4411,459,185,38,4318,440,76,72,4412,2026-08-22 14:57:30,71.39,274.56
4,0.4969367746792143,0.8267419125488802,3838,743,674,39745,4164,335,343,40158,3383,1051,1102,39464,2945,1445,1556,39054,3700,926,847,39527,3235,1107,1260,39398,3879,675,595,39851,3861,679,627,39833,4117,406,386,40091,4081,430,407,40082,0.5868859191814931,0.7961261980830671,396,107,92,4405,463,73,30,4434,392,162,123,4323,336,180,163,4321,357,129,96,4418,310,96,195,4399,452,96,74,4378,406,73,106,4415,436,58,61,4445,434,44,78,4444,2026-08-22 14:58:41,71.41,274.56
5,0.35333982544133047,0.87577763953075,4050,523,462,39965,4288,223,219,40270,3712,771,773,39744,3295,1084,1206,39415,3917,639,630,39814,3560,908,935,39597,4055,434,419,40092,4075,439,413,40073,4257,279,246,40218,4200,291,288,40221,0.595712773406658,0.8055111821086262,387,118,101,4394,441,31,52,4476,374,134,141,4351,367,205,132,4296,365,93,88,4454,350,103,155,4392,434,90,92,4384,404,44,108,4444,444,79,53,4424,461,76,51,4412,2026-08-22 14:59:53,71.47,274.56
6,0.24040077998671366,0.9152372911482403,4209,343,303,40145,4353,161,154,40332,3991,495,494,40020,3609,802,892,39697,4147,411,400,40042,3827,609,668,39896,4191,317,283,40209,4223,301,265,40211,4333,176,170,40321,4302,200,186,40312,0.6253478656918667,0.8057108626198083,429,164,59,4348,448,33,45,4474,384,147,131,4338,348,197,151,4304,321,64,132,4483,381,157,124,4338,432,53,94,4421,420,84,92,4404,420,34,77,4469,444,40,68,4448,2026-08-22 15:01:05,71.52,274.56
7,0.15803853549280725,0.9436766797013865,4308,232,204,40256,4407,97,100,40396,4129,319,356,40196,3937,517,564,39982,4285,279,262,40174,4068,438,427,40067,4307,198,167,40328,4275,206,213,40306,4379,122,124,40375,4371,126,117,40386,0.6783032633078555,0.8101038338658147,424,135,64,4377,450,38,43,4469,367,107,148,4378,348,180,151,4321,347,88,106,4459,368,145,137,4350,458,105,68,4369,421,70,91,4418,425,43,72,4460,443,38,69,4450,2026-08-22 15:02:17,71.83,274.56
8,0.11517515807519171,0.959807145396374,4370,173,142,40315,4412,101,95,40392,4270,216,215,40299,4133,359,368,40140,4362,189,185,40264,4209,266,286,40239,4331,146,143,40380,4355,131,133,40381,4387,106,116,40391,4364,120,124,40392,0.7265639769050259,0.8003194888178914,388,95,100,4417,435,19,58,4488,329,86,186,4399,347,205,152,4296,381,170,72,4377,364,163,141,4332,459,80,67,4394,416,67,96,4421,442,52,55,4451,442,60,70,4428,2026-08-22 15:03:28,71.5,274.56
9,0.09030037773960548,0.9682056523284749,4389,140,123,40348,4440,63,67,40430,4297,185,188,40330,4229,269,272,40230,4387,156,160,40297,4267,220,228,40285,4358,112,116,40414,4379,115,109,40397,4426,78,77,40419,4397,93,91,40419,0.8265513110691651,0.7991214057507987,411,133,77,4379,459,51,34,4456,369,124,146,4361,394,294,105,4207,354,111,99,4436,318,90,187,4405,459,107,67,4367,368,17,144,4471,413,35,84,4468,451,42,61,4446,2026-08-22 15:04:40,71.58,274.56
10,0.07583488940201794,0.9740712762175613,4401,117,111,40371,4459,43,48,40450,4327,152,158,40363,4290,221,211,40278,4420,131,127,40322,4308,189,187,40316,4395,87,79,40439,4386,94,102,40418,4438,63,65,40434,4409,70,79,40442,0.8283881512634195,0.8105031948881789,392,90,96,4422,443,28,50,4479,365,129,150,4356,370,171,129,4330,366,116,87,4431,342,106,163,4389,455,88,71,4386,405,73,107,4415,464,104,33,4399,450,43,62,4445,2026-08-22 15:05:51,71.59,274.56
11,0.06532681818704679,0.9767152506221116,4418,100,94,40388,4445,57,62,40436,4347,135,138,40380,4296,186,205,40313,4449,96,98,40357,4343,161,152,40344,4391,91,83,40435,4419,70,69,40442,4428,68,75,40429,4416,84,72,40428,0.8545536900090929,0.8063099041533547,415,131,73,4381,454,42,39,4465,324,59,191,4426,370,243,129,4258,359,131,94,4416,334,98,171,4397,449,97,77,4377,429,66,83,4422,436,41,61,4462,461,61,51,4427,2026-08-22 15:07:03,71.84,274.56
12,0.05490163748936361,0.9810255954496978,4426,88,86,40400,4469,38,38,40455,4383,103,102,40412,4329,173,172,40326,4456,91,91,40362,4374,119,121,40386,4399,72,75,40454,4424,67,64,40445,4436,61,67,40436,4450,42,38,40470,0.8711588719306281,0.8109025559105432,376,80,112,4432,452,41,41,4466,395,151,120,4334,374,189,125,4312,362,106,91,4441,382,169,123,4326,441,67,85,4407,383,33,129,4455,456,84,41,4419,433,26,79,4462,2026-08-22 15:08:15,71.61,274.56
13,0.05146737807596321,0.9822476004265909,4438,80,74,40408,4458,46,49,40447,4379,93,106,40422,4356,129,145,40370,4453,99,94,40354,4400,114,95,40391,4413,74,61,40452,4417,64,71,40448,4459,49,44,40448,4428,51,60,40461,0.869144802837939,0.8113019169329073,400,91,88,4421,460,59,33,4448,374,117,141,4368,383,235,116,4266,358,88,95,4459,307,64,198,4431,462,113,64,4361,417,54,95,4434,430,53,67,4450,464,71,48,4417,2026-08-22 15:09:26,71.52,274.56
14,0.04554183056570518,0.9843138997511554,4446,75,66,40413,4467,33,40,40460,4390,85,95,40430,4387,125,114,40374,4465,83,82,40370,4399,86,96,40419,4411,62,63,40464,4440,45,48,40467,4454,56,49,40441,4436,55,52,40457,0.8468818734325587,0.8144968051118211,398,94,90,4418,447,29,46,4478,418,199,97,4286,347,148,152,4353,362,108,91,4439,345,108,160,4387,443,65,83,4409,422,75,90,4413,430,46,67,4457,461,55,51,4433,2026-08-22 15:10:38,71.54,274.56
15,0.03837539252796479,0.9868690010664771,4460,60,52,40428,4476,28,31,40465,4412,76,73,40439,4396,99,105,40400,4484,64,63,40389,4412,84,83,40421,4420,53,54,40473,4444,46,44,40466,4462,42,41,40455,4443,39,45,40473,0.8574744920869665,0.8160942492012779,396,83,92,4429,422,10,71,4497,378,97,137,4388,366,196,133,4305,386,141,67,4406,346,103,159,4392,452,87,74,4387,426,75,86,4413,425,32,72,4471,483,96,29,4392,2026-08-22 15:11:50,71.78,274.56
16,0.034582140584022675,0.9879576964095272,4472,52,40,40436,4479,32,28,40461,4419,67,66,40448,4403,92,98,40407,4487,56,60,40397,4409,86,86,40419,4428,42,46,40484,4447,49,41,40463,4468,32,35,40465,4446,34,42,40478,0.9044213427867467,0.8099041533546326,386,73,102,4439,453,46,40,4461,369,113,146,4372,319,158,180,4343,374,102,79,4445,398,198,107,4297,463,102,63,4372,392,30,120,4458,423,38,74,4465,474,89,38,4399,2026-08-22 15:13:01,71.41,274.56
17,0.03340791575193014,0.9887131176679701,4474,47,38,40441,4475,33,32,40460,4417,61,68,40454,4423,83,78,40416,4502,51,45,40402,4427,65,68,40440,4418,54,56,40472,4446,35,42,40477,4462,37,41,40460,4448,42,40,40470,0.9375190176798727,0.8115015974440895,390,80,98,4432,452,46,41,4461,426,246,89,4239,361,183,138,4318,365,97,88,4450,338,103,167,4392,446,60,80,4414,415,56,97,4432,425,33,72,4470,439,39,73,4449,2026-08-22 15:14:13,71.62,274.56
18,0.029056098585267268,0.9903128332740846,4470,45,42,40443,4485,19,22,40474,4430,50,55,40465,4419,87,82,40412,4496,51,51,40402,4422,66,73,40439,4447,34,27,40492,4460,29,28,40483,4475,25,28,40472,4460,30,28,40482,0.8980353204741741,0.8170926517571885,383,59,105,4453,465,49,28,4458,380,125,135,4360,328,151,171,4350,377,122,76,4425,366,149,139,4346,467,95,59,4379,425,69,87,4419,433,45,64,4458,462,50,50,4438,2026-08-22 15:15:24,71.62,274.56
19,0.026433274556464388,0.991290437255599,4481,40,31,40448,4488,18,19,40475,4420,56,65,40459,4441,66,60,40433,4506,42,41,40411,4440,59,55,40446,4451,26,23,40500,4452,33,36,40479,4466,29,37,40468,4463,23,25,40489,0.9721406618633066,0.810702875399361,420,122,68,4390,451,66,42,4441,351,84,164,4401,374,209,125,4292,374,101,79,4446,361,109,144,4386,458,98,68,4376,424,60,88,4428,441,76,56,4427,399,22,113,4466,2026-08-22 15:16:36,71.83,274.56
20,0.024412316248066994,0.9916459296125133,4486,31,26,40457,4488,19,19,40474,4434,52,51,40463,4426,63,75,40436,4506,45,41,40408,4445,55,50,40450,4444,37,30,40489,4454,33,34,40479,4480,21,23,40476,4463,18,25,40494,0.8772596122322086,0.8246805111821086,387,85,101,4427,459,39,34,4468,395,133,120,4352,398,209,101,4292,351,78,102,4469,350,88,155,4407,460,85,66,4389,427,52,85,4436,442,65,55,4438,453,44,59,4444,2026-08-22 15:17:48,71.49,274.56
21,0.02145866128856994,0.9928679345894064,4488,33,24,40455,4491,11,16,40482,4440,38,45,40477,4450,62,51,40437,4511,35,36,40418,4450,39,45,40466,4444,29,30,40497,4457,30,31,40482,4480,26,23,40471,4469,17,19,40495,0.9101728129155261,0.8220846645367412,397,63,91,4449,466,55,27,4452,387,119,128,4366,351,169,148,4332,358,92,95,4455,380,149,125,4346,454,91,72,4383,425,45,87,4443,437,46,60,4457,457,59,55,4429,2026-08-22 15:18:59,71.61,274.56
