epoch,loss,accuracy,tp_0,fp_0,fn_0,tn_0,tp_1,fp_1,fn_1,tn_1,tp_2,fp_2,fn_2,tn_2,tp_3,fp_3,fn_3,tn_3,tp_4,fp_4,fn_4,tn_4,tp_5,fp_5,fn_5,tn_5,tp_6,fp_6,fn_6,tn_6,tp_7,fp_7,fn_7,tn_7,tp_8,fp_8,fn_8,tn_8,tp_9,fp_9,fn_9,tn_9,val_loss,val_accuracy,val_tp_0,val_fp_0,val_fn_0,val_tn_0,val_tp_1,val_fp_1,val_fn_1,val_tn_1,val_tp_2,val_fp_2,val_fn_2,val_tn_2,val_tp_3,val_fp_3,val_fn_3,val_tn_3,val_tp_4,val_fp_4,val_fn_4,val_tn_4,val_tp_5,val_fp_5,val_fn_5,val_tn_5,val_tp_6,val_fp_6,val_fn_6,val_tn_6,val_tp_7,val_fp_7,val_fn_7,val_tn_7,val_tp_8,val_fp_8,val_fn_8,val_tn_8,val_tp_9,val_fp_9,val_fn_9,val_tn_9,timestamp,epoch_time_sec,max_mem_mb
1,1.9860677145525765,0.2510091496232508,407,1113,1091,12239,429,1247,1043,12131,223,866,1289,12472,302,1153,1172,12223,251,943,1201,12455,401,1318,1129,12002,454,1257,1048,12091,329,950,1148,12423,534,1138,905,12273,401,1134,1093,12222,1.8969812000902315,0.3027156549520767,203,465,307,4025,304,638,188,3870,161,498,354,3987,35,96,439,4430,1,1,529,4469,233,768,265,3734,101,150,400,4349,121,103,368,4408,277,525,204,3994,78,242,432,4248,2026-08-18 05:20:50,26.06,274.56
2,1.7999486812862564,0.3318756727664155,512,916,986,12436,614,991,858,12387,294,799,1218,12539,325,1051,1149,12325,297,737,1155,12661,490,1206,1040,12114,581,1129,921,12219,576,1083,901,12290,675,949,764,12462,569,1056,925,12300,1.6699777407387195,0.3734025559105431,255,309,255,4181,184,241,308,4267,148,385,367,4100,221,681,253,3845,190,399,340,4071,70,88,428,4414,150,237,351,4262,134,104,355,4407,206,159,275,4360,308,531,202,3959,2026-08-18 05:21:16,26.25,274.56
3,1.6597788217121614,0.38832077502691065,657,835,841,12517,758,888,714,12490,389,867,1123,12471,359,1007,1115,12369,317,716,1135,12682,507,1066,1023,12254,738,1089,764,12259,672,924,805,12449,730,787,709,12624,645,899,849,12457,1.534903244088633,0.4480830670926518,190,154,320,4336,253,185,239,4323,114,160,401,4325,122,286,352,4240,84,94,446,4376,262,486,236,4016,318,428,183,4071,258,287,231,4224,326,337,155,4182,314,342,196,4148,2026-08-18 05:21:43,26.39,274.56
4,1.5450692673417288,0.43669268030139935,699,814,799,12538,821,740,651,12638,417,846,1095,12492,387,893,1087,12483,384,668,1068,12730,633,1099,897,12221,804,967,698,12381,763,791,714,12582,813,730,626,12681,763,818,731,12538,1.508012077107597,0.45067891373801916,323,455,187,4035,203,121,289,4387,84,103,431,4382,199,487,275,4039,242,392,288,4078,186,276,312,4226,233,267,268,4232,288,289,201,4222,266,179,215,4340,230,177,280,4313,2026-08-18 05:22:09,26.35,274.56
5,1.4524722070432197,0.48008611410118407,738,753,760,12599,894,682,578,12696,497,813,1015,12525,448,835,1026,12541,476,712,976,12686,659,1016,871,12304,850,823,652,12525,846,680,631,12693,869,666,570,12745,859,734,635,12622,1.366437170261773,0.5107827476038339,282,234,228,4256,346,265,146,4243,218,323,297,4162,139,237,335,4289,217,259,313,4211,243,305,255,4197,252,241,249,4258,290,278,199,4233,293,127,188,4392,274,177,236,4313,2026-08-18 05:22:36,26.32,274.56
6,1.400010534713548,0.4966361679224973,770,760,728,12592,910,628,562,12750,529,843,983,12495,435,759,1039,12617,541,718,911,12680,697,1014,833,12306,886,800,616,12548,832,653,645,12720,910,645,529,12766,858,662,636,12694,1.3133869494873875,0.5267571884984026,272,224,238,4266,333,210,159,4298,189,246,326,4239,232,436,242,4090,220,203,310,4267,218,316,280,4186,260,152,241,4347,253,165,236,4346,290,152,191,4367,368,261,142,4229,2026-08-18 05:23:02,26.29,274.56
7,1.3406681019985252,0.5196447793326158,822,729,676,12623,928,590,544,12788,572,786,940,12552,452,804,1022,12572,617,655,835,12743,711,938,819,12382,908,774,594,12574,873,627,604,12746,937,571,502,12840,897,659,597,12697,1.3260091219466335,0.5253594249201278,340,333,170,4157,265,111,227,4397,194,215,321,4270,155,260,319,4266,267,298,263,4172,222,250,276,4252,300,213,201,4286,341,378,148,4133,210,84,271,4435,335,229,175,4261,2026-08-18 05:23:29,26.41,274.56
8,1.2735990706763047,0.5467572658772875,903,683,595,12669,980,536,492,12842,623,780,889,12558,501,762,973,12614,659,644,793,12754,744,914,786,12406,922,780,580,12568,898,559,579,12814,979,502,460,12909,918,563,576,12793,1.2593080808941168,0.542332268370607,233,110,277,4380,197,35,295,4473,217,244,298,4241,132,193,342,4333,290,391,240,4079,220,198,278,4304,332,265,169,4234,304,247,185,4264,394,301,87,4218,394,303,116,4187,2026-08-18 05:23:55,26.43,274.56
9,1.2395399399542835,0.558867061356297,871,672,627,12680,1028,507,444,12871,634,769,878,12569,525,793,949,12583,676,663,776,12735,728,884,802,12436,966,682,536,12666,927,528,550,12845,960,553,479,12858,978,506,516,12850,1.1933468909690175,0.575279552715655,255,97,255,4393,342,162,150,4346,185,161,330,4324,240,420,234,4106,282,246,248,4224,125,76,373,4426,351,295,150,4204,359,315,130,4196,372,176,109,4343,366,175,144,4315,2026-08-18 05:24:22,26.33,274.56
10,1.1991910822168232,0.5763589881593111,885,641,613,12711,1054,477,418,12901,667,781,845,12557,545,757,929,12619,686,632,766,12766,776,821,754,12499,995,659,507,12689,961,503,516,12870,1008,520,431,12891,990,492,504,12864,1.1739583103039775,0.5830670926517572,358,231,152,4259,309,81,183,4427,139,114,376,4371,280,541,194,3985,284,264,246,4206,242,248,256,4254,320,227,181,4272,257,64,232,4447,336,107,145,4412,391,207,119,4283,2026-08-18 05:24:48,26.41,274.56
