epoch,loss,accuracy,tp_0,fp_0,fn_0,tn_0,tp_1,fp_1,fn_1,tn_1,tp_2,fp_2,fn_2,tn_2,tp_3,fp_3,fn_3,tn_3,tp_4,fp_4,fn_4,tn_4,tp_5,fp_5,fn_5,tn_5,tp_6,fp_6,fn_6,tn_6,tp_7,fp_7,fn_7,tn_7,tp_8,fp_8,fn_8,tn_8,tp_9,fp_9,fn_9,tn_9,val_loss,val_accuracy,val_tp_0,val_fp_0,val_fn_0,val_tn_0,val_tp_1,val_fp_1,val_fn_1,val_tn_1,val_tp_2,val_fp_2,val_fn_2,val_tn_2,val_tp_3,val_fp_3,val_fn_3,val_tn_3,val_tp_4,val_fp_4,val_fn_4,val_tn_4,val_tp_5,val_fp_5,val_fn_5,val_tn_5,val_tp_6,val_fp_6,val_fn_6,val_tn_6,val_tp_7,val_fp_7,val_fn_7,val_tn_7,val_tp_8,val_fp_8,val_fn_8,val_tn_8,val_tp_9,val_fp_9,val_fn_9,val_tn_9,timestamp,epoch_time_sec,max_mem_mb
1,1.8059505186723384,0.3335407038748667,1582,2829,2903,37686,1892,3160,2608,37340,799,2266,3700,38235,1072,3199,3423,37306,1030,2596,3455,37919,1319,3221,3175,37285,1832,3486,2644,37038,1737,3134,2781,37348,2162,3036,2363,37439,1580,3068,2943,37409,1.5455782059282541,0.4464856230031949,358,589,157,3896,245,193,255,4307,121,219,380,4280,171,361,334,4134,119,124,396,4361,235,413,271,4081,304,303,220,4173,167,57,315,4461,206,160,269,4365,306,349,171,4174,2026-08-22 18:23:41,71.61,274.56
2,1.46301536707534,0.4730936722360469,2233,2441,2252,38074,2675,2126,1825,38374,1470,2412,3029,38089,1296,2659,3199,37846,1631,2231,2854,38284,1873,2890,2621,37616,2573,2434,1903,38090,2430,2145,2088,38337,2686,2169,1839,38306,2423,2203,2100,38274,1.3272669541950044,0.5235623003194888,321,252,194,4233,314,151,186,4349,173,188,328,4311,188,340,317,4155,114,56,401,4429,198,242,308,4252,337,333,187,4143,357,501,125,4017,323,185,152,4340,293,134,184,4389,2026-08-22 18:24:52,71.55,274.56
3,1.2841652980530511,0.5426590828297192,2555,2094,1930,38421,3115,1649,1385,38851,1772,2305,2727,38196,1478,2453,3017,38052,2057,2107,2428,38408,2117,2533,2377,37973,2791,2189,1685,38335,2639,1839,1879,38643,3024,1718,1501,38757,2871,1694,1652,38783,1.217210624545527,0.5625,227,82,288,4403,323,138,177,4362,226,257,275,4242,202,283,303,4212,256,240,259,4245,175,116,331,4378,307,182,217,4294,346,323,136,4195,381,297,94,4228,370,269,107,4254,2026-08-22 18:26:07,71.66,274.56
4,1.170100265578193,0.5855181301102026,2716,1888,1769,38627,3340,1290,1160,39210,1983,2199,2516,38302,1698,2410,2797,38095,2237,2009,2248,38506,2254,2297,2240,38209,2969,1949,1507,38575,2828,1636,1690,38846,3211,1511,1314,38964,3113,1462,1410,39015,1.0728740223680442,0.6182108626198083,355,208,160,4277,404,148,96,4352,185,106,316,4393,181,234,324,4261,263,188,252,4297,300,283,206,4211,364,216,160,4260,308,137,174,4381,378,222,97,4303,353,167,124,4356,2026-08-22 18:27:19,71.52,274.56
5,1.0647544082515061,0.6246667259153929,2917,1702,1568,38813,3492,1093,1008,39407,2174,2073,2325,38428,1889,2257,2606,38248,2513,1892,1972,38623,2427,2106,2067,38400,3093,1710,1383,38814,2992,1451,1526,39031,3347,1289,1178,39186,3265,1318,1258,39159,1.0422467726488083,0.6335862619808307,354,190,161,4295,371,53,129,4447,241,190,260,4309,227,258,278,4237,257,158,258,4327,274,202,232,4292,309,120,215,4356,387,380,95,4138,381,178,94,4347,369,101,108,4422,2026-08-22 18:28:30,71.67,274.56
6,0.9893889361605117,0.6524395662993245,3055,1573,1430,38942,3607,953,893,39547,2319,1876,2180,38625,2046,2128,2449,38377,2696,1836,1789,38679,2522,1873,1972,38633,3171,1579,1305,38945,3120,1428,1398,39054,3439,1216,1086,39259,3383,1180,1140,39297,0.9257153274533086,0.6721246006389776,313,86,202,4399,369,43,131,4457,268,189,233,4310,262,291,243,4204,350,205,165,4280,320,271,186,4223,359,117,165,4359,319,94,163,4424,405,198,70,4327,395,146,82,4377,2026-08-22 18:29:42,71.53,274.56
7,0.9315893847112591,0.6738135442587985,3136,1452,1349,39063,3695,822,805,39678,2433,1831,2066,38670,2133,2067,2362,38438,2816,1782,1669,38733,2558,1829,1936,38677,3263,1446,1213,39078,3221,1285,1297,39197,3562,1082,963,39393,3505,1082,1018,39395,0.8923368743433359,0.6809105431309904,343,118,172,4367,423,82,77,4418,310,328,191,4171,208,172,297,4323,383,276,132,4209,299,190,207,4304,366,126,158,4350,319,102,163,4416,387,130,88,4395,366,72,111,4451,2026-08-22 18:30:54,71.66,274.56
8,0.8694019810959744,0.6953652683967295,3242,1410,1243,39105,3726,780,774,39720,2599,1761,1900,38740,2357,2008,2138,38497,2901,1589,1584,38926,2659,1674,1835,38832,3337,1312,1139,39212,3322,1157,1196,39325,3610,1009,915,39466,3540,1007,983,39470,0.8170440836836355,0.7120607028753994,396,161,119,4324,409,49,91,4451,285,160,216,4339,248,159,257,4336,347,155,168,4330,312,179,194,4315,382,147,142,4329,394,197,88,4321,383,126,92,4399,403,108,74,4415,2026-08-22 18:32:06,71.59,274.56
9,0.8268672715948012,0.7093405616779239,3290,1343,1195,39172,3743,742,757,39758,2688,1663,1811,38838,2387,1959,2108,38546,3002,1499,1483,39016,2749,1604,1745,38902,3433,1229,1043,39295,3370,1149,1148,39333,3677,927,848,39548,3580,966,943,39511,0.8051529379127125,0.7184504792332268,399,143,116,4342,427,85,73,4415,312,168,189,4331,293,273,212,4222,352,152,163,4333,257,106,249,4388,384,126,140,4350,368,128,114,4390,396,119,79,4406,402,110,75,4413,2026-08-22 18:33:18,71.67,274.56
10,0.7888803285951509,0.7256043370067543,3377,1233,1108,39282,3800,639,700,39861,2779,1550,1720,38951,2495,1842,2000,38663,3098,1394,1387,39121,2827,1574,1667,38932,3487,1189,989,39335,3454,1136,1064,39346,3709,866,816,39609,3628,923,895,39554,0.7830390904467708,0.7214456869009584,401,159,114,4326,396,50,104,4450,324,168,177,4331,210,103,295,4392,343,138,172,4347,333,218,173,4276,415,148,109,4328,385,159,97,4359,403,148,72,4377,395,104,82,4419,2026-08-22 18:34:29,71.44,274.56
