epoch,loss,accuracy,tp_0,fp_0,fn_0,tn_0,tp_1,fp_1,fn_1,tn_1,tp_2,fp_2,fn_2,tn_2,tp_3,fp_3,fn_3,tn_3,tp_4,fp_4,fn_4,tn_4,tp_5,fp_5,fn_5,tn_5,tp_6,fp_6,fn_6,tn_6,tp_7,fp_7,fn_7,tn_7,tp_8,fp_8,fn_8,tn_8,tp_9,fp_9,fn_9,tn_9,val_loss,val_accuracy,val_tp_0,val_fp_0,val_fn_0,val_tn_0,val_tp_1,val_fp_1,val_fn_1,val_tn_1,val_tp_2,val_fp_2,val_fn_2,val_tn_2,val_tp_3,val_fp_3,val_fn_3,val_tn_3,val_tp_4,val_fp_4,val_fn_4,val_tn_4,val_tp_5,val_fp_5,val_fn_5,val_tn_5,val_tp_6,val_fp_6,val_fn_6,val_tn_6,val_tp_7,val_fp_7,val_fn_7,val_tn_7,val_tp_8,val_fp_8,val_fn_8,val_tn_8,val_tp_9,val_fp_9,val_fn_9,val_tn_9,timestamp,epoch_time_sec,max_mem_mb
1,1.9205139493162506,0.26510842516885885,1437,2794,3048,37721,1378,3461,3122,37039,436,1766,4063,38735,632,2694,3863,37811,1066,2940,3419,37575,1224,3943,3270,36563,1655,4689,2821,35835,801,3234,3717,37248,1818,3296,2707,37179,1481,4255,3042,36222,1.7650312455698325,0.33246805111821087,226,257,289,4228,224,416,276,4084,65,178,436,4321,121,388,384,4107,29,46,486,4439,220,433,286,4061,272,659,252,3817,122,349,360,4169,110,93,365,4432,272,520,205,4003,2026-08-22 00:38:54,54.63,233.75
2,1.7032430045680138,0.35002666192676857,1804,2403,2681,38112,2037,2915,2463,37585,690,2032,3809,38469,866,2569,3629,37936,1253,2628,3232,37887,1588,3817,2906,36689,1814,3591,2662,36933,1458,3438,3060,37044,2376,2499,2149,37976,1868,3354,2655,37123,1.6524183898688125,0.3875798722044728,265,255,250,4230,193,273,307,4227,37,55,464,4444,99,309,406,4186,65,77,450,4408,250,531,256,3963,226,303,298,4173,238,430,244,4088,330,465,145,4060,236,363,241,4160,2026-08-22 00:39:48,54.75,233.75
3,1.5504592925130027,0.4266352648418059,2073,2056,2412,38459,2430,2605,2070,37895,936,1931,3563,38570,1248,2839,3247,37666,1512,2415,2973,38100,1686,3063,2808,37443,2345,3101,2131,37423,2096,2911,2422,37571,2768,2196,1757,38279,2106,2683,2417,37794,1.483012711278166,0.45307507987220447,233,145,282,4340,205,159,295,4341,188,423,313,4076,235,523,270,3972,150,174,365,4311,160,241,346,4253,214,172,310,4304,250,253,232,4265,346,349,129,4176,284,296,193,4227,2026-08-22 00:40:43,54.75,233.75
4,1.4530074277510645,0.4672280483469605,2270,1968,2215,38547,2547,2338,1953,38162,1269,2199,3230,38302,1466,2909,3029,37596,1612,2181,2873,38334,1738,2815,2756,37691,2518,2660,1958,37864,2374,2523,2144,37959,2903,1983,1622,38492,2329,2398,2194,38079,1.4215229919162422,0.47623801916932906,312,279,203,4206,216,133,284,4367,152,276,349,4223,201,405,304,4090,149,146,366,4339,199,316,307,4178,305,301,219,4175,242,261,240,4257,331,256,144,4269,274,246,203,4277,2026-08-22 00:41:38,54.81,233.75
5,1.4076936317854745,0.4854248133665126,2360,1967,2125,38548,2601,2170,1899,38330,1359,2217,3140,38284,1489,2836,3006,37669,1690,2151,2795,38364,1832,2756,2662,37750,2589,2461,1887,38063,2515,2383,2003,38099,2977,1877,1548,38598,2435,2335,2088,38142,1.4089839928828107,0.4772364217252396,300,231,215,4254,345,339,155,4161,171,251,330,4248,169,358,336,4137,184,227,331,4258,208,316,298,4178,211,143,313,4333,294,330,188,4188,326,274,149,4251,179,144,298,4379,2026-08-22 00:42:33,54.78,233.75
6,1.3588735039574034,0.5027106292214717,2437,1908,2048,38607,2694,2050,1806,38450,1457,2188,3042,38313,1572,2845,2923,37660,1772,2195,2713,38320,1900,2698,2594,37808,2671,2327,1805,38197,2524,2173,1994,38309,3054,1773,1471,38702,2542,2220,1981,38257,1.3655643609766,0.5047923322683706,258,155,257,4330,285,184,215,4316,203,328,298,4171,218,411,287,4084,165,123,350,4362,171,166,335,4328,327,339,197,4137,269,186,213,4332,326,238,149,4287,303,345,174,4178,2026-08-22 00:43:28,54.85,233.75
7,1.3213212647092245,0.5164193032349804,2507,1871,1978,38644,2772,1993,1728,38507,1549,2301,2950,38200,1636,2783,2859,37722,1878,2129,2607,38386,1904,2561,2590,37945,2797,2130,1679,38394,2618,2096,1900,38386,3069,1780,1456,38695,2508,2118,2015,38359,1.32463507092418,0.5135782747603834,270,133,245,4352,287,188,213,4312,222,395,279,4104,192,316,313,4179,225,304,290,4181,201,238,305,4256,350,286,174,4190,235,119,247,4399,348,303,127,4222,235,153,242,4370,2026-08-22 00:44:23,54.73,233.75
8,1.2837412512857551,0.5319943121222894,2557,1789,1928,38726,2844,1923,1656,38577,1673,2268,2826,38233,1666,2705,2829,37800,1974,2138,2511,38377,1998,2517,2496,37989,2851,2056,1625,38468,2609,1957,1909,38525,3145,1668,1380,38807,2623,2039,1900,38438,1.3143633497408784,0.5245607028753994,296,175,219,4310,315,214,185,4286,180,214,321,4285,164,257,341,4238,145,135,370,4350,224,268,282,4226,331,238,193,4238,341,422,141,4096,304,143,171,4382,321,313,156,4210,2026-08-22 00:45:18,54.78,233.75
9,1.253453089722187,0.5415037326697476,2595,1809,1890,38706,2859,1866,1641,38634,1710,2279,2789,38222,1739,2781,2756,37724,2026,2074,2459,38441,1991,2360,2503,38146,2890,1985,1586,38539,2699,1935,1819,38547,3215,1590,1310,38885,2642,1955,1881,38522,1.3386284470939027,0.5173722044728435,309,248,206,4237,264,169,236,4331,136,116,365,4383,197,353,308,4142,239,246,276,4239,119,90,387,4404,364,353,160,4123,260,183,222,4335,340,200,135,4325,358,456,119,4067,2026-08-22 00:46:13,54.72,233.75
10,1.2283680628848763,0.5523684678279417,2621,1765,1864,38750,2885,1804,1615,38696,1824,2185,2675,38316,1738,2688,2757,37817,2070,2055,2415,38460,2085,2400,2409,38106,2977,1915,1499,38609,2732,1816,1786,38666,3231,1597,1294,38878,2694,1918,1829,38559,1.302589165897796,0.5253594249201278,281,120,234,4365,311,196,189,4304,198,294,303,4205,189,331,316,4164,234,251,281,4234,291,445,215,4049,234,83,290,4393,321,311,161,4207,309,144,166,4381,258,199,219,4324,2026-08-22 00:47:07,54.81,233.75
