epoch,loss,accuracy,tp_0,fp_0,fn_0,tn_0,tp_1,fp_1,fn_1,tn_1,tp_2,fp_2,fn_2,tn_2,tp_3,fp_3,fn_3,tn_3,tp_4,fp_4,fn_4,tn_4,tp_5,fp_5,fn_5,tn_5,tp_6,fp_6,fn_6,tn_6,tp_7,fp_7,fn_7,tn_7,tp_8,fp_8,fn_8,tn_8,tp_9,fp_9,fn_9,tn_9,val_loss,val_accuracy,val_tp_0,val_fp_0,val_fn_0,val_tn_0,val_tp_1,val_fp_1,val_fn_1,val_tn_1,val_tp_2,val_fp_2,val_fn_2,val_tn_2,val_tp_3,val_fp_3,val_fn_3,val_tn_3,val_tp_4,val_fp_4,val_fn_4,val_tn_4,val_tp_5,val_fp_5,val_fn_5,val_tn_5,val_tp_6,val_fp_6,val_fn_6,val_tn_6,val_tp_7,val_fp_7,val_fn_7,val_tn_7,val_tp_8,val_fp_8,val_fn_8,val_tn_8,val_tp_9,val_fp_9,val_fn_9,val_tn_9,timestamp,epoch_time_sec,max_mem_mb
1,1.996433302928635,0.24373990306946688,745,1661,2171,25123,571,1883,2375,24871,209,874,2735,25882,553,2365,2404,24378,601,1702,2314,25083,691,2791,2321,23897,1116,3482,1852,23250,547,2036,2404,24713,1302,2764,1778,23856,907,2900,2104,23789,1.9312892184851649,0.2729632587859425,241,312,274,4173,151,366,349,4134,154,731,347,3768,48,354,457,4141,208,415,307,4070,269,910,237,3584,16,53,508,4423,66,143,416,4375,151,240,324,4285,62,110,415,4413,2026-08-24 19:16:13,36.97,233.75
2,1.8649914068243616,0.3004173397953689,1043,1655,1873,25129,841,2093,2105,24661,336,1008,2608,25748,579,2295,2378,24448,789,1673,2126,25112,905,2580,2107,24108,1108,2666,1860,24066,799,2181,2152,24568,1479,2186,1601,24434,1044,2440,1967,24249,1.8174587019716208,0.31110223642172524,178,190,337,4295,117,205,383,4295,229,881,272,3618,32,135,473,4360,23,37,492,4448,172,385,334,4109,175,366,349,4110,185,458,297,4060,306,582,169,3943,140,204,337,4319,2026-08-24 19:16:50,36.95,233.75
3,1.7928173762851976,0.33272751750134627,1181,1543,1735,25241,977,2007,1969,24747,384,1130,2560,25626,741,2288,2216,24455,796,1605,2119,25180,910,2284,2102,24404,1167,2443,1801,24289,1011,2199,1940,24550,1651,2068,1429,24552,1062,2253,1949,24436,1.7746425516689166,0.33666134185303515,210,184,305,4301,70,96,430,4404,43,129,458,4370,4,35,501,4460,119,212,396,4273,332,990,174,3504,229,373,295,4103,222,520,260,3998,163,110,312,4415,291,668,186,3855,2026-08-24 19:17:27,36.95,233.75
4,1.7496693943801207,0.34975767366720517,1162,1497,1754,25287,1157,2100,1789,24654,412,1094,2532,25662,610,1972,2347,24771,818,1533,2097,25252,1044,2415,1968,24273,1252,2423,1716,24309,1129,2155,1822,24594,1655,1910,1425,24710,1147,2215,1864,24474,1.7223275583772995,0.3514376996805112,109,70,406,4415,198,353,302,4147,76,137,425,4362,106,333,399,4162,102,111,413,4374,262,621,244,3873,223,373,301,4103,165,309,317,4209,228,271,247,4254,287,666,190,3857,2026-08-24 19:18:05,37.06,233.75
5,1.7150605723109371,0.3661483575659666,1197,1476,1719,25308,1209,2016,1737,24738,530,1235,2414,25521,656,2007,2301,24736,755,1349,2160,25436,1042,2304,1970,24384,1322,2576,1646,24156,1185,1916,1766,24833,1777,1842,1303,24778,1206,2100,1805,24589,1.6455090091632196,0.384185303514377,209,178,306,4307,269,345,231,4155,134,335,367,4164,88,321,417,4174,141,235,374,4250,213,476,293,4018,199,294,325,4182,203,275,279,4243,312,423,163,4102,152,198,325,4325,2026-08-24 19:18:42,37.0,233.75
6,1.6516162301496466,0.3896742057081314,1214,1355,1702,25429,1348,2034,1598,24720,603,1330,2341,25426,807,2080,2150,24663,837,1374,2078,25411,1026,2110,1986,24578,1353,2337,1615,24395,1294,1768,1657,24981,1815,1768,1265,24852,1278,1969,1733,24720,1.605540643865689,0.4057507987220447,301,409,214,4076,188,208,312,4292,82,146,419,4353,194,450,311,4045,186,297,329,4188,73,120,433,4374,211,325,313,4151,246,337,236,4181,273,254,202,4271,274,426,203,4097,2026-08-24 19:19:19,37.06,233.75
7,1.624546479684535,0.39684302638664515,1219,1339,1697,25445,1463,2011,1483,24743,605,1308,2339,25448,828,2121,2129,24622,850,1376,2065,25409,1018,2085,1994,24603,1396,2410,1572,24322,1348,1732,1603,25017,1800,1590,1280,25030,1255,1946,1756,24743,1.5933154699520562,0.4103434504792332,172,136,343,4349,331,484,169,4016,93,152,408,4347,130,300,375,4195,185,237,330,4248,181,292,325,4202,256,374,268,4102,176,184,306,4334,311,389,164,4136,216,401,261,4122,2026-08-24 19:19:56,37.06,233.75
8,1.57040885278597,0.4180802369413032,1289,1314,1627,25470,1543,1918,1403,24836,717,1314,2227,25442,801,2022,2156,24721,908,1358,2007,25427,1176,2087,1836,24601,1422,2237,1546,24495,1368,1662,1583,25087,1822,1563,1258,25057,1367,1812,1644,24877,1.548544959519237,0.4245207667731629,213,147,302,4338,296,388,204,4112,85,135,416,4364,223,524,282,3971,164,218,351,4267,73,113,433,4381,289,432,235,4044,238,327,244,4191,307,274,168,4251,232,322,245,4201,2026-08-24 19:20:33,37.08,233.75
9,1.5394864553845435,0.4301628971459343,1270,1259,1646,25525,1608,1878,1338,24876,729,1401,2215,25355,819,1929,2138,24814,929,1389,1986,25396,1160,2035,1852,24653,1559,2210,1409,24522,1441,1550,1510,25199,1909,1499,1171,25121,1348,1778,1663,24911,1.7407951598731093,0.35742811501597443,214,319,301,4166,307,519,193,3981,108,228,393,4271,107,340,398,4155,135,203,380,4282,272,676,234,3818,169,200,355,4276,81,52,401,4466,323,512,152,4013,73,162,404,4361,2026-08-24 19:21:10,37.07,233.75
10,1.523356204432188,0.4398896068928379,1385,1278,1531,25506,1571,1787,1375,24967,762,1334,2182,25422,838,1941,2119,24802,958,1313,1957,25472,1187,2020,1825,24668,1604,2090,1364,24642,1456,1657,1495,25092,1912,1417,1168,25203,1394,1796,1617,24893,1.512868322122592,0.43809904153354634,286,286,229,4199,345,401,155,4099,192,358,309,4141,103,324,402,4171,140,154,375,4331,281,575,225,3919,217,207,307,4269,182,114,300,4404,260,186,215,4339,184,205,293,4318,2026-08-24 19:21:48,37.07,233.75
