epoch,loss,accuracy,tp_0,fp_0,fn_0,tn_0,tp_1,fp_1,fn_1,tn_1,tp_2,fp_2,fn_2,tn_2,tp_3,fp_3,fn_3,tn_3,tp_4,fp_4,fn_4,tn_4,tp_5,fp_5,fn_5,tn_5,tp_6,fp_6,fn_6,tn_6,tp_7,fp_7,fn_7,tn_7,tp_8,fp_8,fn_8,tn_8,tp_9,fp_9,fn_9,tn_9,val_loss,val_accuracy,val_tp_0,val_fp_0,val_fn_0,val_tn_0,val_tp_1,val_fp_1,val_fn_1,val_tn_1,val_tp_2,val_fp_2,val_fn_2,val_tn_2,val_tp_3,val_fp_3,val_fn_3,val_tn_3,val_tp_4,val_fp_4,val_fn_4,val_tn_4,val_tp_5,val_fp_5,val_fn_5,val_tn_5,val_tp_6,val_fp_6,val_fn_6,val_tn_6,val_tp_7,val_fp_7,val_fn_7,val_tn_7,val_tp_8,val_fp_8,val_fn_8,val_tn_8,val_tp_9,val_fp_9,val_fn_9,val_tn_9,timestamp,epoch_time_sec,max_mem_mb
1,1.9983660364083196,0.23964628510487024,1370,3033,3120,37477,962,3299,3546,37193,378,1508,4107,39007,956,3821,3570,36653,957,2653,3513,37877,837,3464,3665,37034,1606,4769,2893,35732,907,3505,3604,36984,1587,3810,2932,36671,1224,4354,3266,36156,1.9115965461578612,0.2837460063897764,189,228,321,4262,86,353,406,4155,72,214,443,4271,200,738,274,3788,101,171,429,4299,5,23,493,4479,186,413,315,4086,96,237,393,4274,147,274,334,4245,335,932,175,3558,2026-08-24 21:20:43,54.74,233.75
2,1.8940671307312564,0.2835273729114824,1691,2845,2799,37665,1277,3248,3231,37244,566,1742,3919,38773,1011,3834,3515,36640,1137,2449,3333,38081,1147,3570,3355,36928,1601,3917,2898,36584,1154,3459,3357,37030,1780,3316,2739,37165,1394,3862,3096,36648,1.8646902889489365,0.29732428115015974,155,156,355,4334,243,630,249,3878,30,81,485,4404,49,201,425,4325,106,212,424,4258,148,426,350,4076,284,805,217,3694,113,296,376,4215,171,199,310,4320,186,509,324,3981,2026-08-24 21:21:38,54.77,233.75
3,1.8291139756493242,0.31232225382154283,1746,2623,2744,37887,1566,3457,2942,37035,743,1956,3742,38559,1069,3560,3457,36914,1160,2358,3310,38172,1303,3457,3199,37041,1724,3836,2775,36665,1274,3360,3237,37129,2034,2966,2485,37515,1437,3371,3053,37139,1.791839693301021,0.32008785942492013,192,250,318,4240,223,481,269,4027,65,181,450,4304,168,492,306,4034,187,390,343,4080,69,107,429,4395,165,414,336,4085,128,320,361,4191,216,291,265,4228,188,473,322,4017,2026-08-24 21:22:32,54.82,233.75
4,1.769948710761289,0.3406949875577675,1790,2365,2700,38145,1911,3366,2597,37126,853,2004,3632,38511,1162,3589,3364,36885,1329,2300,3141,38230,1381,3294,3121,37204,1772,3399,2727,37102,1428,3223,3083,37266,2206,3039,2313,37442,1500,3089,2990,37421,1.7300664731107962,0.35982428115015974,246,307,264,4183,234,304,258,4204,98,251,417,4234,186,603,288,3923,263,505,267,3965,113,251,385,4251,158,283,343,4216,142,231,347,4280,260,346,221,4173,100,119,410,4371,2026-08-24 21:23:27,54.78,233.75
5,1.6959764423041508,0.369645396373978,1896,2291,2594,38219,2128,3223,2380,37269,1051,2183,3434,38332,1327,3593,3199,36881,1320,2173,3150,38357,1422,3092,3080,37406,1969,3360,2530,37141,1581,2841,2930,37648,2321,2752,2198,37729,1617,2860,2873,37650,1.6880683152439495,0.365814696485623,146,110,364,4380,282,487,210,4021,73,111,442,4374,100,306,374,4220,154,207,376,4263,259,599,239,3903,303,624,198,3875,112,122,377,4389,318,471,163,4048,82,134,428,4356,2026-08-24 21:24:22,54.8,233.75
6,1.6517871904957986,0.3908638464273018,1967,2219,2523,38291,2232,3121,2276,37371,1142,2186,3343,38329,1269,3345,3257,37129,1369,2075,3101,38455,1604,3203,2898,37295,2073,3208,2426,37293,1734,2704,2777,37785,2446,2607,2073,37874,1752,2744,2738,37766,1.661227786502899,0.38378594249201275,203,200,307,4290,134,131,358,4377,91,188,424,4297,151,463,323,4063,95,96,435,4374,158,361,340,4141,276,496,225,4003,246,434,243,4077,306,352,175,4167,260,359,250,4131,2026-08-24 21:25:18,54.74,233.75
7,1.609063290655507,0.40672769285460364,2033,2222,2457,38288,2297,3059,2211,37433,1214,2215,3271,38300,1314,3205,3212,37269,1399,2048,3071,38482,1596,3037,2906,37461,2191,3260,2308,37241,1905,2633,2606,37856,2481,2434,2038,38047,1873,2584,2617,37926,1.5959809182550961,0.41373801916932906,278,351,232,4139,259,314,233,4194,105,144,410,4341,119,333,355,4193,102,88,428,4382,200,378,298,4124,275,429,226,4070,240,386,249,4125,255,233,226,4286,237,274,273,4216,2026-08-24 21:26:17,54.71,233.75
8,1.5708605183683761,0.42348027017419126,2102,2125,2388,38385,2415,2899,2093,37593,1249,2236,3236,38279,1365,3213,3161,37261,1467,2017,3003,38513,1681,2963,2821,37535,2310,3183,2189,37318,1958,2470,2553,38019,2584,2326,1935,38155,1927,2510,2563,38000,1.5555819617673612,0.4325079872204473,226,189,284,4301,204,195,288,4313,121,135,394,4350,90,249,384,4277,217,319,313,4151,253,470,245,4032,249,418,252,4081,160,114,329,4397,302,274,179,4245,342,473,168,4017,2026-08-24 21:27:12,54.86,233.75
9,1.540179937834253,0.43130110202630645,2130,2170,2360,38340,2480,2846,2028,37646,1312,2258,3173,38257,1335,3025,3191,37449,1452,2031,3018,38499,1769,2920,2733,37578,2335,3085,2164,37416,2039,2486,2472,38003,2638,2316,1881,38165,1919,2454,2571,38056,1.5386955429570743,0.4325079872204473,291,428,219,4062,264,237,228,4271,133,201,382,4284,168,423,306,4103,179,224,351,4246,94,107,404,4395,325,630,176,3869,213,219,276,4292,282,207,199,4312,213,162,297,4328,2026-08-24 21:28:07,54.84,233.75
10,1.5209380752710613,0.4438544258798436,2168,2034,2322,38476,2561,2716,1947,37776,1311,2204,3174,38311,1340,3071,3186,37403,1565,2056,2905,38474,1799,2980,2703,37518,2442,2997,2057,37504,2010,2352,2501,38137,2719,2223,1800,38258,2058,2394,2432,38116,1.5358608643086955,0.43390575079872207,178,113,332,4377,188,137,304,4371,180,380,335,4105,119,266,355,4260,226,329,304,4141,253,545,245,3957,210,242,291,4257,167,109,322,4402,345,386,136,4133,304,323,206,4167,2026-08-24 21:29:02,54.89,233.75
