epoch,loss,accuracy,tp_0,fp_0,fn_0,tn_0,tp_1,fp_1,fn_1,tn_1,tp_2,fp_2,fn_2,tn_2,tp_3,fp_3,fn_3,tn_3,tp_4,fp_4,fn_4,tn_4,tp_5,fp_5,fn_5,tn_5,tp_6,fp_6,fn_6,tn_6,tp_7,fp_7,fn_7,tn_7,tp_8,fp_8,fn_8,tn_8,tp_9,fp_9,fn_9,tn_9,val_loss,val_accuracy,val_tp_0,val_fp_0,val_fn_0,val_tn_0,val_tp_1,val_fp_1,val_fn_1,val_tn_1,val_tp_2,val_fp_2,val_fn_2,val_tn_2,val_tp_3,val_fp_3,val_fn_3,val_tn_3,val_tp_4,val_fp_4,val_fn_4,val_tn_4,val_tp_5,val_fp_5,val_fn_5,val_tn_5,val_tp_6,val_fp_6,val_fn_6,val_tn_6,val_tp_7,val_fp_7,val_fn_7,val_tn_7,val_tp_8,val_fp_8,val_fn_8,val_tn_8,val_tp_9,val_fp_9,val_fn_9,val_tn_9,timestamp,epoch_time_sec,max_mem_mb
1,2.19654938079493,0.1670705438879914,704,2914,2286,23796,325,2076,2624,24675,154,946,2766,25834,299,1911,2667,24823,524,2420,2499,24257,307,1956,2628,24809,815,3372,2162,23351,301,2144,2691,24564,966,3665,1989,23080,566,3335,2427,23372,2.1834400983664173,0.1757188498402556,76,174,412,4338,30,166,463,4341,2,6,513,4479,112,716,387,3785,188,729,265,3818,52,290,453,4205,12,63,514,4411,12,75,500,4413,79,147,418,4356,315,1756,197,2732,2026-08-25 04:01:51,37.72,233.75
2,2.140962839832727,0.1890145395799677,805,2429,2185,24281,531,2798,2418,23953,114,653,2806,26127,277,1673,2689,25061,486,1911,2537,24766,415,2509,2520,24256,965,3417,2012,23306,351,2156,2641,24552,1043,3322,1912,23423,629,3216,2364,23491,2.1236500500109248,0.19329073482428116,111,240,377,4272,9,62,484,4445,7,35,508,4450,0,0,499,4501,159,577,294,3970,285,1614,220,2881,19,95,507,4379,3,14,509,4474,223,715,274,3788,152,680,360,3808,2026-08-25 04:02:28,37.58,233.75
3,2.1138779212533625,0.20140010770059236,910,2733,2080,23977,543,2382,2406,24369,140,823,2780,25957,244,1427,2722,25307,501,1915,2522,24762,514,2637,2421,24128,963,3392,2014,23331,495,2333,2497,24375,990,2743,1965,24002,681,3334,2312,23373,2.0827381919367243,0.20666932907348243,140,326,348,4186,18,65,475,4442,23,142,492,4343,132,746,367,3755,1,35,452,4512,17,137,488,4358,319,1160,207,3314,19,104,493,4384,190,451,307,4052,176,799,336,3689,2026-08-25 04:03:06,37.63,233.75
4,2.0750472702258493,0.21748788368336025,929,2356,2061,24354,497,2200,2452,24551,135,839,2785,25941,536,2438,2430,24296,706,2158,2317,24519,579,2443,2356,24322,865,2751,2112,23972,473,2222,2519,24486,1056,2712,1899,24033,683,3122,2310,23585,2.117795292942669,0.19808306709265175,25,45,463,4467,6,42,487,4465,0,7,515,4478,22,86,477,4415,112,397,341,4150,301,1416,204,3079,111,385,415,4089,5,15,507,4473,104,214,393,4289,303,1404,209,3084,2026-08-25 04:03:44,37.72,233.75
5,2.0591867062502414,0.22859450726978997,867,2041,2123,24669,641,2465,2308,24286,207,912,2713,25868,474,2067,2492,24667,691,2057,2332,24620,740,2948,2195,23817,778,2507,2199,24216,505,2319,2487,24389,1098,2520,1857,24225,791,3072,2202,23635,2.0532446673122076,0.22823482428115016,209,562,279,3950,61,247,432,4260,13,38,502,4447,224,928,275,3573,158,548,295,3999,0,0,505,4495,45,96,481,4378,103,400,409,4088,98,177,399,4326,230,863,282,3625,2026-08-25 04:04:22,37.6,233.75
6,2.061359057647282,0.2289310716208939,799,1879,2191,24831,685,2718,2264,24033,168,810,2752,25970,679,2761,2287,23973,701,2081,2322,24596,504,2069,2431,24696,838,2512,2139,24211,515,2287,2477,24421,1118,2627,1837,24118,789,3160,2204,23547,2.053549277515838,0.21904952076677317,124,269,364,4243,199,907,294,3600,72,327,443,4158,57,262,442,4239,127,380,326,4167,33,154,472,4341,83,195,443,4279,70,248,442,4240,151,295,346,4208,180,867,332,3621,2026-08-25 04:05:00,37.73,233.75
7,2.017261025657818,0.2388597199784599,884,1962,2106,24748,653,2413,2296,24338,244,1017,2676,25763,746,2846,2220,23888,686,2107,2337,24570,577,2095,2358,24670,824,2585,2153,24138,532,2127,2460,24581,1055,2335,1900,24410,893,3119,2100,23588,2.0492767834434873,0.22843450479233227,177,397,311,4115,135,544,358,3963,26,92,489,4393,130,378,369,4123,173,620,280,3927,5,8,500,4487,87,249,439,4225,92,335,420,4153,136,443,361,4060,181,792,331,3696,2026-08-25 04:05:37,37.72,233.75
8,2.0078326364839727,0.24347065158858375,918,1952,2072,24758,763,2542,2186,24209,234,1011,2686,25769,703,2856,2263,23878,774,2331,2249,24346,551,1944,2384,24821,817,2474,2160,24249,591,2189,2401,24519,1085,2463,1870,24282,798,2704,2195,24003,2.0093382006636062,0.25299520766773165,105,134,383,4378,180,571,313,3936,24,93,491,4392,162,654,337,3847,172,668,281,3879,75,270,430,4225,150,387,376,4087,84,250,428,4238,209,392,288,4111,105,315,407,4173,2026-08-25 04:06:15,37.68,233.75
9,1.9883118471151793,0.2543080236941303,965,2042,2025,24668,873,2918,2076,23833,224,922,2696,25858,832,2895,2134,23839,787,2308,2236,24369,503,1696,2432,25069,905,2560,2072,24163,630,2175,2362,24533,1112,2337,1843,24408,722,2294,2271,24413,2.0101187362457615,0.2362220447284345,129,217,359,4295,200,718,293,3789,9,34,506,4451,118,485,381,4016,139,494,314,4053,72,228,433,4267,158,482,368,3992,89,324,423,4164,115,189,382,4314,153,647,359,3841,2026-08-25 04:06:53,37.64,233.75
10,1.9771651745356085,0.2632269789983845,991,2007,1999,24703,852,2710,2097,24041,234,923,2686,25857,804,2841,2162,23893,783,2154,2240,24523,544,1816,2391,24949,998,2608,1979,24115,683,2112,2309,24596,1157,2383,1798,24362,772,2328,2221,24379,1.9580444253671665,0.26517571884984026,151,299,337,4213,171,543,322,3964,36,127,479,4358,121,507,378,3994,162,472,291,4075,109,454,396,4041,169,398,357,4076,91,201,421,4287,225,425,272,4078,91,248,421,4240,2026-08-25 04:07:31,37.63,233.75
