epoch,loss,accuracy,tp_0,fp_0,fn_0,tn_0,tp_1,fp_1,fn_1,tn_1,val_loss,val_accuracy,val_tp_0,val_fp_0,val_fn_0,val_tn_0,val_tp_1,val_fp_1,val_fn_1,val_tn_1,timestamp,epoch_time_sec,max_mem_mb
1,0.1705835156840885,0.9431232242449753,14536,1091,239,7523,7523,239,1091,14536,0.09898584829982716,0.9648279352226721,2523,115,24,1275,1275,24,115,2523,2026-08-27 04:18:48,227.45,550.62
2,0.11662141668782908,0.9604368357360833,14515,665,260,7949,7949,260,665,14515,0.12136082158156251,0.9602732793522267,2534,144,13,1246,1246,13,144,2534,2026-08-27 04:21:08,227.21,550.62
epoch,loss,accuracy,tp_0,fp_0,fn_0,tn_0,tp_1,fp_1,fn_1,tn_1,val_loss,val_accuracy,val_tp_0,val_fp_0,val_fn_0,val_tn_0,val_tp_1,val_fp_1,val_fn_1,val_tn_1,timestamp,epoch_time_sec,max_mem_mb
1,0.1763282109739287,0.9403872461328001,14494,1113,281,7501,7501,281,1113,14494,0.1121473272928689,0.9615384615384616,2489,94,58,1296,1296,58,94,2489,2026-08-27 04:21:55,232.43,550.62
2,0.1430268986053477,0.9535113911396401,14526,838,249,7776,7776,249,838,14526,0.1580262577787102,0.9466093117408907,2535,199,12,1191,1191,12,199,2535,2026-08-27 04:22:45,234.59,550.62
3,0.10885020744812926,0.9643895348837209,14536,594,239,8020,8020,239,594,14536,0.1086996265796394,0.9633097165991903,2515,113,32,1277,1277,32,113,2515,2026-08-27 04:25:02,234.12,550.62
2,0.11642714816183183,0.9613871935178364,14544,672,231,7942,7942,231,672,14544,0.12446818540724906,0.9569838056680162,2452,75,95,1315,1315,95,75,2452,2026-08-27 04:25:49,234.02,550.62
3,0.12347902935609813,0.9582763337893296,14515,716,260,7898,7898,260,716,14515,0.170496958217429,0.944331983805668,2539,212,8,1178,1178,8,212,2539,2026-08-27 04:26:39,233.95,550.62
4,0.15193727774640783,0.9493646743133747,14528,937,247,7677,7677,247,937,14528,0.14008981314005126,0.9542004048582996,2522,156,25,1234,1234,25,156,2522,2026-08-27 04:28:56,233.89,550.62
3,0.11812559429940891,0.9619100547195623,14549,665,226,7949,7949,226,665,14549,0.11415379049505299,0.9628036437246964,2505,105,42,1285,1285,42,105,2505,2026-08-27 04:29:43,234.1,550.62
4,0.1403019730440913,0.953531121751026,14526,838,249,7776,7776,249,838,14526,0.10838001393449119,0.9643218623481782,2509,103,38,1287,1287,38,103,2509,2026-08-27 04:30:34,234.49,550.62
5,0.13996012507754388,0.9521631326949385,14552,896,223,7718,7718,223,896,14552,0.1038890465385156,0.9673582995951417,2516,98,31,1292,1292,31,98,2516,2026-08-27 04:32:51,234.72,550.62
4,0.14242694716025958,0.9519822687572346,14508,856,267,7758,7758,267,856,14508,0.12379902788449215,0.9600202429149798,2498,109,49,1281,1281,49,109,2498,2026-08-27 04:33:38,234.46,550.62
5,0.09819705421745231,0.9690064979480164,14565,515,210,8099,8099,210,515,14565,0.08742898604398978,0.9703947368421053,2488,58,59,1332,1332,59,58,2488,2026-08-27 04:34:28,234.4,550.62
6,0.10815191980814128,0.9639949226560034,14535,602,240,8012,8012,240,602,14535,0.10427668609426391,0.9617914979757085,2457,61,90,1329,1329,90,61,2457,2026-08-27 04:36:44,233.2,550.62
5,0.13389232639406798,0.9531595285699253,14488,808,287,7806,7806,287,808,14488,0.20801274695618432,0.9258603238866396,2318,64,229,1326,1326,229,64,2318,2026-08-27 04:37:31,233.08,550.62
6,0.11370190160467497,0.9633635430916553,14546,628,229,7986,7986,229,628,14546,0.17052398444066647,0.9385121457489879,2533,229,14,1161,1161,14,229,2533,2026-08-27 04:38:21,233.15,550.62
7,0.09962650599276963,0.9662705198358413,14543,557,232,8057,8057,232,557,14543,0.0957896097182383,0.9698886639676113,2489,61,58,1329,1329,58,61,2489,2026-08-27 04:40:38,233.89,550.62
6,0.1316435518287563,0.9553266073871409,14514,784,261,7830,7830,261,784,14514,0.10923394151899195,0.9640688259109311,2511,106,36,1284,1284,36,106,2511,2026-08-27 04:41:24,233.6,550.62
7,0.17564682896655415,0.941219220246238,14527,1127,248,7487,7487,248,1127,14527,0.14274556288940582,0.9542004048582996,2510,144,37,1246,1246,37,144,2510,2026-08-27 04:42:14,232.88,550.62
8,0.10285428646933122,0.9649255498263706,14523,568,252,8046,8046,252,568,14523,0.08162996227577751,0.9741902834008097,2505,60,42,1330,1330,42,60,2505,2026-08-27 04:44:32,233.58,550.62
7,0.11194837767909194,0.9639192886456909,14549,618,226,7996,7996,226,618,14549,0.1158288460345524,0.9615384615384616,2507,112,40,1278,1278,40,112,2507,2026-08-27 04:45:19,233.88,550.62
8,0.18432545722124616,0.9375657687046196,14538,1223,237,7391,7391,237,1223,14538,0.16588247240132648,0.9397773279352226,2535,226,12,1164,1164,12,226,2535,2026-08-27 04:46:08,234.07,550.62
9,0.08590833913853708,0.9719036093865095,14556,438,219,8176,8176,219,438,14556,0.11588985544180701,0.9602732793522267,2432,42,115,1348,1348,115,42,2432,2026-08-27 04:48:25,233.36,550.62
8,0.13595497032080264,0.9533403925076291,14499,815,276,7799,7799,276,815,14499,0.151816902561528,0.9438259109311741,2540,215,7,1175,1175,7,215,2540,2026-08-27 04:49:12,233.29,550.62
9,0.1552522253170584,0.9465103125328843,14511,987,264,7627,7627,264,987,14511,0.1319410623907138,0.9549595141700404,2520,151,27,1239,1239,27,151,2520,2026-08-27 04:50:03,234.32,550.62
10,0.08366997795195093,0.9726829685362517,14554,418,221,8196,8196,221,418,14554,0.09827231836452446,0.9645748987854251,2441,34,106,1356,1356,106,34,2441,2026-08-27 04:52:20,234.81,550.62
9,0.13290406735620314,0.9563427338735137,14534,780,241,7834,7834,241,780,14534,0.12256954688586386,0.9592611336032388,2447,61,100,1329,1329,100,61,2447,2026-08-27 04:53:07,234.87,550.62
10,0.13645120512769926,0.9542907502893823,14525,819,250,7795,7795,250,819,14525,0.15292229859520368,0.9405364372469636,2542,230,5,1160,1160,5,230,2542,2026-08-27 04:53:58,234.98,550.62
11,0.0887353364781925,0.9696904924760602,14514,448,261,8166,8166,261,448,14514,0.08563232469937561,0.972165991902834,2493,56,54,1334,1334,54,56,2493,2026-08-27 04:56:14,233.84,550.62
10,0.11409786958664671,0.9623803009575923,14530,635,245,7979,7979,245,635,14530,0.10313827439724102,0.9660931174089069,2499,86,48,1304,1304,48,86,2499,2026-08-27 04:57:01,234.06,550.62
11,0.12799176845649224,0.9571220930232558,14507,735,268,7879,7879,268,735,14507,0.11805152157246161,0.9633097165991903,2526,124,21,1266,1266,21,124,2526,2026-08-27 04:57:52,233.95,550.62
12,0.07831054320320023,0.9732288487845944,14558,409,217,8205,8205,217,409,14558,0.07462217895736398,0.9746963562753036,2514,67,33,1323,1323,33,67,2514,2026-08-27 05:00:08,234.48,550.62
