epoch,loss,accuracy,tp_0,fp_0,fn_0,tn_0,tp_1,fp_1,fn_1,tn_1,val_loss,val_accuracy,val_tp_0,val_fp_0,val_fn_0,val_tn_0,val_tp_1,val_fp_1,val_fn_1,val_tn_1,timestamp,epoch_time_sec,max_mem_mb
1,0.16094217255530757,0.9460778781038375,22067,1507,404,11460,11460,404,1507,22067,0.12847701443909754,0.9564777327935222,2505,130,42,1260,1260,42,130,2505,2026-08-27 14:19:46,119.94,550.62
2,0.13508154464797295,0.9555022573363431,22081,1187,390,11780,11780,390,1187,22081,0.13786553663648438,0.9509109311740891,2544,191,3,1199,1199,3,191,2544,2026-08-27 14:21:46,120.68,550.62
3,0.10664200674580583,0.9660794904869398,22138,869,333,12098,12098,333,869,22138,0.1139735417567318,0.9696356275303644,2513,86,34,1304,1304,34,86,2513,2026-08-27 14:23:47,120.66,550.62
4,0.16366955654382387,0.9462471783295711,22075,1509,396,11458,11458,396,1509,22075,0.20120154827199727,0.9311740890688259,2502,227,45,1163,1163,45,227,2502,2026-08-27 14:25:48,120.73,550.62
5,0.16882391206512298,0.9404345372460496,22061,1701,410,11266,11266,410,1701,22061,0.15789881253780924,0.944585020242915,2414,86,133,1304,1304,133,86,2414,2026-08-27 14:27:49,121.22,550.62
6,0.1732204320708092,0.9410270880361173,22040,1659,431,11308,11308,431,1659,22040,0.2528184135048556,0.9263663967611336,2543,287,4,1103,1103,4,287,2543,2026-08-27 14:29:50,120.98,550.62
7,0.16380306899455074,0.9450016123831023,22087,1565,384,11402,11402,384,1565,22087,0.14740171268095,0.9519230769230769,2480,123,67,1267,1267,67,123,2480,2026-08-27 14:31:51,121.01,550.62
8,0.143883677217773,0.95,22026,1327,445,11640,11640,445,1327,22026,0.13332479864901858,0.9483805668016194,2518,175,29,1215,1215,29,175,2518,2026-08-27 14:33:52,121.13,550.62
9,0.14322207362073605,0.9508424701709126,22038,1309,433,11658,11658,433,1309,22038,0.14782235183967993,0.9458502024291497,2505,172,42,1218,1218,42,172,2505,2026-08-27 14:35:53,121.09,550.62
10,0.19072603711849984,0.9349040632054176,22193,2029,278,10938,10938,278,2029,22193,0.15533607947802255,0.9468623481781376,2512,175,35,1215,1215,35,175,2512,2026-08-27 14:37:54,120.95,550.62
