epoch,loss,accuracy,tp_0,fp_0,fn_0,tn_0,tp_1,fp_1,fn_1,tn_1,tp_2,fp_2,fn_2,tn_2,tp_3,fp_3,fn_3,tn_3,tp_4,fp_4,fn_4,tn_4,tp_5,fp_5,fn_5,tn_5,tp_6,fp_6,fn_6,tn_6,tp_7,fp_7,fn_7,tn_7,tp_8,fp_8,fn_8,tn_8,tp_9,fp_9,fn_9,tn_9,val_loss,val_accuracy,val_tp_0,val_fp_0,val_fn_0,val_tn_0,val_tp_1,val_fp_1,val_fn_1,val_tn_1,val_tp_2,val_fp_2,val_fn_2,val_tn_2,val_tp_3,val_fp_3,val_fn_3,val_tn_3,val_tp_4,val_fp_4,val_fn_4,val_tn_4,val_tp_5,val_fp_5,val_fn_5,val_tn_5,val_tp_6,val_fp_6,val_fn_6,val_tn_6,val_tp_7,val_fp_7,val_fn_7,val_tn_7,val_tp_8,val_fp_8,val_fn_8,val_tn_8,val_tp_9,val_fp_9,val_fn_9,val_tn_9,timestamp,epoch_time_sec,max_mem_mb
1,0.376342399070901,0.44749596122778673,1384,1442,1532,25342,1844,1872,1102,24882,452,760,2492,25996,536,951,2421,25792,914,1621,2001,25164,1321,2145,1691,24543,1922,2478,1046,24254,1576,1762,1375,24987,1838,1911,1242,24709,1503,1468,1508,25221,0.3202368422819022,0.5351437699680511,327,317,188,4168,387,223,113,4277,195,268,306,4231,112,160,393,4335,191,155,324,4330,265,341,241,4153,312,183,212,4293,319,231,163,4287,332,337,143,4188,236,109,241,4414,2026-08-25 05:29:19,14.52,106.29
2,0.2856809656122197,0.5959208400646203,1715,1105,1201,25679,2226,958,720,25796,1118,1171,1826,25585,1021,1259,1936,25484,1328,1179,1587,25606,1676,1686,1336,25002,2184,1359,784,25373,2004,1123,947,25626,2313,1098,767,25522,2112,1065,899,25624,0.270049214791566,0.6088258785942492,292,112,223,4373,369,73,131,4427,249,275,252,4224,145,204,360,4291,244,161,271,4324,332,452,174,4042,360,155,164,4321,337,168,145,4350,376,257,99,4268,339,100,138,4423,2026-08-25 05:29:33,14.22,106.29
3,0.24766312532756812,0.6540455035002692,1928,909,988,25875,2385,752,561,26002,1392,1181,1552,25575,1178,1262,1779,25481,1640,1164,1275,25621,1744,1374,1268,25314,2260,1084,708,25648,2110,887,841,25862,2433,818,647,25802,2351,848,660,25841,0.25120948616879435,0.6389776357827476,368,164,147,4321,385,101,115,4399,182,91,319,4408,114,111,391,4384,323,259,192,4226,308,288,198,4206,391,207,133,4269,341,159,141,4359,365,157,110,4368,420,266,57,4257,2026-08-25 05:29:47,14.31,106.29
4,0.22147369320169855,0.6929523424878837,2070,843,846,25941,2454,553,492,26201,1558,1127,1386,25629,1382,1196,1575,25547,1770,1073,1145,25712,1845,1264,1167,25424,2324,868,644,25864,2221,779,730,25970,2531,698,549,25922,2425,719,586,25970,0.24153910260707045,0.6609424920127795,326,90,189,4395,373,39,127,4461,309,304,192,4195,232,302,273,4193,282,147,233,4338,279,217,227,4277,343,102,181,4374,367,193,115,4325,375,137,100,4388,418,165,59,4358,2026-08-25 05:30:02,14.32,106.29
5,0.20108288186705106,0.7273155627355951,2172,777,744,26007,2543,469,403,26285,1728,1057,1216,25699,1524,1155,1433,25588,1913,935,1002,25850,1932,1102,1080,25586,2373,776,595,25956,2292,656,659,26093,2594,579,486,26041,2536,587,475,26102,0.2257790020146309,0.6849041533546326,367,125,148,4360,408,76,92,4424,283,191,218,4308,201,181,304,4314,352,254,163,4231,290,173,216,4321,381,134,143,4342,380,199,102,4319,380,138,95,4387,384,103,93,4420,2026-08-25 05:30:16,14.17,106.29
6,0.18441665921847733,0.753769520732364,2257,662,659,26122,2596,371,350,26383,1805,923,1139,25833,1651,1084,1306,25659,2029,926,886,25859,2036,1005,976,25683,2402,725,566,26007,2365,619,586,26130,2664,478,416,26142,2582,520,429,26169,0.21913640191570258,0.6982827476038339,400,147,115,4338,375,35,125,4465,290,147,211,4352,267,281,238,4214,322,159,193,4326,296,199,210,4295,395,122,129,4354,373,171,109,4347,369,102,106,4423,405,145,72,4378,2026-08-25 05:30:30,14.36,106.29
7,0.16925440400269126,0.7773626817447497,2311,591,605,26193,2647,341,299,26413,1917,903,1027,25853,1776,1028,1181,25715,2115,829,800,25956,2096,914,916,25774,2473,600,495,26132,2414,535,537,26214,2708,428,372,26192,2631,443,380,26246,0.22050172121475298,0.693091054313099,352,100,163,4385,385,44,115,4456,306,221,195,4278,237,239,268,4256,303,116,212,4369,319,244,187,4250,411,166,113,4310,347,117,135,4401,411,193,64,4332,394,95,83,4428,2026-08-25 05:30:45,14.55,106.29
8,0.15355289744200185,0.8040522347872914,2398,521,518,26263,2701,266,245,26488,2005,770,939,25986,1901,943,1056,25800,2213,742,702,26043,2217,827,795,25861,2509,529,459,26203,2484,477,467,26272,2761,360,319,26260,2689,387,322,26302,0.21813281962332634,0.7024760383386581,397,141,118,4344,424,110,76,4390,307,224,194,4275,278,285,227,4210,323,135,192,4350,289,156,217,4338,384,132,140,4344,335,80,147,4438,396,150,79,4375,377,77,100,4446,2026-08-25 05:30:59,14.41,106.29
9,0.1399297584981673,0.8255586968228326,2451,458,465,26326,2723,212,223,26542,2096,715,848,26041,2023,868,934,25875,2286,647,629,26138,2286,724,726,25964,2588,484,380,26248,2529,423,422,26326,2792,338,288,26282,2746,311,265,26378,0.22685722309274794,0.6958865814696485,386,123,129,4362,385,61,115,4439,242,76,259,4423,244,245,261,4250,352,231,163,4254,318,227,188,4267,388,134,136,4342,375,180,107,4338,373,104,102,4421,415,141,62,4382,2026-08-25 05:31:14,14.17,106.29
10,0.1253498673868327,0.8500942380183091,2534,392,382,26392,2746,176,200,26578,2200,622,744,26134,2140,756,817,25987,2389,560,526,26225,2386,657,626,26031,2617,415,351,26317,2588,344,363,26405,2855,267,225,26353,2791,265,220,26424,0.22530542346782767,0.702076677316294,402,155,113,4330,406,84,94,4416,334,264,167,4235,232,195,273,4300,337,177,178,4308,311,208,195,4286,380,117,144,4359,350,102,132,4416,375,103,100,4422,382,86,95,4437,2026-08-25 05:31:28,14.34,106.29
11,0.11362776832778446,0.8677302100161551,2565,372,351,26412,2765,164,181,26590,2302,572,642,26184,2262,650,695,26093,2445,487,470,26298,2486,556,526,26132,2650,346,318,26386,2615,301,336,26448,2876,239,204,26381,2807,240,204,26449,0.2309173325094552,0.6998801916932907,335,59,180,4426,405,63,95,4437,324,218,177,4281,285,328,220,4167,323,152,192,4333,288,197,218,4297,404,138,120,4338,324,72,158,4446,402,156,73,4369,409,118,68,4405,2026-08-25 05:31:42,14.36,106.29
12,0.10145881316410432,0.8867124394184168,2635,289,281,26495,2792,145,154,26609,2373,515,571,26241,2382,602,575,26141,2507,434,408,26351,2540,483,472,26205,2685,273,283,26459,2670,246,281,26503,2915,197,165,26423,2835,182,176,26507,0.23234501978555044,0.6970846645367412,397,160,118,4325,404,88,96,4412,280,145,221,4354,222,226,283,4269,315,135,200,4350,338,257,168,4237,430,192,94,4284,355,117,127,4401,370,112,105,4413,375,82,102,4441,2026-08-25 05:31:56,14.22,106.29
13,0.08973298122450372,0.9026655896607432,2637,256,279,26528,2823,102,123,26652,2465,431,479,26325,2467,501,490,26242,2605,354,310,26431,2609,422,403,26266,2724,279,244,26453,2684,219,267,26530,2916,173,164,26447,2878,155,133,26534,0.24073395374626777,0.6865015974440895,357,116,158,4369,379,59,121,4441,303,182,198,4317,259,304,246,4191,330,196,185,4289,303,222,203,4272,372,110,152,4366,360,145,122,4373,380,129,95,4396,388,106,89,4417,2026-08-25 05:32:11,14.47,106.29
14,0.0786051530228987,0.9187197092084006,2705,225,211,26559,2834,90,112,26664,2547,370,397,26386,2565,418,392,26325,2645,319,270,26466,2673,323,339,26365,2753,201,215,26531,2729,182,222,26567,2944,146,136,26474,2890,141,121,26548,0.23950603509101623,0.6908945686900958,417,205,98,4280,406,88,94,4412,299,226,202,4273,198,196,307,4299,325,174,190,4311,310,211,196,4283,416,151,108,4325,341,102,141,4416,368,121,107,4404,374,72,103,4451,2026-08-25 05:32:25,14.27,106.29
15,0.06933538288461806,0.9296917070543887,2728,195,188,26589,2843,81,103,26673,2607,303,337,26453,2613,373,344,26370,2697,228,218,26557,2731,306,281,26382,2786,192,182,26540,2745,136,206,26613,2964,141,116,26479,2900,131,111,26558,0.24508499042294657,0.6861022364217252,403,180,112,4305,402,93,98,4407,304,223,197,4276,228,237,277,4258,314,165,201,4320,302,225,204,4269,383,131,141,4345,355,134,127,4384,369,104,106,4421,372,76,105,4447,2026-08-25 05:32:39,14.23,106.29
16,0.060267256419001346,0.9403944534194938,2747,158,169,26626,2865,69,81,26685,2649,268,295,26488,2684,311,273,26432,2720,199,195,26586,2770,256,242,26432,2810,165,158,26567,2777,125,174,26624,2989,112,91,26508,2921,105,90,26584,0.24722441068044104,0.6807108626198083,390,166,125,4319,395,66,105,4434,298,217,203,4282,241,270,264,4225,348,230,167,4255,257,175,249,4319,397,153,127,4323,341,116,141,4402,368,123,107,4402,368,81,109,4442,2026-08-25 05:32:54,14.3,106.29
17,0.05259423207754433,0.9487412493268713,2770,161,146,26623,2866,65,80,26689,2713,214,231,26542,2727,252,230,26491,2746,177,169,26608,2825,197,187,26491,2840,136,128,26596,2803,120,148,26629,2969,112,111,26508,2918,89,93,26600,0.25546519937939915,0.6759185303514377,358,118,157,4367,395,68,105,4432,322,288,179,4211,227,259,278,4236,305,170,210,4315,278,189,228,4305,400,177,124,4299,333,116,149,4402,384,156,91,4369,378,79,99,4444,2026-08-25 05:33:08,14.47,106.29
18,0.04699967093424702,0.9562802907915994,2799,131,117,26653,2874,56,72,26698,2753,218,191,26538,2756,203,201,26540,2791,148,124,26637,2858,161,154,26527,2832,125,136,26607,2807,92,144,26657,3009,77,71,26543,2928,82,83,26607,0.25585421869834774,0.672923322683706,376,149,139,4336,393,62,107,4438,277,164,224,4335,253,326,252,4169,306,172,209,4313,306,298,200,4196,393,151,131,4325,338,135,144,4383,364,112,111,4413,361,64,116,4459,2026-08-25 05:33:23,14.38,106.29
