epoch,loss,accuracy,tp_0,fp_0,fn_0,tn_0,tp_1,fp_1,fn_1,tn_1,tp_2,fp_2,fn_2,tn_2,tp_3,fp_3,fn_3,tn_3,tp_4,fp_4,fn_4,tn_4,tp_5,fp_5,fn_5,tn_5,tp_6,fp_6,fn_6,tn_6,tp_7,fp_7,fn_7,tn_7,tp_8,fp_8,fn_8,tn_8,tp_9,fp_9,fn_9,tn_9,val_loss,val_accuracy,val_tp_0,val_fp_0,val_fn_0,val_tn_0,val_tp_1,val_fp_1,val_fn_1,val_tn_1,val_tp_2,val_fp_2,val_fn_2,val_tn_2,val_tp_3,val_fp_3,val_fn_3,val_tn_3,val_tp_4,val_fp_4,val_fn_4,val_tn_4,val_tp_5,val_fp_5,val_fn_5,val_tn_5,val_tp_6,val_fp_6,val_fn_6,val_tn_6,val_tp_7,val_fp_7,val_fn_7,val_tn_7,val_tp_8,val_fp_8,val_fn_8,val_tn_8,val_tp_9,val_fp_9,val_fn_9,val_tn_9,timestamp,epoch_time_sec,max_mem_mb
1,0.35320616778617986,0.4863357625311056,2432,2426,2080,38062,2960,2328,1547,38165,1165,1796,3320,38719,1117,2095,3384,38404,1652,2346,2895,38107,2018,2772,2477,37733,2900,2647,1574,37879,2583,2515,1905,37997,2728,2302,1775,38195,2330,1888,2158,38624,0.28370279121322756,0.5980431309904153,312,183,176,4329,354,143,139,4364,155,94,360,4391,190,223,309,4278,256,270,197,4277,243,178,262,4317,414,288,112,4186,358,255,154,4233,310,127,187,4376,396,251,116,4237,2026-08-22 08:54:57,21.09,106.29
2,0.2555112225932877,0.6428857092072521,3010,1489,1502,38999,3575,1183,932,39310,2141,1858,2344,38657,1728,1879,2773,38620,2510,1766,2037,38687,2516,2157,1979,38348,3355,1629,1119,38897,3158,1453,1330,39059,3485,1300,1018,39197,3452,1356,1036,39156,0.2406844243454857,0.6683306709265175,335,128,153,4384,405,113,88,4394,265,208,250,4277,230,221,269,4280,319,296,134,4251,312,250,193,4245,395,183,131,4291,305,68,207,4420,391,122,106,4381,383,71,129,4417,2026-08-22 08:55:18,20.99,106.29
3,0.2176648695756861,0.696676146462851,3245,1311,1267,39177,3793,845,714,39648,2510,1690,1975,38825,2097,1895,2404,38604,2891,1627,1656,38826,2689,1795,1806,38710,3473,1255,1001,39271,3338,1206,1150,39306,3666,1043,837,39454,3649,982,839,39530,0.21806063986243532,0.6954872204472844,350,145,138,4367,409,79,84,4428,290,215,225,4270,272,290,227,4211,285,113,168,4434,333,259,172,4236,397,102,129,4372,368,114,144,4374,412,148,85,4355,362,57,150,4431,2026-08-22 08:55:39,20.98,106.29
4,0.19592186939693032,0.7324475648773552,3407,1134,1105,39354,3876,693,631,39800,2725,1530,1760,38985,2398,1873,2103,38626,3149,1470,1398,38983,2829,1594,1666,38911,3542,1092,932,39434,3476,987,1012,39525,3787,810,716,39687,3772,856,716,39656,0.20019451385964981,0.72064696485623,361,134,127,4378,429,110,64,4397,311,190,204,4295,307,255,192,4246,328,176,125,4371,301,144,204,4351,414,110,112,4364,365,80,147,4408,387,102,110,4401,404,92,108,4396,2026-08-22 08:56:03,20.94,106.29
5,0.17782146378178276,0.7606647707074298,3567,1040,945,39448,3982,549,525,39944,2858,1378,1627,39137,2561,1739,1940,38760,3284,1260,1263,39193,2944,1478,1551,39027,3660,957,814,39569,3614,914,874,39598,3883,735,620,39762,3875,722,613,39790,0.19624311426957955,0.7306309904153354,340,90,148,4422,417,78,76,4429,326,191,189,4294,273,215,226,4286,333,149,120,4398,333,197,172,4298,412,104,114,4370,390,98,122,4390,437,166,60,4337,390,61,122,4427,2026-08-22 08:56:24,21.16,106.29
6,0.16446251136115383,0.7821942765730536,3620,939,892,39549,4024,475,483,40018,3050,1331,1435,39184,2758,1581,1743,38918,3386,1223,1161,39230,3065,1308,1430,39197,3734,838,740,39688,3672,813,816,39699,3959,620,544,39877,3929,675,559,39837,0.19622016376771104,0.7214456869009584,349,109,139,4403,408,49,85,4458,325,211,190,4274,225,180,274,4321,289,121,164,4426,364,259,141,4236,442,171,84,4303,367,77,145,4411,423,122,74,4381,416,93,96,4395,2026-08-22 08:56:45,20.86,106.29
7,0.1516366349006786,0.8049457874155705,3761,888,751,39600,4096,428,411,40065,3153,1191,1332,39324,2919,1413,1582,39086,3544,1076,1003,39377,3220,1200,1275,39305,3787,743,687,39783,3767,737,721,39775,3987,548,516,39949,3989,553,499,39959,0.1922211400069558,0.737220447284345,366,103,122,4409,416,58,77,4449,322,201,193,4284,282,238,217,4263,339,199,114,4348,330,162,175,4333,422,120,104,4354,380,86,132,4402,405,70,92,4433,424,77,88,4411,2026-08-22 08:57:06,20.89,106.29
8,0.1407220868696384,0.8217205830074653,3794,811,718,39677,4137,376,370,40117,3277,1072,1208,39443,3072,1403,1429,39096,3618,948,929,39505,3316,1080,1179,39425,3846,652,628,39874,3839,657,649,39855,4032,506,471,39991,4047,517,441,39995,0.1924137144019238,0.7382188498402555,353,82,135,4430,415,74,78,4433,316,178,199,4307,282,210,217,4291,328,170,125,4377,361,227,144,4268,412,99,114,4375,390,96,122,4392,414,78,83,4425,421,94,91,4394,2026-08-22 08:57:27,21.04,106.29
9,0.1301552329564694,0.8375177746178457,3881,734,631,39754,4166,351,341,40142,3373,1019,1112,39496,3201,1232,1300,39267,3724,880,823,39573,3427,967,1068,39538,3903,600,571,39926,3865,601,623,39911,4075,489,428,40008,4072,440,416,40072,0.19069493791094413,0.7412140575079872,328,63,160,4449,408,57,85,4450,340,212,175,4273,308,230,191,4271,319,150,134,4397,329,142,176,4353,433,120,93,4354,393,94,119,4394,427,137,70,4366,420,90,92,4398,2026-08-22 08:57:48,20.97,106.29
10,0.12134075535006406,0.8527595094205475,3940,647,572,39841,4193,317,314,40176,3455,933,1030,39582,3312,1152,1189,39347,3812,817,735,39636,3490,886,1005,39619,3960,556,514,39970,3961,536,527,39976,4126,387,377,40110,4126,394,362,40118,0.19084950362721953,0.7384185303514377,383,132,105,4380,410,67,83,4440,310,145,205,4340,315,261,184,4240,343,194,110,4353,314,128,191,4367,412,80,114,4394,387,113,125,4375,420,117,77,4386,399,70,113,4418,2026-08-22 08:58:09,21.13,106.29
