epoch,loss,accuracy,tp_0,fp_0,fn_0,tn_0,tp_1,fp_1,fn_1,tn_1,tp_2,fp_2,fn_2,tn_2,tp_3,fp_3,fn_3,tn_3,tp_4,fp_4,fn_4,tn_4,tp_5,fp_5,fn_5,tn_5,tp_6,fp_6,fn_6,tn_6,tp_7,fp_7,fn_7,tn_7,tp_8,fp_8,fn_8,tn_8,tp_9,fp_9,fn_9,tn_9,val_loss,val_accuracy,val_tp_0,val_fp_0,val_fn_0,val_tn_0,val_tp_1,val_fp_1,val_fn_1,val_tn_1,val_tp_2,val_fp_2,val_fn_2,val_tn_2,val_tp_3,val_fp_3,val_fn_3,val_tn_3,val_tp_4,val_fp_4,val_fn_4,val_tn_4,val_tp_5,val_fp_5,val_fn_5,val_tn_5,val_tp_6,val_fp_6,val_fn_6,val_tn_6,val_tp_7,val_fp_7,val_fn_7,val_tn_7,val_tp_8,val_fp_8,val_fn_8,val_tn_8,val_tp_9,val_fp_9,val_fn_9,val_tn_9,timestamp,epoch_time_sec,max_mem_mb
1,0.4102383043715308,0.3791397415185784,1112,1500,1804,25284,1592,2119,1354,24635,366,808,2578,25948,443,1049,2514,25694,739,1660,2176,25125,1256,2558,1756,24130,1678,2919,1290,23813,1148,1789,1803,24960,1675,2302,1405,24318,1253,1734,1758,24955,0.36188250065992433,0.4634584664536741,305,328,210,4157,362,431,138,4069,167,306,334,4193,108,220,397,4275,151,179,364,4306,253,348,253,4146,258,182,266,4294,260,291,222,4227,275,268,200,4257,177,131,300,4392,2026-08-25 07:25:29,14.88,106.29
2,0.3464051135522291,0.4865037695207324,1358,1295,1558,25489,1931,1514,1015,25240,774,1149,2170,25607,742,1463,2215,25280,929,1270,1986,25515,1453,2171,1559,24517,1922,1780,1046,24952,1652,1587,1299,25162,2032,1523,1048,25097,1656,1499,1355,25190,0.3262264329118851,0.5121805111821086,243,115,272,4370,305,133,195,4367,225,363,276,4136,98,207,407,4288,133,113,382,4372,310,503,196,3991,336,263,188,4213,297,265,185,4253,347,305,128,4220,267,172,210,4351,2026-08-25 07:25:44,14.76,106.29
3,0.3153959965924133,0.5374259558427571,1523,1148,1393,25636,2002,1307,944,25447,1036,1302,1908,25454,865,1389,2092,25354,1154,1289,1761,25496,1548,1863,1464,24825,1992,1523,976,25209,1771,1365,1180,25384,2156,1163,924,25457,1915,1389,1096,25300,0.3010924384235955,0.5621006389776357,340,253,175,4232,310,130,190,4370,148,132,353,4367,103,109,402,4386,267,242,248,4243,277,303,229,4191,361,244,163,4232,276,173,206,4345,337,189,138,4336,392,414,85,4109,2026-08-25 07:25:58,14.76,106.29
4,0.29519066589698395,0.5763664512654819,1681,1076,1235,25708,2134,1133,812,25621,1157,1356,1787,25400,1036,1390,1921,25353,1323,1238,1592,25547,1624,1648,1388,25040,2015,1322,953,25410,1853,1163,1098,25586,2261,1089,819,25531,2029,1172,982,25517,0.2784540600860462,0.6012380191693291,304,127,211,4358,340,85,160,4415,259,292,242,4207,168,237,337,4258,231,135,284,4350,271,279,235,4215,376,276,148,4200,329,184,153,4334,361,168,114,4357,368,210,109,4313,2026-08-25 07:26:13,15.01,106.29
5,0.2801970404542192,0.5971324717285945,1754,1098,1162,25686,2197,987,749,25767,1266,1357,1678,25399,1106,1364,1851,25379,1426,1155,1489,25630,1641,1593,1371,25095,2050,1285,918,25447,1891,1116,1060,25633,2285,927,795,25693,2123,1079,888,25610,0.26320093346479984,0.6275958466453674,322,113,193,4372,367,87,133,4413,259,237,242,4262,220,331,285,4164,255,134,260,4351,260,261,246,4233,373,189,151,4287,324,182,158,4336,389,209,86,4316,368,120,109,4403,2026-08-25 07:26:28,14.89,106.29
6,0.2701257848104098,0.6114028002154012,1795,1026,1121,25758,2197,921,749,25833,1331,1341,1613,25415,1177,1383,1780,25360,1478,1162,1437,25623,1719,1552,1293,25136,2063,1202,905,25530,1909,1038,1042,25711,2327,885,753,25735,2167,1027,844,25662,0.25494040358371245,0.6315894568690096,348,151,167,4334,355,70,145,4430,217,137,284,4362,245,321,260,4174,291,190,224,4295,277,214,229,4280,358,173,166,4303,300,126,182,4392,367,213,108,4312,401,246,76,4277,2026-08-25 07:26:43,14.78,106.29
7,0.26086778175657516,0.625774098007539,1839,1028,1077,25756,2276,857,670,25897,1386,1279,1558,25477,1220,1417,1737,25326,1548,1099,1367,25686,1699,1493,1313,25195,2104,1162,864,25570,1964,979,987,25770,2368,840,712,25780,2183,959,828,25730,0.2507630040327581,0.6439696485623003,324,125,191,4360,373,87,127,4413,245,178,256,4321,210,238,295,4257,282,166,233,4319,285,225,221,4269,385,165,139,4311,330,165,152,4353,404,254,71,4271,382,177,95,4346,2026-08-25 07:26:58,14.74,106.29
8,0.25287764240206734,0.6387991383952611,1921,995,995,25789,2316,781,630,25973,1455,1277,1489,25479,1244,1436,1713,25307,1577,1087,1338,25698,1735,1443,1277,25245,2121,1045,847,25687,1969,965,982,25784,2389,830,691,25790,2247,867,764,25822,0.2436322590794426,0.6515575079872205,352,151,163,4334,413,115,87,4385,208,134,293,4365,247,325,258,4170,299,191,216,4294,291,230,215,4264,375,166,149,4310,330,160,152,4358,363,153,112,4372,377,120,100,4403,2026-08-25 07:27:13,15.04,106.29
9,0.2454875937884189,0.6518914916532041,1963,933,953,25851,2350,752,596,26002,1507,1263,1437,25493,1294,1346,1663,25397,1616,1104,1299,25681,1757,1377,1255,25311,2170,1060,798,25672,2018,901,933,25848,2416,776,664,25844,2269,828,742,25861,0.24450592625255402,0.6505591054313099,359,140,156,4345,407,123,93,4377,211,114,290,4385,218,264,287,4231,330,241,185,4244,327,290,179,4204,311,92,213,4384,356,215,126,4303,344,100,131,4425,389,169,88,4354,2026-08-25 07:27:28,14.85,106.29
10,0.23853864632326233,0.6604738826063543,2003,885,913,25899,2358,735,588,26019,1551,1244,1393,25512,1331,1424,1626,25319,1643,1004,1272,25781,1792,1324,1220,25364,2182,1027,786,25705,2029,897,922,25852,2452,729,628,25891,2277,813,734,25876,0.23930695045965547,0.6579472843450479,368,176,147,4309,411,117,89,4383,332,383,169,4116,166,145,339,4350,321,212,194,4273,304,233,202,4261,372,144,152,4332,328,165,154,4353,348,79,127,4446,339,57,138,4466,2026-08-25 07:27:43,14.68,106.29
11,0.2346277961193488,0.6676427032848681,1992,910,924,25874,2401,646,545,26108,1592,1227,1352,25529,1362,1404,1595,25339,1692,1063,1223,25722,1768,1287,1244,25401,2196,995,772,25737,2044,875,907,25874,2437,695,643,25925,2344,770,667,25919,0.23294842552643613,0.669129392971246,354,113,161,4372,400,88,100,4412,321,308,180,4191,274,323,231,4172,267,109,248,4376,294,238,212,4256,355,115,169,4361,335,139,147,4379,389,122,86,4403,358,98,119,4425,2026-08-25 07:27:58,14.98,106.29
12,0.2302716209738243,0.6722872913301023,2029,859,887,25925,2382,647,564,26107,1576,1210,1368,25546,1381,1406,1576,25337,1738,1082,1177,25703,1824,1267,1188,25421,2173,981,795,25751,2064,851,887,25898,2463,678,617,25942,2333,756,678,25933,0.22456195105474216,0.6815095846645367,369,138,146,4347,386,66,114,4434,230,98,271,4401,213,223,292,4272,331,193,184,4292,350,277,156,4217,418,215,106,4261,333,128,149,4390,392,140,83,4385,385,115,92,4408,2026-08-25 07:28:13,14.87,106.29
13,0.22447832504073714,0.6820813139472267,2081,856,835,25928,2427,598,519,26156,1617,1222,1327,25534,1437,1379,1520,25364,1759,1004,1156,25781,1847,1237,1165,25451,2197,951,771,25781,2096,808,855,25941,2477,671,603,25949,2328,708,683,25981,0.22261371853919074,0.681908945686901,365,124,150,4361,400,88,100,4412,259,152,242,4347,311,398,194,4097,304,130,211,4355,277,153,229,4341,427,226,97,4250,309,90,173,4428,342,44,133,4481,416,185,61,4338,2026-08-25 07:28:28,15.07,106.29
14,0.21936239442383337,0.6902261712439418,2089,805,827,25979,2440,586,506,26168,1664,1146,1280,25610,1449,1355,1508,25388,1766,1037,1149,25748,1904,1220,1108,25468,2201,863,767,25869,2100,809,851,25940,2513,641,567,25979,2370,742,641,25947,0.22290764896633525,0.6807108626198083,377,134,138,4351,381,68,119,4432,245,126,256,4373,217,195,288,4300,361,248,154,4237,305,214,201,4280,410,189,114,4287,332,149,150,4369,381,120,94,4405,396,152,81,4371,2026-08-25 07:28:43,14.85,106.29
15,0.21505409345937532,0.6972267097469036,2108,836,808,25948,2470,558,476,26196,1690,1132,1254,25624,1529,1320,1428,25423,1803,1021,1112,25764,1884,1134,1128,25554,2232,827,736,25905,2092,830,859,25919,2504,624,576,25996,2398,708,613,25981,0.21682381161009542,0.6942891373801917,393,157,122,4328,449,112,51,4388,336,288,165,4211,288,285,217,4210,312,148,203,4337,264,151,242,4343,389,145,135,4331,316,89,166,4429,356,73,119,4452,368,81,109,4442,2026-08-25 07:28:58,14.95,106.29
16,0.2127868696329057,0.7001211631663974,2131,850,785,25934,2451,541,495,26213,1679,1094,1265,25662,1547,1382,1410,25361,1819,966,1096,25819,1890,1168,1122,25520,2229,829,739,25903,2133,787,818,25962,2514,618,566,26002,2403,669,608,26020,0.21231212209874448,0.7006789137380192,358,83,157,4402,390,47,110,4453,302,221,199,4278,258,213,247,4282,344,217,171,4268,304,177,202,4317,416,184,108,4292,351,149,131,4369,387,99,88,4426,391,109,86,4414,2026-08-25 07:29:13,14.83,106.29
17,0.20960481571586273,0.7036887452880991,2110,816,806,25968,2460,564,486,26190,1733,1108,1211,25648,1485,1306,1472,25437,1876,992,1039,25793,1904,1176,1108,25512,2230,866,738,25866,2157,769,794,25980,2532,589,548,26031,2415,612,596,26077,0.2056467630707037,0.7128594249201278,388,107,127,4378,411,77,89,4423,315,186,186,4313,220,173,285,4322,293,85,222,4400,385,329,121,4165,414,157,110,4319,338,98,144,4420,404,121,71,4404,398,101,79,4422,2026-08-25 07:29:28,14.87,106.29
18,0.20623949602824035,0.70890549273021,2139,789,777,25995,2460,518,486,26236,1747,1093,1197,25663,1528,1299,1429,25444,1874,967,1041,25818,1922,1134,1090,25554,2258,812,710,25920,2161,757,790,25992,2540,583,540,26037,2428,691,583,25998,0.20590591456848212,0.707667731629393,377,123,138,4362,409,60,91,4440,268,134,233,4365,281,279,224,4216,350,172,165,4313,331,214,175,4280,420,174,104,4302,344,117,138,4401,370,79,105,4446,389,109,88,4414,2026-08-25 07:29:43,14.92,106.29
19,0.2029809815308614,0.7147953688745288,2162,807,754,25977,2480,511,466,26243,1748,1060,1196,25696,1617,1298,1340,25445,1872,961,1043,25824,1891,1084,1121,25604,2315,804,653,25928,2181,719,770,26030,2540,571,540,26049,2426,653,585,26036,0.20356573002597395,0.7130591054313099,381,119,134,4366,438,95,62,4405,295,165,206,4334,292,282,213,4213,317,108,198,4377,293,167,213,4327,409,132,115,4344,372,193,110,4325,382,87,93,4438,387,86,90,4437,2026-08-25 07:29:57,14.79,106.29
20,0.19914701786624467,0.71832929456112,2141,792,775,25992,2493,505,453,26249,1777,1042,1167,25714,1578,1352,1379,25391,1914,910,1001,25875,1928,1037,1084,25651,2292,815,676,25917,2182,739,769,26010,2552,562,528,26058,2474,615,537,26074,0.19940554921905074,0.7130591054313099,392,131,123,4354,401,59,99,4441,291,126,210,4373,254,224,251,4271,382,237,133,4248,309,170,197,4324,409,168,115,4308,320,49,162,4469,416,177,59,4348,393,92,84,4431,2026-08-25 07:30:13,14.85,106.29
21,0.19651051699376967,0.7221324717285945,2181,753,735,26031,2496,486,450,26268,1762,1018,1182,25738,1631,1295,1326,25448,1949,961,966,25824,1906,1057,1106,25631,2305,795,663,25937,2197,741,754,26008,2575,565,505,26055,2442,585,569,26104,0.20618061440440413,0.7080670926517572,376,128,139,4357,429,100,71,4400,331,245,170,4254,279,275,226,4220,353,168,162,4317,308,177,198,4317,382,115,142,4361,342,95,140,4423,374,83,101,4442,368,72,109,4451,2026-08-25 07:30:28,14.87,106.29
22,0.19498632143326325,0.7236806677436726,2199,784,717,26000,2499,489,447,26265,1805,991,1139,25765,1613,1287,1344,25456,1943,893,972,25892,1914,1068,1098,25620,2336,808,632,25924,2196,700,755,26049,2559,549,521,26071,2432,635,579,26054,0.19734509608235223,0.7160543130990416,363,84,152,4401,414,81,86,4419,351,299,150,4200,211,137,294,4358,326,104,189,4381,364,256,142,4238,383,94,141,4382,346,108,136,4410,427,151,48,4374,394,107,83,4416,2026-08-25 07:30:43,14.93,106.29
