epoch,loss,accuracy,tp_0,fp_0,fn_0,tn_0,tp_1,fp_1,fn_1,tn_1,tp_2,fp_2,fn_2,tn_2,tp_3,fp_3,fn_3,tn_3,tp_4,fp_4,fn_4,tn_4,tp_5,fp_5,fn_5,tn_5,tp_6,fp_6,fn_6,tn_6,tp_7,fp_7,fn_7,tn_7,tp_8,fp_8,fn_8,tn_8,tp_9,fp_9,fn_9,tn_9,val_loss,val_accuracy,val_tp_0,val_fp_0,val_fn_0,val_tn_0,val_tp_1,val_fp_1,val_fn_1,val_tn_1,val_tp_2,val_fp_2,val_fn_2,val_tn_2,val_tp_3,val_fp_3,val_fn_3,val_tn_3,val_tp_4,val_fp_4,val_fn_4,val_tn_4,val_tp_5,val_fp_5,val_fn_5,val_tn_5,val_tp_6,val_fp_6,val_fn_6,val_tn_6,val_tp_7,val_fp_7,val_fn_7,val_tn_7,val_tp_8,val_fp_8,val_fn_8,val_tn_8,val_tp_9,val_fp_9,val_fn_9,val_tn_9,timestamp,epoch_time_sec,max_mem_mb
1,0.3903357635241914,0.41457074297902596,2025,2918,2465,37592,2502,2839,2006,37653,713,1142,3772,39373,843,1836,3683,38638,1441,2746,3029,37784,1903,3362,2599,37136,2580,3777,1919,36724,2174,2662,2337,37827,2456,2681,2063,37800,2020,2380,2470,38130,0.3314135529267521,0.5199680511182109,252,145,258,4345,309,222,183,4286,199,289,316,4196,218,430,256,4096,193,176,337,4294,173,187,325,4315,335,336,166,4163,267,187,222,4324,316,147,165,4372,337,282,173,4208,2026-08-25 08:15:39,21.73,106.29
2,0.3207097092409639,0.5321720583007465,2415,1830,2075,38680,3074,2003,1434,38489,1540,1947,2945,38568,1342,2235,3184,38239,1877,1964,2593,38566,2119,2745,2383,37753,2964,2409,1535,38092,2730,2069,1781,38420,3074,1907,1445,38574,2815,1941,1675,38569,0.29199289137753437,0.5742811501597445,283,141,227,4349,347,153,145,4355,176,161,339,4324,169,279,305,4247,218,159,312,4311,289,336,209,4166,391,432,110,4067,292,161,197,4350,374,172,107,4347,332,135,178,4355,2026-08-25 08:16:00,21.57,106.29
3,0.2911436433814151,0.5792303590472805,2638,1716,1852,38794,3252,1648,1256,38844,1916,1987,2569,38528,1540,2137,2986,38337,2095,1890,2375,38640,2322,2457,2180,38041,3087,2012,1412,38489,2877,1832,1634,38657,3265,1590,1254,38891,3073,1666,1417,38844,0.2666161905605191,0.6174121405750799,354,236,156,4254,377,171,115,4337,221,172,294,4313,176,219,298,4307,279,177,251,4293,275,202,223,4300,342,198,159,4301,322,183,167,4328,361,139,120,4380,382,214,128,4276,2026-08-25 08:16:22,21.8,106.29
4,0.27133638017115286,0.6088695343050124,2812,1703,1678,38807,3390,1320,1118,39172,2100,2035,2385,38480,1653,2151,2873,38323,2298,1751,2172,38779,2441,2274,2061,38224,3155,1811,1344,38690,2975,1617,1536,38872,3365,1407,1154,39074,3209,1533,1281,38977,0.26170860630826065,0.6224041533546326,309,151,201,4339,415,241,77,4267,247,217,268,4268,217,296,257,4230,315,221,215,4249,238,177,260,4325,353,193,148,4306,312,163,177,4348,403,169,78,4350,303,60,207,4430,2026-08-25 08:16:44,21.66,106.29
5,0.2576461226897565,0.6314655172413793,2909,1512,1581,38998,3472,1237,1036,39255,2276,1977,2209,38538,1856,2175,2670,38299,2423,1720,2047,38810,2483,2113,2019,38385,3182,1670,1317,38831,3026,1520,1485,38969,3465,1210,1054,39271,3325,1449,1165,39061,0.2524157596615176,0.6321884984025559,326,154,184,4336,408,195,84,4313,235,145,280,4340,187,213,287,4313,291,172,239,4298,360,372,138,4130,349,202,152,4297,319,110,170,4401,412,238,69,4281,275,37,235,4453,2026-08-25 08:17:05,21.61,106.29
6,0.24749732901892796,0.647307145396374,2994,1444,1496,39066,3541,1159,967,39333,2355,1886,2130,38629,1968,2201,2558,38273,2555,1684,1915,38846,2565,1980,1937,38518,3224,1599,1275,38902,3101,1447,1410,39042,3492,1184,1027,39297,3332,1289,1158,39221,0.2471899757512842,0.6473642172523961,302,74,208,4416,313,48,179,4460,252,154,263,4331,217,266,257,4260,321,190,209,4280,327,283,171,4219,381,237,120,4262,340,213,149,4298,367,75,114,4444,420,220,90,4270,2026-08-25 08:17:27,21.74,106.29
7,0.23836334561680797,0.6631265552790615,3054,1418,1436,39092,3589,1092,919,39400,2442,1769,2043,38746,2059,2159,2467,38315,2655,1609,1815,38921,2669,1906,1833,38592,3302,1507,1197,38994,3168,1371,1343,39118,3544,1126,975,39355,3361,1200,1129,39310,0.22659288872830785,0.680111821086262,362,141,148,4349,410,142,82,4366,242,111,273,4374,210,226,264,4300,308,111,222,4359,334,270,164,4232,366,152,135,4347,344,131,145,4380,384,105,97,4414,441,210,69,4280,2026-08-25 08:17:49,21.63,106.29
8,0.2315921154928682,0.6735024884464984,3113,1352,1377,39158,3657,998,851,39494,2509,1771,1976,38744,2110,2121,2416,38353,2715,1580,1755,38950,2686,1857,1816,38641,3322,1446,1177,39055,3208,1342,1303,39147,3566,1074,953,39407,3424,1149,1066,39361,0.22116178838304057,0.6876996805111821,346,105,164,4385,415,123,77,4385,340,260,175,4225,207,192,267,4334,327,152,203,4318,287,165,211,4337,414,275,87,4224,337,110,152,4401,379,78,102,4441,387,101,123,4389,2026-08-25 08:18:11,21.58,106.29
9,0.22410891232088373,0.6865668325630999,3148,1306,1342,39204,3713,962,795,39530,2535,1745,1950,38770,2244,2028,2282,38446,2779,1514,1691,39016,2758,1747,1744,38751,3391,1401,1108,39100,3191,1294,1320,39195,3618,1019,901,39462,3517,1090,973,39420,0.21421014715117007,0.6924920127795527,365,132,145,4358,401,93,91,4415,265,121,250,4364,203,204,271,4322,336,147,194,4323,343,277,155,4225,406,221,95,4278,378,206,111,4305,378,65,103,4454,387,72,123,4418,2026-08-25 08:18:32,21.65,106.29
10,0.21901041399084967,0.6915215072875933,3209,1287,1281,39223,3726,893,782,39599,2591,1653,1894,38862,2252,2062,2274,38412,2816,1513,1654,39017,2762,1788,1740,38710,3366,1376,1133,39125,3264,1267,1247,39222,3637,963,882,39518,3496,1079,994,39431,0.21082893078224346,0.7006789137380192,345,116,165,4374,414,83,78,4425,298,175,217,4310,208,170,266,4356,396,241,134,4229,297,170,201,4332,380,170,121,4329,321,81,168,4430,430,178,51,4341,414,113,96,4377,2026-08-25 08:18:54,21.61,106.29
