epoch,loss,accuracy,tp_0,fp_0,fn_0,tn_0,tp_1,fp_1,fn_1,tn_1,tp_2,fp_2,fn_2,tn_2,tp_3,fp_3,fn_3,tn_3,tp_4,fp_4,fn_4,tn_4,tp_5,fp_5,fn_5,tn_5,tp_6,fp_6,fn_6,tn_6,tp_7,fp_7,fn_7,tn_7,tp_8,fp_8,fn_8,tn_8,tp_9,fp_9,fn_9,tn_9,val_loss,val_accuracy,val_tp_0,val_fp_0,val_fn_0,val_tn_0,val_tp_1,val_fp_1,val_fn_1,val_tn_1,val_tp_2,val_fp_2,val_fn_2,val_tn_2,val_tp_3,val_fp_3,val_fn_3,val_tn_3,val_tp_4,val_fp_4,val_fn_4,val_tn_4,val_tp_5,val_fp_5,val_fn_5,val_tn_5,val_tp_6,val_fp_6,val_fn_6,val_tn_6,val_tp_7,val_fp_7,val_fn_7,val_tn_7,val_tp_8,val_fp_8,val_fn_8,val_tn_8,val_tp_9,val_fp_9,val_fn_9,val_tn_9,timestamp,epoch_time_sec,max_mem_mb
1,0.45504548592020505,0.2919695745826602,953,1988,2037,24722,1221,2534,1728,24217,305,908,2615,25872,565,1947,2401,24787,571,1642,2452,25035,814,2172,2121,24593,1179,2805,1798,23918,939,2335,2053,24373,1253,2710,1702,24035,872,1987,2121,24720,0.4164361333885132,0.3636182108626198,173,259,315,4253,254,354,239,4153,27,45,488,4440,211,676,288,3825,113,246,340,4301,160,336,345,4159,223,224,303,4250,205,348,307,4140,183,206,314,4297,269,488,243,4000,2026-08-25 11:02:54,17.07,106.29
2,0.4067429209596442,0.3808898761443188,1087,1595,1903,25115,1669,2266,1280,24485,420,881,2500,25899,745,1785,2221,24949,704,1342,2319,25335,1061,2191,1874,24574,1521,2521,1456,24202,1404,2053,1588,24655,1531,1957,1424,24788,1175,1792,1818,24915,0.3870457745017335,0.41833067092651754,245,343,243,4169,236,211,257,4296,56,120,459,4365,123,239,376,4262,165,318,288,4229,281,577,224,3918,300,428,226,4046,215,249,297,4239,250,207,247,4296,219,218,293,4270,2026-08-25 11:03:11,17.23,106.29
3,0.3821932906159548,0.4247778675282714,1262,1603,1728,25107,1665,1899,1284,24852,664,1114,2256,25666,688,1561,2278,25173,835,1280,2188,25397,1233,2170,1702,24595,1681,2185,1296,24538,1475,1781,1517,24927,1668,1664,1287,25081,1447,1825,1546,24882,0.3699071564899085,0.4426916932907348,213,263,275,4249,272,290,221,4217,108,136,407,4349,134,311,365,4190,142,215,311,4332,249,381,256,4114,310,290,216,4184,189,134,323,4354,281,272,216,4231,318,492,194,3996,2026-08-25 11:03:28,17.43,106.29
4,0.3640545164954617,0.45678513731825526,1434,1572,1556,25138,1727,1635,1222,25116,847,1317,2073,25463,675,1431,2291,25303,1022,1354,2001,25323,1262,2044,1673,24721,1710,2007,1267,24716,1532,1586,1460,25122,1754,1461,1201,25284,1603,1727,1390,24980,0.3502672331782576,0.4776357827476038,193,170,295,4342,325,305,168,4202,118,171,397,4314,130,230,369,4271,170,242,283,4305,256,368,249,4127,326,299,200,4175,261,229,251,4259,309,216,188,4287,301,381,211,4107,2026-08-25 11:03:46,17.3,106.29
5,0.3522600559261966,0.4756327409800754,1463,1436,1527,25274,1738,1479,1211,25272,910,1402,2010,25378,673,1350,2293,25384,1109,1414,1914,25263,1313,1990,1622,24775,1740,1869,1237,24854,1577,1513,1415,25195,1875,1449,1080,25296,1728,1672,1265,25035,0.34379414057198426,0.48722044728434505,286,288,202,4224,280,243,213,4264,147,168,368,4317,233,538,266,3963,185,294,268,4253,172,145,333,4350,312,289,214,4185,264,219,248,4269,271,164,226,4339,286,216,226,4272,2026-08-25 11:04:03,17.28,106.29
6,0.3411634107254241,0.4941437802907916,1572,1431,1418,25279,1867,1420,1082,25331,989,1445,1931,25335,798,1451,2168,25283,1088,1367,1935,25310,1245,1860,1690,24905,1812,1687,1165,25036,1669,1439,1323,25269,1881,1366,1074,25379,1755,1558,1238,25149,0.32603939991599074,0.5273562300319489,288,197,200,4315,338,271,155,4236,179,252,336,4233,149,243,350,4258,217,255,236,4292,323,465,182,4030,295,190,231,4284,234,105,278,4383,297,160,200,4343,314,228,198,4260,2026-08-25 11:04:21,17.32,106.29
7,0.3312612296306259,0.5154819601507808,1634,1378,1356,25332,1934,1316,1015,25435,1067,1426,1853,25354,825,1385,2141,25349,1209,1334,1814,25343,1376,1787,1559,24978,1888,1673,1089,25050,1653,1387,1339,25321,1914,1264,1041,25481,1810,1440,1183,25267,0.32437266880711807,0.5289536741214057,235,149,253,4363,326,217,167,4290,222,371,293,4114,184,267,315,4234,235,277,218,4270,194,161,311,4334,362,367,164,4107,263,160,249,4328,337,246,160,4257,288,139,224,4349,2026-08-25 11:04:38,17.43,106.29
8,0.32555056496547896,0.5201602046311254,1629,1337,1361,25373,1947,1248,1002,25503,1119,1410,1801,25370,889,1509,2077,25225,1256,1387,1767,25290,1329,1712,1606,25053,1849,1614,1128,25109,1719,1368,1273,25340,1933,1247,1022,25498,1782,1416,1211,25291,0.31927840268840424,0.5361421725239617,247,153,241,4359,278,114,215,4393,123,108,392,4377,175,233,324,4268,274,474,179,4073,269,297,236,4198,321,181,205,4293,302,263,210,4225,329,200,168,4303,363,296,149,4192,2026-08-25 11:04:55,17.16,106.29
9,0.3177672637186194,0.5360796984383414,1656,1336,1334,25374,1948,1201,1001,25550,1142,1380,1778,25400,919,1469,2047,25265,1367,1345,1656,25332,1385,1693,1550,25072,1893,1481,1084,25242,1783,1329,1209,25379,1964,1223,991,25522,1868,1318,1125,25389,0.3123825650912123,0.5413338658146964,313,331,175,4181,357,275,136,4232,141,109,374,4376,150,246,349,4255,243,250,210,4297,301,358,204,4137,338,261,188,4213,281,186,231,4302,284,113,213,4390,299,164,213,4324,2026-08-25 11:05:13,17.3,106.29
10,0.31181340950692155,0.5445274636510501,1700,1264,1290,25446,2029,1192,920,25559,1151,1383,1769,25397,901,1415,2065,25319,1392,1401,1631,25276,1418,1718,1517,25047,1905,1355,1072,25368,1765,1279,1227,25429,1969,1217,986,25528,1937,1309,1056,25398,0.30296728929010824,0.5630990415335463,282,215,206,4297,326,188,167,4319,194,199,321,4286,148,187,351,4314,234,227,219,4320,263,274,242,4221,375,306,151,4168,291,159,221,4329,346,204,151,4299,355,227,157,4261,2026-08-25 11:05:30,17.3,106.29
