epoch,loss,accuracy,tp_0,fp_0,fn_0,tn_0,tp_1,fp_1,fn_1,tn_1,tp_2,fp_2,fn_2,tn_2,tp_3,fp_3,fn_3,tn_3,tp_4,fp_4,fn_4,tn_4,tp_5,fp_5,fn_5,tn_5,tp_6,fp_6,fn_6,tn_6,tp_7,fp_7,fn_7,tn_7,tp_8,fp_8,fn_8,tn_8,tp_9,fp_9,fn_9,tn_9,val_loss,val_accuracy,val_tp_0,val_fp_0,val_fn_0,val_tn_0,val_tp_1,val_fp_1,val_fn_1,val_tn_1,val_tp_2,val_fp_2,val_fn_2,val_tn_2,val_tp_3,val_fp_3,val_fn_3,val_tn_3,val_tp_4,val_fp_4,val_fn_4,val_tn_4,val_tp_5,val_fp_5,val_fn_5,val_tn_5,val_tp_6,val_fp_6,val_fn_6,val_tn_6,val_tp_7,val_fp_7,val_fn_7,val_tn_7,val_tp_8,val_fp_8,val_fn_8,val_tn_8,val_tp_9,val_fp_9,val_fn_9,val_tn_9,timestamp,epoch_time_sec,max_mem_mb
1,1.6876424187864503,0.37654736275565126,504,810,939,12597,741,897,741,12471,326,844,1165,12515,333,910,1129,12478,423,999,1053,12375,490,976,994,12390,692,1096,812,12250,563,778,895,12614,842,1028,688,12292,669,929,851,12401,1.4478500245478207,0.46285942492012777,243,144,272,4341,409,471,91,4029,197,423,304,4076,235,530,270,3965,104,101,411,4384,187,263,319,4231,258,195,266,4281,239,156,243,4362,352,352,123,4173,91,50,386,4473,2026-08-22 11:26:59,26.07,274.56
2,1.2991552619810895,0.5277179763186222,754,655,689,12752,993,563,489,12805,578,767,913,12592,483,877,979,12511,548,667,928,12707,683,854,801,12512,972,732,532,12614,848,654,610,12738,1046,635,484,12685,939,602,581,12728,1.252380383090851,0.545926517571885,364,315,151,4170,342,138,158,4362,132,95,369,4404,189,345,316,4150,178,140,337,4345,310,485,196,4009,346,193,178,4283,340,254,142,4264,134,17,341,4508,396,287,81,4236,2026-08-22 11:27:25,25.93,274.56
3,1.0538702334795624,0.6204251883745964,889,541,554,12866,1153,385,329,12983,738,715,753,12644,566,699,896,12689,761,625,715,12749,799,740,685,12626,1074,535,430,12811,978,498,480,12894,1151,469,379,12851,1113,421,407,12909,1.0712365319553656,0.6154153354632588,281,110,234,4375,382,109,118,4391,309,359,192,4140,291,480,214,4015,230,109,285,4376,206,171,300,4323,385,210,139,4266,286,71,196,4447,378,206,97,4319,329,98,148,4425,2026-08-22 11:27:51,25.82,274.56
4,0.8491259596127099,0.7019644779332616,1021,434,422,12973,1254,268,228,13100,881,610,610,12749,719,635,743,12753,914,499,562,12875,896,595,588,12771,1180,382,324,12964,1066,402,392,12990,1245,310,285,13010,1251,288,269,13042,0.9752209326520134,0.6565495207667732,355,154,160,4331,354,42,146,4458,333,404,168,4095,229,246,276,4249,278,136,237,4349,196,100,310,4394,393,197,131,4279,362,146,120,4372,386,162,89,4363,397,130,80,4393,2026-08-22 11:28:17,25.96,274.56
5,0.6525199269581149,0.7701829924650161,1128,321,315,13086,1328,175,154,13193,1026,494,465,12865,820,516,642,12872,1051,408,425,12966,1006,478,478,12888,1237,303,267,13043,1177,303,281,13089,1336,215,194,13105,1332,196,188,13134,1.044989975591818,0.6533546325878594,326,84,189,4401,320,19,180,4481,302,271,199,4228,251,280,254,4215,296,150,219,4335,235,143,271,4351,441,460,83,4016,327,103,155,4415,398,124,77,4401,373,97,104,4426,2026-08-22 11:28:44,26.2,274.56
6,0.47210241699404815,0.8311356297093649,1220,232,223,13175,1394,105,88,13263,1137,354,354,13005,973,429,489,12959,1181,318,295,13056,1092,381,392,12985,1301,228,203,13118,1261,195,197,13197,1393,143,137,13177,1388,125,132,13205,0.9731700433233675,0.6805111821086262,322,115,193,4370,416,69,84,4431,305,212,196,4287,234,245,271,4250,282,106,233,4379,329,298,177,4196,386,169,138,4307,335,105,147,4413,406,178,69,4347,388,100,89,4423,2026-08-22 11:29:10,26.13,274.56
7,0.29038686474506514,0.898748654467169,1314,147,129,13260,1426,53,56,13315,1291,205,200,13154,1149,260,313,13128,1319,170,157,13204,1232,245,252,13121,1383,130,121,13216,1346,113,112,13279,1445,102,85,13218,1447,73,73,13257,1.1626284691853264,0.6615415335463258,322,85,193,4400,358,36,142,4464,280,209,221,4290,245,303,260,4192,341,267,174,4218,271,238,235,4256,360,122,164,4354,365,206,117,4312,355,63,120,4462,411,163,66,4360,2026-08-22 11:29:36,26.13,274.56
8,0.1926595788064089,0.9340688912809473,1348,93,95,13314,1437,41,45,13327,1369,141,122,13218,1267,175,195,13213,1375,106,101,13268,1329,159,155,13207,1434,81,70,13265,1377,72,81,13320,1471,52,59,13268,1463,60,57,13270,1.2230574698827137,0.6763178913738019,394,171,121,4314,325,26,175,4474,267,136,234,4363,285,341,220,4154,310,161,205,4324,290,205,216,4289,365,117,159,4359,336,103,146,4415,379,102,96,4423,431,256,46,4267,2026-08-22 11:30:02,26.13,274.56
9,0.1351773202934566,0.9557992465016146,1380,54,63,13353,1454,28,28,13340,1405,83,86,13276,1348,107,114,13281,1400,81,76,13293,1394,96,90,13270,1447,58,57,13288,1399,54,59,13338,1489,45,41,13275,1491,37,29,13293,1.29988148213385,0.6781150159744409,349,98,166,4387,458,128,42,4372,329,328,172,4171,234,242,271,4253,349,238,166,4247,203,120,303,4374,386,145,138,4331,355,135,127,4383,381,120,94,4405,347,55,130,4468,2026-08-22 11:30:29,26.16,274.56
10,0.1108403510125344,0.9605086114101185,1390,70,53,13337,1460,23,22,13345,1426,62,65,13297,1349,93,113,13295,1404,75,72,13299,1408,94,76,13272,1450,48,54,13298,1395,53,63,13339,1491,39,39,13281,1490,30,30,13300,1.3402190656660082,0.6873003194888179,359,123,156,4362,419,85,81,4415,305,255,196,4244,172,126,333,4369,344,236,171,4249,307,220,199,4274,423,191,101,4285,353,124,129,4394,387,120,88,4405,370,81,107,4442,2026-08-22 11:30:55,26.1,274.56
