epoch,loss,accuracy,tp_0,fp_0,fn_0,tn_0,tp_1,fp_1,fn_1,tn_1,tp_2,fp_2,fn_2,tn_2,tp_3,fp_3,fn_3,tn_3,tp_4,fp_4,fn_4,tn_4,tp_5,fp_5,fn_5,tn_5,tp_6,fp_6,fn_6,tn_6,tp_7,fp_7,fn_7,tn_7,tp_8,fp_8,fn_8,tn_8,tp_9,fp_9,fn_9,tn_9,val_loss,val_accuracy,val_tp_0,val_fp_0,val_fn_0,val_tn_0,val_tp_1,val_fp_1,val_fn_1,val_tn_1,val_tp_2,val_fp_2,val_fn_2,val_tn_2,val_tp_3,val_fp_3,val_fn_3,val_tn_3,val_tp_4,val_fp_4,val_fn_4,val_tn_4,val_tp_5,val_fp_5,val_fn_5,val_tn_5,val_tp_6,val_fp_6,val_fn_6,val_tn_6,val_tp_7,val_fp_7,val_fn_7,val_tn_7,val_tp_8,val_fp_8,val_fn_8,val_tn_8,val_tp_9,val_fp_9,val_fn_9,val_tn_9,timestamp,epoch_time_sec,max_mem_mb
1,1.382019740828322,0.4956896551724138,2262,2124,2223,38391,2882,1915,1618,38585,1534,2312,2965,38189,1392,2674,3103,37831,1711,2317,2774,38198,1944,2643,2550,37863,2584,2478,1892,38046,2506,2156,2012,38326,2867,2058,1658,38417,2620,2021,1903,38456,1.0155983891921303,0.6299920127795527,410,305,105,4180,321,37,179,4463,279,267,222,4232,151,161,354,4334,283,151,232,4334,333,357,173,4137,358,165,166,4311,322,116,160,4402,283,90,192,4435,411,200,66,4323,2026-08-22 12:55:33,71.48,274.56
2,0.9066471978624733,0.6807012086740135,3130,1417,1355,39098,3703,830,797,39670,2535,1886,1964,38615,2069,2162,2426,38343,2749,1628,1736,38887,2575,1919,1919,38587,3381,1344,1095,39180,3253,1224,1265,39258,3624,973,901,39502,3612,986,911,39491,0.8114516566546199,0.7122603833865815,393,127,122,4358,405,35,95,4465,251,70,250,4429,338,417,167,4078,299,91,216,4394,250,109,256,4385,398,119,126,4357,421,287,61,4231,411,109,64,4416,397,73,80,4450,2026-08-22 12:56:45,71.53,274.56
3,0.6664574492234079,0.7664415215072876,3522,1054,963,39461,4018,481,482,40019,3059,1417,1440,39084,2561,1763,1934,38742,3253,1278,1232,39237,2942,1428,1552,39078,3659,953,817,39571,3632,879,886,39603,3950,608,575,39867,3895,648,628,39829,0.7133605623492798,0.7575878594249201,359,54,156,4431,431,40,69,4460,382,262,119,4237,295,188,210,4307,377,118,138,4367,252,55,254,4439,409,92,115,4384,409,143,73,4375,434,126,41,4399,443,131,34,4392,2026-08-22 12:57:57,71.57,274.56
4,0.5035936413945314,0.8221649484536082,3789,757,696,39758,4162,348,338,40152,3406,1048,1093,39453,2920,1447,1575,39058,3598,968,887,39547,3254,1182,1240,39324,3858,649,618,39875,3837,694,681,39788,4107,446,418,40029,4066,464,457,40013,0.5955706189472836,0.7965255591054313,420,85,95,4400,439,25,61,4475,373,134,128,4365,309,172,196,4323,398,109,117,4376,326,124,180,4370,463,142,61,4334,400,91,82,4427,425,65,50,4460,430,70,47,4453,2026-08-22 12:59:08,71.45,274.56
5,0.3541746336398623,0.877288482047636,4015,531,470,39984,4298,216,202,40284,3756,755,743,39746,3364,1072,1131,39433,3880,671,605,39844,3523,853,971,39653,4066,446,410,40078,4087,436,431,40046,4261,260,264,40215,4228,282,295,40195,0.6183809621479756,0.7907348242811502,423,76,92,4409,458,54,42,4446,360,126,141,4373,350,256,155,4239,395,118,120,4367,339,139,167,4355,391,54,133,4422,422,144,60,4374,415,47,60,4478,402,31,75,4492,2026-08-22 13:00:20,71.56,274.56
6,0.24350139493429937,0.9142374688944188,4139,360,346,40155,4344,148,156,40352,3982,494,517,40007,3641,772,854,39733,4093,403,392,40112,3852,641,642,39865,4205,313,271,40211,4252,304,266,40178,4322,219,203,40256,4311,205,212,40272,0.6260153362497735,0.805111821086262,430,88,85,4397,460,51,40,4449,357,125,144,4374,350,233,155,4262,409,120,106,4365,348,104,158,4390,462,118,62,4358,390,54,92,4464,408,39,67,4486,411,43,66,4480,2026-08-22 13:01:32,71.33,274.56
7,0.15944908072438965,0.9440321720583007,4269,235,216,40280,4396,101,104,40399,4186,321,313,40180,3945,487,550,40018,4224,275,261,40240,4069,422,425,40084,4280,210,196,40314,4355,181,163,40301,4390,144,135,40331,4367,143,156,40334,0.7371014844590482,0.7933306709265175,406,69,109,4416,429,14,71,4486,376,156,125,4343,358,261,147,4234,402,105,113,4380,322,117,184,4377,400,65,124,4411,418,96,64,4422,444,108,31,4417,411,43,66,4480,2026-08-22 13:02:43,71.55,274.56
8,0.11270908001844909,0.9606070031994313,4315,175,170,40340,4420,69,80,40431,4254,231,245,40270,4138,354,357,40151,4311,178,174,40337,4221,283,273,40223,4353,123,123,40401,4377,136,141,40346,4424,113,101,40362,4414,111,109,40366,0.7820297569786303,0.7975239616613419,419,74,96,4411,446,27,54,4473,335,92,166,4407,334,194,171,4301,407,145,108,4340,352,146,154,4348,415,71,109,4405,431,149,51,4369,425,60,50,4465,423,55,54,4468,2026-08-22 13:03:55,71.47,274.56
9,0.09357085632742755,0.9677168503377177,4343,144,142,40371,4426,61,74,40439,4307,195,192,40306,4219,267,276,40238,4335,165,150,40350,4276,223,218,40283,4361,104,115,40420,4397,114,121,40368,4448,92,77,40383,4435,88,88,40389,0.7905719801664542,0.7925319488817891,434,121,81,4364,461,57,39,4443,376,150,125,4349,326,227,179,4268,376,105,139,4380,302,95,204,4399,437,85,87,4391,416,119,66,4399,424,43,51,4482,410,36,67,4487,2026-08-22 13:05:06,71.57,274.56
10,0.07780415349654396,0.9730047991468184,4367,126,118,40389,4432,61,68,40439,4336,146,163,40355,4290,215,205,40290,4367,131,118,40384,4300,187,194,40319,4374,102,102,40422,4417,101,101,40381,4458,64,67,40411,4445,81,78,40396,0.8469209425425092,0.7945287539936102,435,111,80,4374,434,33,66,4467,386,200,115,4299,284,108,221,4387,383,109,132,4376,372,142,134,4352,456,135,68,4341,396,75,86,4443,397,33,78,4492,429,82,48,4441,2026-08-22 13:06:18,71.41,274.56
