epoch,loss,accuracy,tp_0,fp_0,fn_0,tn_0,tp_1,fp_1,fn_1,tn_1,tp_2,fp_2,fn_2,tn_2,tp_3,fp_3,fn_3,tn_3,tp_4,fp_4,fn_4,tn_4,tp_5,fp_5,fn_5,tn_5,tp_6,fp_6,fn_6,tn_6,tp_7,fp_7,fn_7,tn_7,tp_8,fp_8,fn_8,tn_8,tp_9,fp_9,fn_9,tn_9,val_loss,val_accuracy,val_tp_0,val_fp_0,val_fn_0,val_tn_0,val_tp_1,val_fp_1,val_fn_1,val_tn_1,val_tp_2,val_fp_2,val_fn_2,val_tn_2,val_tp_3,val_fp_3,val_fn_3,val_tn_3,val_tp_4,val_fp_4,val_fn_4,val_tn_4,val_tp_5,val_fp_5,val_fn_5,val_tn_5,val_tp_6,val_fp_6,val_fn_6,val_tn_6,val_tp_7,val_fp_7,val_fn_7,val_tn_7,val_tp_8,val_fp_8,val_fn_8,val_tn_8,val_tp_9,val_fp_9,val_fn_9,val_tn_9,timestamp,epoch_time_sec,max_mem_mb
1,1.6371630308251903,0.38987614431879375,1255,1684,1735,25026,1480,1663,1469,25088,695,1539,2225,25241,732,1888,2234,24846,849,1784,2174,24893,1016,1977,1919,24788,1416,2152,1561,24571,1248,1754,1744,24954,1546,1881,1409,24864,1341,1800,1652,24907,1.3678343216070352,0.49860223642172524,198,104,290,4408,304,291,189,4216,44,47,471,4438,276,606,223,3895,182,275,271,4272,187,162,318,4333,324,187,202,4287,346,403,166,4085,336,196,161,4307,295,237,217,4251,2026-08-25 20:27:40,48.29,274.56
2,1.2765206072878696,0.5411618201400108,1738,1332,1252,25378,1991,1158,958,25593,1134,1477,1786,25303,935,1692,2031,25042,1266,1407,1757,25270,1431,1658,1504,25107,1915,1385,1062,25338,1800,1236,1192,25472,2008,1095,947,25650,1852,1190,1141,25517,1.1266613311280076,0.5984424920127795,369,397,119,4115,355,145,138,4362,245,257,270,4228,253,360,246,4141,219,147,234,4400,294,289,211,4206,345,136,181,4338,303,70,209,4418,290,91,207,4412,318,117,194,4371,2026-08-25 20:28:28,48.04,274.56
3,1.0957570220266033,0.6108306408185245,1923,1119,1067,25591,2232,845,717,25906,1383,1365,1537,25415,1093,1579,1873,25155,1559,1249,1464,25428,1546,1465,1389,25300,2042,1152,935,25571,1987,1032,1005,25676,2222,860,733,25885,2159,888,834,25819,0.9913604452777595,0.6459664536741214,289,127,199,4385,396,133,97,4374,283,203,232,4282,296,477,203,4024,251,147,202,4400,309,225,196,4270,345,116,181,4358,316,98,196,4390,385,157,112,4346,362,85,150,4403,2026-08-25 20:29:16,47.99,274.56
4,0.9716558867105567,0.654886914378029,2050,1011,940,25699,2339,669,610,26082,1573,1258,1347,25522,1280,1473,1686,25261,1768,1189,1255,25488,1665,1331,1270,25434,2147,980,830,25743,2061,854,931,25854,2298,722,657,26023,2271,761,722,25946,0.8563127942359485,0.7000798722044729,331,128,157,4384,422,107,71,4400,289,155,226,4330,229,177,270,4324,304,186,149,4361,306,181,199,4314,428,177,98,4297,377,168,135,4320,410,129,87,4374,406,90,106,4398,2026-08-25 20:30:04,47.97,274.56
5,0.8919899704383147,0.6872307485191168,2147,897,843,25813,2455,549,494,26202,1654,1154,1266,25626,1404,1385,1562,25349,1922,1177,1101,25500,1766,1164,1169,25601,2199,899,778,25824,2137,780,855,25928,2364,621,591,26124,2365,661,628,26046,0.8064904665223326,0.7170527156549521,391,219,97,4293,436,92,57,4415,303,178,212,4307,284,239,215,4262,316,191,137,4356,267,94,238,4401,412,128,114,4346,387,156,125,4332,407,88,90,4415,380,32,132,4456,2026-08-25 20:30:52,48.0,274.56
6,0.8100190062996644,0.714728056004308,2214,849,776,25861,2515,459,434,26292,1766,1060,1154,25720,1511,1362,1455,25372,2007,1034,1016,25643,1782,1082,1153,25683,2282,778,695,25945,2243,730,749,25978,2450,551,505,26194,2457,568,536,26139,0.7743206703053496,0.7260383386581469,367,138,121,4374,406,76,87,4431,272,113,243,4372,292,222,207,4279,346,227,107,4320,351,208,154,4287,388,86,138,4388,336,53,176,4435,418,116,79,4387,452,133,60,4355,2026-08-25 20:31:41,48.01,274.56
7,0.7452312256372546,0.7396001615508885,2336,742,654,25968,2573,393,376,26358,1821,980,1099,25800,1606,1264,1360,25470,2121,929,902,25748,1843,1018,1092,25747,2348,741,629,25982,2301,647,691,26061,2520,489,435,26256,2497,531,496,26176,0.7367896907531415,0.7442092651757188,369,131,119,4381,416,28,77,4479,337,166,178,4319,306,228,193,4273,369,234,84,4313,306,102,199,4393,368,67,158,4407,424,193,88,4295,399,67,98,4436,428,62,84,4426,2026-08-25 20:32:29,48.01,274.56
8,0.6923781875390549,0.7577746365105008,2343,703,647,26007,2599,365,350,26386,1903,911,1017,25869,1727,1179,1239,25555,2199,863,824,25814,1907,954,1028,25811,2404,669,573,26054,2378,601,614,26107,2540,444,415,26301,2509,502,484,26205,0.6993951647045513,0.7567891373801917,408,168,80,4344,433,48,60,4459,299,113,216,4372,239,82,260,4419,399,287,54,4260,343,132,162,4363,443,154,83,4320,391,95,121,4393,389,44,108,4459,440,93,72,4395,2026-08-25 20:33:17,47.99,274.56
9,0.6420214382242502,0.7758817985998923,2389,654,601,26056,2628,341,321,26410,2033,846,887,25934,1763,1082,1203,25652,2282,782,741,25895,1974,896,961,25869,2442,608,535,26115,2409,570,583,26138,2561,431,394,26314,2566,443,427,26264,0.6570203137188293,0.7733626198083067,399,153,89,4359,444,77,49,4430,310,90,205,4395,306,158,193,4343,349,133,104,4414,368,174,137,4321,436,110,90,4364,413,103,99,4385,405,61,92,4442,438,73,74,4415,2026-08-25 20:34:05,48.07,274.56
10,0.6044581789697893,0.788267366720517,2417,567,573,26143,2655,288,294,26463,2075,796,845,25984,1814,1141,1152,25593,2306,736,717,25941,2023,834,912,25931,2458,562,519,26161,2451,577,541,26131,2606,382,349,26363,2604,408,389,26299,0.5973082667294021,0.7989217252396166,401,148,87,4364,459,68,34,4439,369,140,146,4345,311,142,188,4359,386,128,67,4419,349,109,156,4386,454,129,72,4345,403,48,109,4440,423,49,74,4454,438,46,74,4442,2026-08-25 20:34:53,47.96,274.56
