epoch,loss,accuracy,tp_0,fp_0,fn_0,tn_0,tp_1,fp_1,fn_1,tn_1,tp_2,fp_2,fn_2,tn_2,tp_3,fp_3,fn_3,tn_3,tp_4,fp_4,fn_4,tn_4,tp_5,fp_5,fn_5,tn_5,tp_6,fp_6,fn_6,tn_6,tp_7,fp_7,fn_7,tn_7,tp_8,fp_8,fn_8,tn_8,tp_9,fp_9,fn_9,tn_9,val_loss,val_accuracy,val_tp_0,val_fp_0,val_fn_0,val_tn_0,val_tp_1,val_fp_1,val_fn_1,val_tn_1,val_tp_2,val_fp_2,val_fn_2,val_tn_2,val_tp_3,val_fp_3,val_fn_3,val_tn_3,val_tp_4,val_fp_4,val_fn_4,val_tn_4,val_tp_5,val_fp_5,val_fn_5,val_tn_5,val_tp_6,val_fp_6,val_fn_6,val_tn_6,val_tp_7,val_fp_7,val_fn_7,val_tn_7,val_tp_8,val_fp_8,val_fn_8,val_tn_8,val_tp_9,val_fp_9,val_fn_9,val_tn_9,timestamp,epoch_time_sec,max_mem_mb
1,1.8953897868296634,0.297691168551427,881,1861,2082,24876,1230,2428,1751,24291,435,1515,2526,25224,612,2132,2337,24619,656,1767,2322,24955,899,2485,2149,24167,1068,2550,1937,24145,888,2015,2089,24708,1290,2148,1630,24632,880,1960,2038,24822,1.723624329216564,0.3654153354632588,243,412,267,4078,219,301,273,4207,94,207,421,4278,0,1,474,4525,102,166,428,4304,347,946,151,3556,225,378,276,4121,176,189,313,4322,109,90,372,4429,313,482,197,4008,2026-08-26 03:43:40,48.16,274.56
2,1.6086486418143229,0.41437802907915994,1254,1699,1709,25038,1639,1767,1342,24952,767,1512,2194,25227,730,1814,2219,24937,840,1513,2138,25209,1149,2082,1899,24570,1586,1996,1419,24699,1432,1725,1545,24998,1554,1584,1366,25196,1358,1699,1560,25083,1.4558840321656614,0.4720447284345048,221,168,289,4322,368,433,124,4075,199,386,316,4099,187,422,287,4104,208,272,322,4198,159,224,339,4278,258,228,243,4271,235,185,254,4326,267,138,214,4381,259,183,251,4307,2026-08-26 03:44:28,48.11,274.56
3,1.4435016197033577,0.484417070543888,1498,1501,1465,25236,1824,1409,1157,25310,1041,1644,1920,25095,835,1656,2114,25095,1142,1489,1836,25233,1305,1873,1743,24779,1744,1697,1261,24998,1632,1335,1345,25388,1758,1365,1162,25415,1611,1341,1307,25441,1.3243232883584386,0.5253594249201278,322,271,188,4219,340,209,152,4299,121,111,394,4374,168,275,306,4251,371,634,159,3836,153,123,345,4379,335,276,166,4223,214,131,275,4380,303,132,178,4387,300,211,210,4279,2026-08-26 03:45:17,47.99,274.56
4,1.3159549295356598,0.5353729133010231,1650,1379,1313,25358,1984,1178,997,25541,1198,1579,1763,25160,895,1531,2054,25220,1335,1406,1643,25316,1413,1739,1635,24913,1904,1516,1101,25179,1763,1192,1214,25531,1957,1106,963,25674,1805,1170,1113,25612,1.205516289788694,0.5571086261980831,246,146,264,4344,369,215,123,4293,187,173,328,4312,107,155,367,4371,204,165,326,4305,263,344,235,4158,372,362,129,4137,331,262,158,4249,383,225,98,4294,323,168,187,4322,2026-08-26 03:46:05,48.1,274.56
5,1.2349627049109213,0.5595718901453958,1742,1289,1221,25448,2110,1010,871,25709,1297,1490,1664,25249,951,1496,1998,25255,1427,1376,1551,25346,1500,1742,1548,24910,1903,1446,1102,25249,1793,1086,1184,25637,2006,1072,914,25708,1891,1073,1027,25709,1.1371392499143704,0.5980431309904153,260,122,250,4368,413,220,79,4288,250,260,265,4225,141,135,333,4391,298,234,232,4236,240,201,258,4301,350,262,151,4237,331,225,158,4286,393,246,88,4273,315,104,195,4386,2026-08-26 03:47:00,48.07,274.56
6,1.1586451656919818,0.5875067312870221,1801,1209,1162,25528,2182,858,799,25861,1320,1446,1641,25293,1034,1534,1915,25217,1553,1367,1425,25355,1537,1586,1511,25066,2010,1327,995,25368,1907,1009,1070,25714,2131,951,789,25829,1975,963,943,25819,1.0520596861268003,0.6253993610223643,344,150,166,4340,410,189,82,4319,239,204,276,4281,212,272,262,4254,328,282,202,4188,247,178,251,4324,295,112,206,4387,325,161,164,4350,371,172,110,4347,357,152,153,4338,2026-08-26 03:47:48,48.02,274.56
7,1.0897318460829617,0.6156771674744211,1915,1171,1048,25566,2286,762,695,25957,1482,1335,1479,25404,1150,1483,1799,25268,1630,1289,1348,25433,1654,1439,1394,25213,2046,1245,959,25450,1901,951,1076,25772,2145,860,775,25920,2078,878,840,25904,1.0131636043897452,0.6409744408945687,340,187,170,4303,369,96,123,4412,281,221,234,4264,203,206,271,4320,306,209,224,4261,258,181,240,4321,291,92,210,4407,379,280,110,4231,388,171,93,4348,393,149,117,4341,2026-08-26 03:48:36,48.08,274.56
8,1.0393276366259248,0.6349623047926763,1961,1059,1002,25678,2344,700,637,26019,1457,1354,1504,25385,1257,1442,1692,25309,1675,1238,1303,25484,1680,1370,1368,25282,2099,1151,906,25544,2007,935,970,25788,2225,802,695,25978,2158,786,760,25996,0.965937247767616,0.6561501597444089,345,143,165,4347,396,129,96,4379,279,214,236,4271,205,209,269,4317,320,191,210,4279,313,342,185,4160,357,155,144,4344,346,151,143,4360,335,68,146,4451,383,119,127,4371,2026-08-26 03:49:25,48.08,274.56
9,0.969118035041843,0.6608441033925686,2054,998,909,25739,2399,631,582,26088,1552,1221,1409,25518,1317,1374,1632,25377,1810,1201,1168,25521,1784,1239,1264,25413,2190,1035,815,25660,2076,863,901,25860,2239,735,681,26045,2205,777,713,26005,0.9176777705026511,0.6777156549520766,310,93,200,4397,367,70,125,4438,288,181,227,4304,155,117,319,4409,357,215,173,4255,314,227,184,4275,400,236,101,4263,365,124,124,4387,437,232,44,4287,395,117,115,4373,2026-08-26 03:50:13,48.05,274.56
10,0.9324273735557632,0.6718497576736672,2080,1010,883,25727,2420,580,561,26139,1595,1218,1366,25521,1360,1350,1589,25401,1876,1155,1102,25567,1768,1254,1280,25398,2235,938,770,25757,2088,828,889,25895,2275,708,645,26072,2256,706,662,26076,0.8742866273314808,0.685702875399361,364,123,146,4367,444,150,48,4358,278,181,237,4304,282,291,192,4235,346,192,184,4278,256,146,242,4356,381,216,120,4283,356,134,133,4377,394,86,87,4433,329,51,181,4439,2026-08-26 03:51:01,48.0,274.56
11,0.8918254582725935,0.6870288099084545,2115,889,848,25848,2464,536,517,26183,1713,1176,1248,25563,1449,1294,1500,25457,1907,1118,1071,25604,1796,1189,1252,25463,2249,915,756,25780,2138,803,839,25920,2296,706,624,26074,2277,670,641,26112,0.9134532597880013,0.6813099041533547,399,191,111,4299,438,187,54,4321,312,204,203,4281,190,126,284,4400,326,122,204,4348,290,202,208,4300,318,72,183,4427,417,331,72,4180,357,62,124,4457,358,98,152,4392,2026-08-26 03:51:50,48.08,274.56
12,0.855921799159525,0.6985729671513193,2167,903,796,25834,2468,527,513,26192,1723,1114,1238,25625,1473,1308,1476,25443,1948,1070,1030,25652,1857,1134,1191,25518,2260,897,745,25798,2218,750,759,25973,2323,628,597,26152,2313,619,605,26163,0.8745306180879331,0.6873003194888179,379,136,131,4354,431,151,61,4357,331,234,184,4251,261,264,213,4262,308,119,222,4351,243,115,255,4387,411,256,90,4243,344,115,145,4396,385,110,96,4409,342,65,168,4425,2026-08-26 03:52:38,48.13,274.56
13,0.8248873557303629,0.712069197630587,2171,899,792,25838,2531,464,450,26255,1768,1078,1193,25661,1539,1231,1410,25520,2020,1004,958,25718,1884,1073,1164,25579,2326,865,679,25830,2208,731,769,25992,2408,600,512,26180,2299,601,619,26181,0.8424880837860961,0.7034744408945687,418,191,92,4299,389,73,103,4435,269,134,246,4351,222,147,252,4379,304,98,226,4372,290,146,208,4356,402,162,99,4337,410,307,79,4204,388,89,93,4430,425,136,85,4354,2026-08-26 03:53:26,48.19,274.56
14,0.7977988561058661,0.7231758212170167,2197,820,766,25917,2515,460,466,26259,1844,1054,1117,25685,1597,1174,1352,25577,2060,975,918,25747,1885,1113,1163,25539,2342,779,663,25916,2268,670,709,26053,2399,600,521,26180,2377,571,541,26211,0.7882672254079447,0.7320287539936102,412,187,98,4303,419,59,73,4449,279,113,236,4372,235,133,239,4393,380,192,150,4278,306,139,192,4363,378,123,123,4376,409,178,80,4333,434,154,47,4365,407,63,103,4427,2026-08-26 03:54:14,48.07,274.56
15,0.7675598272487048,0.7325996230479268,2226,802,737,25935,2571,447,410,26272,1880,1000,1081,25739,1637,1158,1312,25593,2065,993,913,25729,1949,1008,1099,25644,2356,778,649,25917,2265,709,712,26014,2415,531,505,26249,2397,513,521,26269,0.7414497795005957,0.7380191693290735,437,176,73,4314,409,32,83,4476,317,129,198,4356,277,263,197,4263,373,160,157,4310,254,99,244,4403,413,193,88,4306,370,87,119,4424,413,92,68,4427,426,80,84,4410,2026-08-26 03:55:02,48.02,274.56
16,0.7535667200128944,0.7372105546580506,2255,812,708,25925,2598,414,383,26305,1879,989,1082,25750,1609,1167,1340,25584,2077,898,901,25824,1979,1029,1069,25623,2393,790,612,25905,2282,686,695,26037,2417,520,503,26260,2406,500,512,26282,0.7732701263012597,0.7290335463258786,373,112,137,4378,424,58,68,4450,322,172,193,4313,309,257,165,4269,440,328,90,4142,299,160,199,4342,343,59,158,4440,325,70,164,4441,414,100,67,4419,398,37,112,4453,2026-08-26 03:55:51,47.98,274.56
17,0.728992765132432,0.7431340872374798,2283,790,680,25947,2569,425,412,26294,1899,997,1062,25742,1682,1154,1267,25597,2123,861,855,25861,1940,1037,1108,25615,2420,684,585,26011,2324,644,653,26079,2432,519,488,26261,2399,518,519,26264,0.7331349415282091,0.7388178913738019,408,136,102,4354,425,63,67,4445,285,105,230,4380,273,210,201,4316,411,205,119,4265,320,181,178,4321,391,138,110,4361,376,106,113,4405,409,107,72,4412,395,56,115,4434,2026-08-26 03:56:39,48.05,274.56
18,0.7091815404485616,0.7536348949919225,2277,746,686,25991,2589,382,392,26337,1947,917,1014,25822,1710,1092,1239,25659,2169,881,809,25841,1997,951,1051,25701,2424,715,581,25980,2351,635,626,26088,2472,506,448,26274,2450,489,468,26293,0.7321371572752731,0.7402156549520766,391,124,119,4366,433,100,59,4408,333,148,182,4337,352,350,122,4176,373,125,157,4345,244,67,254,4435,387,98,114,4401,409,160,80,4351,412,98,69,4421,369,27,141,4463,2026-08-26 03:57:27,48.01,274.56
19,0.6854157670810779,0.7612749057619816,2315,713,648,26024,2590,394,391,26325,1991,912,970,25827,1730,1050,1219,25701,2178,844,800,25878,2010,909,1038,25743,2468,687,537,26008,2368,659,609,26064,2501,462,419,26318,2456,463,462,26319,0.7079724206711157,0.7537939297124601,408,114,102,4376,440,93,52,4415,285,91,230,4394,245,170,229,4356,362,86,168,4384,355,203,143,4299,443,216,58,4283,419,138,70,4373,380,40,101,4479,432,80,78,4410,2026-08-26 03:58:15,47.9,274.56
20,0.6650485841975651,0.7671984383414109,2365,721,598,26016,2597,371,384,26348,1986,884,975,25855,1754,1079,1195,25672,2197,772,781,25950,2068,935,980,25717,2472,652,533,26043,2378,584,599,26139,2498,440,422,26340,2474,473,444,26309,0.6818026385653895,0.7559904153354633,415,126,95,4364,437,100,55,4408,305,107,210,4378,268,162,206,4364,397,121,133,4349,298,125,200,4377,433,231,68,4268,399,109,90,4402,421,77,60,4442,406,63,104,4427,2026-08-26 03:59:03,48.05,274.56
21,0.6584530609489835,0.7710352719439957,2382,663,581,26074,2616,371,365,26348,2002,887,959,25852,1769,1084,1180,25667,2220,770,758,25952,2053,888,995,25764,2484,648,521,26047,2408,571,569,26152,2492,466,428,26314,2474,452,444,26330,0.6971967047967088,0.7611821086261981,397,99,113,4391,405,33,87,4475,311,107,204,4378,316,189,158,4337,428,220,102,4250,275,93,223,4409,394,85,107,4414,383,110,106,4401,444,128,37,4391,452,131,58,4359,2026-08-26 03:59:52,48.1,274.56
22,0.6344532664056806,0.7781367797522887,2387,686,576,26051,2666,326,315,26393,2039,823,922,25916,1805,1069,1144,25682,2227,766,751,25956,2057,870,991,25782,2488,630,517,26065,2415,571,562,26152,2528,439,392,26341,2499,409,419,26373,0.637945293642271,0.7767571884984026,402,100,108,4390,429,57,63,4451,335,104,180,4381,292,192,182,4334,413,133,117,4337,322,138,176,4364,429,140,72,4359,403,103,86,4408,420,70,61,4449,440,78,70,4412,2026-08-26 04:00:40,48.07,274.56
23,0.6150897250871346,0.783218901453958,2371,645,592,26092,2633,325,348,26394,2072,859,889,25880,1824,1019,1125,25732,2258,742,720,25980,2118,872,930,25780,2505,560,500,26135,2448,551,529,26172,2525,434,395,26346,2508,431,410,26351,0.6747144991502213,0.7625798722044729,339,52,171,4438,427,69,65,4439,346,144,169,4341,288,164,186,4362,392,147,138,4323,313,161,185,4341,408,73,93,4426,436,200,53,4311,440,105,41,4414,424,72,86,4418,2026-08-26 04:01:28,48.13,274.56
24,0.6036417090449849,0.788873182552504,2379,661,584,26076,2647,285,334,26434,2077,813,884,25926,1880,995,1069,25756,2288,705,690,26017,2160,860,888,25792,2494,603,511,26092,2431,522,546,26201,2554,408,366,26372,2520,418,398,26364,0.6393478095721894,0.7765575079872205,434,148,76,4342,428,40,64,4468,352,175,163,4310,271,149,203,4377,422,152,108,4318,290,101,208,4401,399,89,102,4410,399,90,90,4421,439,99,42,4420,447,76,63,4414,2026-08-26 04:02:16,48.12,274.56
25,0.58962053863766,0.7956717824448034,2438,598,525,26139,2656,307,325,26412,2113,760,848,25979,1906,1005,1043,25746,2280,684,698,26038,2158,798,890,25854,2539,582,466,26113,2462,528,515,26195,2547,413,373,26367,2533,393,385,26389,0.6335632500652307,0.7731629392971247,378,80,132,4410,437,59,55,4449,361,161,154,4324,307,198,167,4328,400,135,130,4335,322,117,176,4385,395,73,106,4426,415,161,74,4350,421,71,60,4448,431,78,79,4412,2026-08-26 04:03:04,48.11,274.56
26,0.5716954831296741,0.8004509962304792,2436,588,527,26149,2682,298,299,26421,2149,777,812,25962,1939,976,1010,25775,2314,663,664,26059,2167,779,881,25873,2513,576,492,26119,2468,521,509,26202,2548,387,372,26393,2555,364,363,26418,0.6067603444472288,0.790535143769968,401,76,109,4414,446,77,46,4431,334,89,181,4396,298,150,176,4376,419,162,111,4308,333,117,165,4385,416,107,85,4392,423,123,66,4388,435,87,46,4432,447,60,63,4430,2026-08-26 04:03:52,48.0,274.56
