epoch,loss,accuracy,tp_0,fp_0,fn_0,tn_0,tp_1,fp_1,fn_1,tn_1,tp_2,fp_2,fn_2,tn_2,tp_3,fp_3,fn_3,tn_3,tp_4,fp_4,fn_4,tn_4,tp_5,fp_5,fn_5,tn_5,tp_6,fp_6,fn_6,tn_6,tp_7,fp_7,fn_7,tn_7,tp_8,fp_8,fn_8,tn_8,tp_9,fp_9,fn_9,tn_9,val_loss,val_accuracy,val_tp_0,val_fp_0,val_fn_0,val_tn_0,val_tp_1,val_fp_1,val_fn_1,val_tn_1,val_tp_2,val_fp_2,val_fn_2,val_tn_2,val_tp_3,val_fp_3,val_fn_3,val_tn_3,val_tp_4,val_fp_4,val_fn_4,val_tn_4,val_tp_5,val_fp_5,val_fn_5,val_tn_5,val_tp_6,val_fp_6,val_fn_6,val_tn_6,val_tp_7,val_fp_7,val_fn_7,val_tn_7,val_tp_8,val_fp_8,val_fn_8,val_tn_8,val_tp_9,val_fp_9,val_fn_9,val_tn_9,timestamp,epoch_time_sec,max_mem_mb
1,1.8029582723577888,0.33385175968716674,1588,2950,2924,37538,2029,3141,2478,37352,873,2629,3612,37886,1058,3120,3443,37379,1070,2623,3477,37830,1338,3399,3157,37106,1742,3222,2732,37304,1588,2925,2900,37587,2143,3000,2360,37497,1595,2967,2893,37545,1.5867676717785602,0.43190894568690097,185,164,303,4348,252,215,241,4292,132,245,383,4240,89,165,410,4336,137,245,316,4302,185,268,320,4227,324,479,202,3995,300,459,212,4029,279,311,218,4192,277,289,235,4199,2026-08-22 20:23:23,71.67,274.56
2,1.4539419882584839,0.47531549946676144,2234,2363,2278,38125,2738,2094,1769,38399,1465,2469,3020,38046,1220,2596,3281,37903,1647,2214,2900,38239,1927,2822,2568,37683,2500,2579,1974,37947,2436,2145,2052,38367,2749,2098,1754,38399,2473,2231,2015,38281,1.325652589813208,0.5223642172523961,298,346,190,4166,349,234,144,4273,171,209,344,4276,159,281,340,4220,180,185,273,4362,320,478,185,4017,332,312,194,4162,243,91,269,4397,314,175,183,4328,247,76,265,4412,2026-08-22 20:24:35,71.42,274.56
3,1.2868610644230332,0.5413704230359048,2557,2072,1955,38416,3081,1685,1426,38808,1777,2330,2708,38185,1489,2445,3012,38054,2089,2146,2458,38307,2044,2593,2451,37912,2773,2163,1701,38363,2659,1793,1829,38719,3052,1665,1451,38832,2842,1745,1646,38767,1.1878478810810054,0.5798722044728435,342,281,146,4231,339,123,154,4384,241,227,274,4258,228,376,271,4125,200,176,253,4371,222,191,283,4304,374,308,152,4166,324,159,188,4329,356,187,141,4316,274,72,238,4416,2026-08-22 20:25:54,71.65,274.56
4,1.1671686662057097,0.586651261997867,2766,1862,1746,38626,3331,1312,1176,39181,1977,2178,2508,38337,1699,2305,2802,38194,2356,2020,2191,38433,2164,2326,2331,38179,2943,2000,1531,38526,2832,1623,1656,38889,3246,1457,1257,39040,3083,1520,1405,38992,1.0538109326705385,0.6289936102236422,285,139,203,4373,384,126,109,4381,256,229,259,4256,226,287,273,4214,292,245,161,4302,263,221,242,4274,369,190,157,4284,342,144,170,4344,332,89,165,4414,398,183,114,4305,2026-08-22 20:27:05,71.48,274.56
5,1.0667300499867087,0.6215339495200853,2996,1712,1516,38776,3465,1108,1042,39385,2149,2016,2336,38499,1820,2284,2681,38215,2617,1969,1930,38484,2328,2110,2167,38395,3049,1783,1425,38743,2945,1476,1543,39036,3334,1274,1169,39223,3264,1301,1224,39211,0.9622384888676409,0.6611421725239617,385,307,103,4205,405,120,88,4387,273,189,242,4296,283,326,216,4175,296,207,157,4340,239,130,266,4365,386,163,140,4311,325,83,187,4405,364,95,133,4408,351,73,161,4415,2026-08-22 20:28:17,71.62,274.56
6,0.9906984482568394,0.6519507643085674,3092,1580,1420,38908,3546,973,961,39520,2291,1871,2194,38644,2034,2244,2467,38255,2771,1796,1776,38657,2443,1890,2052,38615,3209,1600,1265,38926,3130,1313,1358,39199,3444,1191,1059,39306,3380,1202,1108,39310,0.9414886618955448,0.6619408945686901,393,293,95,4219,400,100,93,4407,260,172,255,4313,180,148,319,4353,226,109,227,4438,376,390,129,4105,384,144,142,4330,405,199,107,4289,322,55,175,4448,365,79,147,4409,2026-08-22 20:29:29,71.42,274.56
7,0.9213035207094775,0.677568432278706,3227,1485,1285,39003,3660,869,847,39624,2451,1747,2034,38768,2183,2027,2318,38472,2896,1717,1651,38736,2578,1809,1917,38696,3303,1472,1171,39054,3183,1294,1305,39218,3539,1016,964,39481,3470,1074,1018,39438,0.875885897741531,0.6914936102236422,322,100,166,4412,435,166,58,4341,310,237,205,4248,248,213,251,4288,329,245,124,4302,312,190,193,4305,382,121,144,4353,353,98,159,4390,363,81,134,4422,402,93,110,4395,2026-08-22 20:30:41,71.57,274.56
8,0.8755764567974916,0.6936322431567721,3297,1370,1215,39118,3764,762,743,39731,2568,1694,1917,38821,2287,2057,2214,38442,2961,1663,1586,38790,2611,1696,1884,38809,3321,1362,1153,39164,3297,1221,1191,39291,3592,957,911,39540,3515,1005,973,39507,0.8312165459124045,0.7068690095846646,335,126,153,4386,434,100,59,4407,330,228,185,4257,270,245,229,4256,286,129,167,4418,277,137,228,4358,402,137,124,4337,381,106,131,4382,418,128,79,4375,401,130,111,4358,2026-08-22 20:31:52,71.4,274.56
9,0.8217307254751509,0.7109847138286527,3339,1315,1173,39173,3824,692,683,39801,2640,1661,1845,38854,2347,1987,2154,38512,3078,1490,1469,38963,2695,1633,1800,38872,3453,1276,1021,39250,3318,1136,1170,39376,3678,913,825,39584,3622,903,866,39609,0.7760682825844127,0.7340255591054313,313,76,175,4436,406,69,87,4438,355,217,160,4268,282,206,217,4295,325,124,128,4423,324,146,181,4349,419,158,107,4316,388,83,124,4405,435,169,62,4334,424,81,88,4407,2026-08-22 20:33:04,71.49,274.56
10,0.784615367550338,0.7241379310344828,3386,1244,1126,39244,3820,704,687,39789,2769,1537,1716,38978,2447,1897,2054,38602,3142,1468,1405,38985,2783,1524,1712,38981,3460,1232,1014,39294,3430,1051,1058,39461,3730,835,773,39662,3620,921,868,39591,0.7598591909621851,0.7382188498402555,409,209,79,4303,426,84,67,4423,311,121,204,4364,326,228,173,4273,362,209,91,4338,307,117,198,4378,390,106,136,4368,408,138,104,4350,370,46,127,4457,382,51,130,4437,2026-08-22 20:34:16,71.48,274.56
