epoch,loss,accuracy,tp_0,fp_0,fn_0,tn_0,tp_1,fp_1,fn_1,tn_1,val_loss,val_accuracy,val_tp_0,val_fp_0,val_fn_0,val_tn_0,val_tp_1,val_fp_1,val_fn_1,val_tn_1,timestamp,epoch_time_sec,max_mem_mb
1,0.06352125525534465,0.9792607223476298,22212,476,259,12491,12491,259,476,22212,0.053287406026754296,0.9807692307692307,2544,73,3,1317,1317,3,73,2544,2026-08-27 18:12:10,117.06,646.31
2,0.018956363838779675,0.9933690744920993,22369,133,102,12834,12834,102,133,22369,0.006714938542576758,0.9974696356275303,2539,2,8,1388,1388,8,2,2539,2026-08-27 18:14:07,117.25,647.12
3,0.00982699992481465,0.9965857787810384,22414,64,57,12903,12903,57,64,22414,0.007069426550599575,0.9977226720647774,2546,8,1,1382,1382,1,8,2546,2026-08-27 18:16:04,116.95,647.12
4,0.007486439893518128,0.9972629796839729,22427,53,44,12914,12914,44,53,22427,0.010476874733949683,0.9969635627530364,2546,11,1,1379,1379,1,11,2546,2026-08-27 18:18:02,117.43,646.25
5,0.0053464196544364025,0.9984198645598195,22446,31,25,12936,12936,25,31,22446,0.006051048129034329,0.9982287449392713,2546,6,1,1384,1384,1,6,2546,2026-08-27 18:19:59,117.52,647.12
6,0.005832699119008156,0.9983634311512415,22442,29,29,12938,12938,29,29,22442,0.003965296564460417,0.9989878542510121,2543,0,4,1390,1390,4,0,2543,2026-08-27 18:21:56,116.93,646.25
7,0.0027126186873746264,0.9993227990970655,22459,12,12,12955,12955,12,12,22459,0.008266873914760617,0.9979757085020243,2540,1,7,1389,1389,7,1,2540,2026-08-27 18:23:54,117.32,647.12
8,0.0034437802629249227,0.9988431151241535,22450,20,21,12947,12947,21,20,22450,0.00425392727441632,0.9984817813765182,2545,4,2,1386,1386,2,4,2545,2026-08-27 18:25:51,117.35,646.25
9,0.0038631922686991707,0.9990970654627539,22457,18,14,12949,12949,14,18,22457,0.004283259023037395,0.9987348178137652,2543,1,4,1389,1389,4,1,2543,2026-08-27 18:27:49,117.42,647.12
10,0.0024259415981003753,0.9992381489841986,22458,14,13,12953,12953,13,14,22458,0.0029863919492939778,0.9989878542510121,2545,2,2,1388,1388,2,2,2545,2026-08-27 18:29:46,117.32,646.25
11,0.0013356464951100918,0.9996613995485327,22464,5,7,12962,12962,7,5,22464,0.008621579915030464,0.9982287449392713,2546,6,1,1384,1384,1,6,2546,2026-08-27 18:31:43,117.16,647.12
12,0.0026094810761358956,0.9993792325056433,22460,11,11,12956,12956,11,11,22460,0.005295291726682665,0.9989878542510121,2544,1,3,1389,1389,3,1,2544,2026-08-27 18:33:41,117.32,646.25
13,0.0015688889639477266,0.9994920993227991,22460,7,11,12960,12960,11,7,22460,0.004697767334201491,0.9987348178137652,2545,3,2,1387,1387,2,3,2545,2026-08-27 18:35:38,117.33,647.12
14,0.0012934443208453203,0.9996896162528217,22465,5,6,12962,12962,6,5,22465,0.0033268220967289245,0.9992408906882592,2545,1,2,1389,1389,2,1,2545,2026-08-27 18:37:35,117.23,646.25
15,0.0009454528379128808,0.9996613995485327,22465,6,6,12961,12961,6,6,22465,0.0038941089630776865,0.9987348178137652,2546,4,1,1386,1386,1,4,2546,2026-08-27 18:39:33,117.28,647.12
16,0.0013207865522394345,0.9995767494356659,22462,6,9,12961,12961,9,6,22462,0.004736317912913178,0.9984817813765182,2543,2,4,1388,1388,4,2,2543,2026-08-27 18:41:30,117.28,646.25
17,0.002350179057049528,0.9992099322799097,22457,14,14,12953,12953,14,14,22457,0.004665843325135692,0.9989878542510121,2544,1,3,1389,1389,3,1,2544,2026-08-27 18:43:27,117.25,647.12
18,0.0006497431612159101,0.9996896162528217,22465,5,6,12962,12962,6,5,22465,0.004796040751982558,0.9989878542510121,2545,2,2,1388,1388,2,2,2545,2026-08-27 18:45:24,117.19,646.25
19,0.0006709621596432263,0.9998024830699774,22467,3,4,12964,12964,4,3,22467,0.004813634610647884,0.9989878542510121,2545,2,2,1388,1388,2,2,2545,2026-08-27 18:47:22,117.25,647.12
20,0.0012345778230219613,0.9996613995485327,22464,5,7,12962,12962,7,5,22464,0.003442245514317729,0.9987348178137652,2545,3,2,1387,1387,2,3,2545,2026-08-27 18:49:19,117.44,646.25
21,0.0006364957339906495,0.9998306997742664,22469,4,2,12963,12963,2,4,22469,0.005903163482629934,0.9989878542510121,2545,2,2,1388,1388,2,2,2545,2026-08-27 18:51:16,117.18,647.12
22,0.0006173593457492676,0.9997460496613996,22466,4,5,12963,12963,5,4,22466,0.0037053581152907363,0.9987348178137652,2546,4,1,1386,1386,1,4,2546,2026-08-27 18:53:13,116.99,646.25
23,0.0010455804658353325,0.9998024830699774,22468,4,3,12963,12963,3,4,22468,0.0028087877836073132,0.9992408906882592,2545,1,2,1389,1389,2,1,2545,2026-08-27 18:55:11,117.28,647.12
24,0.000641232650399211,0.9998306997742664,22467,2,4,12965,12965,4,2,22467,0.00602298938154319,0.9979757085020243,2545,6,2,1384,1384,2,6,2545,2026-08-27 18:57:08,117.27,646.25
25,0.000771010713020921,0.9998306997742664,22468,3,3,12964,12964,3,3,22468,0.004709011948131694,0.9989878542510121,2544,1,3,1389,1389,3,1,2544,2026-08-27 18:59:05,117.03,647.12
26,0.000373667974463002,0.9998871331828443,22470,3,1,12964,12964,1,3,22470,0.006397621336898126,0.9987348178137652,2543,1,4,1389,1389,4,1,2543,2026-08-27 19:01:02,117.14,646.25
27,0.0003750197574282819,0.9999153498871332,22469,1,2,12966,12966,2,1,22469,0.004494616107045546,0.9992408906882592,2546,2,1,1388,1388,1,2,2546,2026-08-27 19:02:59,117.16,647.12
28,0.0007397432171724201,0.9998306997742664,22469,4,2,12963,12963,2,4,22469,0.006817793628551772,0.9987348178137652,2544,2,3,1388,1388,3,2,2544,2026-08-27 19:04:57,117.28,646.25
29,0.00022337489716154588,0.999971783295711,22470,0,1,12967,12967,1,0,22470,0.0017763627226955211,0.9992408906882592,2546,2,1,1388,1388,1,2,2546,2026-08-27 19:06:54,117.25,647.12
30,0.0006053081262441975,0.9998024830699774,22467,3,4,12964,12964,4,3,22467,0.004098525818672964,0.9992408906882592,2545,1,2,1389,1389,2,1,2545,2026-08-27 19:08:51,117.22,646.25
31,0.00016109962192390476,0.9999435665914221,22470,1,1,12966,12966,1,1,22470,0.010113311085356633,0.9984817813765182,2544,3,3,1387,1387,3,3,2544,2026-08-27 19:10:49,117.28,647.12
32,5.061739300269821e-06,1.0,22471,0,0,12967,12967,0,0,22471,0.009076953673198298,0.9989878542510121,2545,2,2,1388,1388,2,2,2545,2026-08-27 19:12:46,117.19,646.25
33,5.768746920932855e-06,1.0,22471,0,0,12967,12967,0,0,22471,0.007902242669455153,0.9989878542510121,2545,2,2,1388,1388,2,2,2545,2026-08-27 19:14:43,117.18,647.12
34,0.0003318983946387735,0.9999435665914221,22470,1,1,12966,12966,1,1,22470,0.010370636066415757,0.9987348178137652,2544,2,3,1388,1388,3,2,2544,2026-08-27 19:16:40,117.02,646.25
35,0.0008999512924532056,0.9998306997742664,22468,3,3,12964,12964,3,3,22468,0.005920411117910792,0.9989878542510121,2545,2,2,1388,1388,2,2,2545,2026-08-27 19:18:37,117.15,647.12
36,3.761226973501437e-05,1.0,22471,0,0,12967,12967,0,0,22471,0.0054150171195878295,0.9989878542510121,2545,2,2,1388,1388,2,2,2545,2026-08-27 19:20:34,117.08,646.25
37,7.83595747830392e-06,1.0,22471,0,0,12967,12967,0,0,22471,0.005930877177701011,0.9989878542510121,2545,2,2,1388,1388,2,2,2545,2026-08-27 19:22:31,117.06,647.12
38,0.00023573889239043172,0.9999435665914221,22470,1,1,12966,12966,1,1,22470,0.0071217628149542155,0.9984817813765182,2542,1,5,1389,1389,5,1,2542,2026-08-27 19:24:29,117.11,646.25
39,0.0003429706330508072,0.9999435665914221,22470,1,1,12966,12966,1,1,22470,0.005600084726566905,0.9992408906882592,2546,2,1,1388,1388,1,2,2546,2026-08-27 19:26:26,117.21,647.12
40,0.00031284621191519815,0.9998589164785553,22468,2,3,12965,12965,3,2,22468,0.006235507126148591,0.9987348178137652,2545,3,2,1387,1387,2,3,2545,2026-08-27 19:28:23,117.16,646.25
41,4.1352891672630304e-05,1.0,22471,0,0,12967,12967,0,0,22471,0.005414584242499059,0.9992408906882592,2546,2,1,1388,1388,1,2,2546,2026-08-27 19:30:20,117.12,647.12
42,0.00019153464940133402,0.9999435665914221,22470,1,1,12966,12966,1,1,22470,0.010737259047787452,0.9984817813765182,2546,5,1,1385,1385,1,5,2546,2026-08-27 19:32:17,117.15,646.25
43,1.8512062475363233e-05,1.0,22471,0,0,12967,12967,0,0,22471,0.008250799511731199,0.9989878542510121,2545,2,2,1388,1388,2,2,2545,2026-08-27 19:34:14,117.23,647.12
