sample_idx,true_label,pred_label,correct,confidence
0,3,3,1,3.6705617904663086
1,8,8,1,4.936003684997559
2,8,8,1,3.142662763595581
3,0,0,1,4.091726303100586
4,6,6,1,7.185942649841309
5,6,6,1,3.212672710418701
6,1,5,0,5.654551029205322
7,6,4,0,4.591995716094971
8,3,5,0,3.734494686126709
9,1,1,1,4.843221187591553
10,0,0,1,2.9656753540039062
11,9,9,1,6.510955810546875
12,5,5,1,5.9855780601501465
13,7,5,0,2.632216453552246
14,9,9,1,8.073748588562012
15,8,6,0,3.454057455062866
16,5,5,1,5.369544506072998
17,7,7,1,2.1076226234436035
18,8,8,1,4.094687461853027
19,6,6,1,6.121469974517822
20,7,1,0,4.747852325439453
21,0,2,0,4.001234531402588
22,4,4,1,2.4719152450561523
23,9,9,1,7.545065402984619
24,5,5,1,4.109363555908203
25,2,4,0,3.564814329147339
26,4,4,1,3.10532283782959
27,0,4,0,1.6439247131347656
28,9,1,0,6.744926452636719
29,6,6,1,5.462525367736816
30,6,6,1,4.072850227355957
31,5,2,0,3.8340470790863037
32,4,4,1,4.619394302368164
33,5,3,0,3.7903802394866943
34,9,9,1,5.778124809265137
35,2,3,0,2.564248561859131
36,4,5,0,3.8519339561462402
37,1,9,0,3.8402740955352783
38,9,9,1,9.595059394836426
39,5,5,1,4.567391395568848
40,4,0,0,3.2410061359405518
41,6,6,1,8.340740203857422
42,5,5,1,4.690284729003906
43,6,2,0,3.2055270671844482
44,0,0,1,7.75834846496582
45,9,9,1,7.2895307540893555
46,3,5,0,2.8911657333374023
47,9,9,1,2.6409223079681396
48,7,7,1,5.405288219451904
49,6,6,1,6.785196304321289
50,9,9,1,2.9495832920074463
51,8,8,1,4.4549455642700195
52,0,2,0,1.9978387355804443
53,3,3,1,2.195366859436035
54,8,8,1,10.196222305297852
55,8,8,1,6.961784839630127
56,7,7,1,5.722181797027588
57,7,3,0,2.573328971862793
58,4,5,0,2.8559584617614746
59,6,3,0,4.553776741027832
60,7,7,1,7.360944747924805
61,3,3,1,4.671989440917969
62,6,2,0,2.6183040142059326
63,3,7,0,1.3201515674591064
64,6,6,1,2.9876997470855713
65,2,2,1,4.178455352783203
