sample_idx,true_label,pred_label,correct,confidence
0,3,3,1,3.2410659790039062
1,8,9,0,3.8256659507751465
2,8,8,1,5.539921283721924
3,0,0,1,1.8916816711425781
4,6,6,1,4.355895519256592
5,6,6,1,2.708010673522949
6,1,1,1,1.7904508113861084
7,6,6,1,3.7156927585601807
8,3,2,0,3.061800003051758
9,1,1,1,4.467197895050049
10,0,0,1,2.736520767211914
11,9,1,0,5.6104559898376465
12,5,5,1,2.814417600631714
13,7,7,1,1.2389522790908813
14,9,9,1,4.907087802886963
15,8,6,0,2.5928337574005127
16,5,5,1,4.436195373535156
17,7,3,0,2.210329294204712
18,8,8,1,1.9590394496917725
19,6,6,1,10.358485221862793
20,7,7,1,5.667926788330078
21,0,0,1,4.34157657623291
22,4,2,0,2.422605514526367
23,9,9,1,6.310931205749512
24,5,2,0,3.6452817916870117
25,2,2,1,2.7016074657440186
26,4,3,0,4.627614498138428
27,0,6,0,3.9885308742523193
28,9,2,0,2.1312074661254883
29,6,6,1,5.898013591766357
30,6,3,0,2.20750093460083
31,5,4,0,3.437692403793335
32,4,6,0,4.633616924285889
33,5,3,0,2.588029146194458
34,9,3,0,1.6659269332885742
35,2,2,1,2.808607816696167
36,4,6,0,1.7993766069412231
37,1,9,0,4.451284885406494
38,9,9,1,3.6115732192993164
39,5,5,1,4.219066143035889
40,4,7,0,2.219003200531006
41,6,6,1,5.396458625793457
42,5,1,0,3.509260892868042
43,6,3,0,3.424362897872925
44,0,1,0,2.2511708736419678
45,9,9,1,7.192750453948975
46,3,4,0,1.286695957183838
47,9,7,0,1.88780677318573
48,7,4,0,4.866350173950195
49,6,2,0,4.132528305053711
50,9,3,0,1.0003851652145386
51,8,6,0,1.6682056188583374
52,0,6,0,3.9038608074188232
53,3,5,0,3.382195472717285
54,8,8,1,2.5390846729278564
55,8,0,0,2.6760330200195312
56,7,7,1,4.91716194152832
57,7,5,0,2.998817205429077
58,4,5,0,3.169128179550171
59,6,3,0,3.6010701656341553
60,7,7,1,4.886927127838135
61,3,3,1,3.1660730838775635
62,6,6,1,6.70741605758667
63,3,3,1,2.385805368423462
64,6,3,0,2.5311625003814697
65,2,6,0,4.399221420288086
66,1,3,0,2.0778615474700928
67,2,2,1,2.4430060386657715
68,3,6,0,2.441382646560669
69,7,9,0,2.796658992767334
70,2,0,0,2.0163791179656982
71,6,3,0,2.5095040798187256
72,8,8,1,3.1578433513641357
73,8,0,0,2.5003445148468018
74,0,0,1,4.291663646697998
75,2,6,0,3.5823962688446045
76,9,9,1,3.817466974258423
77,3,5,0,3.8740570545196533
78,3,3,1,2.2160308361053467
79,8,8,1,5.009606838226318
80,8,8,1,6.095276355743408
81,1,1,1,5.262608051300049
82,1,2,0,4.898169040679932
83,7,5,0,3.246762752532959
84,2,0,0,1.7286489009857178
85,5,2,0,2.408383369445801
86,2,9,0,2.9214789867401123
87,7,0,0,1.651012659072876
88,8,8,1,2.2773349285125732
89,9,9,1,5.131951808929443
90,0,0,1,5.017698287963867
91,3,3,1,4.663161754608154
92,8,8,1,5.202718257904053
93,6,6,1,4.805081367492676
94,4,2,0,2.537714958190918
95,6,5,0,3.972470998764038
96,6,6,1,5.64793586730957
97,0,0,1,2.857588291168213
98,0,0,1,3.3629472255706787
99,7,7,1,3.8611910343170166
100,4,4,1,2.2413723468780518
101,5,6,0,2.2464616298675537
102,6,6,1,3.554936647415161
103,3,3,1,5.141076564788818
104,1,1,1,2.0003671646118164
105,1,9,0,4.312015056610107
106,3,3,1,1.8016705513000488
107,6,6,1,7.354962348937988
108,8,5,0,3.0571305751800537
109,7,7,1,2.365614891052246
110,4,3,0,3.3141441345214844
111,0,0,1,3.216683864593506
112,6,4,0,3.1017255783081055
113,2,5,0,3.0262339115142822
114,1,9,0,4.833268642425537
115,3,2,0,1.7277748584747314
116,0,0,1,3.737178325653076
117,4,6,0,2.9888598918914795
118,2,3,0,2.1777122020721436
119,7,7,1,5.132406711578369
120,8,3,0,2.571354389190674
121,3,2,0,3.812448263168335
122,1,2,0,1.4626258611679077
123,2,2,1,4.4648003578186035
124,8,2,0,2.25758695602417
125,0,4,0,1.7128969430923462
126,8,5,0,2.107652187347412
127,3,6,0,5.157314777374268
128,5,3,0,1.290243148803711
129,2,7,0,3.9254236221313477
130,4,6,0,2.857191801071167
131,1,9,0,4.036584854125977
132,8,1,0,1.7211236953735352
133,9,9,1,5.385159015655518
134,1,1,1,2.9009616374969482
135,2,2,1,1.5819361209869385
136,9,9,1,3.805950403213501
137,7,7,1,4.101802349090576
138,2,2,1,4.100384712219238
139,9,8,0,2.8459746837615967
140,6,3,0,3.2367100715637207
141,5,5,1,4.2597174644470215
142,6,3,0,3.6760056018829346
143,3,5,0,3.1967592239379883
144,8,3,0,1.4442062377929688
145,7,3,0,2.2437970638275146
146,6,5,0,2.3348238468170166
147,2,6,0,3.697336435317993
148,5,3,0,2.4982006549835205
149,2,5,0,2.0447824001312256
150,8,9,0,2.2055656909942627
151,9,5,0,1.549379587173462
152,6,3,0,3.642024278640747
153,0,3,0,2.0821409225463867
154,0,0,1,5.424060821533203
155,5,3,0,4.256584167480469
156,2,3,0,3.30646014213562
157,9,9,1,3.593928575515747
158,5,5,1,5.57731294631958
159,4,2,0,3.3041024208068848
160,2,2,1,5.396256923675537
161,1,1,1,5.475221633911133
162,6,1,0,1.814156174659729
163,6,6,1,8.00756549835205
164,8,5,0,2.5351970195770264
165,4,7,0,3.428828716278076
166,8,3,0,2.074578285217285
167,4,4,1,3.0412631034851074
168,5,7,0,3.573967933654785
169,0,2,0,2.045947313308716
170,9,8,0,1.3912239074707031
171,9,3,0,2.354809045791626
172,9,2,0,2.523644208908081
173,8,8,1,4.059166431427002
174,9,9,1,2.4053220748901367
175,9,9,1,1.7740403413772583
176,3,3,1,4.1273040771484375
177,7,7,1,6.70704984664917
178,5,6,0,2.087236166000366
179,0,9,0,3.5191688537597656
180,0,9,0,3.408376693725586
181,5,5,1,3.6487293243408203
182,2,2,1,2.6410272121429443
183,2,2,1,0.8298962116241455
184,3,2,0,3.779600143432617
185,8,4,0,2.8176000118255615
186,6,6,1,3.8203303813934326
187,3,6,0,2.552432060241699
188,4,3,0,2.9549636840820312
189,0,2,0,3.078289270401001
190,5,4,0,2.6554744243621826
191,8,4,0,1.6553462743759155
192,0,5,0,2.22170352935791
193,1,1,1,2.7206103801727295
194,7,6,0,3.9779536724090576
195,2,2,1,2.6208438873291016
196,8,9,0,2.421205997467041
197,8,0,0,2.4943771362304688
198,7,3,0,2.187260627746582
199,8,0,0,1.7069129943847656
200,5,3,0,4.230688571929932
201,1,7,0,1.8620027303695679
202,8,0,0,2.95395827293396
203,7,1,0,3.8809075355529785
204,1,1,1,4.5272746086120605
205,3,3,1,4.817663669586182
206,0,0,1,3.2970755100250244
207,5,5,1,4.2515997886657715
208,7,5,0,1.7871822118759155
209,9,9,1,0.9889519810676575
210,7,3,0,2.5433852672576904
211,4,5,0,1.0541577339172363
212,5,0,0,2.391589879989624
213,9,2,0,3.5135459899902344
214,8,9,0,2.511247158050537
215,0,3,0,1.0607106685638428
216,7,4,0,1.8150047063827515
217,9,1,0,4.940185546875
218,8,3,0,2.230726718902588
219,2,6,0,3.3846960067749023
220,7,7,1,3.258930206298828
221,6,6,1,5.719830513000488
222,9,3,0,2.3268144130706787
223,4,5,0,3.070932626724243
224,3,6,0,3.257676839828491
225,9,9,1,3.6210694313049316
226,6,5,0,4.124868392944336
227,4,6,0,5.115492820739746
228,7,6,0,3.2853357791900635
229,6,9,0,4.515225410461426
230,5,1,0,4.186343193054199
231,1,9,0,7.527539253234863
232,5,5,1,2.3242814540863037
233,8,1,0,3.1142842769622803
234,8,5,0,2.0301945209503174
235,0,0,1,3.865692377090454
236,4,4,1,4.163963794708252
237,0,3,0,2.2722198963165283
238,5,5,1,1.7275846004486084
239,5,7,0,4.346905708312988
240,1,1,1,6.574113368988037
241,1,1,1,5.789060115814209
242,8,0,0,3.689842939376831
243,9,5,0,2.2315404415130615
244,0,0,1,5.337843894958496
245,3,3,1,3.62296462059021
246,1,5,0,3.2309906482696533
247,9,2,0,1.771780252456665
248,2,2,1,3.9645028114318848
249,2,5,0,1.822563886642456
250,5,5,1,4.238663673400879
251,3,3,1,1.9070826768875122
252,9,1,0,5.183854579925537
253,9,1,0,2.0610735416412354
