sample_idx,true_label,pred_label,correct,confidence
0,3,3,1,3.4240169525146484
1,8,8,1,5.859478950500488
2,8,8,1,4.515720367431641
3,0,0,1,3.039222478866577
4,6,6,1,5.812252521514893
5,6,3,0,2.192532777786255
6,1,1,1,4.0539631843566895
7,6,6,1,5.74465799331665
8,3,3,1,5.183322429656982
9,1,1,1,5.696592807769775
10,0,0,1,3.2545459270477295
11,9,9,1,8.522562026977539
12,5,5,1,3.016030788421631
13,7,7,1,2.7910971641540527
14,9,9,1,7.543327808380127
15,8,8,1,2.332404375076294
16,5,3,0,4.0319342613220215
17,7,7,1,2.283921241760254
18,8,8,1,5.994518280029297
19,6,6,1,6.843571662902832
20,7,7,1,4.471615314483643
21,0,0,1,6.066515922546387
22,4,0,0,3.0063769817352295
23,9,1,0,8.91953182220459
24,5,4,0,4.784348964691162
25,2,4,0,4.461136817932129
26,4,4,1,4.86604642868042
27,0,6,0,2.2911581993103027
28,9,1,0,4.190857410430908
29,6,6,1,4.94281530380249
30,6,6,1,2.285656452178955
31,5,5,1,5.165248870849609
32,4,2,0,4.338290214538574
33,5,3,0,3.652266502380371
34,9,9,1,6.457974433898926
35,2,5,0,2.488363742828369
36,4,5,0,3.8297336101531982
37,1,9,0,7.6616740226745605
38,9,9,1,7.654162406921387
39,5,5,1,5.721125602722168
40,4,4,1,1.3838591575622559
41,6,6,1,9.357335090637207
42,5,5,1,4.422040939331055
43,6,6,1,2.777719020843506
44,0,0,1,7.335729122161865
45,9,9,1,7.5230889320373535
46,3,5,0,3.8339688777923584
47,9,8,0,3.1010727882385254
48,7,4,0,5.856771945953369
49,6,6,1,5.792257308959961
50,9,9,1,4.630220890045166
51,8,8,1,3.8140597343444824
52,0,2,0,3.4521191120147705
53,3,3,1,2.7265520095825195
54,8,8,1,9.216499328613281
55,8,8,1,7.947160243988037
56,7,5,0,4.371788501739502
57,7,3,0,3.342885971069336
58,4,3,0,2.944091320037842
59,6,4,0,2.260866165161133
60,7,7,1,9.209065437316895
61,3,5,0,4.821305274963379
62,6,6,1,2.597134590148926
63,3,9,0,1.7329691648483276
64,6,6,1,3.7503609657287598
65,2,6,0,4.55415678024292
66,1,1,1,6.108565807342529
67,2,0,0,3.1855437755584717
68,3,3,1,2.794424533843994
69,7,7,1,2.910183906555176
70,2,2,1,4.967432498931885
71,6,3,0,2.837616205215454
72,8,8,1,7.1398797035217285
73,8,8,1,7.080489635467529
74,0,9,0,2.1045804023742676
75,2,2,1,4.979474067687988
76,9,9,1,6.274527072906494
77,3,5,0,3.420069456100464
78,3,5,0,5.387297630310059
79,8,8,1,3.357635498046875
80,8,8,1,5.961211681365967
81,1,1,1,7.193360805511475
82,1,1,1,3.251269817352295
83,7,3,0,3.1134462356567383
84,2,2,1,3.641862154006958
85,5,2,0,2.6707212924957275
86,2,4,0,2.77640438079834
87,7,2,0,1.7879102230072021
88,8,8,1,3.8833348751068115
89,9,8,0,5.441810607910156
90,0,8,0,6.090287208557129
91,3,3,1,3.1061758995056152
92,8,8,1,14.311662673950195
93,6,6,1,4.437868595123291
94,4,4,1,4.664422512054443
95,6,6,1,4.6286540031433105
96,6,6,1,8.10525894165039
97,0,0,1,3.7131288051605225
98,0,0,1,4.895450115203857
99,7,7,1,3.7377026081085205
100,4,2,0,3.698396921157837
101,5,6,0,2.870770215988159
102,6,6,1,4.1867804527282715
103,3,3,1,6.700862884521484
104,1,1,1,7.036668300628662
105,1,1,1,4.576749801635742
106,3,3,1,2.336589813232422
107,6,6,1,8.569490432739258
108,8,8,1,2.395552396774292
109,7,5,0,3.683350086212158
110,4,4,1,2.515343189239502
111,0,0,1,5.355453968048096
112,6,2,0,4.441172122955322
113,2,2,1,4.04646635055542
114,1,1,1,7.409167766571045
115,3,3,1,2.2477993965148926
116,0,0,1,3.8600289821624756
117,4,7,0,2.45867657661438
118,2,4,0,3.6333565711975098
119,7,5,0,4.792370796203613
120,8,8,1,5.264002323150635
121,3,5,0,3.9613161087036133
122,1,9,0,3.756007671356201
123,2,2,1,5.138641834259033
124,8,0,0,3.766808271408081
125,0,6,0,2.609585762023926
126,8,8,1,2.5926554203033447
127,3,3,1,3.328047513961792
128,5,3,0,3.8060734272003174
129,2,0,0,2.3383994102478027
130,4,4,1,4.533725261688232
131,1,1,1,7.052696228027344
132,8,8,1,7.419658660888672
133,9,9,1,10.017641067504883
134,1,9,0,1.5613781213760376
135,2,2,1,3.048246145248413
136,9,9,1,5.998878002166748
137,7,7,1,5.257350444793701
138,2,2,1,6.193691730499268
139,9,0,0,5.826964378356934
140,6,6,1,2.4445602893829346
141,5,5,1,5.4243879318237305
142,6,6,1,6.611414432525635
143,3,5,0,3.8342578411102295
144,8,8,1,6.208554267883301
145,7,3,0,2.4385275840759277
146,6,3,0,2.9547910690307617
147,2,5,0,3.0138163566589355
148,5,3,0,2.6638805866241455
149,2,5,0,3.149883270263672
150,8,1,0,4.0721635818481445
151,9,1,0,3.644124984741211
152,6,6,1,2.3866333961486816
153,0,1,0,4.6124186515808105
154,0,0,1,4.460533142089844
155,5,3,0,4.161167144775391
156,2,2,1,3.9045894145965576
157,9,9,1,5.3058671951293945
158,5,5,1,3.4643516540527344
159,4,4,1,5.1896281242370605
160,2,2,1,4.422276020050049
161,1,1,1,7.483005046844482
162,6,3,0,2.9851596355438232
163,6,6,1,7.149667263031006
164,8,8,1,2.719066619873047
165,4,2,0,3.895569324493408
166,8,8,1,8.119906425476074
167,4,4,1,3.435408115386963
168,5,7,0,2.45004940032959
169,0,4,0,2.688904285430908
170,9,9,1,5.061686992645264
171,9,9,1,1.8641307353973389
172,9,1,0,2.3359639644622803
173,8,2,0,2.999606132507324
174,9,9,1,5.326531887054443
175,9,9,1,6.1410441398620605
176,3,3,1,2.310593605041504
177,7,7,1,7.6960554122924805
178,5,3,0,4.392383098602295
179,0,0,1,4.811849117279053
180,0,0,1,2.5290443897247314
181,5,5,1,3.9141592979431152
182,2,2,1,3.666084051132202
183,2,4,0,3.023519515991211
184,3,2,0,3.7234370708465576
185,8,8,1,8.920146942138672
186,6,6,1,3.4509778022766113
187,3,2,0,3.207231283187866
188,4,3,0,2.444483757019043
189,0,8,0,5.353395462036133
190,5,5,1,2.7961387634277344
191,8,3,0,2.0618770122528076
192,0,0,1,1.9702789783477783
193,1,1,1,5.341325283050537
194,7,6,0,5.3281354904174805
195,2,4,0,3.1329803466796875
196,8,8,1,5.268306732177734
197,8,5,0,2.753411293029785
198,7,3,0,4.579649925231934
199,8,8,1,2.637385845184326
200,5,5,1,3.955638885498047
201,1,0,0,1.8380670547485352
202,8,8,1,8.295519828796387
203,7,1,0,3.177755117416382
204,1,1,1,5.264140605926514
205,3,3,1,5.374382972717285
206,0,2,0,3.9196040630340576
207,5,2,0,3.47111439704895
208,7,7,1,6.022745609283447
209,9,0,0,3.1192309856414795
210,7,5,0,4.35051155090332
211,4,1,0,2.3521201610565186
212,5,0,0,3.1598963737487793
213,9,7,0,2.9879374504089355
214,8,8,1,1.9295709133148193
215,0,2,0,3.8162949085235596
216,7,4,0,3.411999464035034
217,9,9,1,6.074086666107178
218,8,0,0,3.2861928939819336
219,2,7,0,5.503739356994629
220,7,2,0,3.790286064147949
221,6,5,0,2.968667984008789
222,9,9,1,6.630972862243652
223,4,2,0,2.4151766300201416
224,3,3,1,2.1738364696502686
225,9,1,0,2.3674874305725098
226,6,3,0,3.2115039825439453
227,4,2,0,3.2735729217529297
228,7,3,0,1.5981394052505493
229,6,4,0,1.5623221397399902
230,5,5,1,3.9593346118927
231,1,9,0,7.943853378295898
232,5,5,1,4.099753379821777
233,8,1,0,3.518770694732666
234,8,8,1,5.157639026641846
235,0,0,1,6.293141841888428
236,4,4,1,5.340786933898926
237,0,4,0,3.928250551223755
238,5,5,1,3.6399331092834473
239,5,6,0,2.9340713024139404
240,1,1,1,6.795039176940918
241,1,1,1,5.017854690551758
242,8,9,0,2.1425962448120117
243,9,9,1,2.885441780090332
244,0,0,1,5.035292625427246
245,3,6,0,2.4582359790802
246,1,1,1,3.389824390411377
247,9,8,0,3.029660224914551
248,2,2,1,4.9259161949157715
249,2,6,0,2.4996070861816406
250,5,5,1,3.647423505783081
251,3,3,1,4.3442559242248535
252,9,9,1,4.467128276824951
253,9,1,0,2.119598865509033
254,4,2,0,5.272633075714111
255,0,8,0,1.7111687660217285
256,3,6,0,4.91007661819458
257,0,0,1,1.806159257888794
258,0,8,0,5.042176723480225
259,9,9,1,4.361319541931152
260,8,3,0,2.7782866954803467
261,1,1,1,4.450883388519287
262,5,3,0,2.1525731086730957
263,7,3,0,3.8242716789245605
264,0,0,1,3.506120443344116
265,8,8,1,8.085744857788086
266,2,8,0,2.336458683013916
267,4,4,1,6.706091403961182
268,7,7,1,7.993624210357666
269,0,2,0,5.632322311401367
270,2,2,1,3.7959091663360596
271,3,2,0,2.6133992671966553
272,6,6,1,6.199987411499023
273,3,7,0,3.140329360961914
274,8,8,1,8.146273612976074
275,5,2,0,2.707489490509033
276,0,8,0,3.8160369396209717
277,3,5,0,4.155926704406738
278,4,7,0,3.5086894035339355
279,3,5,0,4.151526927947998
280,9,9,1,5.729299068450928
281,0,6,0,2.443324565887451
282,6,6,1,4.807453155517578
283,1,1,1,6.908095836639404
284,0,9,0,5.253913402557373
285,9,9,1,8.227621078491211
286,1,0,0,2.584261178970337
287,0,8,0,7.35381555557251
288,7,5,0,2.9307055473327637
289,9,9,1,5.624091148376465
290,1,1,1,8.627408027648926
291,2,2,1,5.530991077423096
292,6,6,1,6.829431056976318
293,9,1,0,6.446277141571045
294,3,3,1,3.3528666496276855
295,4,2,0,4.38091516494751
296,6,6,1,9.432389259338379
297,0,0,1,5.475142955780029
298,0,0,1,5.1114349365234375
299,6,6,1,6.981629848480225
300,6,6,1,5.349081516265869
301,6,6,1,1.7128844261169434
302,3,5,0,4.242002010345459
303,2,8,0,3.0642151832580566
304,6,2,0,4.680195331573486
305,1,1,1,5.1510701179504395
306,8,9,0,2.299724578857422
307,2,2,1,5.367978096008301
308,1,9,0,8.127305030822754
