sample_idx,true_label,pred_label,correct,confidence
0,3,2,0,1.3232842683792114
1,8,8,1,3.100893974304199
2,8,3,0,1.3270843029022217
3,0,0,1,4.437832355499268
4,6,6,1,5.558590412139893
5,6,3,0,2.695894241333008
6,1,1,1,3.4182815551757812
7,6,4,0,1.752167820930481
8,3,3,1,3.9116289615631104
9,1,9,0,6.006863117218018
10,0,0,1,1.9782061576843262
11,9,9,1,3.5069994926452637
12,5,3,0,2.635763645172119
13,7,3,0,1.9728834629058838
14,9,6,0,2.44669246673584
15,8,6,0,2.611694097518921
16,5,1,0,1.7041531801223755
17,7,5,0,2.6674184799194336
18,8,9,0,2.4022631645202637
19,6,3,0,2.648118019104004
20,7,2,0,1.8046510219573975
21,0,0,1,3.152479648590088
22,4,0,0,1.6678838729858398
23,9,9,1,5.288043975830078
24,5,4,0,3.9151699542999268
25,2,2,1,2.6396472454071045
26,4,4,1,2.9102752208709717
27,0,1,0,3.344069242477417
28,9,3,0,2.1968865394592285
29,6,6,1,3.919912338256836
30,6,4,0,1.432259202003479
31,5,5,1,4.21903657913208
32,4,1,0,2.573770523071289
33,5,3,0,2.576814651489258
34,9,3,0,1.3315805196762085
35,2,9,0,2.1382341384887695
36,4,3,0,3.1851158142089844
37,1,9,0,2.1897056102752686
38,9,9,1,4.580226421356201
39,5,3,0,3.6103711128234863
40,4,3,0,1.7449266910552979
41,6,6,1,5.962257385253906
42,5,3,0,1.3483611345291138
43,6,6,1,3.0588746070861816
44,0,7,0,3.422760486602783
45,9,7,0,2.2505383491516113
46,3,3,1,4.600167751312256
47,9,3,0,0.8755301833152771
48,7,2,0,4.059232234954834
49,6,6,1,3.3813881874084473
50,9,0,0,1.7946786880493164
51,8,2,0,2.343360185623169
52,0,6,0,4.695802211761475
53,3,6,0,3.779446601867676
54,8,8,1,4.126105308532715
55,8,8,1,2.1064796447753906
56,7,3,0,3.911062002182007
57,7,2,0,1.2450661659240723
58,4,3,0,2.608895778656006
59,6,2,0,2.2837798595428467
60,7,5,0,2.4603450298309326
61,3,3,1,1.4453288316726685
62,6,7,0,2.6334171295166016
63,3,2,0,1.6749827861785889
64,6,3,0,3.1806206703186035
65,2,6,0,4.988309383392334
66,1,5,0,1.939618468284607
67,2,2,1,1.6322391033172607
68,3,1,0,1.9233500957489014
69,7,2,0,2.7529895305633545
70,2,2,1,2.8733551502227783
71,6,4,0,3.975032329559326
72,8,8,1,2.262983798980713
73,8,2,0,2.984668731689453
74,0,1,0,1.0969678163528442
75,2,8,0,2.721468210220337
76,9,9,1,2.7374234199523926
77,3,3,1,2.876495122909546
78,3,3,1,1.9664210081100464
79,8,8,1,3.2184090614318848
80,8,3,0,3.8439764976501465
81,1,1,1,2.459716796875
82,1,1,1,5.580198764801025
83,7,3,0,2.6742825508117676
84,2,2,1,3.2800471782684326
85,5,2,0,2.832453966140747
86,2,3,0,2.1584596633911133
87,7,3,0,2.0109264850616455
88,8,5,0,3.31714129447937
89,9,1,0,3.4508275985717773
90,0,2,0,2.462283134460449
91,3,6,0,2.9881577491760254
92,8,9,0,3.550903558731079
93,6,5,0,2.267758846282959
94,4,4,1,4.5939040184021
95,6,6,1,1.8402551412582397
96,6,6,1,6.137890338897705
97,0,3,0,2.4242420196533203
98,0,7,0,2.832282066345215
99,7,9,0,3.385430335998535
100,4,5,0,3.2433059215545654
101,5,2,0,2.098987579345703
102,6,6,1,4.929746627807617
103,3,5,0,3.561937093734741
104,1,4,0,1.2835392951965332
105,1,9,0,4.6957478523254395
106,3,3,1,2.4505186080932617
107,6,6,1,7.266084671020508
108,8,1,0,4.001288890838623
109,7,5,0,2.181802749633789
110,4,6,0,3.6762497425079346
111,0,0,1,2.103350877761841
112,6,5,0,3.5109269618988037
113,2,3,0,3.414727210998535
114,1,1,1,6.798908710479736
115,3,3,1,2.1890175342559814
116,0,3,0,2.147698402404785
117,4,6,0,2.4106903076171875
118,2,0,0,1.7537760734558105
119,7,3,0,1.4328994750976562
120,8,9,0,3.66726016998291
121,3,5,0,2.02730131149292
122,1,1,1,2.3137974739074707
123,2,4,0,2.081768035888672
124,8,7,0,3.163142204284668
125,0,2,0,2.309338092803955
126,8,1,0,1.3462207317352295
127,3,3,1,4.556212902069092
128,5,3,0,2.4850244522094727
129,2,3,0,3.390568494796753
130,4,9,0,2.586528778076172
131,1,9,0,2.571375608444214
132,8,9,0,2.094900131225586
133,9,9,1,3.1222918033599854
134,1,9,0,2.417222261428833
135,2,5,0,3.3413889408111572
136,9,1,0,3.8229994773864746
137,7,6,0,1.37832510471344
138,2,6,0,4.421142578125
139,9,4,0,2.901883602142334
140,6,3,0,3.7705981731414795
141,5,5,1,2.964247465133667
142,6,3,0,3.1584787368774414
143,3,5,0,2.64060640335083
144,8,1,0,1.8419321775436401
145,7,3,0,2.509202480316162
146,6,3,0,3.269865036010742
147,2,4,0,2.5697860717773438
148,5,3,0,2.5820841789245605
149,2,3,0,3.315509080886841
150,8,6,0,3.478145122528076
151,9,1,0,2.9749789237976074
152,6,1,0,1.4914997816085815
153,0,9,0,2.337033748626709
154,0,0,1,2.301163911819458
155,5,3,0,3.73406982421875
156,2,9,0,2.9131689071655273
157,9,7,0,1.2178559303283691
158,5,3,0,2.239004611968994
159,4,1,0,2.7457170486450195
160,2,0,0,2.2764809131622314
161,1,0,0,1.0455491542816162
162,6,2,0,2.045008659362793
163,6,9,0,4.032287120819092
164,8,7,0,2.4009766578674316
165,4,7,0,3.0992443561553955
166,8,0,0,1.9837110042572021
167,4,3,0,3.9477782249450684
168,5,5,1,3.2640066146850586
169,0,2,0,4.094516277313232
170,9,3,0,2.4475083351135254
171,9,6,0,3.1158409118652344
172,9,2,0,3.0741312503814697
173,8,4,0,3.018550157546997
174,9,3,0,2.935405731201172
175,9,9,1,5.679168224334717
176,3,4,0,2.3118629455566406
177,7,5,0,1.9253783226013184
178,5,3,0,2.4471917152404785
179,0,3,0,2.2977888584136963
180,0,7,0,1.4244229793548584
181,5,3,0,3.034008026123047
182,2,1,0,1.3182592391967773
183,2,3,0,3.1306662559509277
184,3,3,1,2.131711483001709
185,8,1,0,2.636751413345337
186,6,6,1,2.9082260131835938
187,3,9,0,3.12233829498291
188,4,3,0,1.9313464164733887
189,0,4,0,2.4881539344787598
190,5,6,0,4.637716770172119
191,8,5,0,2.9588799476623535
192,0,3,0,3.272068500518799
193,1,9,0,0.9266225695610046
194,7,3,0,3.4594945907592773
195,2,2,1,2.4330532550811768
196,8,6,0,3.026209831237793
197,8,2,0,1.4328782558441162
198,7,5,0,3.115588903427124
199,8,2,0,1.708495020866394
200,5,2,0,2.062455892562866
201,1,2,0,0.9007441401481628
202,8,1,0,2.3676204681396484
203,7,1,0,1.083945631980896
204,1,9,0,2.420860767364502
205,3,3,1,2.246021270751953
206,0,0,1,3.5183265209198
207,5,2,0,3.0232529640197754
208,7,4,0,3.234326124191284
209,9,3,0,0.9688867926597595
210,7,3,0,2.493168592453003
211,4,1,0,1.163191318511963
212,5,5,1,2.827348470687866
213,9,2,0,3.511835813522339
214,8,3,0,1.1321403980255127
215,0,8,0,1.373020887374878
216,7,3,0,2.7250161170959473
217,9,8,0,2.6510071754455566
218,8,7,0,2.2817139625549316
219,2,5,0,2.3282406330108643
220,7,7,1,2.6263837814331055
221,6,5,0,3.1401939392089844
222,9,9,1,4.720988750457764
223,4,1,0,1.796910047531128
224,3,4,0,2.0863547325134277
225,9,1,0,3.683452844619751
226,6,3,0,4.783355236053467
227,4,6,0,3.978862762451172
228,7,1,0,2.3778655529022217
229,6,2,0,1.2646284103393555
230,5,3,0,3.194140911102295
231,1,9,0,1.9332728385925293
232,5,3,0,2.672013759613037
233,8,1,0,1.3834253549575806
234,8,3,0,2.349536657333374
235,0,0,1,3.252695322036743
236,4,4,1,4.323327541351318
237,0,3,0,1.5904898643493652
238,5,3,0,1.4691321849822998
239,5,9,0,3.3537983894348145
240,1,1,1,3.419409990310669
241,1,3,0,1.6499783992767334
242,8,5,0,1.6942098140716553
243,9,9,1,2.5639309883117676
244,0,2,0,2.0185420513153076
245,3,3,1,1.3544375896453857
246,1,5,0,3.2122178077697754
247,9,6,0,3.5470235347747803
248,2,2,1,4.773840427398682
249,2,4,0,1.1610534191131592
250,5,3,0,3.2276859283447266
251,3,3,1,2.000396490097046
252,9,6,0,4.0578131675720215
253,9,1,0,4.1906280517578125
254,4,4,1,3.0829367637634277
255,0,3,0,1.020033597946167
256,3,6,0,0.9616249799728394
257,0,7,0,1.7625608444213867
258,0,6,0,3.3201091289520264
259,9,3,0,1.731472134590149
260,8,6,0,4.158614635467529
261,1,2,0,2.267873525619507
262,5,1,0,1.1443120241165161
263,7,3,0,3.0627198219299316
264,0,1,0,3.4418838024139404
265,8,8,1,3.6025948524475098
266,2,5,0,2.4962425231933594
267,4,3,0,3.3900833129882812
268,7,3,0,2.3789167404174805
269,0,3,0,3.0232529640197754
270,2,3,0,2.861685276031494
271,3,3,1,1.7285103797912598
272,6,6,1,6.4767374992370605
273,3,3,1,2.2736687660217285
274,8,3,0,2.0040438175201416
275,5,7,0,2.0975468158721924
276,0,8,0,2.0048036575317383
277,3,3,1,1.535048246383667
278,4,7,0,3.3764472007751465
279,3,9,0,3.9879884719848633
280,9,2,0,1.0235780477523804
281,0,1,0,5.7499680519104
282,6,3,0,3.575554132461548
283,1,9,0,3.080578565597534
284,0,1,0,1.4155776500701904
285,9,9,1,4.645083427429199
286,1,9,0,1.7653063535690308
287,0,5,0,3.565443754196167
288,7,5,0,4.645503044128418
289,9,6,0,1.8978114128112793
290,1,2,0,1.430497169494629
291,2,2,1,2.0426154136657715
292,6,6,1,6.995143413543701
293,9,8,0,2.013965606689453
294,3,8,0,2.5183959007263184
295,4,6,0,4.214909076690674
296,6,4,0,3.3050036430358887
297,0,0,1,2.105844020843506
298,0,0,1,1.7130720615386963
299,6,6,1,7.240067005157471
300,6,3,0,3.4782485961914062
301,6,6,1,5.755432605743408
302,3,3,1,1.4401919841766357
303,2,3,0,2.7963786125183105
304,6,8,0,1.4783718585968018
305,1,9,0,2.4924609661102295
306,8,9,0,3.382302761077881
307,2,3,0,1.9634921550750732
308,1,1,1,2.836052179336548
309,6,2,0,2.863264799118042
310,8,0,0,1.2854504585266113
311,6,6,1,4.297496318817139
312,8,5,0,3.260371685028076
313,0,3,0,2.210470199584961
314,4,3,0,2.13053035736084
315,0,3,0,3.0460686683654785
316,7,2,0,2.1988942623138428
317,7,3,0,1.7155407667160034
318,5,2,0,1.658206820487976
319,5,3,0,3.0395803451538086
320,3,3,1,2.9952917098999023
321,5,4,0,3.251800537109375
322,2,6,0,3.7004785537719727
323,3,3,1,3.4219961166381836
324,4,1,0,2.5170717239379883
325,1,3,0,1.823305606842041
326,7,3,0,3.1591153144836426
327,5,5,1,2.727311849594116
328,4,7,0,1.359668254852295
329,6,0,0,1.0121533870697021
330,1,2,0,3.1024839878082275
331,9,3,0,2.701244831085205
332,3,5,0,3.347512722015381
333,6,6,1,5.634149074554443
334,6,6,1,3.329507827758789
335,9,9,1,2.9396021366119385
336,3,3,1,5.002074718475342
337,8,2,0,2.221437692642212
338,0,0,1,2.6817374229431152
339,7,3,0,1.5016911029815674
340,2,3,0,1.0282517671585083
341,6,2,0,2.2903690338134766
342,2,0,0,2.7154953479766846
343,5,5,1,2.5873188972473145
344,8,6,0,4.653061866760254
345,5,6,0,5.104691028594971
346,4,5,0,3.380918502807617
347,6,6,1,3.2390918731689453
348,8,8,1,2.5934314727783203
349,9,9,1,8.567056655883789
350,9,9,1,5.601705074310303
351,1,9,0,4.265408039093018
352,0,1,0,1.7101744413375854
353,2,0,0,2.0455596446990967
354,2,3,0,2.475097417831421
355,7,6,0,2.222133159637451
356,3,3,1,4.035611629486084
357,2,3,0,3.901402473449707
358,8,1,0,4.707866191864014
359,0,0,1,2.2916834354400635
360,9,1,0,3.845663070678711
361,5,3,0,2.0330874919891357
362,8,3,0,2.6501331329345703
363,1,0,0,0.9264310598373413
364,9,2,0,2.1642820835113525
365,4,1,0,1.4075812101364136
366,1,4,0,2.0795254707336426
367,3,3,1,2.739133834838867
368,8,8,1,2.3269944190979004
369,1,5,0,2.288926601409912
370,4,5,0,3.5684657096862793
371,7,3,0,1.6958374977111816
372,9,9,1,3.6068592071533203
373,4,5,0,2.713073492050171
374,2,2,1,3.1021511554718018
375,7,2,0,2.3022799491882324
376,0,2,0,2.464463472366333
377,7,7,1,1.4939674139022827
378,0,6,0,6.457453727722168
379,6,6,1,5.1050639152526855
380,6,6,1,4.415632247924805
381,9,1,0,1.801576018333435
382,0,3,0,2.5322723388671875
383,9,5,0,2.3323864936828613
384,2,4,0,4.591918468475342
385,8,3,0,1.508935809135437
386,7,7,1,2.5478005409240723
387,2,7,0,3.2706992626190186
388,2,3,0,2.3365209102630615
389,5,3,0,2.449617862701416
390,1,1,1,1.5489345788955688
391,2,2,1,3.229227304458618
392,6,6,1,2.7912044525146484
393,2,3,0,1.8075623512268066
394,9,3,0,2.999988079071045
395,6,6,1,7.346121311187744
396,2,3,0,3.4475133419036865
397,3,3,1,1.5009689331054688
398,0,7,0,2.7695202827453613
399,3,9,0,8.266519546508789
400,9,1,0,1.5799026489257812
401,8,2,0,1.701648473739624
402,7,5,0,1.6541826725006104
403,8,8,1,2.892037868499756
404,8,3,0,1.5701907873153687
405,4,6,0,3.3312125205993652
406,0,5,0,2.775893211364746
407,1,9,0,2.030888080596924
408,8,2,0,3.030755043029785
409,2,3,0,3.7566428184509277
410,7,3,0,2.098703384399414
411,9,3,0,2.5317249298095703
412,3,5,0,2.654418706893921
413,6,6,1,2.4683496952056885
414,1,1,1,4.6042304039001465
415,9,9,1,3.5532443523406982
416,0,3,0,4.066833972930908
417,7,1,0,1.268406867980957
418,3,6,0,3.4336633682250977
419,7,9,0,2.0868492126464844
420,4,3,0,2.159090280532837
421,5,3,0,3.904301643371582
422,0,3,0,4.324654579162598
423,0,3,0,1.2460753917694092
424,2,6,0,3.2887654304504395
425,9,9,1,5.8351731300354
426,3,9,0,1.6453216075897217
427,4,6,0,1.7950670719146729
428,0,6,0,5.811583995819092
429,6,3,0,2.0475645065307617
430,2,2,1,3.1071126461029053
431,5,9,0,2.425809383392334
432,3,3,1,4.384216785430908
433,7,3,0,2.743156909942627
434,3,3,1,2.813120126724243
435,7,2,0,2.9259111881256104
436,2,1,0,3.278806209564209
437,5,5,1,1.9387696981430054
438,3,3,1,2.3470611572265625
439,1,6,0,2.3950085639953613
440,1,2,0,2.3909389972686768
441,4,2,0,1.0543149709701538
442,9,1,0,3.960400104522705
443,9,1,0,2.3975281715393066
444,5,7,0,1.8727964162826538
445,7,4,0,5.599964141845703
446,5,3,0,1.474339485168457
447,0,0,1,3.1002275943756104
448,2,2,1,1.354322075843811
449,2,0,0,2.1992719173431396
450,2,3,0,2.82307767868042
451,9,3,0,1.776328682899475
452,7,4,0,2.7746834754943848
453,3,3,1,3.023413896560669
454,9,9,1,4.643417835235596
455,4,2,0,1.7142157554626465
456,3,4,0,3.042630434036255
457,5,3,0,2.9681789875030518
458,4,7,0,1.294415831565857
459,6,6,1,2.7973389625549316
460,5,3,0,1.2908408641815186
461,6,6,1,3.652470111846924
462,1,0,0,3.4377739429473877
463,4,1,0,2.525158405303955
464,3,6,0,5.261894702911377
465,4,6,0,3.023897171020508
466,4,4,1,4.106344699859619
467,3,3,1,2.2804605960845947
468,7,4,0,3.1112895011901855
469,8,3,0,3.2228455543518066
470,3,6,0,2.654412269592285
471,7,3,0,2.552642345428467
472,8,0,0,1.5769402980804443
