sample_idx,true_label,pred_label,correct,confidence
0,3,5,0,4.159080505371094
1,8,3,0,3.034450054168701
2,8,2,0,3.700009822845459
3,0,0,1,2.3094451427459717
4,6,2,0,1.8807605504989624
5,6,2,0,3.331880807876587
6,1,3,0,1.7201857566833496
7,6,5,0,2.90303373336792
8,3,0,0,2.6307294368743896
9,1,3,0,3.5339274406433105
10,0,3,0,2.561464786529541
11,9,5,0,3.6179590225219727
12,5,3,0,1.5255119800567627
13,7,5,0,3.6670525074005127
14,9,3,0,2.8569271564483643
15,8,5,0,2.9612319469451904
16,5,5,1,4.55586051940918
17,7,5,0,3.619889259338379
18,8,3,0,2.323996067047119
19,6,2,0,2.5808310508728027
20,7,5,0,3.143573760986328
21,0,0,1,3.8343756198883057
22,4,0,0,2.3458006381988525
23,9,5,0,1.846935749053955
24,5,2,0,2.7047207355499268
25,2,0,0,1.6212756633758545
26,4,5,0,2.5396671295166016
27,0,0,1,3.635404348373413
28,9,0,0,3.0940330028533936
29,6,5,0,4.174028396606445
30,6,3,0,3.968479871749878
31,5,2,0,2.1615281105041504
32,4,3,0,2.907811403274536
33,5,5,1,4.578893184661865
34,9,3,0,3.8975367546081543
35,2,7,0,2.435049295425415
36,4,3,0,2.8377208709716797
37,1,3,0,2.6564242839813232
38,9,3,0,2.5116138458251953
39,5,0,0,2.4739410877227783
40,4,0,0,2.5373127460479736
41,6,4,0,2.433727741241455
42,5,5,1,3.093841791152954
43,6,2,0,1.7825227975845337
44,0,2,0,3.56008243560791
45,9,0,0,3.493062734603882
46,3,5,0,2.4880194664001465
47,9,3,0,2.0254123210906982
48,7,2,0,2.282792806625366
49,6,5,0,4.152291774749756
50,9,3,0,2.878641128540039
51,8,7,0,2.122467279434204
52,0,2,0,2.231119155883789
53,3,5,0,3.0372109413146973
54,8,0,0,3.4648914337158203
55,8,0,0,2.3365609645843506
56,7,5,0,3.162722110748291
57,7,5,0,4.284472942352295
58,4,3,0,2.793759346008301
59,6,0,0,1.747018575668335
60,7,2,0,1.5070903301239014
61,3,3,1,1.1489179134368896
62,6,4,0,2.172666549682617
63,3,3,1,1.8794779777526855
64,6,3,0,3.207012176513672
65,2,2,1,1.8492714166641235
66,1,0,0,1.3906984329223633
67,2,0,0,3.0068705081939697
68,3,3,1,3.2236735820770264
69,7,2,0,2.8640761375427246
70,2,0,0,2.6351430416107178
71,6,5,0,2.6134142875671387
72,8,0,0,3.2085111141204834
73,8,5,0,3.483412027359009
74,0,2,0,2.6573617458343506
75,2,2,1,3.45017671585083
76,9,3,0,2.9290051460266113
77,3,3,1,3.7761459350585938
78,3,2,0,1.461859107017517
79,8,3,0,2.727595329284668
80,8,0,0,2.046199321746826
81,1,1,1,1.9412825107574463
82,1,2,0,3.6422741413116455
83,7,0,0,3.385676860809326
84,2,0,0,2.7487967014312744
85,5,5,1,2.792595624923706
86,2,5,0,3.7154653072357178
87,7,0,0,3.636766195297241
88,8,7,0,2.0727028846740723
89,9,5,0,2.9291045665740967
90,0,0,1,2.5756618976593018
91,3,5,0,3.272007465362549
92,8,3,0,3.4375734329223633
93,6,9,0,2.0590691566467285
94,4,2,0,3.0806870460510254
95,6,5,0,2.9260551929473877
96,6,7,0,2.7219231128692627
97,0,0,1,4.8879828453063965
98,0,7,0,3.180391311645508
99,7,3,0,3.0824170112609863
100,4,0,0,3.548781633377075
101,5,5,1,4.903509140014648
102,6,3,0,2.3588829040527344
103,3,3,1,0.9945569634437561
104,1,3,0,3.0360958576202393
105,1,0,0,3.3837552070617676
106,3,5,0,3.0792760848999023
107,6,2,0,2.538896322250366
108,8,3,0,2.543729782104492
109,7,3,0,2.636904239654541
110,4,2,0,3.5100133419036865
111,0,0,1,2.662588357925415
112,6,2,0,2.913426637649536
113,2,7,0,2.3092164993286133
114,1,3,0,3.2161974906921387
115,3,2,0,2.4893453121185303
116,0,0,1,3.3467345237731934
117,4,5,0,2.7531771659851074
118,2,3,0,3.148906707763672
119,7,5,0,4.062291145324707
120,8,3,0,2.6464385986328125
121,3,4,0,2.3464784622192383
122,1,2,0,2.5609216690063477
123,2,2,1,3.176454544067383
124,8,3,0,3.464259624481201
125,0,7,0,1.6592977046966553
126,8,0,0,4.303842067718506
127,3,3,1,3.8305673599243164
128,5,2,0,2.238372564315796
129,2,0,0,2.815247058868408
130,4,7,0,2.36468243598938
131,1,3,0,2.4291746616363525
132,8,0,0,3.009788751602173
133,9,3,0,1.7170815467834473
134,1,3,0,2.5127811431884766
135,2,0,0,3.272722005844116
136,9,4,0,1.358507513999939
137,7,3,0,2.2639577388763428
138,2,5,0,3.3932480812072754
139,9,2,0,3.475301504135132
140,6,3,0,3.320152759552002
141,5,2,0,2.3784029483795166
142,6,0,0,3.4828290939331055
143,3,5,0,2.9121663570404053
144,8,8,1,1.2954515218734741
145,7,7,1,2.895416259765625
146,6,3,0,2.9596896171569824
147,2,3,0,2.221864938735962
148,5,3,0,2.1333789825439453
149,2,3,0,1.5866061449050903
150,8,0,0,2.9975526332855225
151,9,5,0,3.6367998123168945
152,6,3,0,2.9237818717956543
153,0,0,1,2.646852731704712
154,0,3,0,3.0446577072143555
155,5,5,1,4.006922721862793
156,2,3,0,1.9738399982452393
