sample_idx,true_label,pred_label,correct,confidence
0,3,3,1,6.146438121795654
1,8,3,0,2.7206008434295654
2,8,2,0,1.7587990760803223
3,0,2,0,3.755382537841797
4,6,6,1,5.9803385734558105
5,6,6,1,3.4221694469451904
6,1,9,0,4.376718521118164
7,6,4,0,4.154247283935547
8,3,3,1,2.362947463989258
9,1,1,1,4.5922956466674805
10,0,0,1,3.32433819770813
11,9,5,0,3.794447660446167
12,5,5,1,1.6406183242797852
13,7,7,1,2.502842664718628
14,9,9,1,5.195525646209717
15,8,4,0,4.777274131774902
16,5,5,1,4.4946746826171875
17,7,3,0,2.015932321548462
18,8,8,1,4.782517433166504
19,6,3,0,3.570423126220703
20,7,7,1,6.040043354034424
21,0,1,0,3.277489423751831
22,4,9,0,4.815417289733887
23,9,1,0,6.684947490692139
24,5,5,1,3.9371790885925293
25,2,5,0,2.8600542545318604
26,4,3,0,3.728487730026245
27,0,7,0,4.54954719543457
28,9,1,0,2.788872480392456
29,6,6,1,4.561098098754883
30,6,3,0,2.7818093299865723
31,5,4,0,4.35324764251709
32,4,5,0,1.7742892503738403
33,5,2,0,2.7935874462127686
34,9,1,0,1.4068747758865356
35,2,3,0,3.7748043537139893
36,4,5,0,3.6913797855377197
37,1,3,0,2.8666274547576904
38,9,1,0,5.212614059448242
39,5,3,0,4.921773910522461
40,4,1,0,2.8501639366149902
41,6,6,1,5.205022811889648
42,5,3,0,2.868830442428589
43,6,6,1,2.866769313812256
44,0,8,0,5.9156880378723145
45,9,3,0,2.7608256340026855
46,3,6,0,1.7063572406768799
47,9,1,0,2.794323205947876
48,7,4,0,5.037726402282715
49,6,6,1,4.053760528564453
50,9,0,0,2.120861768722534
51,8,8,1,2.3955206871032715
52,0,6,0,4.090418338775635
53,3,3,1,1.7826507091522217
54,8,3,0,3.138732433319092
55,8,8,1,4.816617012023926
56,7,9,0,1.8718751668930054
57,7,5,0,3.335211992263794
58,4,3,0,1.441981554031372
59,6,5,0,4.221129417419434
60,7,4,0,2.4560418128967285
61,3,3,1,3.3474512100219727
62,6,5,0,3.4488627910614014
63,3,5,0,2.9158999919891357
64,6,4,0,2.9038591384887695
65,2,4,0,4.940044403076172
66,1,2,0,2.1032886505126953
67,2,7,0,1.9940117597579956
68,3,6,0,2.0684783458709717
69,7,0,0,2.669867992401123
70,2,2,1,5.382025718688965
71,6,6,1,5.28230094909668
72,8,3,0,2.8969345092773438
73,8,0,0,3.8704986572265625
74,0,3,0,2.962010383605957
75,2,2,1,4.989607334136963
76,9,9,1,3.174980640411377
77,3,5,0,2.1921255588531494
78,3,3,1,2.9764063358306885
79,8,0,0,2.826781749725342
80,8,5,0,4.311881065368652
81,1,2,0,2.2815606594085693
82,1,2,0,2.6572492122650146
83,7,3,0,1.7636141777038574
84,2,7,0,2.2124345302581787
85,5,9,0,2.140805959701538
86,2,3,0,2.684317111968994
87,7,4,0,2.5617988109588623
88,8,5,0,2.3436391353607178
89,9,9,1,4.037134647369385
90,0,9,0,2.524252414703369
91,3,3,1,3.8364603519439697
92,8,2,0,2.229783535003662
93,6,3,0,2.3487913608551025
94,4,2,0,3.690314531326294
95,6,6,1,2.1504716873168945
96,6,9,0,1.533258318901062
97,0,2,0,4.923633575439453
98,0,0,1,3.7685158252716064
99,7,5,0,2.803248643875122
100,4,9,0,1.4931565523147583
101,5,9,0,3.7050139904022217
102,6,6,1,4.207424640655518
103,3,6,0,3.2117068767547607
104,1,1,1,3.4838621616363525
105,1,3,0,1.9592089653015137
106,3,3,1,4.798923015594482
107,6,6,1,7.839545249938965
108,8,5,0,3.551522970199585
109,7,0,0,2.3835866451263428
110,4,6,0,4.4173665046691895
111,0,7,0,1.3688818216323853
112,6,6,1,5.023608684539795
113,2,5,0,5.327316761016846
114,1,9,0,3.688154458999634
115,3,1,0,2.898547410964966
116,0,0,1,2.9726810455322266
117,4,5,0,3.3917603492736816
118,2,3,0,2.38083553314209
119,7,1,0,2.0789506435394287
120,8,1,0,2.2317116260528564
121,3,3,1,3.340200662612915
122,1,9,0,2.477532386779785
123,2,2,1,3.911332845687866
124,8,7,0,2.157963752746582
125,0,8,0,1.8947532176971436
126,8,5,0,1.822420358657837
127,3,3,1,3.202307939529419
128,5,5,1,1.4157599210739136
129,2,5,0,2.0552523136138916
130,4,2,0,4.971817493438721
131,1,0,0,1.2601494789123535
132,8,1,0,5.768861293792725
133,9,9,1,5.4167962074279785
134,1,1,1,1.9435442686080933
135,2,9,0,2.3516695499420166
136,9,9,1,5.478089809417725
137,7,1,0,2.786665678024292
138,2,2,1,5.943235874176025
139,9,0,0,3.1602890491485596
140,6,5,0,2.749497652053833
141,5,5,1,3.219562530517578
142,6,3,0,3.7535815238952637
143,3,5,0,4.070597171783447
144,8,0,0,1.9890174865722656
145,7,6,0,2.1690666675567627
146,6,3,0,4.779866695404053
147,2,6,0,3.1038129329681396
148,5,3,0,2.6066391468048096
149,2,3,0,2.484426259994507
150,8,0,0,1.8996886014938354
151,9,1,0,2.449908494949341
152,6,3,0,4.230123519897461
153,0,5,0,1.9969935417175293
154,0,0,1,2.9366321563720703
155,5,5,1,3.170462131500244
156,2,2,1,3.040855646133423
157,9,0,0,1.777904987335205
158,5,3,0,6.288716793060303
159,4,2,0,4.051115989685059
160,2,0,0,4.338514804840088
161,1,1,1,1.943628191947937
162,6,6,1,4.096744537353516
163,6,6,1,7.823894023895264
164,8,9,0,3.473095178604126
165,4,7,0,4.948080539703369
