sample_idx,true_label,pred_label,correct,confidence
0,3,5,0,2.841677188873291
1,8,0,0,4.179337978363037
2,8,0,0,5.554103851318359
3,0,5,0,3.607377290725708
4,6,5,0,3.5322065353393555
5,6,3,0,4.868006706237793
6,1,3,0,3.8836557865142822
7,6,2,0,4.478724479675293
8,3,3,1,3.1035685539245605
9,1,8,0,4.035175800323486
10,0,0,1,4.639313697814941
11,9,3,0,3.2861745357513428
12,5,3,0,5.569458484649658
13,7,3,0,3.9384098052978516
14,9,3,0,3.9590835571289062
15,8,4,0,4.660737037658691
16,5,3,0,4.288131237030029
17,7,4,0,2.5793440341949463
18,8,8,1,4.884756565093994
19,6,5,0,5.607091903686523
20,7,2,0,2.956721782684326
21,0,0,1,3.631816864013672
22,4,0,0,5.05384635925293
23,9,5,0,6.113813877105713
24,5,8,0,5.9584784507751465
25,2,8,0,8.162220001220703
26,4,2,0,3.7589666843414307
27,0,4,0,3.5605554580688477
28,9,5,0,6.692981719970703
29,6,2,0,5.087096214294434
30,6,2,0,4.369370937347412
31,5,5,1,5.299076080322266
32,4,5,0,3.8833868503570557
33,5,5,1,5.918607711791992
34,9,8,0,2.6328556537628174
35,2,3,0,6.019572734832764
36,4,0,0,4.82254695892334
37,1,0,0,4.733878135681152
38,9,3,0,5.00223970413208
39,5,0,0,5.103161811828613
40,4,4,1,2.8483216762542725
41,6,3,0,2.977247953414917
42,5,2,0,2.011239528656006
43,6,2,0,4.289956569671631
44,0,2,0,6.216684341430664
45,9,0,0,3.81673526763916
46,3,3,1,3.6147079467773438
47,9,0,0,3.6660213470458984
48,7,5,0,4.1805291175842285
49,6,3,0,4.111348628997803
50,9,5,0,5.18227481842041
51,8,2,0,4.588630676269531
52,0,5,0,6.448863983154297
53,3,3,1,4.400951862335205
54,8,0,0,4.6145806312561035
55,8,0,0,6.25621223449707
56,7,4,0,2.6508450508117676
57,7,3,0,2.9784693717956543
58,4,0,0,3.192413330078125
59,6,3,0,4.566551685333252
60,7,8,0,4.397947788238525
61,3,3,1,6.777135372161865
62,6,2,0,3.2467851638793945
63,3,0,0,4.6415181159973145
64,6,3,0,2.7756876945495605
65,2,5,0,3.926116704940796
66,1,0,0,3.129978656768799
67,2,0,0,7.630073547363281
68,3,3,1,4.8766021728515625
69,7,2,0,3.37119197845459
70,2,0,0,3.728755474090576
71,6,3,0,5.408248424530029
72,8,0,0,4.8932037353515625
73,8,3,0,4.472083568572998
74,0,5,0,5.508324146270752
75,2,4,0,3.681446075439453
76,9,5,0,6.752137660980225
77,3,3,1,3.969520330429077
78,3,3,1,6.832830429077148
79,8,0,0,3.1870434284210205
80,8,8,1,4.97350549697876
81,1,8,0,3.8927717208862305
82,1,2,0,5.615797519683838
83,7,0,0,4.134134769439697
84,2,0,0,4.424001693725586
85,5,4,0,2.5300235748291016
86,2,3,0,5.72887659072876
87,7,0,0,4.444690227508545
88,8,5,0,5.601113796234131
89,9,5,0,3.579599380493164
90,0,0,1,5.628854751586914
91,3,3,1,5.692698001861572
92,8,3,0,3.081202268600464
93,6,4,0,4.505943775177002
94,4,2,0,4.2604780197143555
95,6,5,0,4.580806732177734
96,6,4,0,4.535397529602051
97,0,0,1,4.181642055511475
98,0,0,1,3.8905041217803955
99,7,0,0,3.117152690887451
100,4,8,0,4.712596416473389
101,5,4,0,3.0198605060577393
102,6,2,0,3.258909225463867
103,3,3,1,4.183614253997803
104,1,3,0,4.666688919067383
105,1,0,0,4.087065696716309
106,3,3,1,4.56491231918335
107,6,4,0,3.6053054332733154
108,8,5,0,6.562973499298096
109,7,3,0,4.596948146820068
110,4,2,0,4.915225505828857
111,0,3,0,3.6546545028686523
112,6,5,0,4.24082088470459
113,2,0,0,3.862943410873413
114,1,9,0,3.432191848754883
115,3,5,0,4.4914703369140625
116,0,0,1,5.3783979415893555
117,4,4,1,3.951180934906006
118,2,3,0,6.122936725616455
119,7,5,0,5.961984634399414
120,8,0,0,4.241331100463867
121,3,3,1,6.421227931976318
122,1,3,0,4.6773762702941895
123,2,5,0,3.8443551063537598
124,8,0,0,3.743541717529297
125,0,8,0,3.713317632675171
126,8,0,0,5.3423662185668945
127,3,3,1,6.14010763168335
128,5,3,0,5.151197910308838
129,2,0,0,4.764848709106445
130,4,5,0,5.180353164672852
131,1,8,0,2.8245015144348145
132,8,8,1,4.307406425476074
133,9,8,0,3.675997734069824
134,1,0,0,3.93442440032959
135,2,0,0,4.125118255615234
136,9,3,0,5.240138530731201
137,7,8,0,3.9205262660980225
138,2,5,0,4.730501174926758
139,9,5,0,4.933525562286377
140,6,0,0,5.792373180389404
141,5,5,1,5.17621374130249
142,6,0,0,4.586647987365723
143,3,3,1,5.709266185760498
144,8,0,0,5.359238624572754
145,7,0,0,5.249995708465576
146,6,2,0,4.03867244720459
147,2,3,0,4.7535176277160645
148,5,3,0,2.3593192100524902
149,2,3,0,6.31587028503418
150,8,5,0,5.267807960510254
151,9,5,0,3.797558546066284
152,6,3,0,3.2055435180664062
153,0,3,0,2.2697668075561523
154,0,0,1,6.078733444213867
155,5,5,1,3.033048391342163
156,2,0,0,3.931946277618408
157,9,0,0,2.505788564682007
158,5,3,0,5.715709686279297
159,4,0,0,3.5607388019561768
160,2,3,0,1.9704376459121704
161,1,5,0,6.339750289916992
162,6,3,0,5.538339138031006
163,6,2,0,3.9231314659118652
164,8,0,0,5.006294250488281
165,4,2,0,2.8203749656677246
166,8,0,0,6.62192440032959
167,4,3,0,5.475022792816162
168,5,3,0,4.3651957511901855
169,0,3,0,4.079806804656982
170,9,0,0,3.7838945388793945
171,9,5,0,5.539597988128662
172,9,0,0,4.863598823547363
173,8,0,0,4.712591171264648
174,9,5,0,5.162703037261963
175,9,0,0,2.7225823402404785
176,3,4,0,4.134132385253906
