sample_idx,true_label,pred_label,correct,confidence
0,3,3,1,3.8933072090148926
1,8,8,1,4.641145706176758
2,8,8,1,2.8208742141723633
3,0,3,0,3.999697208404541
4,6,2,0,5.800897121429443
5,6,6,1,5.892978668212891
6,1,9,0,5.5980401039123535
7,6,2,0,5.4418745040893555
8,3,5,0,3.2244250774383545
9,1,9,0,5.092141151428223
10,0,0,1,6.424264907836914
11,9,9,1,5.956784725189209
12,5,5,1,4.832432746887207
13,7,9,0,2.021162509918213
14,9,9,1,5.5446953773498535
15,8,6,0,2.920924186706543
16,5,3,0,5.05474853515625
17,7,9,0,1.5345871448516846
18,8,8,1,5.411285400390625
19,6,6,1,5.693403720855713
20,7,7,1,6.797999858856201
21,0,0,1,4.229724884033203
22,4,0,0,2.858560562133789
23,9,9,1,9.168251037597656
24,5,2,0,3.4437944889068604
25,2,2,1,4.465832710266113
26,4,3,0,4.253025531768799
27,0,6,0,3.1088223457336426
28,9,9,1,6.3500494956970215
29,6,6,1,5.529667854309082
30,6,3,0,4.60568904876709
31,5,5,1,6.046982288360596
32,4,2,0,4.930241107940674
33,5,3,0,3.224027156829834
34,9,9,1,4.478694438934326
35,2,2,1,4.186306953430176
36,4,4,1,3.9171628952026367
37,1,9,0,3.656815528869629
38,9,9,1,4.8746538162231445
39,5,1,0,3.1748757362365723
40,4,9,0,3.8474392890930176
41,6,6,1,5.319944381713867
42,5,3,0,3.4374775886535645
43,6,4,0,3.8410701751708984
44,0,0,1,5.482529163360596
45,9,9,1,8.980626106262207
46,3,5,0,5.251566410064697
47,9,3,0,3.7317757606506348
48,7,7,1,6.559449195861816
49,6,6,1,6.225366115570068
50,9,9,1,6.2951788902282715
51,8,8,1,8.982702255249023
52,0,1,0,3.854985237121582
53,3,3,1,3.8531603813171387
54,8,0,0,6.31132173538208
55,8,8,1,10.130806922912598
56,7,3,0,3.6961491107940674
57,7,3,0,2.0528371334075928
58,4,5,0,2.613743782043457
59,6,5,0,3.585197925567627
60,7,7,1,9.279413223266602
61,3,3,1,5.0456976890563965
62,6,5,0,1.6109483242034912
63,3,3,1,3.645812511444092
64,6,3,0,3.696988105773926
65,2,6,0,4.613056182861328
66,1,1,1,2.723555564880371
67,2,6,0,2.512242555618286
68,3,3,1,1.5639513731002808
69,7,7,1,3.011198043823242
70,2,2,1,6.077932357788086
71,6,3,0,2.0168302059173584
72,8,8,1,3.9141764640808105
73,8,8,1,4.477474212646484
74,0,3,0,1.8180840015411377
75,2,4,0,5.056122303009033
76,9,0,0,3.9442620277404785
77,3,3,1,3.8628058433532715
78,3,5,0,6.484648704528809
79,8,3,0,3.290255546569824
80,8,8,1,8.262144088745117
81,1,9,0,4.523466110229492
82,1,1,1,3.578730821609497
83,7,3,0,2.584540367126465
84,2,3,0,2.9070818424224854
85,5,3,0,3.410456418991089
86,2,2,1,2.0945427417755127
87,7,9,0,2.1443963050842285
88,8,8,1,3.7757482528686523
89,9,9,1,6.668035984039307
90,0,0,1,6.930558204650879
91,3,3,1,3.9498419761657715
92,8,8,1,7.413983345031738
93,6,6,1,5.659730911254883
94,4,4,1,3.8085715770721436
95,6,6,1,3.683889150619507
96,6,6,1,6.955899715423584
97,0,0,1,5.837057590484619
98,0,0,1,6.368610382080078
99,7,7,1,3.5074100494384766
100,4,2,0,4.3534722328186035
101,5,8,0,2.7760534286499023
102,6,6,1,4.432572841644287
103,3,3,1,5.880177974700928
104,1,1,1,2.9240496158599854
105,1,8,0,4.5480852127075195
106,3,3,1,5.197912216186523
107,6,6,1,8.741933822631836
108,8,2,0,1.1299275159835815
109,7,5,0,4.292607307434082
110,4,2,0,1.8596901893615723
111,0,1,0,4.772895812988281
112,6,9,0,2.4289560317993164
113,2,3,0,4.8198065757751465
114,1,9,0,6.968757152557373
115,3,3,1,3.0173771381378174
116,0,0,1,3.557987928390503
117,4,3,0,4.091529369354248
118,2,3,0,3.433122396469116
119,7,7,1,4.893568992614746
120,8,0,0,2.698530673980713
121,3,3,1,5.5098371505737305
122,1,6,0,4.092523097991943
123,2,4,0,2.416306257247925
124,8,1,0,4.998391628265381
125,0,8,0,3.875575304031372
126,8,8,1,3.8015241622924805
127,3,4,0,3.0109095573425293
128,5,1,0,2.714597702026367
129,2,0,0,3.8439993858337402
130,4,2,0,5.282771587371826
131,1,1,1,4.05049991607666
132,8,0,0,2.5512235164642334
133,9,9,1,7.777117729187012
134,1,1,1,2.4819741249084473
135,2,3,0,1.9059224128723145
136,9,1,0,5.062276840209961
137,7,7,1,4.202185153961182
138,2,2,1,7.209402084350586
139,9,8,0,9.807613372802734
140,6,3,0,4.034522533416748
141,5,5,1,7.564007759094238
142,6,6,1,3.5747897624969482
143,3,5,0,5.66741943359375
144,8,8,1,4.427722930908203
145,7,3,0,2.144089698791504
146,6,3,0,4.101046085357666
147,2,9,0,3.2809760570526123
148,5,3,0,3.9167768955230713
149,2,8,0,3.9228649139404297
150,8,3,0,4.669994354248047
151,9,3,0,3.5787081718444824
152,6,6,1,1.9040393829345703
153,0,8,0,1.4801912307739258
154,0,0,1,4.261102199554443
155,5,5,1,4.671372890472412
156,2,3,0,3.250535726547241
157,9,3,0,3.3718106746673584
