sample_idx,true_label,pred_label,correct,confidence
0,3,3,1,4.185214519500732
1,8,3,0,4.004884719848633
2,8,5,0,3.5640387535095215
3,0,3,0,2.179434299468994
4,6,6,1,6.981313228607178
5,6,1,0,3.7743594646453857
6,1,1,1,4.622838020324707
7,6,6,1,3.3180294036865234
8,3,2,0,5.234793186187744
9,1,1,1,4.044582366943359
10,0,3,0,3.1498403549194336
11,9,5,0,3.564094066619873
12,5,3,0,6.466310977935791
13,7,1,0,2.6366255283355713
14,9,9,1,5.197052955627441
15,8,6,0,2.866358995437622
16,5,3,0,5.258724689483643
17,7,3,0,3.0290279388427734
18,8,3,0,5.827162742614746
19,6,2,0,7.297762393951416
20,7,8,0,3.626347064971924
21,0,2,0,6.206504821777344
22,4,8,0,2.909113645553589
23,9,9,1,9.468396186828613
24,5,2,0,4.20154333114624
25,2,2,1,5.2946882247924805
26,4,1,0,3.368988037109375
27,0,6,0,1.68711256980896
28,9,1,0,3.2906007766723633
29,6,6,1,7.161808490753174
30,6,4,0,7.359525203704834
31,5,4,0,4.475743770599365
32,4,3,0,4.108957290649414
33,5,2,0,3.4987130165100098
34,9,9,1,1.9449636936187744
35,2,1,0,3.4012272357940674
36,4,7,0,3.5304574966430664
37,1,3,0,2.024582862854004
38,9,9,1,7.881750106811523
39,5,5,1,6.558038711547852
40,4,9,0,2.887145757675171
41,6,5,0,1.9748563766479492
42,5,2,0,3.5125417709350586
43,6,1,0,2.2312653064727783
44,0,0,1,5.714651584625244
45,9,8,0,2.657285690307617
46,3,5,0,3.7303526401519775
47,9,3,0,1.1467194557189941
48,7,7,1,5.5239667892456055
49,6,6,1,6.639636516571045
50,9,2,0,1.8207955360412598
51,8,6,0,3.2977848052978516
52,0,2,0,3.671264171600342
53,3,6,0,5.449334144592285
54,8,8,1,3.065305471420288
55,8,8,1,8.13325309753418
56,7,9,0,1.971550703048706
57,7,5,0,3.081160545349121
58,4,8,0,6.0786237716674805
59,6,5,0,3.4073336124420166
60,7,5,0,3.772562265396118
61,3,2,0,5.379868984222412
62,6,3,0,2.97489595413208
63,3,3,1,1.6333072185516357
64,6,6,1,4.250637054443359
65,2,6,0,2.6422667503356934
66,1,3,0,1.769801139831543
67,2,2,1,3.7632412910461426
68,3,5,0,2.3415868282318115
69,7,5,0,2.4829702377319336
70,2,5,0,3.5036509037017822
71,6,3,0,3.702299118041992
72,8,8,1,2.025709390640259
73,8,8,1,9.104602813720703
74,0,0,1,2.0446856021881104
75,2,4,0,5.672001838684082
76,9,0,0,3.378170967102051
77,3,6,0,4.045930862426758
78,3,3,1,3.412304639816284
79,8,8,1,4.952536582946777
80,8,3,0,4.172613620758057
81,1,1,1,3.6360771656036377
82,1,1,1,8.585355758666992
83,7,3,0,2.429198741912842
84,2,2,1,3.700357437133789
85,5,3,0,3.9723265171051025
86,2,5,0,5.730432033538818
87,7,8,0,3.7705979347229004
88,8,0,0,2.3545002937316895
89,9,9,1,6.882925033569336
90,0,5,0,6.527919769287109
91,3,4,0,4.7897772789001465
92,8,8,1,3.211862325668335
93,6,6,1,7.509340286254883
94,4,2,0,3.559803009033203
95,6,6,1,6.621315002441406
96,6,6,1,5.679826736450195
97,0,2,0,3.914686679840088
98,0,2,0,6.4494733810424805
99,7,4,0,3.416203022003174
100,4,4,1,3.718181848526001
101,5,4,0,3.5143094062805176
102,6,6,1,3.037356376647949
103,3,2,0,6.304191589355469
104,1,1,1,5.0755743980407715
105,1,1,1,6.87807559967041
106,3,3,1,3.1435210704803467
107,6,6,1,10.06476879119873
108,8,5,0,6.776898384094238
109,7,5,0,4.97228479385376
110,4,4,1,2.3041203022003174
111,0,8,0,2.2114224433898926
112,6,4,0,7.318869590759277
113,2,3,0,4.142672061920166
114,1,9,0,5.231377601623535
115,3,3,1,1.594966173171997
116,0,0,1,4.6913228034973145
117,4,5,0,2.9341747760772705
118,2,3,0,4.5713911056518555
119,7,5,0,3.5618324279785156
120,8,3,0,2.667491912841797
121,3,3,1,5.8060760498046875
122,1,9,0,1.8533172607421875
123,2,2,1,6.349212646484375
124,8,0,0,5.25922966003418
125,0,8,0,2.1354410648345947
126,8,5,0,3.0716967582702637
127,3,3,1,4.053839206695557
128,5,3,0,3.2324652671813965
129,2,2,1,2.2226552963256836
130,4,4,1,5.1620259284973145
131,1,1,1,3.002721071243286
132,8,3,0,4.786685466766357
133,9,9,1,12.907950401306152
134,1,1,1,5.530383586883545
135,2,3,0,2.945237159729004
136,9,9,1,3.4221835136413574
137,7,6,0,3.473050594329834
138,2,2,1,3.469270706176758
139,9,8,0,7.1581244468688965
140,6,3,0,2.10554838180542
141,5,3,0,3.30165433883667
142,6,6,1,2.959873914718628
143,3,5,0,6.202835559844971
144,8,8,1,4.309678077697754
145,7,6,0,2.5225720405578613
146,6,3,0,4.4150710105896
147,2,6,0,5.92347526550293
148,5,9,0,3.8273589611053467
149,2,2,1,2.7761311531066895
150,8,3,0,3.0662736892700195
151,9,1,0,3.6536989212036133
152,6,6,1,5.574195861816406
153,0,5,0,2.484954595565796
154,0,0,1,4.153818130493164
155,5,5,1,3.782118797302246
156,2,5,0,6.931967735290527
157,9,9,1,2.1105687618255615
158,5,3,0,5.1389851570129395
159,4,2,0,2.745074987411499
160,2,2,1,4.492839813232422
161,1,0,0,1.446621060371399
162,6,5,0,4.176727771759033
163,6,6,1,9.97333812713623
164,8,3,0,2.5023083686828613
165,4,8,0,1.781633973121643
166,8,0,0,6.296170234680176
167,4,9,0,4.127887725830078
168,5,2,0,3.9576964378356934
169,0,0,1,2.946157932281494
170,9,9,1,3.308318853378296
171,9,4,0,3.2420766353607178
172,9,9,1,2.9161758422851562
173,8,3,0,2.3501033782958984
174,9,9,1,4.172224044799805
175,9,8,0,2.409764528274536
176,3,3,1,2.5452401638031006
177,7,7,1,5.332345962524414
178,5,3,0,3.0685060024261475
179,0,9,0,2.718813180923462
180,0,0,1,2.132071018218994
181,5,5,1,5.053101539611816
182,2,2,1,4.824409008026123
183,2,3,0,3.2509446144104004
184,3,7,0,4.064203262329102
185,8,4,0,2.257925271987915
186,6,5,0,2.284010171890259
187,3,6,0,4.426997184753418
188,4,3,0,5.257445812225342
189,0,8,0,3.1073315143585205
190,5,7,0,2.7634148597717285
191,8,5,0,3.1203482151031494
192,0,3,0,1.7807848453521729
193,1,8,0,2.4278647899627686
194,7,6,0,6.013527870178223
195,2,2,1,1.8526196479797363
196,8,8,1,5.207985877990723
197,8,3,0,3.531508445739746
198,7,3,0,2.7771155834198
199,8,8,1,4.992842674255371
200,5,7,0,4.2416534423828125
201,1,3,0,4.954449653625488
202,8,8,1,9.22092056274414
203,7,7,1,3.8980915546417236
204,1,1,1,4.001882076263428
205,3,3,1,4.650267124176025
206,0,2,0,2.848328113555908
207,5,5,1,6.062973499298096
