sample_idx,true_label,pred_label,correct,confidence
0,3,3,1,5.285732269287109
1,8,1,0,6.102694988250732
2,8,8,1,6.089251518249512
3,0,0,1,4.1415791511535645
4,6,6,1,6.884179592132568
5,6,6,1,2.6030495166778564
6,1,1,1,7.510016918182373
7,6,4,0,3.342818021774292
8,3,3,1,2.624124765396118
9,1,9,0,5.828048229217529
10,0,0,1,4.501190662384033
11,9,9,1,3.0014827251434326
12,5,5,1,7.243612766265869
13,7,9,0,3.0534071922302246
14,9,9,1,5.269708633422852
15,8,8,1,2.7582309246063232
16,5,3,0,4.5883073806762695
17,7,7,1,2.4656689167022705
18,8,3,0,4.675410747528076
19,6,6,1,5.957320690155029
20,7,7,1,2.6299726963043213
21,0,0,1,7.267941951751709
22,4,2,0,4.2447919845581055
23,9,9,1,7.215912818908691
24,5,5,1,4.664626598358154
25,2,2,1,4.421944618225098
26,4,4,1,2.1262013912200928
27,0,4,0,1.5748789310455322
28,9,1,0,3.6401121616363525
29,6,6,1,5.027698040008545
30,6,6,1,3.7381067276000977
31,5,4,0,5.338043689727783
32,4,4,1,5.382235050201416
33,5,3,0,2.8070380687713623
34,9,9,1,3.958869457244873
35,2,3,0,3.4156622886657715
36,4,5,0,2.038855791091919
37,1,9,0,2.679605722427368
38,9,9,1,7.186125755310059
39,5,5,1,6.311948299407959
40,4,4,1,3.1597392559051514
41,6,6,1,4.69468879699707
42,5,3,0,4.509578227996826
43,6,4,0,3.0809171199798584
44,0,0,1,7.12092399597168
45,9,3,0,3.284597635269165
46,3,5,0,8.835342407226562
47,9,3,0,2.2912585735321045
48,7,4,0,8.846060752868652
49,6,6,1,6.999372482299805
50,9,2,0,3.4426417350769043
51,8,5,0,3.6331729888916016
52,0,2,0,4.707089900970459
53,3,1,0,1.5883965492248535
54,8,8,1,9.358930587768555
55,8,8,1,7.380878448486328
56,7,7,1,3.546363353729248
57,7,5,0,5.208533763885498
58,4,5,0,2.287250280380249
59,6,5,0,4.27551794052124
60,7,4,0,3.810065746307373
61,3,3,1,3.520603656768799
62,6,6,1,5.697690963745117
63,3,3,1,4.016129970550537
64,6,6,1,4.045793056488037
65,2,6,0,7.0552496910095215
66,1,6,0,1.6688306331634521
67,2,2,1,6.971731185913086
68,3,3,1,2.3625545501708984
69,7,5,0,4.332819938659668
70,2,8,0,3.4313089847564697
71,6,2,0,2.687751293182373
72,8,8,1,8.580480575561523
73,8,8,1,5.854428768157959
74,0,0,1,5.284623622894287
75,2,2,1,3.756415843963623
76,9,0,0,3.1660196781158447
77,3,3,1,5.6639580726623535
78,3,5,0,4.580151557922363
79,8,0,0,3.412031888961792
80,8,5,0,3.11859393119812
81,1,8,0,7.745281219482422
82,1,1,1,10.973617553710938
83,7,0,0,2.8301498889923096
84,2,0,0,4.227658748626709
85,5,2,0,3.4201319217681885
86,2,3,0,3.053596019744873
87,7,8,0,2.353309392929077
88,8,5,0,2.1622588634490967
89,9,9,1,5.072244644165039
90,0,0,1,5.492076873779297
91,3,3,1,4.88992166519165
92,8,0,0,2.7505016326904297
93,6,6,1,10.051309585571289
94,4,2,0,3.961361885070801
95,6,6,1,7.0912628173828125
96,6,6,1,7.796268463134766
97,0,0,1,6.847686290740967
98,0,2,0,5.340680122375488
99,7,7,1,4.845162868499756
100,4,4,1,7.932929515838623
101,5,7,0,4.722140312194824
102,6,6,1,6.0265913009643555
103,3,3,1,5.611169815063477
104,1,5,0,2.6678292751312256
105,1,2,0,2.528759241104126
106,3,8,0,3.459606409072876
107,6,6,1,10.23589038848877
108,8,7,0,2.780970573425293
109,7,3,0,2.795225143432617
110,4,4,1,4.7916035652160645
111,0,0,1,3.2416954040527344
112,6,4,0,7.634767055511475
113,2,2,1,4.349470138549805
114,1,9,0,3.591071844100952
115,3,3,1,1.9123945236206055
116,0,0,1,5.84589958190918
117,4,4,1,3.76910138130188
118,2,8,0,3.961115598678589
119,7,5,0,5.482936859130859
120,8,8,1,2.7306084632873535
121,3,3,1,5.435845375061035
122,1,1,1,3.236328363418579
123,2,2,1,5.905314922332764
124,8,2,0,5.525629997253418
125,0,2,0,2.9654293060302734
126,8,8,1,2.4062325954437256
127,3,3,1,2.3182930946350098
128,5,3,0,5.800253391265869
129,2,2,1,2.3366858959198
130,4,4,1,6.479946136474609
131,1,1,1,9.430292129516602
132,8,1,0,3.656691789627075
133,9,9,1,6.038170337677002
134,1,1,1,4.70952033996582
135,2,2,1,3.6256966590881348
136,9,9,1,8.164498329162598
137,7,3,0,4.908753871917725
138,2,2,1,6.353013515472412
139,9,0,0,3.8277170658111572
140,6,6,1,3.8167684078216553
141,5,5,1,4.128148078918457
142,6,3,0,4.95709753036499
143,3,5,0,6.573192119598389
144,8,8,1,2.3183975219726562
145,7,5,0,1.3575718402862549
146,6,6,1,3.428694248199463
147,2,6,0,1.8336715698242188
148,5,9,0,1.658361554145813
149,2,3,0,4.216501712799072
150,8,3,0,1.7773137092590332
151,9,2,0,3.814728260040283
152,6,6,1,4.906322002410889
153,0,3,0,1.8269734382629395
154,0,0,1,2.7871367931365967
155,5,5,1,4.169628620147705
156,2,3,0,4.637171268463135
157,9,3,0,2.99479341506958
158,5,3,0,5.295356750488281
159,4,4,1,6.395205020904541
160,2,0,0,5.9234819412231445
161,1,3,0,2.669039249420166
162,6,3,0,2.9741761684417725
163,6,6,1,5.266845226287842
164,8,8,1,1.656954050064087
165,4,2,0,4.120664596557617
166,8,5,0,5.962989330291748
167,4,6,0,5.476341247558594
168,5,2,0,3.598142147064209
169,0,4,0,2.6458656787872314
170,9,9,1,4.893980979919434
171,9,5,0,3.112178325653076
172,9,6,0,3.0819337368011475
173,8,5,0,4.666895389556885
174,9,9,1,7.17194938659668
175,9,9,1,5.896857738494873
176,3,5,0,5.318285942077637
177,7,7,1,8.562638282775879
178,5,5,1,5.182989120483398
179,0,8,0,1.7930601835250854
180,0,3,0,3.2145164012908936
181,5,5,1,3.4289889335632324
182,2,2,1,1.9124743938446045
183,2,3,0,2.6378893852233887
184,3,2,0,4.224578857421875
185,8,4,0,2.102254629135132
186,6,6,1,8.465192794799805
187,3,7,0,3.377161741256714
188,4,3,0,5.053082466125488
189,0,8,0,4.621129035949707
190,5,4,0,2.9162347316741943
191,8,8,1,1.858801007270813
192,0,6,0,3.3778903484344482
193,1,1,1,4.152175426483154
194,7,4,0,3.6712653636932373
195,2,2,1,3.9979324340820312
196,8,3,0,2.76499605178833
197,8,5,0,3.555711507797241
198,7,5,0,4.798355579376221
199,8,4,0,2.8210537433624268
200,5,3,0,3.2381725311279297
201,1,3,0,5.052998065948486
202,8,8,1,5.255638599395752
203,7,7,1,1.88739013671875
204,1,3,0,1.8675838708877563
205,3,3,1,5.457164287567139
206,0,2,0,4.424443244934082
207,5,5,1,5.771388530731201
208,7,2,0,3.4756553173065186
209,9,9,1,3.818328857421875
210,7,6,0,3.1712424755096436
211,4,0,0,4.490737438201904
212,5,0,0,4.038569450378418
213,9,2,0,3.2637546062469482
214,8,3,0,6.025822162628174
215,0,0,1,3.5478944778442383
216,7,3,0,3.393122911453247
217,9,9,1,6.403097629547119
218,8,0,0,4.487198352813721
219,2,7,0,6.210773944854736
220,7,2,0,2.470304489135742
221,6,6,1,6.168629169464111
222,9,1,0,2.4028737545013428
223,4,8,0,4.275845050811768
224,3,5,0,2.0656895637512207
225,9,5,0,3.204108715057373
226,6,4,0,1.8150007724761963
227,4,2,0,5.795633316040039
228,7,3,0,4.215511322021484
229,6,9,0,2.1857619285583496
230,5,5,1,6.700358867645264
231,1,1,1,13.508944511413574
232,5,3,0,3.7226755619049072
233,8,8,1,5.806634902954102
234,8,8,1,2.9183273315429688
235,0,0,1,5.995324611663818
236,4,4,1,7.202434062957764
237,0,0,1,4.543360233306885
238,5,3,0,3.624382495880127
239,5,3,0,5.305787563323975
240,1,3,0,3.5023608207702637
241,1,1,1,2.155339002609253
242,8,5,0,2.0633206367492676
243,9,9,1,3.1899592876434326
244,0,0,1,7.495172500610352
245,3,3,1,3.7080516815185547
246,1,0,0,2.636411666870117
247,9,0,0,3.5875110626220703
248,2,2,1,6.079476356506348
249,2,2,1,4.824950218200684
250,5,5,1,5.141971111297607
251,3,3,1,4.19710636138916
252,9,9,1,4.424980163574219
253,9,1,0,1.3682771921157837
254,4,4,1,5.836551189422607
255,0,0,1,2.8655905723571777
256,3,5,0,3.2052979469299316
257,0,0,1,2.7807905673980713
258,0,8,0,2.273982048034668
259,9,1,0,2.6388397216796875
260,8,6,0,2.8117780685424805
261,1,1,1,4.835404872894287
262,5,3,0,4.405325889587402
263,7,3,0,5.820216655731201
264,0,2,0,4.555821418762207
265,8,8,1,5.472526550292969
266,2,7,0,2.3647451400756836
267,4,4,1,5.944597244262695
268,7,7,1,6.429961681365967
269,0,0,1,4.864407062530518
270,2,2,1,3.065329074859619
271,3,2,0,3.7370951175689697
272,6,6,1,6.800314903259277
273,3,3,1,4.083012104034424
274,8,8,1,8.687548637390137
275,5,2,0,4.592778205871582
276,0,0,1,4.982640743255615
277,3,2,0,5.411001205444336
278,4,4,1,3.9299561977386475
279,3,5,0,3.3517730236053467
280,9,9,1,8.520591735839844
