sample_idx,true_label,pred_label,correct,confidence
0,3,3,1,5.668244361877441
1,8,8,1,7.404454708099365
2,8,8,1,8.026368141174316
3,0,3,0,3.5860211849212646
4,6,3,0,2.114537477493286
5,6,3,0,2.3468177318573
6,1,1,1,4.550839900970459
7,6,6,1,4.477380275726318
8,3,2,0,4.197665214538574
9,1,3,0,2.6969187259674072
10,0,5,0,2.272374153137207
11,9,9,1,9.09912109375
12,5,5,1,6.14463472366333
13,7,7,1,4.031421184539795
14,9,9,1,4.692534446716309
15,8,8,1,5.2116923332214355
16,5,3,0,2.853100538253784
17,7,1,0,5.442250728607178
18,8,8,1,6.4606757164001465
19,6,6,1,4.708357334136963
20,7,7,1,2.832650899887085
21,0,0,1,6.072272777557373
22,4,4,1,3.4257283210754395
23,9,9,1,9.298746109008789
24,5,2,0,1.5400973558425903
25,2,5,0,3.767935037612915
26,4,1,0,5.202759265899658
27,0,7,0,4.019957542419434
28,9,1,0,5.592713356018066
29,6,5,0,3.489872455596924
30,6,3,0,4.384788513183594
31,5,4,0,7.010112285614014
32,4,3,0,5.012030601501465
33,5,3,0,5.687779426574707
34,9,7,0,3.5455026626586914
35,2,1,0,5.003036022186279
36,4,5,0,6.897270679473877
37,1,9,0,5.350566864013672
38,9,9,1,8.695688247680664
39,5,5,1,4.845322132110596
40,4,4,1,2.427769899368286
41,6,6,1,4.068597793579102
42,5,3,0,4.4025068283081055
43,6,2,0,2.1712443828582764
44,0,0,1,4.327581882476807
45,9,9,1,8.461433410644531
46,3,5,0,4.104592800140381
47,9,9,1,2.7154369354248047
48,7,7,1,5.515215873718262
49,6,6,1,6.658989429473877
50,9,3,0,2.5451364517211914
51,8,8,1,7.193371295928955
52,0,2,0,2.4488205909729004
53,3,9,0,2.320000171661377
54,8,9,0,2.9633145332336426
55,8,8,1,4.879277229309082
56,7,7,1,3.236687183380127
57,7,3,0,2.3958919048309326
58,4,3,0,4.608254432678223
59,6,3,0,2.784024953842163
60,7,7,1,14.309504508972168
61,3,3,1,4.651515960693359
62,6,6,1,4.054016590118408
63,3,3,1,2.2900238037109375
64,6,6,1,5.464829921722412
65,2,6,0,4.103024005889893
66,1,1,1,7.300808429718018
67,2,6,0,4.4087138175964355
68,3,3,1,1.9121298789978027
69,7,7,1,6.429649829864502
70,2,3,0,3.6656792163848877
71,6,4,0,2.1409032344818115
72,8,8,1,9.300969123840332
73,8,8,1,7.521779537200928
74,0,0,1,6.808842658996582
75,2,2,1,3.810523748397827
76,9,9,1,4.296271324157715
77,3,5,0,4.129035949707031
78,3,5,0,3.0737035274505615
79,8,8,1,6.025537490844727
80,8,8,1,6.319211959838867
81,1,1,1,4.238958835601807
82,1,1,1,9.100224494934082
83,7,7,1,1.5767533779144287
84,2,8,0,4.071300029754639
85,5,7,0,2.648036003112793
86,2,2,1,2.347468852996826
87,7,0,0,2.3382089138031006
88,8,9,0,1.9162489175796509
89,9,9,1,9.837590217590332
90,0,8,0,2.625866174697876
91,3,3,1,2.593669891357422
92,8,8,1,11.10288143157959
93,6,6,1,4.779462814331055
94,4,4,1,2.940124273300171
95,6,6,1,6.815048694610596
96,6,6,1,7.192630290985107
97,0,0,1,6.109348773956299
98,0,0,1,6.187755107879639
99,7,7,1,5.124087333679199
100,4,7,0,3.73111629486084
101,5,7,0,3.271632671356201
102,6,6,1,6.847367763519287
103,3,3,1,7.457493782043457
104,1,1,1,6.030311107635498
105,1,1,1,10.528609275817871
106,3,5,0,4.2786126136779785
107,6,6,1,9.338695526123047
108,8,3,0,2.1327335834503174
109,7,7,1,3.5207061767578125
