sample_idx,true_label,pred_label,correct,confidence
0,3,0,0,3.32619571685791
1,8,0,0,3.925171375274658
2,8,0,0,3.5995516777038574
3,0,0,1,2.7534701824188232
4,6,2,0,3.1145832538604736
5,6,3,0,1.8929780721664429
6,1,3,0,1.4528392553329468
7,6,2,0,3.5277793407440186
8,3,3,1,2.250380754470825
9,1,0,0,3.4457955360412598
10,0,0,1,2.8418397903442383
11,9,5,0,2.394430637359619
12,5,5,1,1.9128741025924683
13,7,3,0,3.261958360671997
14,9,0,0,1.8548558950424194
15,8,2,0,1.4029767513275146
16,5,3,0,3.256086587905884
17,7,3,0,2.4167823791503906
18,8,8,1,4.477358818054199
19,6,3,0,2.1053946018218994
20,7,2,0,3.7143352031707764
21,0,0,1,2.7935173511505127
22,4,0,0,4.370406150817871
23,9,5,0,1.9122874736785889
24,5,2,0,4.194983005523682
25,2,2,1,4.176556587219238
26,4,0,0,1.2124290466308594
27,0,3,0,2.027963638305664
28,9,5,0,2.5282235145568848
29,6,4,0,3.869053840637207
30,6,3,0,3.6397082805633545
31,5,2,0,2.8816094398498535
32,4,0,0,2.4935474395751953
33,5,5,1,1.98834228515625
34,9,8,0,2.88930344581604
35,2,3,0,1.6323751211166382
36,4,2,0,2.3680856227874756
37,1,5,0,3.5231754779815674
38,9,5,0,4.604001522064209
39,5,8,0,2.8182411193847656
40,4,2,0,1.9969452619552612
41,6,4,0,1.9987010955810547
42,5,3,0,2.1398770809173584
43,6,2,0,2.0386900901794434
44,0,0,1,3.306947708129883
45,9,5,0,2.340121030807495
46,3,3,1,2.3832764625549316
47,9,3,0,1.3823020458221436
48,7,4,0,4.7295708656311035
49,6,2,0,3.5673112869262695
50,9,0,0,2.8471741676330566
51,8,2,0,2.8781027793884277
52,0,5,0,3.6723623275756836
53,3,3,1,3.217611074447632
54,8,0,0,3.450787305831909
55,8,0,0,2.754424571990967
56,7,5,0,3.876451015472412
57,7,3,0,3.226062059402466
58,4,5,0,3.493001937866211
59,6,5,0,3.778963327407837
60,7,2,0,2.4647574424743652
61,3,3,1,3.715893030166626
62,6,2,0,2.5483078956604004
63,3,3,1,2.46588397026062
64,6,5,0,2.1654245853424072
65,2,2,1,3.3934199810028076
66,1,5,0,3.5167295932769775
67,2,5,0,2.4442739486694336
68,3,3,1,1.6803762912750244
69,7,2,0,2.524355888366699
70,2,0,0,3.485741138458252
71,6,3,0,2.6515188217163086
72,8,0,0,4.414577484130859
73,8,0,0,3.178628444671631
74,0,3,0,1.5175034999847412
75,2,2,1,3.4052035808563232
76,9,3,0,2.3933942317962646
77,3,5,0,1.511698603630066
78,3,3,1,2.479997396469116
79,8,0,0,3.4308080673217773
80,8,0,0,3.0930233001708984
81,1,8,0,1.3667857646942139
82,1,0,0,1.9464353322982788
83,7,0,0,3.4811182022094727
84,2,0,0,4.027134418487549
85,5,2,0,2.0105910301208496
86,2,8,0,1.5200296640396118
87,7,0,0,4.13727331161499
88,8,5,0,2.046525001525879
89,9,5,0,1.9724438190460205
90,0,0,1,3.7757761478424072
91,3,3,1,2.4113481044769287
92,8,3,0,2.694981813430786
93,6,5,0,2.322939157485962
94,4,2,0,1.6005537509918213
95,6,2,0,2.1862571239471436
96,6,2,0,3.818183183670044
97,0,0,1,3.9593145847320557
98,0,5,0,3.105663537979126
99,7,3,0,2.149909496307373
100,4,3,0,2.8088743686676025
101,5,5,1,2.648192882537842
102,6,3,0,2.9198813438415527
103,3,3,1,1.4037842750549316
104,1,0,0,2.0054397583007812
105,1,0,0,3.8032240867614746
106,3,3,1,2.2412259578704834
107,6,4,0,2.4002487659454346
108,8,5,0,3.3348803520202637
109,7,0,0,2.3958077430725098
110,4,2,0,2.7371106147766113
111,0,0,1,3.698503017425537
112,6,2,0,3.9216744899749756
113,2,0,0,2.7776613235473633
114,1,8,0,3.0425221920013428
115,3,3,1,2.1885287761688232
116,0,0,1,4.415067195892334
117,4,2,0,2.753225564956665
118,2,3,0,1.4657279253005981
119,7,2,0,1.5907375812530518
120,8,0,0,3.2300236225128174
121,3,3,1,3.615475654602051
122,1,2,0,1.3683383464813232
123,2,2,1,4.130226135253906
124,8,0,0,2.235018730163574
125,0,2,0,3.567965507507324
126,8,0,0,3.293248414993286
127,3,3,1,2.6197733879089355
128,5,5,1,2.3040168285369873
129,2,0,0,3.6647725105285645
130,4,0,0,3.1498286724090576
131,1,3,0,2.2945454120635986
132,8,0,0,1.7893208265304565
133,9,5,0,2.581137180328369
134,1,0,0,2.5680904388427734
135,2,0,0,2.315765857696533
136,9,3,0,1.7081817388534546
137,7,3,0,2.3865180015563965
138,2,2,1,4.9501166343688965
139,9,3,0,1.7073063850402832
140,6,0,0,2.4143755435943604
141,5,2,0,2.6590049266815186
142,6,3,0,2.5440590381622314
143,3,3,1,3.055479049682617
144,8,0,0,1.9723379611968994
145,7,0,0,1.9667240381240845
146,6,3,0,2.545921564102173
147,2,5,0,2.985353946685791
148,5,5,1,3.763577699661255
149,2,5,0,3.5583136081695557
150,8,0,0,3.4714620113372803
151,9,8,0,2.8489112854003906
152,6,3,0,2.7088818550109863
153,0,0,1,2.308586359024048
154,0,0,1,4.24615478515625
155,5,5,1,4.190420150756836
156,2,0,0,2.4361886978149414
157,9,5,0,2.1399667263031006
158,5,3,0,2.8004634380340576
159,4,2,0,2.050126791000366
160,2,0,0,3.0371971130371094
161,1,3,0,2.9686086177825928
162,6,3,0,3.193242311477661
163,6,2,0,3.6921024322509766
164,8,5,0,3.0112905502319336
165,4,2,0,2.7567217350006104
166,8,0,0,4.370372295379639
167,4,2,0,2.7389402389526367
168,5,3,0,3.5663411617279053
169,0,2,0,3.019036054611206
170,9,5,0,2.4854605197906494
171,9,3,0,2.1493308544158936
172,9,5,0,2.656363010406494
173,8,2,0,1.9247229099273682
174,9,5,0,3.567440986633301
175,9,0,0,3.1802492141723633
176,3,3,1,2.252967119216919
177,7,5,0,2.575859308242798
178,5,3,0,2.8434178829193115
179,0,2,0,1.6783705949783325
180,0,0,1,2.6790084838867188
181,5,3,0,3.168501615524292
182,2,2,1,2.8286938667297363
183,2,5,0,3.0746591091156006
184,3,0,0,2.37459135055542
185,8,0,0,3.271207571029663
186,6,2,0,2.77656626701355
187,3,5,0,3.076782703399658
188,4,3,0,1.9923793077468872
189,0,0,1,3.8467559814453125
190,5,2,0,4.035061359405518
191,8,5,0,3.0528955459594727
192,0,5,0,3.2306196689605713
193,1,3,0,2.8725101947784424
194,7,2,0,1.5873761177062988
195,2,8,0,2.573301315307617
196,8,3,0,2.5294673442840576
197,8,0,0,3.785114288330078
198,7,3,0,1.7760190963745117
199,8,0,0,2.8703503608703613
200,5,3,0,3.18034291267395
201,1,0,0,2.2876741886138916
202,8,3,0,2.541469097137451
203,7,5,0,4.7541656494140625
204,1,5,0,2.532351493835449
205,3,2,0,2.6535146236419678
206,0,0,1,3.6403708457946777
207,5,2,0,4.11476993560791
208,7,5,0,2.596662998199463
209,9,0,0,3.0673892498016357
210,7,3,0,3.2891972064971924
211,4,3,0,1.7628052234649658
212,5,0,0,2.5234527587890625
213,9,2,0,3.559262752532959
214,8,5,0,3.3917155265808105
215,0,5,0,3.12345552444458
216,7,5,0,3.692826747894287
217,9,5,0,2.806023597717285
218,8,0,0,4.399641513824463
219,2,2,1,4.353842735290527
220,7,2,0,1.3414275646209717
221,6,3,0,2.049185037612915
222,9,0,0,2.585865020751953
223,4,3,0,2.017683267593384
224,3,3,1,2.1432626247406006
225,9,2,0,2.556232213973999
226,6,0,0,2.903048038482666
227,4,0,0,2.1862025260925293
228,7,0,0,2.473459243774414
229,6,3,0,1.6022679805755615
230,5,3,0,2.5193989276885986
231,1,5,0,3.8254690170288086
232,5,6,0,2.3249683380126953
233,8,3,0,1.9921709299087524
234,8,0,0,3.243353843688965
235,0,0,1,4.2191362380981445
236,4,2,0,3.16298246383667
237,0,5,0,2.1783599853515625
238,5,0,0,4.643298625946045
239,5,3,0,1.9868630170822144
240,1,5,0,1.6588358879089355
241,1,0,0,1.3803898096084595
242,8,2,0,1.6224231719970703
243,9,8,0,1.6612749099731445
244,0,0,1,4.288226127624512
245,3,3,1,2.5088536739349365
246,1,4,0,2.739481210708618
247,9,0,0,2.302125930786133
248,2,2,1,4.10752010345459
249,2,3,0,2.1652424335479736
250,5,8,0,1.967375636100769
251,3,3,1,2.9383370876312256
252,9,5,0,2.303215503692627
253,9,5,0,2.081577777862549
254,4,2,0,3.6895411014556885
