sample_idx,true_label,pred_label,correct,confidence
0,3,3,1,1.5068435668945312
1,8,1,0,2.2908849716186523
2,8,8,1,4.853538513183594
3,0,8,0,2.894695997238159
4,6,4,0,4.475336074829102
5,6,6,1,1.7325165271759033
6,1,1,1,4.0186028480529785
7,6,2,0,2.0977776050567627
8,3,6,0,1.829113483428955
9,1,9,0,0.8193339109420776
10,0,0,1,3.3742852210998535
11,9,9,1,2.2701992988586426
12,5,5,1,2.883012294769287
13,7,3,0,2.0222582817077637
14,9,9,1,2.645742177963257
15,8,8,1,1.341040015220642
16,5,5,1,1.9020698070526123
17,7,5,0,2.775631904602051
18,8,8,1,4.0709075927734375
19,6,6,1,3.3952438831329346
20,7,7,1,3.456517219543457
21,0,0,1,4.530911922454834
22,4,0,0,3.702270984649658
23,9,1,0,3.7999119758605957
24,5,4,0,2.839897871017456
25,2,2,1,1.6228058338165283
26,4,3,0,2.2865030765533447
27,0,9,0,1.0175902843475342
28,9,1,0,1.833080530166626
29,6,6,1,3.346844434738159
30,6,6,1,2.3369534015655518
31,5,6,0,3.48807430267334
32,4,4,1,2.6887528896331787
33,5,3,0,1.6546380519866943
34,9,9,1,3.372785806655884
35,2,7,0,2.610945224761963
36,4,5,0,2.340245246887207
37,1,3,0,1.2264442443847656
38,9,9,1,2.5729966163635254
39,5,5,1,3.5908703804016113
40,4,9,0,2.6369807720184326
41,6,6,1,4.30667781829834
42,5,4,0,1.432829737663269
43,6,6,1,2.246819257736206
44,0,2,0,3.515484094619751
45,9,8,0,2.7467801570892334
46,3,5,0,3.5928664207458496
47,9,1,0,1.069030523300171
48,7,4,0,4.434958457946777
49,6,6,1,4.109408378601074
50,9,0,0,1.2739601135253906
51,8,2,0,1.56849205493927
52,0,2,0,2.717726469039917
53,3,6,0,2.7098429203033447
54,8,8,1,5.448903560638428
55,8,8,1,6.661235809326172
56,7,7,1,2.401303768157959
57,7,5,0,4.368923187255859
58,4,5,0,2.358743667602539
59,6,5,0,2.576707363128662
60,7,7,1,3.7610864639282227
61,3,5,0,3.2396740913391113
62,6,5,0,2.8503808975219727
63,3,3,1,1.7846429347991943
64,6,6,1,2.711015462875366
65,2,6,0,2.634267568588257
66,1,3,0,1.8784527778625488
67,2,2,1,3.266995668411255
68,3,1,0,0.8610326647758484
69,7,7,1,2.396599769592285
70,2,2,1,3.1045615673065186
71,6,6,1,2.0093915462493896
72,8,2,0,2.3174569606781006
73,8,8,1,4.337014675140381
74,0,6,0,1.858076810836792
75,2,4,0,3.0803377628326416
76,9,9,1,2.1320767402648926
77,3,5,0,3.359713554382324
78,3,3,1,1.5424801111221313
79,8,0,0,1.9495749473571777
80,8,8,1,2.0213708877563477
81,1,1,1,3.7605342864990234
82,1,1,1,1.1797596216201782
83,7,0,0,1.4730446338653564
84,2,0,0,0.956616222858429
85,5,7,0,2.6344709396362305
86,2,8,0,0.8284865617752075
87,7,2,0,1.7401320934295654
88,8,3,0,1.5343382358551025
89,9,9,1,4.373697280883789
90,0,9,0,3.2468068599700928
91,3,6,0,2.0110042095184326
92,8,0,0,3.3819406032562256
93,6,0,0,1.3797600269317627
94,4,2,0,2.1844639778137207
95,6,6,1,2.454612970352173
96,6,6,1,3.4221274852752686
97,0,0,1,4.668342113494873
98,0,6,0,1.0440101623535156
99,7,7,1,2.073023796081543
100,4,4,1,2.045581102371216
101,5,4,0,1.5483886003494263
102,6,5,0,1.3920643329620361
103,3,3,1,2.637185573577881
104,1,1,1,1.4950203895568848
105,1,0,0,1.53302001953125
106,3,8,0,1.3247827291488647
107,6,6,1,4.590699195861816
108,8,9,0,1.7535967826843262
109,7,8,0,1.7676047086715698
110,4,6,0,2.316685199737549
111,0,5,0,1.6718599796295166
112,6,4,0,3.9520044326782227
113,2,2,1,2.151761293411255
114,1,9,0,4.65474796295166
115,3,7,0,0.6137604117393494
116,0,0,1,3.9036622047424316
117,4,5,0,1.4922348260879517
118,2,3,0,1.763269305229187
119,7,7,1,3.089982032775879
120,8,8,1,3.6095616817474365
121,3,3,1,1.7511227130889893
122,1,2,0,0.8226568698883057
123,2,2,1,3.3171205520629883
124,8,0,0,1.1243557929992676
125,0,8,0,2.0312981605529785
126,8,8,1,2.728506565093994
127,3,3,1,2.4889910221099854
128,5,9,0,1.8977940082550049
129,2,0,0,1.8457833528518677
130,4,4,1,3.074253797531128
131,1,1,1,2.5745062828063965
132,8,4,0,0.7034955024719238
133,9,9,1,5.083650588989258
134,1,8,0,1.1962461471557617
135,2,3,0,0.8498675227165222
136,9,9,1,1.5679988861083984
137,7,5,0,1.8170616626739502
138,2,2,1,3.7782928943634033
139,9,8,0,3.8633646965026855
140,6,4,0,2.431171178817749
141,5,5,1,1.9611928462982178
142,6,3,0,2.3134653568267822
143,3,5,0,3.9419147968292236
144,8,8,1,1.8390334844589233
145,7,9,0,0.680053174495697
146,6,3,0,1.7167766094207764
147,2,6,0,2.5291430950164795
148,5,3,0,1.976218342781067
149,2,5,0,2.755086898803711
150,8,5,0,3.0124974250793457
151,9,8,0,1.2457042932510376
152,6,8,0,0.4521971344947815
153,0,0,1,1.4080052375793457
154,0,0,1,3.7028377056121826
155,5,6,0,1.8754973411560059
156,2,5,0,2.926746368408203
157,9,9,1,1.8109824657440186
158,5,5,1,3.9943113327026367
159,4,4,1,2.9942057132720947
160,2,2,1,4.801843643188477
161,1,3,0,1.8826985359191895
162,6,3,0,1.7624136209487915
163,6,6,1,3.804422616958618
164,8,8,1,1.648032546043396
165,4,7,0,2.2054693698883057
166,8,8,1,5.674747943878174
167,4,6,0,2.8109583854675293
168,5,5,1,2.0385537147521973
169,0,2,0,2.1296353340148926
170,9,9,1,1.2503498792648315
171,9,3,0,2.0561444759368896
172,9,4,0,0.8611459136009216
173,8,8,1,3.4204978942871094
174,9,7,0,3.1088526248931885
175,9,3,0,1.2562450170516968
176,3,3,1,2.582822799682617
177,7,7,1,4.902693271636963
178,5,3,0,2.6321775913238525
179,0,9,0,1.6662895679473877
180,0,8,0,3.510572910308838
181,5,5,1,3.317944049835205
182,2,6,0,3.4384305477142334
183,2,3,0,0.9161343574523926
184,3,5,0,2.311221122741699
185,8,8,1,2.941037654876709
186,6,6,1,3.3042871952056885
187,3,5,0,2.4421768188476562
188,4,6,0,2.1443817615509033
189,0,0,1,5.6794352531433105
190,5,5,1,1.930816411972046
191,8,3,0,2.154454469680786
192,0,5,0,2.5555193424224854
193,1,6,0,1.0650696754455566
194,7,5,0,1.8866748809814453
195,2,4,0,3.0498359203338623
196,8,3,0,2.3561758995056152
197,8,0,0,2.4294142723083496
198,7,5,0,1.760016679763794
199,8,5,0,1.5278139114379883
200,5,3,0,2.243760347366333
201,1,9,0,1.4386568069458008
202,8,8,1,3.858566999435425
203,7,9,0,2.166105031967163
204,1,1,1,3.048708915710449
205,3,3,1,2.727315664291382
206,0,0,1,2.9902186393737793
207,5,5,1,3.0186610221862793
208,7,7,1,4.416568756103516
209,9,0,0,2.8413195610046387
210,7,5,0,2.603466033935547
211,4,5,0,1.6260230541229248
212,5,0,0,3.838809013366699
213,9,7,0,2.1319541931152344
214,8,5,0,1.80479896068573
215,0,2,0,1.135782241821289
216,7,3,0,1.620121717453003
217,9,6,0,1.201086163520813
218,8,0,0,3.0394227504730225
219,2,2,1,2.7642099857330322
220,7,5,0,2.439967393875122
221,6,3,0,2.2658004760742188
222,9,5,0,1.1305947303771973
223,4,2,0,1.9740091562271118
224,3,7,0,1.0856695175170898
225,9,9,1,1.9821828603744507
226,6,3,0,3.007871627807617
227,4,2,0,3.093020439147949
228,7,5,0,1.9073405265808105
229,6,4,0,1.3707689046859741
230,5,5,1,3.670060157775879
231,1,9,0,5.520509719848633
232,5,5,1,2.320967674255371
233,8,3,0,1.0394706726074219
234,8,5,0,2.442429304122925
235,0,0,1,6.138671398162842
236,4,4,1,3.709885358810425
237,0,0,1,1.0325058698654175
238,5,5,1,2.053239107131958
239,5,5,1,2.8008790016174316
240,1,9,0,2.3208346366882324
241,1,1,1,1.0104925632476807
242,8,0,0,1.5575374364852905
243,9,9,1,1.3839359283447266
244,0,0,1,2.885124921798706
245,3,3,1,1.9958608150482178
246,1,7,0,2.083392381668091
247,9,2,0,3.024991512298584
248,2,4,0,2.5002381801605225
249,2,1,0,1.3574694395065308
250,5,3,0,2.465803384780884
251,3,3,1,0.9754641652107239
252,9,9,1,1.4595959186553955
253,9,3,0,1.2342649698257446
254,4,4,1,4.29594612121582
255,0,5,0,2.49505352973938
256,3,3,1,1.4596339464187622
257,0,2,0,1.3753728866577148
258,0,7,0,0.6774844527244568
259,9,5,0,2.2859954833984375
260,8,5,0,1.5234168767929077
261,1,9,0,2.6455514430999756
262,5,3,0,2.1293346881866455
263,7,3,0,1.6011676788330078
264,0,0,1,1.752655029296875
265,8,8,1,2.9357621669769287
266,2,0,0,2.2142748832702637
267,4,4,1,3.2908682823181152
268,7,7,1,1.2293705940246582
269,0,0,1,3.1139278411865234
270,2,5,0,2.5095176696777344
271,3,4,0,2.536747694015503
272,6,6,1,4.641053199768066
273,3,3,1,2.352888345718384
274,8,3,0,1.316279411315918
275,5,5,1,3.5741701126098633
276,0,0,1,3.1458072662353516
277,3,2,0,2.570430040359497
278,4,4,1,3.240685224533081
279,3,4,0,2.1482856273651123
280,9,7,0,1.6345348358154297
281,0,6,0,1.0381985902786255
282,6,6,1,1.7693383693695068
283,1,9,0,2.9821982383728027
284,0,8,0,1.4378854036331177
285,9,8,0,1.1514042615890503
286,1,1,1,4.172415256500244
287,0,8,0,3.776536226272583
288,7,0,0,2.1001288890838623
289,9,9,1,2.2441024780273438
290,1,1,1,2.713857650756836
291,2,2,1,2.9899680614471436
292,6,6,1,2.0860116481781006
293,9,1,0,4.298264980316162
294,3,1,0,1.2920515537261963
295,4,2,0,4.050013542175293
296,6,6,1,3.7150819301605225
297,0,0,1,2.749847650527954
298,0,0,1,4.284546375274658
299,6,6,1,3.585981845855713
300,6,6,1,3.02484393119812
301,6,5,0,3.0954036712646484
302,3,1,0,1.8635568618774414
303,2,8,0,3.4385454654693604
304,6,6,1,2.3833730220794678
305,1,0,0,4.060042858123779
306,8,9,0,1.664259433746338
307,2,2,1,2.2603602409362793
308,1,1,1,4.188169002532959
309,6,2,0,4.003169059753418
310,8,8,1,4.721083641052246
311,6,6,1,3.442081928253174
312,8,0,0,2.7978086471557617
313,0,0,1,2.6284232139587402
314,4,4,1,3.1852636337280273
315,0,0,1,3.277024269104004
316,7,7,1,1.6303870677947998
317,7,7,1,3.2556231021881104
318,5,6,0,1.6771774291992188
319,5,5,1,3.2340078353881836
320,3,5,0,2.645183801651001
321,5,3,0,1.7539920806884766
322,2,2,1,2.7598230838775635
323,3,2,0,2.4661176204681396
324,4,3,0,2.0061662197113037
325,1,9,0,1.7429070472717285
326,7,4,0,2.620682716369629
327,5,3,0,1.6075646877288818
328,4,2,0,1.5490061044692993
329,6,4,0,3.1768572330474854
330,1,5,0,3.9478342533111572
331,9,3,0,1.7926509380340576
332,3,2,0,2.481651544570923
333,6,6,1,3.2150919437408447
334,6,6,1,4.5955328941345215
335,9,1,0,2.842010021209717
336,3,7,0,1.695359468460083
337,8,2,0,2.3626813888549805
338,0,0,1,4.377640724182129
339,7,6,0,2.654920816421509
340,2,6,0,2.2251460552215576
341,6,6,1,2.134324312210083
342,2,0,0,4.863723278045654
343,5,5,1,1.5227608680725098
344,8,8,1,4.3682169914245605
345,5,7,0,1.220978021621704
346,4,4,1,1.5388151407241821
347,6,6,1,1.6346246004104614
348,8,8,1,2.121873617172241
349,9,9,1,3.4136722087860107
350,9,9,1,3.679699420928955
351,1,1,1,2.900421142578125
352,0,8,0,2.9804139137268066
353,2,0,0,2.5357608795166016
354,2,5,0,2.423987627029419
355,7,5,0,2.704040050506592
356,3,3,1,3.1354286670684814
357,2,3,0,3.4943864345550537
358,8,1,0,3.958556652069092
359,0,8,0,1.1651774644851685
360,9,5,0,2.6342008113861084
361,5,5,1,3.0844993591308594
362,8,2,0,0.949158787727356
363,1,0,0,4.242764949798584
364,9,5,0,1.5959978103637695
365,4,7,0,3.029262065887451
366,1,6,0,2.403200387954712
367,3,1,0,2.1722517013549805
368,8,0,0,3.483180046081543
369,1,4,0,1.0602680444717407
370,4,2,0,3.0081160068511963
371,7,7,1,1.2045326232910156
372,9,5,0,1.5466384887695312
373,4,5,0,1.6214015483856201
374,2,2,1,1.9541332721710205
375,7,3,0,2.9733870029449463
376,0,0,1,2.292243242263794
377,7,4,0,2.3310024738311768
378,0,4,0,1.7012685537338257
379,6,6,1,3.7893002033233643
380,6,2,0,1.7293384075164795
381,9,9,1,3.909548044204712
382,0,2,0,2.990783929824829
383,9,0,0,2.103965997695923
384,2,5,0,2.7238736152648926
385,8,0,0,1.928183674812317
386,7,7,1,3.1111130714416504
387,2,5,0,3.5243582725524902
388,2,3,0,2.2640364170074463
389,5,3,0,1.5786992311477661
390,1,5,0,1.397674560546875
391,2,0,0,4.172107219696045
392,6,6,1,3.2567360401153564
393,2,5,0,2.6188273429870605
394,9,3,0,1.9523727893829346
395,6,6,1,3.971766233444214
396,2,4,0,2.9852569103240967
397,3,1,0,2.910815477371216
398,0,0,1,2.145211696624756
399,3,9,0,3.953115701675415
400,9,9,1,2.508896589279175
401,8,1,0,2.4664273262023926
402,7,7,1,2.603508234024048
403,8,8,1,4.4286956787109375
404,8,8,1,5.722411632537842
405,4,6,0,1.8979451656341553
406,0,0,1,4.100039005279541
407,1,9,0,3.5909650325775146
408,8,2,0,3.213850259780884
409,2,2,1,3.950796365737915
410,7,5,0,1.780651569366455
411,9,5,0,2.2936997413635254
412,3,5,0,2.6221299171447754
413,6,6,1,2.5441439151763916
414,1,9,0,2.2266197204589844
415,9,9,1,3.5209009647369385
416,0,2,0,1.532760739326477
417,7,5,0,3.621910572052002
418,3,6,0,1.5233079195022583
419,7,2,0,2.5898234844207764
420,4,4,1,3.5487802028656006
421,5,4,0,2.311689615249634
422,0,3,0,1.3703073263168335
423,0,3,0,1.3877158164978027
424,2,2,1,3.8272511959075928
425,9,8,0,2.816009759902954
426,3,5,0,2.708261489868164
427,4,4,1,0.9101189970970154
428,0,2,0,1.688331961631775
429,6,3,0,0.9827789068222046
430,2,6,0,3.1743619441986084
431,5,5,1,2.353214740753174
432,3,5,0,2.297419548034668
433,7,3,0,0.8397268652915955
434,3,3,1,1.041391134262085
435,7,3,0,1.6109782457351685
436,2,2,1,1.2141575813293457
437,5,4,0,3.8417165279388428
438,3,3,1,1.928908109664917
439,1,3,0,1.8522617816925049
440,1,6,0,1.172583818435669
441,4,2,0,0.8483962416648865
442,9,7,0,1.8932466506958008
443,9,5,0,1.9553444385528564
444,5,5,1,1.7247902154922485
445,7,7,1,4.991062641143799
446,5,5,1,1.714406132698059
447,0,0,1,5.923917770385742
448,2,4,0,3.4503870010375977
449,2,2,1,4.607592582702637
450,2,5,0,2.6421895027160645
451,9,9,1,1.102795958518982
452,7,3,0,1.3724455833435059
453,3,5,0,3.060180187225342
454,9,0,0,3.211324691772461
455,4,4,1,2.5190815925598145
456,3,6,0,3.1807901859283447
457,5,6,0,1.7398914098739624
458,4,3,0,2.4286558628082275
459,6,3,0,1.8774683475494385
460,5,5,1,3.266299247741699
461,6,6,1,2.4668099880218506
462,1,3,0,1.0229312181472778
463,4,3,0,2.0197603702545166
464,3,3,1,2.0049474239349365
465,4,4,1,3.7509942054748535
466,4,4,1,1.7731374502182007
467,3,2,0,2.479802370071411
468,7,3,0,0.9238582849502563
469,8,6,0,2.8052446842193604
470,3,5,0,2.6922266483306885
471,7,5,0,3.3453845977783203
472,8,8,1,6.341763496398926
473,0,4,0,1.8658722639083862
474,5,3,0,3.087722063064575
475,7,7,1,2.9409523010253906
476,6,4,0,3.8631842136383057
477,0,0,1,1.7952907085418701
478,5,4,0,2.752635955810547
479,4,7,0,2.55513334274292
480,8,9,0,0.4835205674171448
481,6,6,1,3.1100785732269287
482,8,8,1,3.944932460784912
483,5,5,1,1.7341233491897583
484,5,5,1,3.307404041290283
485,9,9,1,2.4534823894500732
486,9,9,1,4.089797019958496
487,9,5,0,2.3662571907043457
488,5,3,0,1.7799772024154663
489,0,0,1,5.475744247436523
490,1,2,0,1.3278464078903198
491,0,3,0,2.34753680229187
492,8,8,1,3.8215091228485107
493,1,9,0,3.1187682151794434
494,1,0,0,2.7319953441619873
495,8,8,1,4.555386066436768
496,0,7,0,1.6347346305847168
497,2,0,0,2.691248655319214
498,2,4,0,2.810270071029663
499,0,0,1,3.974053144454956
500,4,6,0,3.200078248977661
501,6,6,1,3.566889524459839
502,5,5,1,2.8407211303710938
503,4,6,0,2.8850457668304443
504,9,3,0,1.9692811965942383
505,4,8,0,2.2048826217651367
506,7,5,0,2.0753777027130127
507,9,0,0,1.7998861074447632
508,9,0,0,1.4653654098510742
509,4,4,1,3.175729990005493
510,5,8,0,2.244602918624878
511,6,6,1,4.650317192077637
512,6,6,1,3.1925084590911865
513,1,7,0,2.3029696941375732
514,5,5,1,0.7741314172744751
515,3,3,1,1.5916101932525635
516,8,8,1,4.194348335266113
517,9,9,1,1.5015478134155273
518,5,3,0,1.847866177558899
519,8,8,1,5.930403232574463
520,5,5,1,1.2365185022354126
521,7,7,1,3.6242756843566895
522,0,0,1,1.0805221796035767
523,7,9,0,2.33937931060791
524,0,0,1,2.236968994140625
525,5,5,1,2.726245880126953
526,0,5,0,2.0975430011749268
527,0,0,1,4.1143798828125
528,4,8,0,2.957918643951416
529,6,4,0,3.6779112815856934
530,9,5,0,2.681694984436035
531,0,3,0,1.630761742591858
532,9,6,0,1.6395577192306519
533,5,3,0,2.136914014816284
534,6,6,1,2.939410448074341
535,6,6,1,4.681941986083984
536,6,2,0,3.4911842346191406
537,2,2,1,2.8635032176971436
538,9,8,0,3.3509891033172607
539,0,5,0,1.0483849048614502
540,1,9,0,5.131149768829346
541,7,8,0,1.1383763551712036
542,6,6,1,1.461134433746338
543,7,5,0,2.9698638916015625
544,5,5,1,1.9045685529708862
545,9,9,1,3.4233152866363525
546,1,1,1,2.4560117721557617
547,6,6,1,1.6538119316101074
548,2,4,0,3.1875455379486084
549,5,5,1,4.012985706329346
550,5,2,0,1.5937261581420898
551,5,5,1,1.9239799976348877
552,8,8,1,4.962972164154053
553,5,5,1,3.7661685943603516
554,9,9,1,4.1110992431640625
555,4,4,1,1.8406490087509155
556,6,6,1,3.3804633617401123
557,4,6,0,2.178849697113037
558,3,5,0,1.9226562976837158
559,2,2,1,3.4194154739379883
560,0,0,1,3.385586738586426
561,7,7,1,4.285133361816406
562,6,3,0,2.6749000549316406
563,2,6,0,2.172619342803955
564,2,6,0,3.3384108543395996
565,3,8,0,3.6550800800323486
566,9,9,1,5.385483264923096
567,7,3,0,1.5869108438491821
568,9,2,0,1.8869301080703735
569,2,6,0,2.3210878372192383
570,6,2,0,2.0256612300872803
571,7,7,1,3.8112192153930664
572,1,3,0,1.5451231002807617
573,3,5,0,1.8177168369293213
