sample_idx,true_label,pred_label,correct,confidence
0,3,0,0,2.8083131313323975
1,8,0,0,2.9148809909820557
2,8,5,0,1.887397289276123
3,0,0,1,2.3902294635772705
4,6,0,0,1.8403456211090088
5,6,5,0,2.0975241661071777
6,1,6,0,1.2208904027938843
7,6,0,0,1.355483889579773
8,3,3,1,1.9689849615097046
9,1,0,0,2.3062689304351807
10,0,3,0,2.359160900115967
11,9,3,0,1.2719619274139404
12,5,3,0,2.8027119636535645
13,7,5,0,2.957270622253418
14,9,7,0,0.6193317174911499
15,8,4,0,1.7508805990219116
16,5,0,0,1.2189034223556519
17,7,0,0,2.220137357711792
18,8,5,0,1.798264741897583
19,6,5,0,1.0237901210784912
20,7,4,0,3.3388679027557373
21,0,0,1,2.197824001312256
22,4,0,0,1.6967359781265259
23,9,1,0,1.146694302558899
24,5,2,0,2.559824228286743
25,2,5,0,2.0696611404418945
26,4,3,0,2.3178353309631348
27,0,2,0,1.1670030355453491
28,9,2,0,1.3561302423477173
29,6,7,0,3.2315144538879395
30,6,3,0,2.2720766067504883
31,5,2,0,2.2049636840820312
32,4,5,0,2.747281551361084
33,5,0,0,1.8877930641174316
34,9,5,0,1.240126132965088
35,2,3,0,1.7401998043060303
36,4,3,0,1.6040619611740112
37,1,3,0,0.38813337683677673
38,9,8,0,1.3903979063034058
39,5,5,1,2.314281702041626
40,4,0,0,1.3178274631500244
41,6,4,0,2.4128024578094482
42,5,7,0,0.9550660252571106
43,6,3,0,1.8028727769851685
44,0,0,1,1.4860249757766724
45,9,0,0,2.201080083847046
46,3,2,0,2.0159459114074707
47,9,0,0,1.7739243507385254
48,7,5,0,1.9907896518707275
49,6,2,0,2.639490842819214
50,9,0,0,3.632397413253784
51,8,2,0,1.3474458456039429
52,0,2,0,2.2587594985961914
53,3,7,0,1.4342221021652222
54,8,0,0,2.8791253566741943
55,8,0,0,3.6979362964630127
56,7,3,0,0.8263810276985168
57,7,3,0,2.451552629470825
58,4,0,0,1.595902442932129
59,6,5,0,1.9677804708480835
60,7,2,0,2.858006000518799
61,3,5,0,1.6352543830871582
62,6,2,0,2.571089506149292
63,3,0,0,2.7102348804473877
64,6,3,0,1.7551771402359009
65,2,2,1,2.1824450492858887
66,1,0,0,2.13392972946167
67,2,0,0,3.7414424419403076
68,3,3,1,2.3830089569091797
69,7,5,0,2.5060765743255615
70,2,0,0,2.803673267364502
71,6,0,0,1.1847683191299438
72,8,0,0,3.585019111633301
73,8,0,0,2.210833787918091
74,0,0,1,1.686167597770691
75,2,2,1,2.139479875564575
76,9,3,0,2.337374210357666
77,3,5,0,3.2869675159454346
78,3,2,0,1.7319036722183228
79,8,0,0,3.52280330657959
80,8,0,0,2.3924224376678467
81,1,3,0,2.0694117546081543
82,1,0,0,1.7971794605255127
83,7,0,0,3.9770359992980957
84,2,0,0,3.36110520362854
85,5,2,0,1.263590931892395
86,2,5,0,1.1022521257400513
87,7,0,0,3.0023183822631836
88,8,0,0,1.871788740158081
89,9,0,0,1.9499773979187012
90,0,0,1,4.360023498535156
91,3,5,0,1.9851309061050415
92,8,0,0,2.691650629043579
93,6,2,0,2.681445837020874
94,4,4,1,1.2790807485580444
95,6,4,0,1.5190571546554565
96,6,5,0,1.8915550708770752
97,0,0,1,3.551001787185669
98,0,4,0,1.5256845951080322
99,7,5,0,3.8620412349700928
100,4,5,0,3.093170166015625
101,5,8,0,2.6132004261016846
102,6,5,0,1.564864158630371
103,3,2,0,2.11552357673645
104,1,0,0,2.806411027908325
105,1,0,0,2.9897162914276123
106,3,5,0,2.5782222747802734
107,6,6,1,1.6971750259399414
108,8,3,0,2.0660741329193115
109,7,0,0,1.3788098096847534
110,4,2,0,3.460341453552246
111,0,0,1,2.5039522647857666
112,6,2,0,2.7793636322021484
113,2,0,0,3.1981265544891357
114,1,7,0,2.2614903450012207
115,3,3,1,1.0143275260925293
116,0,0,1,3.641603946685791
117,4,5,0,1.8779054880142212
118,2,0,0,2.283742666244507
119,7,9,0,1.4895275831222534
120,8,0,0,2.093082904815674
121,3,5,0,2.6935691833496094
122,1,0,0,1.2906955480575562
123,2,5,0,1.7128734588623047
124,8,5,0,2.176605701446533
125,0,8,0,2.113607406616211
126,8,0,0,2.449495792388916
127,3,3,1,1.6698424816131592
128,5,6,0,1.0473231077194214
129,2,0,0,2.2300071716308594
130,4,2,0,2.5017588138580322
131,1,0,0,3.4418976306915283
132,8,0,0,3.042646646499634
133,9,9,1,0.923094630241394
134,1,0,0,3.7470061779022217
135,2,3,0,2.359576940536499
136,9,8,0,2.3384623527526855
137,7,0,0,1.9803283214569092
138,2,2,1,3.6806046962738037
139,9,0,0,1.659367561340332
140,6,0,0,1.5575209856033325
141,5,2,0,1.972549557685852
142,6,0,0,2.0598349571228027
143,3,0,0,1.289991021156311
144,8,8,1,2.8182425498962402
145,7,2,0,1.4457074403762817
146,6,3,0,2.374387264251709
147,2,8,0,1.7943543195724487
148,5,3,0,1.453816533088684
149,2,3,0,0.9274526834487915
150,8,5,0,3.076186180114746
151,9,5,0,1.2002453804016113
152,6,0,0,1.0265899896621704
153,0,5,0,2.887730121612549
154,0,5,0,1.4832206964492798
155,5,5,1,3.5401599407196045
156,2,0,0,3.1474149227142334
157,9,8,0,1.5719794034957886
158,5,6,0,1.113215684890747
159,4,2,0,0.8870961666107178
160,2,5,0,1.6909074783325195
161,1,7,0,0.4429532587528229
162,6,0,0,1.1706087589263916
163,6,4,0,3.666710615158081
164,8,0,0,3.283954381942749
165,4,7,0,1.8520545959472656
166,8,0,0,4.290558338165283
167,4,2,0,1.307565689086914
168,5,3,0,1.5685640573501587
169,0,4,0,1.4792524576187134
170,9,1,0,1.0416464805603027
171,9,0,0,1.553871750831604
172,9,0,0,2.121351957321167
173,8,5,0,1.631113052368164
174,9,5,0,1.6125435829162598
175,9,8,0,1.3206733465194702
176,3,0,0,2.4756581783294678
177,7,5,0,3.929774045944214
178,5,3,0,1.816456913948059
179,0,7,0,1.7173938751220703
180,0,0,1,2.2829971313476562
181,5,3,0,1.2841788530349731
182,2,2,1,1.0435107946395874
183,2,5,0,1.975804328918457
184,3,3,1,1.4982291460037231
185,8,0,0,4.255740642547607
186,6,2,0,3.477335214614868
187,3,5,0,2.597198486328125
188,4,0,0,2.2022125720977783
189,0,0,1,2.523930311203003
190,5,2,0,1.9848318099975586
