sample_idx,true_label,pred_label,correct,confidence
0,3,3,1,2.286172866821289
1,8,1,0,1.834571123123169
2,8,8,1,0.7363665103912354
3,0,5,0,3.661252021789551
4,6,4,0,2.3957881927490234
5,6,6,1,3.15762996673584
6,1,5,0,1.0048332214355469
7,6,2,0,2.86452317237854
8,3,4,0,2.7577550411224365
9,1,3,0,0.3846386969089508
10,0,0,1,3.7374167442321777
11,9,7,0,1.5370821952819824
12,5,3,0,2.3807671070098877
13,7,1,0,4.188005447387695
14,9,1,0,1.6778308153152466
15,8,4,0,1.1270445585250854
16,5,5,1,3.1892573833465576
17,7,7,1,2.6988041400909424
18,8,1,0,2.136479377746582
19,6,5,0,2.140408515930176
20,7,7,1,2.35202956199646
21,0,0,1,3.888843297958374
22,4,0,0,1.499258279800415
23,9,9,1,4.105939865112305
24,5,4,0,3.564326524734497
25,2,2,1,1.5259040594100952
26,4,5,0,1.1369798183441162
27,0,6,0,2.7199230194091797
28,9,2,0,0.7547787427902222
29,6,6,1,3.069882869720459
30,6,9,0,3.77742862701416
31,5,5,1,1.3036397695541382
32,4,3,0,2.161153554916382
33,5,6,0,1.7837520837783813
34,9,1,0,2.5692083835601807
35,2,9,0,1.13886296749115
36,4,7,0,3.0091514587402344
37,1,1,1,1.4222676753997803
38,9,1,0,2.5898540019989014
39,5,5,1,1.6654905080795288
40,4,3,0,1.8837690353393555
41,6,6,1,4.289056777954102
42,5,5,1,1.5923683643341064
43,6,2,0,0.7261801958084106
44,0,0,1,3.162843704223633
45,9,9,1,2.003931999206543
46,3,5,0,2.267477035522461
47,9,1,0,2.8071911334991455
48,7,7,1,4.561520099639893
49,6,6,1,3.678497791290283
50,9,9,1,1.0500433444976807
51,8,8,1,1.6338224411010742
52,0,6,0,1.9057550430297852
53,3,1,0,2.042742967605591
54,8,8,1,5.505119800567627
55,8,8,1,2.259415626525879
56,7,6,0,1.5765442848205566
57,7,2,0,1.2398911714553833
58,4,8,0,0.7634046673774719
59,6,5,0,3.9808645248413086
60,7,7,1,2.0129151344299316
61,3,5,0,3.8463497161865234
62,6,2,0,1.2298402786254883
63,3,3,1,1.686631679534912
64,6,6,1,3.364694833755493
65,2,6,0,4.035096645355225
66,1,9,0,2.482598066329956
67,2,0,0,3.3626248836517334
68,3,2,0,1.1497029066085815
69,7,0,0,3.343920946121216
70,2,2,1,1.793717622756958
71,6,6,1,2.8841195106506348
72,8,2,0,2.1749019622802734
73,8,8,1,6.111469745635986
74,0,9,0,2.4919309616088867
75,2,0,0,1.1985331773757935
76,9,1,0,1.6933140754699707
77,3,5,0,1.4680168628692627
78,3,7,0,2.5706303119659424
79,8,0,0,3.696650743484497
80,8,8,1,2.075916290283203
81,1,1,1,3.470122814178467
82,1,7,0,1.3658726215362549
83,7,0,0,1.1252175569534302
84,2,7,0,1.3263226747512817
85,5,7,0,1.8780183792114258
86,2,5,0,1.568115472793579
87,7,3,0,1.7532795667648315
88,8,0,0,1.9027073383331299
89,9,5,0,1.4079066514968872
90,0,2,0,1.8018614053726196
91,3,6,0,3.926298141479492
92,8,1,0,0.943610429763794
93,6,6,1,1.9794840812683105
94,4,7,0,2.080353260040283
95,6,6,1,2.4655613899230957
96,6,6,1,3.191079616546631
97,0,5,0,2.246453046798706
98,0,7,0,1.066115379333496
99,7,7,1,1.8663053512573242
100,4,5,0,1.3200159072875977
101,5,4,0,1.5182626247406006
102,6,5,0,0.8091883659362793
103,3,5,0,4.286798000335693
104,1,6,0,2.364414930343628
105,1,8,0,3.158660411834717
106,3,5,0,4.090504169464111
107,6,4,0,1.5957573652267456
108,8,7,0,1.570075511932373
109,7,3,0,1.8768330812454224
110,4,6,0,1.444089412689209
111,0,5,0,1.9494680166244507
112,6,6,1,3.400735855102539
113,2,9,0,0.4917519688606262
114,1,9,0,6.520236015319824
115,3,3,1,3.085876941680908
116,0,0,1,1.800755500793457
117,4,3,0,2.3681676387786865
118,2,0,0,2.1574859619140625
119,7,5,0,2.87637996673584
120,8,5,0,3.2630558013916016
121,3,5,0,2.4583740234375
122,1,4,0,0.9723923802375793
123,2,7,0,1.6575791835784912
124,8,9,0,1.6628258228302002
125,0,4,0,1.5115910768508911
126,8,8,1,3.650526762008667
127,3,5,0,3.6390061378479004
128,5,5,1,1.7024717330932617
