sample_idx,true_label,pred_label,correct,confidence
0,3,3,1,1.8714635372161865
1,8,8,1,4.500778675079346
2,8,8,1,6.2802557945251465
3,0,0,1,2.458819627761841
4,6,6,1,4.385136604309082
5,6,3,0,1.0576708316802979
6,1,1,1,5.370599746704102
7,6,6,1,1.4025952816009521
8,3,6,0,3.0821216106414795
9,1,1,1,2.7623887062072754
10,0,5,0,3.5785696506500244
11,9,9,1,3.501640558242798
12,5,5,1,3.702707529067993
13,7,5,0,2.5784237384796143
14,9,9,1,5.709033489227295
15,8,8,1,2.159891128540039
16,5,5,1,4.604223728179932
17,7,7,1,3.3794784545898438
18,8,8,1,1.522085189819336
19,6,6,1,5.397399425506592
20,7,7,1,2.5661838054656982
21,0,0,1,3.0768320560455322
22,4,9,0,2.161724328994751
23,9,9,1,5.2966532707214355
24,5,4,0,4.250888824462891
25,2,2,1,3.0484635829925537
26,4,3,0,1.390913486480713
27,0,7,0,2.803342819213867
28,9,1,0,3.0740909576416016
29,6,6,1,2.779369354248047
30,6,1,0,2.137157440185547
31,5,2,0,3.469244956970215
32,4,4,1,2.515526533126831
33,5,2,0,2.5857388973236084
34,9,9,1,4.909049987792969
35,2,1,0,2.7561216354370117
36,4,4,1,2.105433702468872
37,1,1,1,0.9867722988128662
38,9,9,1,3.2607133388519287
39,5,3,0,2.380784749984741
40,4,9,0,2.788848876953125
41,6,6,1,4.012738227844238
42,5,9,0,1.1293561458587646
43,6,4,0,3.1755576133728027
44,0,0,1,3.017040491104126
45,9,1,0,2.286494255065918
46,3,5,0,4.698394298553467
47,9,3,0,1.4849435091018677
48,7,4,0,5.241753578186035
49,6,6,1,5.6944427490234375
50,9,9,1,3.659844160079956
51,8,8,1,4.373823165893555
52,0,2,0,2.610647201538086
53,3,5,0,2.786600351333618
54,8,8,1,5.924447536468506
55,8,8,1,6.298215389251709
56,7,5,0,3.264676094055176
57,7,2,0,1.7592309713363647
58,4,3,0,2.8237011432647705
59,6,5,0,2.703068733215332
60,7,7,1,7.658865451812744
61,3,5,0,3.5017335414886475
62,6,2,0,0.8638809323310852
63,3,8,0,0.8968172669410706
64,6,5,0,1.116397738456726
65,2,4,0,3.146819829940796
66,1,8,0,3.0326969623565674
67,2,2,1,3.4967453479766846
68,3,2,0,1.7879897356033325
69,7,7,1,1.6564289331436157
70,2,2,1,3.053795099258423
71,6,3,0,1.4849350452423096
72,8,0,0,2.6151297092437744
73,8,8,1,8.88182258605957
74,0,9,0,3.9257845878601074
75,2,2,1,1.8263881206512451
76,9,9,1,4.314476490020752
77,3,7,0,1.9042599201202393
78,3,5,0,3.8595712184906006
79,8,8,1,3.9765381813049316
80,8,8,1,4.868666648864746
81,1,1,1,4.746764183044434
82,1,2,0,1.525898814201355
83,7,5,0,2.1085093021392822
84,2,0,0,1.0459076166152954
85,5,7,0,4.139233112335205
86,2,9,0,4.091887950897217
87,7,8,0,1.3722506761550903
88,8,8,1,4.747598171234131
89,9,9,1,6.857529163360596
90,0,8,0,5.06869649887085
91,3,5,0,2.456942319869995
