sample_idx,true_label,pred_label,correct,confidence
0,3,3,1,3.454848051071167
1,8,8,1,4.722629070281982
2,8,8,1,4.565622806549072
3,0,8,0,3.962921380996704
4,6,6,1,5.493828296661377
5,6,3,0,3.8668274879455566
6,1,3,0,1.476704716682434
7,6,2,0,3.469383478164673
8,3,3,1,3.1967456340789795
9,1,1,1,3.0388689041137695
10,0,0,1,3.8614161014556885
11,9,9,1,2.3815860748291016
12,5,5,1,6.463453769683838
13,7,5,0,3.1575400829315186
14,9,9,1,6.240728378295898
15,8,3,0,1.248376488685608
16,5,5,1,7.01919412612915
17,7,3,0,1.3233641386032104
18,8,8,1,4.80884313583374
19,6,6,1,3.292158365249634
20,7,7,1,3.4035511016845703
21,0,0,1,4.467041015625
22,4,0,0,3.6080141067504883
23,9,9,1,5.042720794677734
24,5,4,0,5.039011478424072
25,2,2,1,2.245892286300659
26,4,3,0,2.813410997390747
27,0,4,0,1.8317451477050781
28,9,1,0,4.658720970153809
29,6,6,1,4.297033309936523
30,6,3,0,2.484858274459839
31,5,5,1,4.7834153175354
32,4,4,1,3.6081931591033936
33,5,5,1,4.092771530151367
34,9,9,1,2.3811228275299072
35,2,1,0,1.6991467475891113
36,4,5,0,3.9588325023651123
37,1,1,1,6.1045942306518555
38,9,9,1,4.939752101898193
39,5,5,1,5.525564670562744
40,4,0,0,2.7713072299957275
41,6,6,1,4.9117841720581055
42,5,5,1,4.223938941955566
43,6,2,0,3.454244375228882
44,0,0,1,3.386277198791504
45,9,9,1,4.666677951812744
46,3,5,0,3.2099812030792236
47,9,9,1,1.1861151456832886
48,7,4,0,5.473162651062012
49,6,6,1,5.5890607833862305
50,9,9,1,3.683197021484375
51,8,8,1,4.316007137298584
52,0,2,0,3.129934310913086
53,3,3,1,2.4895851612091064
54,8,8,1,8.459599494934082
55,8,8,1,8.34912395477295
56,7,7,1,3.039766311645508
57,7,5,0,2.7960968017578125
58,4,8,0,1.467840313911438
59,6,5,0,3.054819345474243
60,7,7,1,7.734329700469971
61,3,5,0,5.4997382164001465
62,6,5,0,1.7947431802749634
63,3,5,0,1.4704105854034424
64,6,3,0,1.8578191995620728
65,2,4,0,3.2603704929351807
66,1,8,0,0.8963813185691833
67,2,2,1,4.771050453186035
68,3,3,1,1.2738268375396729
69,7,0,0,1.6522222757339478
70,2,2,1,3.2383692264556885
71,6,3,0,1.949721336364746
72,8,8,1,3.860046625137329
73,8,8,1,8.32457447052002
74,0,0,1,3.1081199645996094
75,2,2,1,3.9372570514678955
76,9,9,1,4.089561939239502
77,3,5,0,5.82935094833374
78,3,5,0,5.312764644622803
79,8,0,0,2.624843120574951
80,8,8,1,5.552609920501709
81,1,1,1,4.948518753051758
82,1,1,1,2.617300510406494
83,7,0,0,1.5183736085891724
84,2,5,0,2.4560651779174805
85,5,2,0,2.7068064212799072
86,2,0,0,1.4652085304260254
87,7,8,0,2.883047342300415
88,8,8,1,2.643144369125366
89,9,9,1,5.376558780670166
90,0,8,0,5.119654178619385
91,3,3,1,3.9827029705047607
92,8,8,1,10.082084655761719
93,6,6,1,2.7490179538726807
94,4,2,0,2.8550469875335693
95,6,6,1,2.749072790145874
96,6,6,1,5.093832969665527
97,0,0,1,5.126138687133789
98,0,2,0,3.4640796184539795
99,7,7,1,4.41731595993042
100,4,2,0,2.3631093502044678
