sample_idx,true_label,pred_label,correct,confidence
0,3,3,1,3.1264145374298096
1,8,8,1,1.9135273694992065
2,8,8,1,4.092270374298096
3,0,8,0,4.4224162101745605
4,6,6,1,5.836010932922363
5,6,3,0,2.648805856704712
6,1,1,1,5.4053497314453125
7,6,2,0,3.7894444465637207
8,3,6,0,2.8202388286590576
9,1,1,1,3.948019027709961
10,0,5,0,2.797361135482788
11,9,3,0,1.4005531072616577
12,5,5,1,2.355545997619629
13,7,1,0,3.599475383758545
14,9,9,1,4.405573844909668
15,8,6,0,1.2842495441436768
16,5,5,1,4.549544334411621
17,7,3,0,2.536529302597046
18,8,3,0,2.244138479232788
19,6,6,1,2.968402862548828
20,7,2,0,2.3436269760131836
21,0,0,1,3.697631359100342
22,4,0,0,3.7619123458862305
23,9,9,1,2.459765911102295
24,5,4,0,3.9987235069274902
25,2,4,0,2.1277825832366943
26,4,3,0,3.0417869091033936
27,0,6,0,2.841306686401367
28,9,2,0,2.0623631477355957
29,6,6,1,6.25666618347168
30,6,3,0,4.180473327636719
31,5,4,0,3.91857647895813
32,4,4,1,3.5133039951324463
33,5,3,0,3.6169755458831787
34,9,5,0,1.1325541734695435
35,2,7,0,1.5150947570800781
36,4,5,0,2.742140054702759
37,1,1,1,4.634771823883057
38,9,9,1,4.3540449142456055
39,5,5,1,5.3645243644714355
40,4,4,1,2.3773059844970703
41,6,6,1,3.996986150741577
42,5,5,1,3.088716983795166
43,6,2,0,2.7408409118652344
44,0,2,0,2.45224666595459
45,9,9,1,3.8879308700561523
46,3,5,0,4.194088459014893
47,9,8,0,1.6909897327423096
48,7,4,0,4.884211540222168
49,6,6,1,5.204225540161133
50,9,4,0,2.50992488861084
51,8,2,0,2.963099718093872
52,0,5,0,4.121922016143799
53,3,6,0,3.1833245754241943
54,8,8,1,7.022072792053223
55,8,8,1,8.34912395477295
56,7,7,1,4.128713130950928
57,7,5,0,3.4880893230438232
58,4,5,0,2.459894895553589
59,6,5,0,3.322892189025879
60,7,4,0,4.50057315826416
61,3,3,1,2.6507070064544678
62,6,6,1,3.5043623447418213
63,3,3,1,1.545751690864563
64,6,6,1,2.129502773284912
65,2,6,0,4.3549604415893555
66,1,1,1,3.024616241455078
67,2,2,1,4.642489433288574
68,3,3,1,1.0591810941696167
69,7,5,0,3.09423828125
70,2,4,0,2.8145055770874023
71,6,3,0,2.0281567573547363
72,8,8,1,3.3698880672454834
73,8,8,1,9.289860725402832
74,0,5,0,2.0775930881500244
75,2,4,0,3.6633787155151367
76,9,2,0,1.2755502462387085
77,3,5,0,3.019183874130249
78,3,5,0,2.287907361984253
79,8,8,1,3.952932596206665
80,8,5,0,2.095003366470337
81,1,1,1,4.948518753051758
82,1,1,1,2.9345951080322266
83,7,0,0,2.4033703804016113
84,2,0,0,2.2917399406433105
85,5,2,0,2.4150633811950684
86,2,8,0,4.285783290863037
87,7,3,0,2.0294530391693115
