sample_idx,true_label,pred_label,correct,confidence
0,3,2,0,3.382148027420044
1,8,2,0,3.644336700439453
2,8,0,0,3.676703453063965
3,0,2,0,4.09127950668335
4,6,2,0,3.604126214981079
5,6,3,0,5.58681583404541
6,1,3,0,1.2859086990356445
7,6,2,0,5.255589962005615
8,3,3,1,4.678560256958008
9,1,3,0,4.149018287658691
10,0,0,1,3.1871230602264404
11,9,3,0,3.913741111755371
12,5,3,0,3.953333854675293
13,7,2,0,3.8143651485443115
14,9,3,0,3.5307843685150146
15,8,0,0,5.362983703613281
16,5,3,0,3.249243974685669
17,7,3,0,5.986678600311279
18,8,3,0,4.262699604034424
19,6,2,0,4.605467796325684
20,7,2,0,5.367476940155029
21,0,0,1,5.383593559265137
22,4,3,0,3.485654830932617
23,9,3,0,4.640875816345215
24,5,2,0,5.3959059715271
25,2,2,1,3.913214683532715
26,4,3,0,5.824894905090332
27,0,0,1,5.169426441192627
28,9,3,0,5.3484954833984375
29,6,2,0,3.476036787033081
30,6,3,0,3.889465570449829
31,5,0,0,3.923004388809204
32,4,3,0,5.416029930114746
33,5,3,0,3.941697835922241
34,9,3,0,2.5165464878082275
35,2,3,0,3.983771324157715
36,4,3,0,5.120192050933838
37,1,0,0,4.567390441894531
38,9,3,0,5.324532508850098
39,5,0,0,2.6222732067108154
40,4,3,0,4.085926055908203
41,6,2,0,5.4608683586120605
42,5,3,0,4.141056060791016
43,6,5,0,4.890068054199219
44,0,2,0,3.7398481369018555
45,9,3,0,2.9734530448913574
46,3,3,1,5.39914083480835
47,9,0,0,4.090174198150635
48,7,2,0,6.409116268157959
49,6,2,0,5.0603461265563965
50,9,3,0,5.388892650604248
51,8,0,0,4.47639274597168
52,0,2,0,3.655298948287964
53,3,3,1,5.188714981079102
54,8,3,0,4.692723751068115
55,8,3,0,5.160284042358398
56,7,3,0,3.3053982257843018
57,7,3,0,4.7296648025512695
58,4,3,0,5.516265869140625
59,6,3,0,5.873229026794434
60,7,2,0,3.3322689533233643
61,3,3,1,4.537073135375977
62,6,2,0,6.018935203552246
63,3,3,1,4.500154972076416
64,6,3,0,4.415935039520264
65,2,2,1,5.974368572235107
66,1,3,0,5.402083873748779
67,2,2,1,4.115411281585693
68,3,3,1,2.3956844806671143
69,7,2,0,5.7505693435668945
70,2,3,0,4.5707688331604
71,6,3,0,4.417643070220947
72,8,3,0,5.313973903656006
73,8,3,0,4.679766654968262
74,0,3,0,3.547279119491577
75,2,0,0,4.429440498352051
76,9,0,0,5.800203323364258
77,3,8,0,2.9725444316864014
78,3,3,1,4.993101596832275
79,8,3,0,4.58282470703125
80,8,0,0,5.259035110473633
81,1,3,0,1.733945608139038
82,1,2,0,3.1596429347991943
83,7,3,0,5.294628143310547
84,2,3,0,5.480716228485107
85,5,3,0,3.9755725860595703
86,2,3,0,4.100551605224609
87,7,3,0,5.234517574310303
88,8,3,0,5.292553901672363
89,9,8,0,1.7172482013702393
90,0,3,0,3.8321444988250732
91,3,3,1,4.349539756774902
92,8,0,0,4.259195327758789
93,6,3,0,5.00306510925293
94,4,5,0,3.5456693172454834
95,6,0,0,5.132705211639404
96,6,3,0,5.120227336883545
97,0,0,1,7.350503444671631
98,0,2,0,4.510213375091553
99,7,3,0,3.0554938316345215
100,4,3,0,6.838842391967773
