sample_idx,true_label,pred_label,correct,confidence
0,3,0,0,3.110043525695801
1,8,0,0,5.001725196838379
2,8,0,0,4.825234413146973
3,0,0,1,5.0558085441589355
4,6,2,0,3.7681221961975098
5,6,0,0,5.164952278137207
6,1,0,0,3.311387538909912
7,6,0,0,5.434803009033203
8,3,0,0,5.607776641845703
9,1,0,0,4.043290615081787
10,0,0,1,5.410902976989746
11,9,2,0,4.563846588134766
12,5,2,0,5.584178447723389
13,7,2,0,2.2797906398773193
14,9,0,0,3.165734052658081
15,8,0,0,4.187191009521484
16,5,3,0,5.563887596130371
17,7,3,0,3.2485897541046143
18,8,2,0,3.614049196243286
19,6,0,0,4.027889251708984
20,7,3,0,3.1891207695007324
21,0,0,1,6.063618183135986
22,4,0,0,4.999096393585205
23,9,8,0,2.451486587524414
24,5,3,0,3.8767237663269043
25,2,2,1,5.015262603759766
26,4,3,0,3.8754894733428955
27,0,3,0,5.051576614379883
28,9,3,0,4.909213066101074
29,6,2,0,4.359182834625244
30,6,3,0,2.416473865509033
31,5,0,0,3.353804349899292
32,4,0,0,5.571881294250488
33,5,3,0,4.556431770324707
34,9,0,0,2.9608566761016846
35,2,3,0,4.124560356140137
36,4,0,0,6.702205181121826
37,1,0,0,3.430957555770874
38,9,0,0,4.231878280639648
39,5,3,0,4.850819110870361
40,4,3,0,2.7016875743865967
41,6,2,0,3.3794219493865967
42,5,3,0,3.2938013076782227
43,6,3,0,5.843913555145264
44,0,2,0,5.040516376495361
45,9,3,0,6.987290382385254
46,3,2,0,4.495192050933838
47,9,3,0,2.3728036880493164
48,7,4,0,3.5484583377838135
49,6,2,0,5.164962291717529
50,9,0,0,3.002610445022583
51,8,2,0,6.1458353996276855
52,0,5,0,2.94254207611084
53,3,2,0,3.620542287826538
54,8,0,0,4.527805805206299
55,8,0,0,4.27242374420166
56,7,3,0,2.806180238723755
57,7,5,0,4.033334732055664
58,4,0,0,5.018726825714111
59,6,3,0,4.077275276184082
60,7,0,0,6.2346062660217285
61,3,3,1,5.737623691558838
62,6,2,0,6.409528732299805
63,3,3,1,4.673957824707031
64,6,3,0,3.6968939304351807
65,2,3,0,4.84060001373291
66,1,3,0,3.8770217895507812
67,2,0,0,6.942726135253906
68,3,3,1,4.946267604827881
69,7,2,0,5.074073314666748
70,2,3,0,4.600971221923828
71,6,3,0,3.62797212600708
72,8,0,0,4.794282913208008
73,8,3,0,3.8684730529785156
74,0,2,0,4.136415481567383
75,2,0,0,4.68708610534668
76,9,3,0,3.2356033325195312
77,3,3,1,5.262828826904297
78,3,3,1,3.8656671047210693
79,8,3,0,2.83345365524292
80,8,0,0,5.351613998413086
81,1,5,0,4.128209114074707
82,1,2,0,3.387504816055298
83,7,0,0,6.561610698699951
84,2,2,1,3.7110707759857178
85,5,3,0,3.934086561203003
86,2,3,0,3.9200778007507324
87,7,3,0,5.1437177658081055
88,8,0,0,4.83648157119751
89,9,2,0,4.474103927612305
90,0,0,1,5.230215549468994
91,3,2,0,4.377976417541504
92,8,5,0,3.86065936088562
93,6,2,0,4.067616939544678
94,4,3,0,4.455748558044434
95,6,0,0,4.517910957336426
96,6,2,0,3.857163667678833
97,0,0,1,7.780936241149902
98,0,3,0,2.0853967666625977
99,7,0,0,4.849514961242676
100,4,3,0,5.746676445007324
101,5,0,0,7.2604570388793945
102,6,2,0,2.7318451404571533
103,3,3,1,4.4465532302856445
104,1,3,0,4.237869739532471
105,1,3,0,3.454139471054077
106,3,3,1,3.951279878616333
107,6,2,0,7.259195327758789
108,8,3,0,4.881627082824707
109,7,3,0,5.502895832061768
110,4,2,0,3.977848529815674
111,0,0,1,5.6168365478515625
112,6,0,0,4.5616559982299805
113,2,2,1,4.743480205535889
114,1,8,0,2.615091323852539
115,3,3,1,4.1500091552734375
116,0,0,1,8.324823379516602
117,4,2,0,4.422317981719971
118,2,3,0,3.297096014022827
119,7,3,0,4.112209320068359
120,8,3,0,3.760690450668335
121,3,0,0,4.206307411193848
122,1,2,0,5.227165699005127
123,2,0,0,5.250696182250977
124,8,3,0,3.5015342235565186
125,0,3,0,3.867729425430298
126,8,0,0,5.00004768371582
127,3,3,1,4.474517822265625
128,5,3,0,5.437546253204346
129,2,0,0,3.334333896636963
130,4,0,0,4.8885498046875
131,1,0,0,3.5643436908721924
132,8,3,0,3.8316526412963867
133,9,3,0,3.9412691593170166
134,1,0,0,4.5026350021362305
135,2,0,0,3.5744268894195557
136,9,3,0,3.306149482727051
137,7,2,0,3.985389471054077
138,2,3,0,4.72986364364624
139,9,3,0,5.0899553298950195
140,6,0,0,4.965883255004883
141,5,3,0,3.5824267864227295
142,6,3,0,3.9793076515197754
143,3,3,1,5.819955825805664
144,8,0,0,3.6135237216949463
145,7,3,0,5.268117904663086
146,6,3,0,4.768491744995117
147,2,0,0,4.762734413146973
148,5,3,0,4.521947860717773
149,2,3,0,7.054749488830566
150,8,0,0,3.1584699153900146
151,9,2,0,3.374199151992798
152,6,3,0,1.96877121925354
153,0,3,0,4.420167446136475
154,0,0,1,5.9893693923950195
155,5,3,0,6.6603474617004395
156,2,2,1,3.8051834106445312
157,9,3,0,3.2204267978668213
158,5,3,0,3.4045448303222656
159,4,0,0,6.9129462242126465
160,2,3,0,4.301445960998535
161,1,3,0,5.09467887878418
162,6,5,0,2.97774600982666
163,6,4,0,3.706812620162964
164,8,3,0,5.249072074890137
165,4,0,0,5.510952472686768
166,8,0,0,5.6376447677612305
167,4,0,0,5.191375732421875
168,5,0,0,5.6760783195495605
169,0,2,0,4.571380138397217
170,9,3,0,3.7732982635498047
171,9,3,0,4.146937370300293
172,9,2,0,4.8029608726501465
173,8,2,0,3.107396364212036
174,9,3,0,1.1526899337768555
175,9,2,0,2.8877344131469727
176,3,2,0,5.134625434875488
177,7,3,0,3.8392245769500732
178,5,3,0,4.702719688415527
179,0,3,0,4.026580333709717
180,0,3,0,3.520068407058716
181,5,3,0,5.227599143981934
182,2,8,0,2.835867166519165
183,2,3,0,3.8416428565979004
184,3,2,0,5.811066150665283
185,8,2,0,4.572329044342041
186,6,2,0,4.326777458190918
187,3,2,0,4.873364448547363
188,4,8,0,4.302053928375244
189,0,0,1,6.0007805824279785
190,5,2,0,4.14900016784668
191,8,3,0,5.387666702270508
192,0,2,0,4.248840808868408
193,1,5,0,5.108701705932617
194,7,0,0,4.001777648925781
195,2,0,0,5.418601036071777
196,8,0,0,3.588691473007202
197,8,0,0,6.071474552154541
198,7,3,0,6.238764762878418
199,8,0,0,5.234742641448975
200,5,2,0,3.65423321723938
201,1,3,0,6.707951068878174
202,8,0,0,5.170273780822754
203,7,2,0,3.001633405685425
204,1,2,0,2.399174213409424
205,3,3,1,4.622983455657959
206,0,2,0,4.410130977630615
207,5,2,0,3.464585542678833
208,7,3,0,3.623668670654297
209,9,0,0,3.1159491539001465
210,7,3,0,5.46285343170166
211,4,8,0,2.8588013648986816
212,5,0,0,4.672242164611816
213,9,2,0,3.9732306003570557
214,8,3,0,5.876415252685547
215,0,0,1,5.392922401428223
216,7,3,0,3.607949733734131
217,9,0,0,4.527447700500488
218,8,0,0,7.040627479553223
219,2,0,0,4.197165489196777
220,7,0,0,4.076407432556152
221,6,3,0,4.8935441970825195
222,9,2,0,3.1466238498687744
