sample_idx,true_label,pred_label,correct,confidence
0,3,3,1,5.9667205810546875
1,8,8,1,7.183444976806641
2,8,8,1,5.034299850463867
3,0,0,1,7.219763278961182
4,6,6,1,5.3857526779174805
5,6,6,1,7.675508499145508
6,1,1,1,4.42002534866333
7,6,2,0,3.634645700454712
8,3,3,1,2.6384599208831787
9,1,1,1,5.103009223937988
10,0,0,1,3.222156524658203
11,9,9,1,5.024194240570068
12,5,5,1,4.06552267074585
13,7,3,0,1.8413708209991455
14,9,9,1,7.190492630004883
15,8,8,1,4.78227424621582
16,5,5,1,6.075474739074707
17,7,9,0,4.407323837280273
18,8,8,1,4.537234783172607
19,6,6,1,3.7049078941345215
20,7,7,1,3.771310567855835
21,0,0,1,6.355800151824951
22,4,4,1,3.967735767364502
23,9,9,1,10.443360328674316
24,5,4,0,4.758162021636963
25,2,2,1,3.028249502182007
26,4,4,1,2.957063913345337
27,0,7,0,2.3265368938446045
28,9,9,1,10.103251457214355
29,6,4,0,3.1498398780822754
30,6,3,0,3.1451222896575928
31,5,7,0,2.432398796081543
32,4,4,1,2.9136533737182617
33,5,3,0,3.7329695224761963
34,9,9,1,3.4932613372802734
35,2,3,0,2.5770487785339355
36,4,4,1,2.0581459999084473
37,1,9,0,5.523883819580078
38,9,9,1,8.9421968460083
39,5,6,0,2.2258076667785645
40,4,4,1,1.3167258501052856
41,6,4,0,2.2648403644561768
42,5,5,1,4.740110874176025
43,6,9,0,1.451233148574829
44,0,0,1,6.249948978424072
45,9,9,1,1.4820400476455688
46,3,3,1,4.992386817932129
47,9,3,0,1.6904587745666504
48,7,4,0,3.271427869796753
49,6,6,1,9.193657875061035
50,9,3,0,2.688373327255249
51,8,8,1,11.554699897766113
52,0,6,0,2.8601861000061035
53,3,3,1,4.010287761688232
54,8,8,1,4.688793659210205
55,8,8,1,8.829567909240723
56,7,9,0,4.697882652282715
57,7,2,0,2.6970088481903076
58,4,8,0,6.224819183349609
59,6,5,0,3.4968230724334717
60,7,7,1,8.601550102233887
61,3,5,0,5.6720075607299805
62,6,6,1,2.877063512802124
63,3,3,1,2.933485746383667
64,6,6,1,2.9103293418884277
65,2,6,0,6.22235107421875
66,1,9,0,3.889871597290039
67,2,2,1,4.710849285125732
68,3,3,1,2.78841233253479
69,7,7,1,2.916656017303467
70,2,0,0,1.0620896816253662
71,6,3,0,1.0386158227920532
72,8,8,1,7.216507911682129
73,8,8,1,8.853994369506836
74,0,0,1,1.8320385217666626
75,2,2,1,5.367926120758057
76,9,0,0,4.7540483474731445
77,3,3,1,2.9238040447235107
78,3,5,0,4.709619998931885
79,8,8,1,8.69282054901123
80,8,8,1,10.952030181884766
81,1,1,1,7.737544059753418
82,1,1,1,11.472651481628418
83,7,7,1,3.584343194961548
84,2,2,1,3.772535800933838
85,5,7,0,4.643449783325195
86,2,8,0,1.9320310354232788
87,7,0,0,2.9957218170166016
88,8,8,1,5.0649895668029785
89,9,9,1,7.519811630249023
90,0,0,1,7.072845935821533
91,3,6,0,4.24167013168335
92,8,8,1,6.968842506408691
93,6,6,1,3.5667166709899902
94,4,4,1,5.17363977432251
95,6,6,1,7.491245269775391
96,6,6,1,6.677547454833984
97,0,3,0,4.322909355163574
98,0,0,1,2.936211109161377
99,7,7,1,2.539170265197754
100,4,4,1,5.16957950592041
101,5,8,0,1.910974383354187
102,6,6,1,4.78898811340332
103,3,3,1,7.627188682556152
104,1,1,1,6.818887233734131
105,1,1,1,5.351696491241455
106,3,5,0,4.931495189666748
107,6,6,1,8.794058799743652
108,8,8,1,3.8805878162384033
109,7,7,1,5.805357933044434
110,4,4,1,8.454998970031738
111,0,0,1,5.021229267120361
112,6,4,0,5.217099189758301
113,2,5,0,3.667056083679199
114,1,1,1,6.395462512969971
115,3,3,1,2.3694732189178467
116,0,0,1,4.042160511016846
117,4,4,1,3.6869959831237793
118,2,2,1,3.7404234409332275
119,7,7,1,5.405979633331299
120,8,8,1,3.9211173057556152
121,3,3,1,3.4530320167541504
122,1,1,1,10.416430473327637
123,2,2,1,7.315966606140137
124,8,8,1,5.378048419952393
125,0,8,0,3.8186888694763184
126,8,8,1,3.011789560317993
127,3,6,0,4.192256927490234
128,5,3,0,7.565115928649902
129,2,0,0,2.2897541522979736
130,4,4,1,6.902040004730225
131,1,1,1,6.882934093475342
132,8,8,1,3.259605884552002
133,9,9,1,11.853738784790039
134,1,1,1,4.862499237060547
135,2,2,1,4.456595420837402
136,9,8,0,2.2368967533111572
137,7,7,1,4.722973823547363
138,2,2,1,4.901206016540527
139,9,8,0,5.662515640258789
140,6,4,0,3.4385995864868164
141,5,5,1,6.624385833740234
142,6,6,1,6.351204872131348
143,3,2,0,1.4565072059631348
144,8,8,1,4.161488056182861
145,7,3,0,2.1431667804718018
146,6,3,0,5.6860857009887695
147,2,6,0,3.2712018489837646
148,5,3,0,1.936698317527771
149,2,3,0,4.33964204788208
150,8,3,0,3.5918896198272705
151,9,1,0,4.359493255615234
152,6,6,1,5.572630882263184
153,0,0,1,1.9809640645980835
154,0,0,1,5.309032917022705
155,5,5,1,3.7377030849456787
156,2,3,0,6.599573135375977
157,9,9,1,5.854902744293213
158,5,3,0,4.498963356018066
159,4,4,1,10.995833396911621
160,2,2,1,3.8332159519195557
161,1,1,1,8.709501266479492
162,6,5,0,3.356419563293457
163,6,6,1,4.3630595207214355
164,8,1,0,5.386214733123779
165,4,7,0,5.462766647338867
