sample_idx,true_label,pred_label,correct,confidence
0,1,1,1,0.13533447682857513
1,1,1,1,0.21027304232120514
2,1,1,1,0.29389846324920654
3,1,1,1,0.12335138022899628
4,1,1,1,1.0815439224243164
5,1,0,0,0.5634743571281433
6,1,1,1,0.9313985705375671
7,1,1,1,2.3648526668548584
8,1,1,1,0.5553165674209595
9,1,1,1,0.2289588749408722
10,1,1,1,2.282697916030884
11,1,1,1,0.6695567965507507
12,1,1,1,0.03762839362025261
13,1,1,1,0.7952276468276978
14,1,1,1,0.08893639594316483
15,1,1,1,1.1691585779190063
16,1,0,0,2.220365285873413
17,1,0,0,1.5124601125717163
18,1,1,1,1.200478434562683
19,1,1,1,1.2922509908676147
20,1,1,1,1.8035367727279663
21,1,0,0,0.989162266254425
22,1,0,0,1.3912270069122314
23,1,0,0,0.236245796084404
24,1,1,1,2.5292165279388428
25,1,1,1,0.7201850414276123
26,1,1,1,1.2835159301757812
27,1,1,1,0.4586836099624634
28,1,1,1,0.5719992518424988
29,1,1,1,0.7294371128082275
30,1,0,0,0.1979951560497284
31,1,1,1,0.23030239343643188
32,1,0,0,0.009278581477701664
33,1,1,1,0.39195728302001953
34,1,1,1,0.9754404425621033
35,1,1,1,1.2233186960220337
36,1,1,1,1.1956120729446411
37,1,1,1,0.664600133895874
38,1,1,1,1.4027538299560547
39,1,1,1,0.8229791522026062
40,1,1,1,2.6311886310577393
41,1,0,0,0.7510429620742798
42,1,1,1,2.27685809135437
43,1,1,1,1.2920608520507812
44,1,1,1,1.2041122913360596
45,1,1,1,2.1463396549224854
46,1,1,1,1.4582979679107666
47,1,0,0,1.7267597913742065
48,1,1,1,0.9264281392097473
49,1,0,0,0.9535859227180481
50,1,1,1,2.8110134601593018
51,1,0,0,0.0190749391913414
52,1,1,1,1.359021782875061
53,1,1,1,1.8305388689041138
54,1,0,0,0.5770661234855652
55,1,1,1,2.8295795917510986
56,1,1,1,0.690603494644165
57,1,1,1,0.7696087956428528
58,1,1,1,0.6394472122192383
59,1,1,1,2.4249088764190674
60,1,1,1,1.6434305906295776
61,1,1,1,1.1459238529205322
62,1,1,1,1.7097585201263428
63,1,1,1,2.356762170791626
64,1,1,1,0.7838181853294373
65,1,1,1,2.2428228855133057
66,1,1,1,0.6949446201324463
67,1,1,1,1.247115969657898
68,1,0,0,0.4235135018825531
69,1,0,0,1.2465068101882935
70,1,1,1,0.40791988372802734
71,1,1,1,1.1278034448623657
72,1,1,1,0.761535108089447
73,1,1,1,0.8838416337966919
74,1,0,0,0.29859060049057007
75,1,1,1,1.1022785902023315
76,1,1,1,1.4623541831970215
77,1,1,1,0.8200889229774475
78,1,1,1,1.7874959707260132
79,1,1,1,0.9179570078849792
80,1,0,0,2.3322768211364746
81,1,1,1,1.106624960899353
82,1,0,0,0.45271989703178406
83,1,1,1,1.8707057237625122
84,1,1,1,0.914753258228302
85,1,0,0,0.14279289543628693
86,1,0,0,0.06659869104623795
87,1,0,0,1.060452938079834
88,1,1,1,0.9473432898521423
89,1,0,0,-0.005284368060529232
90,1,1,1,2.5640416145324707
91,1,1,1,1.3686286211013794
92,1,0,0,1.0584014654159546
93,1,0,0,1.1285066604614258
94,1,1,1,1.122503399848938
95,1,0,0,0.035975612699985504
96,1,1,1,1.6562511920928955
97,1,0,0,0.022668838500976562
98,1,0,0,1.2656227350234985
99,1,0,0,0.44336751103401184
100,1,0,0,0.564614474773407
101,1,1,1,2.063229560852051
102,1,1,1,0.3146115839481354
103,1,1,1,1.8760128021240234
104,1,1,1,0.352732390165329
105,1,0,0,0.7080228924751282
106,1,1,1,0.2504287660121918
107,1,0,0,0.27676907181739807
108,1,1,1,1.7389155626296997
109,1,1,1,1.2598639726638794
110,1,0,0,0.47250261902809143
111,1,0,0,1.218199372291565
112,1,1,1,0.2601780891418457
113,1,0,0,0.6307201385498047
114,1,0,0,2.1709465980529785
115,1,0,0,0.7025802731513977
116,1,0,0,0.8087167143821716
117,1,1,1,1.7931411266326904
118,1,1,1,0.04860537871718407
119,1,1,1,0.8414173722267151
120,1,0,0,0.7916097044944763
121,1,0,0,1.0161062479019165
122,1,1,1,1.5762263536453247
123,1,0,0,2.222092866897583
124,1,1,1,0.337565541267395
125,1,1,1,0.2975878119468689
126,1,1,1,1.1385782957077026
127,1,1,1,1.698530673980713
128,1,1,1,0.2487986981868744
129,1,1,1,2.5815513134002686
130,1,0,0,0.38547632098197937
131,1,1,1,0.5964555144309998
132,1,0,0,0.5534430146217346
133,1,1,1,0.25941747426986694
134,1,1,1,0.8394731283187866
135,1,1,1,0.3559035658836365
136,1,1,1,0.3187282979488373
137,1,0,0,1.116663932800293
138,1,1,1,1.1378580331802368
139,1,1,1,1.0810271501541138
140,1,1,1,0.8421216607093811
141,1,1,1,0.5887947082519531
142,1,0,0,0.31346771121025085
143,1,0,0,0.5175787806510925
144,1,1,1,1.25438392162323
145,1,1,1,2.361315965652466
146,1,1,1,0.17260709404945374
147,1,0,0,0.7050646543502808
148,1,1,1,0.4324157238006592
149,1,1,1,1.5674649477005005
150,1,1,1,0.497535765171051
151,1,1,1,1.85679292678833
152,1,1,1,1.175580620765686
153,1,0,0,1.2311800718307495
154,1,1,1,0.2642360329627991
155,1,0,0,-0.023293614387512207
156,1,0,0,0.17357467114925385
157,1,0,0,0.8035377860069275
158,1,0,0,0.07143715023994446
159,1,1,1,1.866204023361206
160,1,1,1,0.13096073269844055
161,1,1,1,1.7531826496124268
162,1,0,0,1.0498861074447632
163,1,1,1,1.772729754447937
164,1,1,1,0.20603132247924805
165,1,0,0,1.322726845741272
166,1,0,0,1.0256000757217407
167,1,0,0,0.22345243394374847
168,1,1,1,0.021062646061182022
169,1,0,0,0.729821503162384
170,1,1,1,1.4466482400894165
171,1,1,1,2.804901599884033
172,1,1,1,1.343981385231018
173,1,1,1,0.4834843873977661
174,1,1,1,0.035511236637830734
175,1,1,1,1.1157935857772827
176,1,1,1,0.17132540047168732
177,1,1,1,0.18115614354610443
178,1,0,0,0.0513797253370285
179,1,1,1,0.6854287981987
180,1,1,1,3.1129345893859863
181,1,1,1,1.7125210762023926
182,1,1,1,1.9531790018081665
183,1,0,0,0.26908794045448303
184,1,0,0,0.4949916899204254
185,1,1,1,0.0751323327422142
186,1,1,1,0.7704006433486938
187,1,1,1,0.30756112933158875
188,1,0,0,1.066419243812561
189,1,1,1,1.2491928339004517
190,1,1,1,1.0122193098068237
191,1,1,1,1.1613463163375854
192,1,0,0,0.10220633447170258
193,1,1,1,2.3355066776275635
194,1,0,0,0.21374516189098358
195,1,0,0,1.095497727394104
196,1,1,1,0.11010961979627609
197,1,1,1,0.2950150668621063
198,1,1,1,1.7472584247589111
199,1,0,0,0.351007878780365
200,1,1,1,0.483360230922699
201,1,1,1,0.648047924041748
202,1,1,1,0.7408254742622375
203,1,1,1,1.1623305082321167
204,1,1,1,1.177742838859558
205,1,1,1,1.6761019229888916
206,1,0,0,0.5956818461418152
207,1,0,0,0.3994051218032837
208,1,1,1,0.8820367455482483
209,1,1,1,2.1142055988311768
210,1,0,0,0.16010898351669312
211,1,1,1,0.14995579421520233
212,1,1,1,0.5798642039299011
213,1,0,0,0.3664259612560272
214,1,1,1,0.34805333614349365
215,1,1,1,1.296915888786316
216,1,1,1,2.1314151287078857
217,1,0,0,-0.003737415187060833
218,1,1,1,2.9844107627868652
219,1,1,1,1.488459825515747
220,1,1,1,1.262892246246338
221,1,1,1,0.6416696906089783
222,1,1,1,1.2896180152893066
223,1,0,0,1.420312523841858
224,1,0,0,0.17210523784160614
225,1,1,1,0.4477493166923523
226,1,1,1,0.070286326110363
227,1,0,0,0.5621839761734009
228,1,1,1,1.4487484693527222
229,1,1,1,0.6703158617019653
230,1,1,1,0.5723008513450623
231,1,0,0,0.17699216306209564
232,1,0,0,0.6768117547035217
233,1,1,1,1.0316303968429565
234,1,1,1,1.9879258871078491
235,1,1,1,2.0184261798858643
236,1,1,1,0.009918960742652416
237,1,1,1,2.114032030105591
238,1,1,1,0.4003831148147583
239,1,1,1,1.0712946653366089
240,1,0,0,0.7156235575675964
241,1,0,0,0.3074769377708435
242,1,1,1,1.121617317199707
243,1,1,1,1.7249550819396973
244,1,1,1,0.4539628326892853
245,1,1,1,1.1367409229278564
246,1,0,0,-0.0015051057562232018
247,1,1,1,0.7947953343391418
248,1,0,0,0.648002564907074
249,1,1,1,0.1299113929271698
250,1,1,1,1.4800810813903809
251,1,1,1,2.479762554168701
252,1,0,0,0.17083297669887543
253,1,0,0,0.08796857297420502
254,1,1,1,1.831229329109192
255,0,0,1,0.07989069074392319
256,1,1,1,0.2469203919172287
257,1,1,1,2.6903951168060303
258,1,1,1,0.7574976086616516
259,1,1,1,0.12627416849136353
260,1,0,0,0.9716516137123108
261,1,1,1,1.1792411804199219
262,1,1,1,0.6143344640731812
263,1,1,1,1.9429285526275635
264,1,1,1,0.9719809293746948
265,1,1,1,0.11525431275367737
266,1,1,1,0.09285088628530502
267,1,1,1,1.7627899646759033
268,1,0,0,0.8824332356452942
269,1,1,1,1.1930629014968872
270,1,1,1,0.9386343955993652
271,1,1,1,1.638216495513916
272,1,1,1,1.257592797279358
273,1,0,0,0.5056098699569702
274,1,1,1,1.0682169198989868
275,1,1,1,0.4843129813671112
276,1,0,0,1.150847315788269
277,1,1,1,0.47380268573760986
278,1,1,1,1.077264666557312
279,1,1,1,1.3997780084609985
280,1,0,0,1.303980827331543
281,1,1,1,0.7841134071350098
282,1,1,1,0.13963115215301514
283,1,1,1,0.9327847361564636
284,1,1,1,0.6636849045753479
285,1,1,1,1.6441794633865356
286,1,1,1,0.37777772545814514
287,1,1,1,0.360937237739563
288,1,1,1,0.40766963362693787
289,1,1,1,1.324426293373108
290,1,1,1,1.425865650177002
291,1,0,0,0.22487451136112213
292,1,1,1,2.167740821838379
293,1,1,1,0.5998251438140869
294,1,1,1,1.3689836263656616
295,1,1,1,0.4303571581840515
296,1,0,0,0.49873581528663635
297,1,1,1,0.8098265528678894
298,1,0,0,0.3070671260356903
299,1,1,1,0.5417664647102356
300,1,0,0,1.6004258394241333
301,1,1,1,0.5843687653541565
302,1,1,1,1.8022297620773315
303,1,1,1,0.6434139013290405
304,1,0,0,1.112036943435669
305,1,1,1,0.9759297966957092
306,1,1,1,1.3161050081253052
307,1,1,1,1.8468130826950073
308,1,0,0,0.9293701648712158
309,1,1,1,0.6430873274803162
310,1,1,1,0.586414635181427
311,1,1,1,1.0035418272018433
312,1,1,1,0.41006743907928467
313,1,0,0,0.8198707699775696
314,1,0,0,0.18747709691524506
315,1,1,1,0.6820811629295349
316,1,0,0,0.6438778042793274
317,1,1,1,0.7160132527351379
318,1,1,1,1.6747372150421143
319,1,1,1,0.8940832614898682
320,1,1,1,0.43621960282325745
321,1,1,1,2.0741748809814453
322,1,1,1,0.10431114584207535
323,1,0,0,-0.006382479332387447
324,1,1,1,0.5106896162033081
325,1,0,0,0.3542855978012085
326,1,1,1,0.02943016216158867
327,1,1,1,1.8462681770324707
328,1,1,1,0.9618629813194275
329,1,0,0,0.33475378155708313
330,1,1,1,2.9998342990875244
331,1,1,1,1.493557333946228
332,1,0,0,0.9161407351493835
333,1,1,1,0.2768530249595642
334,1,1,1,2.957413673400879
335,1,1,1,0.7786995768547058
336,1,1,1,1.28372061252594
337,1,1,1,2.0335097312927246
338,1,1,1,1.2846966981887817
339,1,1,1,2.4116132259368896
340,1,1,1,0.8609098792076111
341,1,1,1,0.9781412482261658
342,1,0,0,0.4137085974216461
343,1,0,0,0.9486045241355896
344,1,0,0,0.8476401567459106
345,1,1,1,0.4990852475166321
346,1,1,1,0.02669837698340416
347,1,1,1,1.7740211486816406
348,1,0,0,0.17612412571907043
349,1,1,1,0.6617785692214966
350,1,0,0,1.7067304849624634
351,1,1,1,1.144135594367981
352,1,1,1,1.3573719263076782
353,1,1,1,0.7666822671890259
354,1,0,0,1.5723958015441895
355,1,1,1,0.8437438607215881
356,1,1,1,1.230737566947937
357,1,1,1,1.2053345441818237
358,1,1,1,0.5853483080863953
359,1,0,0,0.6746280193328857
360,1,1,1,0.7116912007331848
361,1,1,1,0.7506342530250549
362,1,1,1,1.5576155185699463
363,1,1,1,0.8690803050994873
364,1,1,1,0.1553322821855545
365,1,1,1,1.1360160112380981
366,1,1,1,0.5285951495170593
367,1,1,1,1.561970591545105
368,1,1,1,0.6257647275924683
369,1,1,1,0.8492005467414856
370,1,1,1,1.4141966104507446
371,1,0,0,0.5265795588493347
372,1,1,1,0.4150337874889374
373,1,1,1,0.2302280217409134
374,1,1,1,1.0549544095993042
375,1,1,1,1.1848812103271484
376,1,0,0,1.3456650972366333
377,1,1,1,0.6254503130912781
378,1,0,0,0.14800216257572174
379,1,1,1,0.871022641658783
380,1,1,1,1.2365351915359497
381,1,0,0,0.1913246363401413
382,1,1,1,0.2137708216905594
383,1,0,0,0.6005726456642151
384,1,1,1,1.3468917608261108
385,1,1,1,1.0708928108215332
386,1,0,0,0.8720900416374207
387,1,1,1,0.8986074328422546
388,1,1,1,1.1650627851486206
389,1,1,1,1.4489504098892212
390,1,1,1,0.5638170838356018
391,1,1,1,0.7884452939033508
392,1,1,1,0.36879903078079224
393,1,1,1,0.8517149686813354
394,1,1,1,0.09402420371770859
395,1,1,1,0.8290713429450989
396,1,1,1,1.2426624298095703
397,1,1,1,1.7918977737426758
398,1,1,1,1.3195241689682007
399,1,1,1,0.7452651262283325
400,1,0,0,0.26639309525489807
401,1,0,0,-0.01056212093681097
402,1,1,1,1.0552798509597778
403,1,1,1,0.6565888524055481
404,1,1,1,0.18350061774253845
405,1,0,0,1.402835488319397
406,1,1,1,1.4744220972061157
407,1,1,1,0.8280555009841919
408,1,0,0,1.2311562299728394
409,1,0,0,2.633228063583374
410,1,1,1,0.5677645802497864
411,1,0,0,0.0022655921056866646
412,1,0,0,0.1372252255678177
413,1,1,1,0.279691219329834
414,1,0,0,0.5821846127510071
415,1,1,1,1.07869553565979
416,1,1,1,1.909941554069519
417,1,1,1,-0.011332605965435505
418,1,1,1,0.3796551525592804
419,1,1,1,1.001643180847168
420,1,0,0,1.5686970949172974
421,1,1,1,1.8723063468933105
422,1,1,1,2.197064161300659
423,1,1,1,1.102367877960205
424,1,1,1,0.7280537486076355
425,1,1,1,0.728280782699585
426,1,1,1,0.6621809601783752
427,1,1,1,0.0861125960946083
428,1,1,1,0.14533893764019012
429,1,1,1,3.6636226177215576
430,1,1,1,1.3045710325241089
431,1,1,1,0.1338556855916977
432,1,0,0,-0.03927530348300934
433,1,1,1,0.9988051056861877
434,1,1,1,1.2370978593826294
435,1,1,1,1.0186030864715576
436,1,0,0,0.33125677704811096
437,1,0,0,0.3489806056022644
438,1,1,1,0.858810544013977
439,1,1,1,0.4589223563671112
440,1,1,1,0.6589325666427612
441,1,1,1,1.7391382455825806
442,1,1,1,1.350030779838562
443,1,0,0,0.24946142733097076
444,1,1,1,0.9706751704216003
445,1,1,1,1.2445533275604248
446,1,1,1,0.42049315571784973
447,1,1,1,1.4711652994155884
448,1,1,1,0.44828295707702637
449,1,0,0,0.7141501903533936
450,1,0,0,1.7356512546539307
451,1,0,0,0.9340329766273499
452,1,1,1,1.4237877130508423
453,1,0,0,0.42419278621673584
454,1,1,1,0.1673154979944229
455,1,1,1,1.9340342283248901
456,1,1,1,1.3163292407989502
457,1,1,1,0.624424397945404
458,1,1,1,1.1765611171722412
459,1,1,1,0.5439990162849426
460,1,1,1,1.2316213846206665
461,1,1,1,1.2279634475708008
462,1,0,0,0.07071413099765778
463,1,0,0,0.203453928232193
464,1,1,1,0.7077963948249817
465,1,1,1,2.0295026302337646
466,1,1,1,2.0390267372131348
467,1,1,1,0.7677883505821228
468,1,1,1,0.4109020233154297
469,1,1,1,0.7419509291648865
470,1,1,1,2.3780629634857178
471,1,1,1,0.9402598738670349
472,1,1,1,0.6718180775642395
473,1,1,1,1.8493033647537231
474,1,1,1,2.5656983852386475
475,1,1,1,1.3827108144760132
476,1,1,1,0.890318751335144
477,1,1,1,0.1427331268787384
478,1,0,0,1.0467486381530762
479,1,1,1,1.0463663339614868
480,1,1,1,1.23068368434906
481,1,1,1,0.4628334641456604
482,1,1,1,0.8347674608230591
483,1,1,1,0.7931477427482605
484,1,0,0,0.1967831701040268
485,1,1,1,1.7205337285995483
486,1,1,1,-0.06310660392045975
487,1,1,1,1.2759827375411987
488,1,1,1,0.5560134053230286
489,1,0,0,0.41618192195892334
490,1,1,1,0.31634610891342163
491,1,0,0,0.32608720660209656
492,1,1,1,1.414972186088562
493,1,1,1,1.0894190073013306
494,1,1,1,2.2139546871185303
495,1,1,1,0.5215522646903992
496,1,1,1,1.3591430187225342
497,1,1,1,0.6873428821563721
498,1,1,1,1.2735193967819214
499,1,0,0,1.0676727294921875
500,1,0,0,0.8515414595603943
501,1,1,1,2.322608709335327
502,1,1,1,1.678229808807373
503,1,1,1,0.38727957010269165
504,1,1,1,1.393198013305664
505,1,1,1,0.34217649698257446
506,1,1,1,0.650381326675415
507,1,1,1,0.3829864263534546
508,1,1,1,1.1855467557907104
509,1,0,0,0.6671472787857056
510,1,1,1,0.7413918375968933
511,1,1,1,0.6242139935493469
512,1,1,1,1.1232893466949463
513,1,1,1,1.1113539934158325
514,1,1,1,1.5238860845565796
515,1,1,1,1.009961485862732
516,1,1,1,0.8773929476737976
517,1,0,0,0.6351369619369507
518,1,1,1,1.149112343788147
519,1,0,0,0.36542871594429016
520,1,1,1,0.807698667049408
521,1,1,1,0.8437744379043579
522,1,1,1,1.2047640085220337
523,1,1,1,1.8367905616760254
524,1,1,1,1.0055453777313232
525,1,1,1,1.817433476448059
526,1,1,1,0.31665706634521484
527,1,0,0,3.143709421157837
528,1,1,1,1.081315040588379
529,1,1,1,1.37605619430542
530,1,1,1,2.2100746631622314
531,1,1,1,0.46078863739967346
532,1,1,1,0.7305472493171692
533,1,1,1,1.0346529483795166
534,1,1,1,0.3682156801223755
535,1,1,1,2.0421454906463623
536,1,0,0,1.4873112440109253
