sample_idx,true_label,pred_label,correct,confidence
0,1,0,0,0.3378423750400543
1,1,1,1,1.9650635719299316
2,1,0,0,1.7290056943893433
3,1,1,1,1.0460747480392456
4,1,0,0,1.2609702348709106
5,1,0,0,1.3738409280776978
6,1,0,0,2.8028104305267334
7,1,1,1,1.5636696815490723
8,1,0,0,0.5769597887992859
9,1,1,1,0.694132924079895
10,1,0,0,0.6488937139511108
11,1,1,1,0.7947752475738525
12,1,1,1,0.6163806915283203
13,1,0,0,1.5950813293457031
14,1,1,1,0.8616510629653931
15,1,0,0,3.028740406036377
16,1,0,0,0.7585248947143555
17,1,0,0,0.6578537225723267
18,1,1,1,0.3384277820587158
19,1,1,1,1.8251696825027466
20,1,1,1,0.29706871509552
21,1,0,0,0.7769696712493896
22,1,1,1,0.6411793231964111
23,1,0,0,1.359099268913269
24,1,1,1,0.09686943888664246
25,1,0,0,1.3359230756759644
26,1,0,0,2.0483779907226562
27,1,1,1,0.9888921976089478
28,1,1,1,0.1949867308139801
29,1,0,0,1.7874351739883423
30,1,1,1,0.7259981036186218
31,1,1,1,0.39008474349975586
32,1,1,1,0.8581521511077881
33,1,1,1,0.7848094701766968
34,1,0,0,0.7723424434661865
35,1,1,1,1.61082124710083
36,1,1,1,2.1108834743499756
37,1,0,0,0.28835612535476685
38,1,1,1,0.8953952789306641
39,1,1,1,2.026313304901123
40,1,1,1,1.2757525444030762
41,1,1,1,1.4185068607330322
42,1,1,1,1.3381037712097168
43,1,1,1,1.2966198921203613
44,1,0,0,2.0096123218536377
45,1,1,1,1.4722676277160645
46,1,1,1,0.6423784494400024
47,1,1,1,0.554212212562561
48,1,1,1,0.4232901334762573
49,1,1,1,1.823501706123352
50,1,0,0,0.264452189207077
51,1,1,1,0.840164065361023
52,1,0,0,0.13911333680152893
53,1,1,1,1.4132509231567383
54,1,1,1,0.8892848491668701
55,1,1,1,0.3221990466117859
56,1,1,1,1.2198703289031982
57,1,1,1,1.924358606338501
58,1,1,1,2.146808385848999
59,1,1,1,0.4694773554801941
60,1,0,0,0.9203783273696899
61,1,1,1,2.369140148162842
62,1,1,1,2.0667452812194824
63,1,1,1,1.1012777090072632
64,1,1,1,1.0150277614593506
65,1,1,1,0.7794510126113892
66,1,1,1,2.426008462905884
67,1,1,1,0.9946094751358032
68,1,0,0,0.3618384301662445
69,1,1,1,0.25395113229751587
70,1,0,0,0.8209614753723145
71,1,1,1,1.7465341091156006
72,1,0,0,0.5580543875694275
73,1,0,0,0.2869408428668976
74,1,1,1,0.9918720126152039
75,1,1,1,2.5907249450683594
76,1,0,0,0.5619227290153503
77,1,0,0,1.3306210041046143
78,1,0,0,2.2492473125457764
79,1,0,0,1.2088464498519897
80,1,1,1,1.4593256711959839
81,1,0,0,0.5004264116287231
82,1,1,1,0.2297566533088684
83,1,0,0,0.08456114679574966
84,1,0,0,0.8473479151725769
85,1,1,1,0.5559362173080444
86,1,1,1,0.20570877194404602
87,1,1,1,0.3333631753921509
88,1,0,0,0.7380427122116089
89,1,1,1,0.5328903198242188
90,1,1,1,2.8921279907226562
91,1,0,0,0.47712889313697815
92,1,0,0,0.5629713535308838
93,1,0,0,1.3657021522521973
94,1,0,0,0.44891759753227234
95,1,1,1,1.6901655197143555
96,1,0,0,0.9812078475952148
97,1,0,0,2.3246448040008545
98,1,0,0,0.6345179080963135
99,1,1,1,0.9255536198616028
100,1,0,0,0.80222088098526
101,1,0,0,1.7473241090774536
102,1,1,1,0.48357093334198
103,1,1,1,0.20295807719230652
104,1,1,1,0.28359517455101013
105,1,0,0,2.038905143737793
106,1,0,0,1.5250800848007202
107,1,1,1,2.0391385555267334
108,1,1,1,0.43660756945610046
109,1,0,0,0.6731033325195312
110,1,1,1,0.6242976784706116
111,1,0,0,1.4545660018920898
112,1,1,1,0.1800207495689392
113,1,1,1,0.8141003251075745
114,1,0,0,0.22711019217967987
115,1,0,0,1.4335497617721558
116,1,1,1,0.3407638669013977
117,1,0,0,1.5203419923782349
118,1,0,0,1.2294361591339111
119,1,0,0,0.7904835939407349
120,1,0,0,1.930422067642212
121,1,0,0,0.09192114323377609
122,1,0,0,0.5349767208099365
123,1,0,0,1.2793651819229126
124,1,1,1,0.5494599342346191
125,1,0,0,0.6469526290893555
126,1,0,0,0.9065849781036377
127,1,0,0,0.8711954355239868
128,1,0,0,0.42391663789749146
129,1,0,0,0.4526963531970978
130,1,1,1,0.4292370080947876
131,1,0,0,0.729674220085144
132,1,1,1,0.24509203433990479
133,1,1,1,0.029707372188568115
134,1,1,1,1.9983546733856201
135,1,0,0,0.7911613583564758
136,1,1,1,1.4717590808868408
137,1,0,0,1.9174613952636719
138,1,0,0,1.9147974252700806
139,1,1,1,0.38122957944869995
140,1,1,1,0.5539591312408447
141,1,1,1,0.2186332643032074
142,1,1,1,0.9642145037651062
143,1,1,1,0.2416713833808899
144,1,0,0,1.7913206815719604
145,1,1,1,0.14120271801948547
146,1,0,0,1.3191630840301514
147,1,0,0,1.330825686454773
148,1,0,0,0.34961745142936707
149,1,0,0,0.9672217965126038
150,1,1,1,0.7991173267364502
151,1,1,1,1.8994357585906982
152,1,0,0,0.48654428124427795
