sample_idx,true_label,pred_label,correct,confidence
0,1,0,0,0.37652742862701416
1,1,0,0,-0.2542320787906647
2,1,0,0,0.08973930776119232
3,1,0,0,-0.24788731336593628
4,1,1,1,-0.2020350992679596
5,1,0,0,0.24624121189117432
6,1,0,0,0.40809425711631775
7,1,1,1,-0.04825824499130249
8,1,1,1,-0.009851214475929737
9,1,0,0,-0.054304223507642746
10,1,1,1,-0.0457245409488678
11,1,0,0,-0.3080310523509979
12,1,0,0,-0.22911909222602844
13,1,0,0,-0.23747208714485168
14,1,0,0,-0.048933740705251694
15,1,1,1,-0.10209217667579651
16,1,1,1,-0.13297264277935028
17,1,1,1,-0.26779821515083313
18,1,1,1,0.31650128960609436
19,1,0,0,-0.2522360384464264
20,1,0,0,-0.25362348556518555
21,1,1,1,-0.08463168889284134
22,1,1,1,-0.21119952201843262
23,1,0,0,-0.1604447066783905
24,1,1,1,-0.054795440286397934
25,1,1,1,-0.06333855539560318
26,1,1,1,-0.10395774990320206
27,1,0,0,-0.11104083061218262
28,1,0,0,-0.11059994995594025
29,1,0,0,0.2684655785560608
30,1,1,1,-0.033066295087337494
31,1,1,1,-0.10541578382253647
32,1,1,1,-0.12103847414255142
33,1,1,1,-0.19038014113903046
34,1,1,1,0.1197851225733757
35,1,1,1,-0.08549301326274872
36,1,1,1,0.0972074344754219
37,1,1,1,0.002140556462109089
38,1,1,1,0.5623766779899597
39,1,1,1,0.48987722396850586
40,1,1,1,0.27646222710609436
41,1,1,1,-0.10964304208755493
42,1,1,1,0.5184687972068787
43,1,1,1,0.1863398551940918
44,1,1,1,0.24383947253227234
45,1,1,1,0.870685875415802
46,1,1,1,0.4239746928215027
47,1,0,0,-0.10895827412605286
48,1,0,0,-0.06853769719600677
49,1,0,0,0.11507569253444672
50,1,1,1,-0.16367219388484955
51,1,1,1,-0.004335968755185604
52,1,1,1,0.4960247576236725
53,1,1,1,-0.08912108838558197
54,1,1,1,-0.14968010783195496
55,1,1,1,-0.16683179140090942
56,1,1,1,-0.1745888888835907
57,1,1,1,-0.010007685981690884
58,1,1,1,0.10279632359743118
59,1,0,0,-0.2110062539577484
60,1,1,1,0.011286941356956959
61,1,1,1,-0.07067124545574188
62,1,1,1,-0.01725808158516884
63,1,0,0,-0.09640538692474365
64,1,0,0,-0.08076521009206772
65,1,1,1,-0.26104500889778137
66,1,0,0,0.15918180346488953
67,1,1,1,-0.060782354325056076
68,1,1,1,-0.17935852706432343
69,1,1,1,-0.028987452387809753
70,1,1,1,-0.04526655748486519
71,1,1,1,-0.197174072265625
72,1,1,1,-0.08241963386535645
73,1,0,0,0.01038078311830759
74,1,1,1,-0.04944296181201935
75,1,0,0,-0.25282883644104004
76,1,1,1,-0.027934428304433823
77,1,1,1,-0.02401694282889366
78,1,1,1,0.16059610247612
79,1,0,0,0.031708452850580215
80,1,1,1,-0.049374520778656006
81,1,1,1,-0.032342661172151566
82,1,1,1,-0.2550535798072815
83,1,0,0,-0.24808695912361145
84,1,0,0,-0.1574947088956833
85,1,1,1,0.14858832955360413
