sample_idx,true_label,pred_label,correct,confidence
0,1,1,1,0.8074730634689331
1,1,1,1,0.8407285213470459
2,1,0,0,0.49577027559280396
3,1,0,0,0.6299543380737305
4,1,1,1,0.7869860529899597
5,1,0,0,0.937832236289978
6,1,0,0,1.0012521743774414
7,1,1,1,0.8219926357269287
8,1,1,1,1.120356798171997
9,1,0,0,0.5975419282913208
10,1,1,1,1.027330994606018
11,1,1,1,0.49399828910827637
12,1,1,1,0.6854439377784729
13,1,1,1,0.9484402537345886
14,1,1,1,0.5195256471633911
15,1,1,1,0.5542635917663574
16,1,1,1,1.267665982246399
17,1,0,0,0.8148444890975952
18,1,1,1,0.23517276346683502
19,1,1,1,0.513346791267395
20,1,1,1,1.6095805168151855
21,1,1,1,0.4386672377586365
22,1,1,1,0.9225713610649109
23,1,1,1,0.6198496222496033
24,1,1,1,1.7996214628219604
25,1,1,1,1.8639382123947144
26,1,1,1,0.7474304437637329
27,1,1,1,0.956061601638794
28,1,1,1,2.4855356216430664
29,1,1,1,1.9174081087112427
30,1,1,1,1.7200945615768433
31,1,1,1,1.3626662492752075
32,1,1,1,1.8718851804733276
33,1,1,1,2.015047788619995
34,1,1,1,1.2814756631851196
35,1,1,1,1.851685881614685
36,1,1,1,1.2881704568862915
37,1,1,1,1.6291974782943726
38,1,1,1,2.4171409606933594
39,1,1,1,1.8849178552627563
40,1,1,1,1.7800909280776978
41,1,1,1,0.9983164072036743
42,1,1,1,1.774356484413147
43,1,1,1,1.1527854204177856
44,1,1,1,1.3883272409439087
45,1,1,1,2.2239603996276855
46,1,1,1,1.0762618780136108
47,1,1,1,1.3722959756851196
48,1,1,1,1.629522442817688
49,1,1,1,1.9521418809890747
50,1,1,1,1.3929132223129272
51,1,1,1,0.9658281803131104
52,1,1,1,1.907286286354065
53,1,1,1,1.543402075767517
54,1,1,1,1.6254018545150757
55,1,1,1,1.9092336893081665
56,1,1,1,2.255436420440674
57,1,1,1,1.9732252359390259
58,1,1,1,1.5852936506271362
59,1,1,1,1.6101137399673462
60,1,1,1,2.036661148071289
61,1,1,1,0.5535494089126587
62,1,1,1,1.6831809282302856
63,1,1,1,0.7874655723571777
64,1,1,1,0.8250828981399536
65,1,1,1,1.1741076707839966
66,1,1,1,0.9559457302093506
67,1,1,1,1.5068339109420776
68,1,0,0,0.49159476161003113
69,1,1,1,0.3930933475494385
70,1,1,1,0.5660766959190369
71,1,0,0,0.33067765831947327
72,1,1,1,1.0477445125579834
73,1,1,1,0.923025906085968
74,1,1,1,0.9657479524612427
75,1,1,1,1.0103133916854858
76,1,1,1,1.3879414796829224
77,1,1,1,1.2406243085861206
78,1,0,0,0.38648808002471924
79,1,1,1,0.342413067817688
80,1,1,1,0.6239107847213745
81,1,1,1,1.051129698753357
82,1,1,1,0.3116282820701599
83,1,1,1,0.3340757489204407
84,1,1,1,0.6639110445976257
85,1,1,1,1.0014317035675049
86,1,1,1,1.0358847379684448
87,1,1,1,0.49070024490356445
88,1,1,1,0.6143155097961426
89,1,1,1,1.0038553476333618
90,1,1,1,0.2671968936920166
91,1,1,1,0.8952988386154175
92,1,1,1,1.187690019607544
93,1,1,1,1.1143498420715332
94,1,1,1,0.5335321426391602
95,1,1,1,0.6004621386528015
96,1,0,0,0.592749297618866
97,1,1,1,0.41404539346694946
98,1,1,1,1.0720248222351074
99,1,1,1,0.42267221212387085
100,1,1,1,0.7738626003265381
101,1,1,1,1.0527963638305664
102,1,0,0,0.5709330439567566
103,1,1,1,1.320703387260437
104,1,1,1,0.9063229560852051
105,1,1,1,0.29304611682891846
106,1,1,1,1.0704034566879272
107,1,1,1,0.7953163385391235
108,1,1,1,1.2252799272537231
109,1,0,0,0.7961689829826355
110,1,1,1,1.3306636810302734
111,1,1,1,1.127894639968872
112,1,1,1,0.48558130860328674
113,1,1,1,0.7541590332984924
114,1,1,1,1.0908149480819702
115,1,1,1,0.7915960550308228
116,1,1,1,0.5252737402915955
117,1,0,0,0.5854962468147278
118,1,1,1,0.726740300655365
119,1,1,1,0.946063220500946
120,1,1,1,0.8489022254943848
121,1,1,1,1.0219076871871948
122,1,1,1,0.52899169921875
123,1,1,1,1.1131802797317505
124,1,0,0,0.29726430773735046
125,1,0,0,0.8793023228645325
126,1,1,1,1.2104088068008423
127,1,1,1,1.190079927444458
128,1,1,1,0.7007160186767578
129,1,1,1,0.4635888934135437
130,1,1,1,1.1650911569595337
131,1,1,1,0.9331170320510864
132,1,1,1,0.9089902639389038
133,1,1,1,0.8865315914154053
134,1,0,0,0.803762674331665
135,1,1,1,0.7798267602920532
136,1,1,1,0.7126559019088745
137,1,1,1,1.1231788396835327
138,1,1,1,0.35623300075531006
139,1,0,0,1.3337870836257935
140,1,1,1,0.3843699097633362
141,1,0,0,0.4324650168418884
142,1,0,0,1.3313571214675903
143,1,0,0,1.0343304872512817
144,1,1,1,1.047088623046875
145,1,1,1,0.912993311882019
146,1,1,1,0.4428200125694275
147,1,1,1,1.0686496496200562
148,1,1,1,0.9828128218650818
149,1,1,1,0.39820414781570435
150,1,1,1,1.0608054399490356
151,1,0,0,0.25615447759628296
152,1,0,0,0.820708155632019
153,1,1,1,1.056517481803894
154,1,1,1,0.2330276519060135
155,1,1,1,0.31560003757476807
156,1,1,1,0.894203782081604
157,1,1,1,1.4189292192459106
158,1,1,1,0.825989842414856
159,1,1,1,0.2721036970615387
160,1,0,0,1.0025198459625244
161,1,1,1,1.6224263906478882
162,1,1,1,0.622604489326477
163,1,1,1,0.7191088199615479
164,1,1,1,1.2283837795257568
165,1,1,1,1.1566098928451538
166,1,1,1,0.9411336779594421
167,1,1,1,0.7716290950775146
168,1,1,1,0.64159095287323
169,1,1,1,0.6971583366394043
170,1,1,1,0.7867777347564697
171,1,1,1,0.3080975413322449
172,1,0,0,0.2411363273859024
173,1,0,0,0.4346374273300171
174,1,0,0,0.5192766785621643
175,1,1,1,0.9786051511764526
176,1,0,0,0.4837980568408966
177,1,1,1,0.7277483940124512
178,1,1,1,0.9072349071502686
179,1,1,1,0.9732239246368408
180,1,1,1,1.222922921180725
181,1,1,1,1.132048487663269
182,1,1,1,0.6245080232620239
183,1,1,1,0.9972769021987915
184,1,1,1,0.5449877381324768
185,1,1,1,0.27618396282196045
186,1,0,0,0.5700715780258179
