sample_idx,true_label,pred_label,correct,confidence
0,1,1,1,0.765708327293396
1,1,0,0,0.5951504111289978
2,1,1,1,0.06439828872680664
3,1,0,0,0.0724189281463623
4,1,1,1,0.03221597149968147
5,1,0,0,0.31183475255966187
6,1,1,1,0.15606072545051575
7,1,1,1,0.7677600979804993
8,1,1,1,0.9184816479682922
9,1,1,1,0.18494535982608795
10,1,1,1,1.6004853248596191
11,1,1,1,0.5963866114616394
12,1,1,1,0.22939430177211761
13,1,0,0,0.229299396276474
14,1,1,1,0.2927844822406769
15,1,0,0,0.76910400390625
16,1,1,1,0.6740904450416565
17,1,0,0,0.17650502920150757
18,1,0,0,0.3791741728782654
19,1,0,0,0.13136732578277588
20,1,0,0,1.2628979682922363
21,1,0,0,0.5183430910110474
22,1,1,1,0.5614932179450989
23,1,1,1,0.26811569929122925
24,1,0,0,0.018666841089725494
25,1,1,1,0.3115258812904358
26,1,1,1,0.8641025424003601
27,1,0,0,0.3711640238761902
28,1,1,1,0.03455982729792595
29,1,1,1,0.1286075860261917
30,1,1,1,1.3749202489852905
31,1,1,1,0.6585494875907898
32,1,0,0,0.017600741237401962
33,1,1,1,0.40236324071884155
34,1,1,1,1.7101653814315796
35,1,0,0,0.27812710404396057
36,1,0,0,0.6127981543540955
37,1,1,1,1.6180381774902344
38,1,1,1,1.744959831237793
39,1,1,1,2.2243103981018066
40,1,1,1,2.2014427185058594
41,1,1,1,1.1497468948364258
42,1,1,1,2.27907657623291
43,1,0,0,0.20398065447807312
44,1,1,1,1.808501958847046
45,1,1,1,1.5843943357467651
46,1,1,1,1.242978811264038
47,1,1,1,0.26360994577407837
48,1,0,0,0.09610915929079056
49,1,1,1,0.8872930407524109
50,1,0,0,0.7293824553489685
51,1,0,0,0.5868282914161682
52,1,0,0,0.9244337677955627
53,1,1,1,0.3300701677799225
54,1,1,1,1.1668717861175537
55,1,1,1,0.8415294885635376
56,1,1,1,0.7813551425933838
57,1,1,1,1.0192058086395264
58,1,0,0,0.31420308351516724
59,1,1,1,1.0977907180786133
60,1,1,1,0.8053604960441589
61,1,1,1,1.1869292259216309
62,1,1,1,1.202242374420166
63,1,1,1,0.12385550141334534
64,1,1,1,0.3613874912261963
65,1,1,1,0.08418132364749908
66,1,1,1,0.5704200863838196
67,1,0,0,0.33108991384506226
68,1,1,1,0.17007513344287872
69,1,0,0,0.45248058438301086
70,1,1,1,0.5440106987953186
71,1,0,0,0.74075847864151
72,1,0,0,0.20903560519218445
73,1,1,1,0.1710609495639801
74,1,1,1,0.30952927470207214
75,1,1,1,0.7783265709877014
76,1,1,1,0.48417067527770996
77,1,1,1,0.5279259085655212
78,1,0,0,0.05514463037252426
79,1,0,0,1.5860403776168823
80,1,1,1,0.042928580194711685
81,1,1,1,0.48273319005966187
82,1,0,0,0.2673652768135071
83,1,0,0,0.6201407313346863
84,1,1,1,0.4291195273399353
85,1,1,1,0.39803722500801086
86,1,1,1,1.2513651847839355
87,1,1,1,0.7828205227851868
88,1,1,1,0.910674512386322
89,1,1,1,0.14357349276542664
90,1,1,1,0.3761831820011139
91,1,0,0,0.45528507232666016
92,1,1,1,0.13744120299816132
93,1,0,0,0.6508696675300598
94,1,1,1,0.33518123626708984
95,1,0,0,1.309507131576538
96,1,0,0,0.13589273393154144
97,1,1,1,0.23395727574825287
98,1,1,1,0.28065213561058044
99,1,1,1,1.8102567195892334
100,1,1,1,0.16143420338630676
101,1,0,0,0.2057068943977356
102,1,0,0,0.3065109848976135
103,1,1,1,0.5747659206390381
104,1,0,0,0.4589154124259949
105,1,0,0,0.4337221384048462
106,1,1,1,0.6200215816497803
107,1,0,0,0.012763086706399918
108,1,1,1,1.0973093509674072
109,1,0,0,1.2287628650665283
110,1,0,0,0.8286787867546082
111,1,1,1,0.11629529297351837
112,1,0,0,0.21587595343589783
113,1,0,0,0.4179573059082031
114,1,1,1,0.5856788754463196
115,1,0,0,0.7811107635498047
116,1,1,1,0.6262842416763306
117,1,1,1,0.032832976430654526
118,1,0,0,1.1416680812835693
119,1,1,1,0.13782024383544922
120,1,1,1,0.41659051179885864
121,1,0,0,0.6911624073982239
122,1,1,1,0.1926945000886917
123,1,0,0,0.07020428776741028
124,1,1,1,0.1264275461435318
125,1,0,0,0.42355865240097046
126,1,1,1,0.741391122341156
127,1,0,0,0.0719098150730133
128,1,0,0,0.3349182605743408
129,1,0,0,0.302179217338562
130,1,0,0,0.17732596397399902
131,1,1,1,0.7860225439071655
132,1,1,1,0.5115528702735901
133,1,1,1,1.3852293491363525
134,1,1,1,0.13952843844890594
135,1,0,0,0.3883180022239685
136,1,1,1,0.15076889097690582
137,1,1,1,0.5625603795051575
138,1,1,1,0.14679065346717834
139,1,0,0,0.29460451006889343
140,1,0,0,0.7302539348602295
141,1,1,1,1.0793089866638184
142,1,0,0,1.060282826423645
143,1,0,0,0.15712621808052063
144,1,0,0,0.49918633699417114
145,1,0,0,0.6873018145561218
146,1,1,1,0.1498052030801773
147,1,1,1,0.5292508602142334
148,1,1,1,1.3282854557037354
