sample_idx,true_label,pred_label,correct,confidence
0,1,1,1,0.031912725418806076
1,1,1,1,0.5498173236846924
2,1,1,1,0.1631961613893509
3,1,1,1,0.5161526799201965
4,1,0,0,0.3211020529270172
5,1,0,0,0.12188522517681122
6,1,1,1,0.27131688594818115
7,1,1,1,0.02706621028482914
8,1,1,1,0.38597291707992554
9,1,1,1,0.3218817710876465
10,1,1,1,1.004130244255066
11,1,1,1,0.3254130780696869
12,1,1,1,0.26776736974716187
13,1,0,0,0.34963691234588623
14,1,1,1,0.49346375465393066
15,1,1,1,0.9995730519294739
16,1,1,1,0.1561514288187027
17,1,0,0,0.13197650015354156
18,1,1,1,0.8246046900749207
19,1,1,1,0.4972875118255615
20,1,0,0,-0.0009700697846710682
21,1,0,0,0.8570383191108704
22,1,0,0,0.4838069975376129
23,1,1,1,0.17556114494800568
24,1,1,1,0.5428499579429626
25,1,0,0,0.0417478084564209
26,1,1,1,1.3549857139587402
27,1,0,0,-0.022273408249020576
28,1,1,1,0.2733556628227234
29,1,1,1,0.8308078646659851
30,1,0,0,0.023545170202851295
31,1,1,1,0.596924364566803
32,1,1,1,1.325103998184204
33,1,1,1,0.5629552006721497
34,1,1,1,1.0070652961730957
35,1,0,0,0.01352597028017044
36,1,1,1,0.4470875561237335
37,1,1,1,2.3004586696624756
38,1,1,1,2.418891191482544
39,1,1,1,1.7794244289398193
40,1,1,1,0.04105677828192711
41,1,1,1,0.47515618801116943
42,1,1,1,2.114410638809204
43,1,1,1,0.8448732495307922
44,1,1,1,0.9576976299285889
45,1,1,1,1.936805248260498
46,1,1,1,2.416231632232666
47,1,1,1,0.5704831480979919
48,1,1,1,0.43620893359184265
49,1,1,1,0.676520824432373
50,1,0,0,0.5237510800361633
51,1,0,0,0.6115636229515076
52,1,1,1,1.0721536874771118
53,1,1,1,0.35829663276672363
54,1,0,0,0.1741589903831482
55,1,1,1,0.9515730738639832
56,1,1,1,0.3979204297065735
57,1,1,1,0.3322652578353882
58,1,1,1,0.39774054288864136
59,1,1,1,0.963720977306366
60,1,0,0,0.1945008784532547
61,1,1,1,0.6103920340538025
62,1,1,1,0.3030896782875061
63,1,0,0,0.11258940398693085
64,1,1,1,0.5769065618515015
65,1,1,1,0.7294010519981384
66,1,0,0,0.3157617151737213
67,1,0,0,0.11347238719463348
68,1,1,1,0.27630341053009033
69,1,1,1,0.8134438395500183
70,1,1,1,0.4175007939338684
71,1,1,1,0.1615782082080841
72,1,1,1,0.5223436951637268
73,1,1,1,0.5951761603355408
74,1,1,1,0.46813148260116577
75,1,1,1,0.5712760090827942
76,1,1,1,0.7090008854866028
77,1,1,1,0.6801638603210449
78,1,1,1,0.5593590140342712
79,1,1,1,0.3184799551963806
80,1,1,1,0.19433532655239105
81,1,1,1,0.4241470694541931
82,1,0,0,0.2312605232000351
83,1,1,1,0.338897168636322
84,1,1,1,0.03340153396129608
85,1,1,1,0.4684080481529236
86,1,1,1,0.37665170431137085
87,1,0,0,1.0737582445144653
88,1,1,1,0.5531337857246399
89,1,1,1,0.0994437113404274
90,1,1,1,0.34724169969558716
91,1,1,1,1.108281135559082
92,1,1,1,0.7323067784309387
93,1,0,0,0.006552243139594793
94,1,0,0,0.6923086643218994
95,1,0,0,0.10994071513414383
96,1,1,1,0.16537989675998688
97,1,0,0,0.8576856255531311
98,1,0,0,0.3485332131385803
99,1,0,0,0.40055355429649353
100,1,0,0,0.3357296586036682
101,1,1,1,0.7009608149528503
102,1,0,0,0.20280949771404266
103,1,1,1,0.13936303555965424
104,1,0,0,1.113375186920166
105,1,1,1,0.353206068277359
106,1,0,0,0.13913239538669586
107,1,1,1,1.0171563625335693
108,1,0,0,0.030308151617646217
109,1,1,1,0.5756674408912659
110,1,1,1,0.7211060523986816
111,1,0,0,0.0422472283244133
112,1,1,1,0.5417463183403015
113,1,1,1,0.06058694049715996
114,1,0,0,1.0927128791809082
115,1,0,0,0.052025243639945984
116,1,0,0,0.46402668952941895
117,1,1,1,0.8132762312889099
118,1,0,0,0.7704696655273438
119,1,1,1,0.2528873085975647
120,1,0,0,0.3910297155380249
121,1,1,1,0.48656636476516724
122,1,0,0,0.20218680799007416
123,1,1,1,0.25907614827156067
124,1,1,1,0.119084432721138
125,1,0,0,0.2603202164173126
126,1,0,0,0.07247104495763779
127,1,0,0,0.004120843019336462
128,1,1,1,0.4811989665031433
129,1,0,0,0.2169533222913742
130,1,1,1,8.381390944123268e-05
131,1,1,1,0.5414633750915527
132,1,0,0,0.48781782388687134
133,1,1,1,0.7518616318702698
134,1,0,0,0.2707219421863556
135,1,0,0,0.760187566280365
136,1,0,0,0.09459404647350311
137,1,0,0,0.002254908438771963
138,1,1,1,0.2908599376678467
139,1,1,1,0.23426668345928192
140,1,1,1,0.40307384729385376
141,1,0,0,0.4881608188152313
142,1,0,0,0.400370329618454
143,1,0,0,0.5020672678947449
144,1,1,1,0.3744250237941742
145,1,0,0,0.9761747717857361
146,1,1,1,0.6443551182746887
147,1,1,1,0.4898533821105957
148,1,0,0,0.0517025887966156
149,1,0,0,0.7656398415565491
150,1,1,1,0.3380606770515442
151,1,0,0,-0.02565782144665718
152,1,1,1,0.6201170086860657
153,1,1,1,0.296852171421051
154,1,1,1,-0.0024601942859590054
155,1,0,0,0.015377303585410118
156,1,1,1,0.2162652462720871
157,1,0,0,0.09232102334499359
158,1,1,1,0.11942462623119354
159,1,1,1,0.7139908075332642
160,1,0,0,0.6935915946960449
161,1,1,1,0.3049386143684387
162,1,0,0,0.14124856889247894
163,1,0,0,-0.02491815946996212
164,1,0,0,1.2053989171981812
165,1,1,1,0.6382065415382385
166,1,0,0,0.22455520927906036
167,1,1,1,0.04456832632422447
168,1,1,1,0.6117315888404846
169,1,1,1,0.46440526843070984
170,1,1,1,0.46621766686439514
171,1,0,0,0.18098454177379608
172,1,0,0,0.8852980732917786
173,1,1,1,0.2596043646335602
174,1,1,1,0.361969530582428
175,1,1,1,0.3192499279975891
176,1,1,1,0.2754478454589844
177,1,1,1,0.5895715355873108
178,1,1,1,0.039374250918626785
179,1,1,1,0.37168246507644653
180,1,1,1,0.5335574746131897
181,1,1,1,0.7831339240074158
182,1,0,0,0.19714634120464325
183,1,0,0,0.10391304641962051
184,1,1,1,0.6154115796089172
185,1,1,1,0.6272161602973938
186,1,1,1,0.6721307635307312
187,1,1,1,0.5624368786811829
188,1,0,0,0.04781519994139671
189,1,0,0,0.04085239768028259
190,1,1,1,0.2324332594871521
191,1,1,1,0.14263281226158142
192,1,1,1,0.5561524033546448
193,1,0,0,-0.006133920047432184
194,1,0,0,0.7271392345428467
195,1,1,1,0.10200823843479156
196,1,1,1,0.6660998463630676
197,1,0,0,0.5043068528175354
198,1,1,1,0.5506818890571594
199,1,1,1,0.2777830958366394
200,1,0,0,0.07396218925714493
201,1,1,1,0.22642874717712402
202,1,1,1,0.08367084711790085
203,1,0,0,0.04084198176860809
204,1,0,0,-0.0016566053964197636
205,1,1,1,2.1137893199920654
206,1,1,1,0.03753844276070595
207,1,0,0,0.1631903201341629
208,1,1,1,0.6219788789749146
209,1,1,1,0.1166360005736351
210,1,1,1,0.22101370990276337
211,1,0,0,0.5956359505653381
212,1,1,1,0.5137031078338623
213,1,0,0,0.005847600754350424
214,1,1,1,0.2467852681875229
215,1,1,1,0.39260315895080566
216,1,1,1,1.524243712425232
217,1,1,1,0.13942758738994598
218,1,0,0,-0.011448724195361137
219,1,1,1,0.4390937387943268
220,1,1,1,0.484298974275589
221,1,0,0,0.024577660486102104
222,1,1,1,0.05000416561961174
223,1,1,1,0.11754851043224335
224,1,0,0,-0.013926325365900993
225,1,1,1,0.28795522451400757
226,1,1,1,0.6955726742744446
227,1,1,1,0.6529441475868225
228,1,1,1,0.8268312811851501
229,1,1,1,0.6070115566253662
230,1,0,0,0.4231300354003906
231,1,1,1,0.1863819807767868
232,1,1,1,0.7562692761421204
233,1,1,1,0.004020723048597574
234,1,1,1,0.3455061614513397
235,1,1,1,0.056114617735147476
236,1,1,1,0.06977467238903046
237,1,0,0,0.03460529074072838
238,1,1,1,0.800575315952301
239,1,0,0,0.38311082124710083
240,1,1,1,0.5986637473106384
241,1,1,1,0.7039125561714172
242,1,1,1,0.7866235375404358
243,1,1,1,0.027710342779755592
244,1,1,1,0.7605521082878113
245,1,1,1,0.8496711254119873
246,1,1,1,0.1697629690170288
247,1,1,1,-0.021563787013292313
248,1,0,0,0.13565988838672638
249,1,0,0,0.033291302621364594
250,1,0,0,0.057575833052396774
251,1,1,1,1.9427698850631714
252,1,1,1,0.7406151294708252
253,1,1,1,0.8452715277671814
254,1,1,1,0.5493535995483398
255,0,0,1,0.06445533782243729
256,1,0,0,0.06565909832715988
257,1,0,0,-0.0011749141849577427
258,1,1,1,0.9190881848335266
259,1,1,1,0.5602888464927673
260,1,1,1,0.7255027890205383
261,1,1,1,0.8467466235160828
262,1,0,0,0.7210653424263
263,1,1,1,0.17534489929676056
264,1,1,1,-0.029551060870289803
265,1,1,1,0.6650791168212891
266,1,1,1,0.4218054413795471
267,1,0,0,1.313742995262146
268,1,1,1,0.2510473132133484
269,1,0,0,0.001768456306308508
270,1,1,1,2.4807748794555664
271,1,1,1,0.6411329507827759
272,1,0,0,0.0702785849571228
273,1,1,1,0.5090131163597107
274,1,0,0,0.30714353919029236
275,1,1,1,0.5285993814468384
276,1,0,0,0.7336770296096802
277,1,1,1,0.2726016640663147
278,1,1,1,0.2331566959619522
279,1,1,1,0.07867873460054398
280,1,1,1,0.517230749130249
281,1,1,1,0.9218574166297913
282,1,1,1,0.8277686238288879
283,1,1,1,-0.008525600656867027
284,1,1,1,0.3502524793148041
285,1,1,1,1.0754863023757935
286,1,1,1,0.09942666441202164
287,1,1,1,0.15930815041065216
288,1,1,1,0.18245667219161987
289,1,0,0,0.004816920962184668
290,1,1,1,0.38479048013687134
291,1,1,1,0.2664124369621277
292,1,1,1,0.029904460534453392
293,1,1,1,0.10064806789159775
294,1,1,1,0.20675261318683624
295,1,1,1,0.22883130609989166
296,1,1,1,0.38914912939071655
297,1,1,1,0.434892475605011
298,1,1,1,0.210821732878685
299,1,1,1,0.632023274898529
300,1,0,0,0.5335375666618347
301,1,1,1,0.47514164447784424
302,1,1,1,0.029320398345589638
303,1,1,1,0.4170888662338257
304,1,1,1,0.5186954140663147
305,1,1,1,0.8247813582420349
306,1,1,1,0.5937315225601196
307,1,1,1,0.8725797533988953
308,1,1,1,0.49786192178726196
309,1,0,0,0.2510991394519806
310,1,0,0,0.6698358654975891
311,1,1,1,0.2581964135169983
312,1,1,1,0.7563258409500122
313,1,0,0,1.302152156829834
314,1,1,1,0.6146588921546936
315,1,0,0,0.3238414525985718
316,1,1,1,0.10270966589450836
317,1,0,0,0.14161169528961182
318,1,1,1,0.399183988571167
319,1,1,1,-0.02101259119808674
320,1,0,0,-0.02935347892343998
321,1,1,1,0.8264901041984558
322,1,1,1,0.13696037232875824
323,1,0,0,0.17788104712963104
324,1,1,1,0.4509354829788208
325,1,1,1,0.3714994490146637
326,1,1,1,0.6316084265708923
327,1,1,1,0.21958298981189728
328,1,0,0,0.826744019985199
