sample_idx,true_label,pred_label,correct,confidence
0,1,1,1,1.3067859411239624
1,1,1,1,0.09506233036518097
2,1,1,1,0.25909698009490967
3,1,1,1,1.0263965129852295
4,1,0,0,0.17076146602630615
5,1,0,0,0.04360504820942879
6,1,1,1,0.7983477711677551
7,1,0,0,0.23073850572109222
8,1,0,0,0.12443239986896515
9,1,1,1,0.18816561996936798
10,1,0,0,0.3707035481929779
11,1,0,0,0.3161296546459198
12,1,1,1,0.07691024243831635
13,1,1,1,0.40955281257629395
14,1,1,1,0.3504665493965149
15,1,1,1,1.8579400777816772
16,1,1,1,0.20985326170921326
17,1,0,0,0.3010091483592987
18,1,1,1,0.7697029113769531
19,1,1,1,0.22917401790618896
20,1,0,0,0.09415629506111145
21,1,0,0,0.5717979669570923
22,1,0,0,0.22715550661087036
23,1,0,0,0.3977724015712738
24,1,0,0,0.14582456648349762
25,1,0,0,0.09513990581035614
26,1,1,1,0.6989128589630127
27,1,1,1,0.08347111940383911
28,1,0,0,0.18845310807228088
29,1,1,1,0.36723893880844116
30,1,1,1,0.08477986603975296
31,1,1,1,0.2998754680156708
32,1,0,0,0.3159971535205841
33,1,1,1,0.4120628833770752
34,1,1,1,0.57441246509552
35,1,1,1,0.4777011573314667
36,1,1,1,0.6973975896835327
37,1,1,1,2.157931327819824
38,1,1,1,1.2755942344665527
39,1,1,1,1.2206811904907227
40,1,1,1,0.5618339776992798
41,1,0,0,0.2273232489824295
42,1,1,1,2.2537691593170166
43,1,1,1,0.36059337854385376
44,1,1,1,1.6730051040649414
45,1,1,1,1.9110934734344482
46,1,1,1,1.484027624130249
47,1,1,1,0.7962229251861572
48,1,1,1,0.08574934303760529
49,1,1,1,0.6354228258132935
50,1,0,0,1.0426725149154663
51,1,1,1,0.22114220261573792
52,1,0,0,0.10538466274738312
53,1,1,1,0.1528632640838623
54,1,1,1,0.08653324842453003
55,1,0,0,0.9104537963867188
56,1,1,1,0.08068034797906876
57,1,1,1,0.6421438455581665
58,1,0,0,0.2810433506965637
59,1,0,0,0.4820937514305115
60,1,0,0,0.4335368573665619
61,1,0,0,0.17520546913146973
62,1,0,0,0.221860870718956
63,1,0,0,0.45707038044929504
64,1,1,1,0.11585849523544312
65,1,1,1,0.6294854879379272
66,1,1,1,0.48909902572631836
67,1,1,1,0.34421372413635254
68,1,0,0,0.3966841697692871
69,1,1,1,1.77604341506958
70,1,0,0,0.45466700196266174
71,1,0,0,0.06129229813814163
72,1,0,0,0.25369641184806824
73,1,1,1,0.16121651232242584
74,1,1,1,0.45054614543914795
75,1,1,1,0.37452584505081177
76,1,0,0,0.2485099732875824
77,1,0,0,0.40672704577445984
78,1,1,1,0.8877347707748413
79,1,0,0,0.3315650224685669
80,1,1,1,0.48947668075561523
81,1,0,0,0.2893178164958954
82,1,0,0,0.03358612582087517
83,1,0,0,0.3188815712928772
84,1,1,1,0.5019652247428894
85,1,0,0,0.08193162083625793
86,1,1,1,0.11711549758911133
87,1,0,0,0.6034741401672363
88,1,0,0,0.5781077146530151
89,1,0,0,0.1833726018667221
90,1,1,1,0.29087889194488525
91,1,1,1,0.15368294715881348
92,1,1,1,0.3976183831691742
93,1,0,0,0.3859569728374481
94,1,1,1,0.23771612346172333
95,1,0,0,0.7694920301437378
96,1,0,0,0.2903974652290344
97,1,1,1,0.5044487714767456
98,1,1,1,0.20863737165927887
99,1,0,0,0.6236081123352051
100,1,0,0,0.3718215823173523
101,1,0,0,0.32913798093795776
102,1,0,0,0.47596022486686707
103,1,0,0,0.7616809606552124
104,1,0,0,0.3659140169620514
105,1,0,0,0.9975284337997437
106,1,0,0,1.1657514572143555
107,1,0,0,0.030009154230356216
108,1,1,1,0.33178943395614624
109,1,0,0,0.49186381697654724
110,1,1,1,0.32341551780700684
111,1,1,1,0.16188770532608032
112,1,1,1,0.5032148361206055
113,1,0,0,0.07499925792217255
114,1,0,0,0.2411249727010727
115,1,0,0,0.3586168587207794
116,1,0,0,0.08960026502609253
117,1,0,0,0.39439094066619873
118,1,1,1,0.4467364251613617
119,1,0,0,0.5554975271224976
120,1,1,1,0.5098440647125244
121,1,0,0,0.2100399136543274
122,1,0,0,0.5530002117156982
123,1,0,0,0.4788540303707123
124,1,0,0,0.5152604579925537
125,1,0,0,0.05555647984147072
126,1,1,1,0.13934527337551117
127,1,0,0,0.6254345774650574
128,1,0,0,1.1605663299560547
129,1,0,0,0.13108770549297333
130,1,0,0,0.11912722885608673
131,1,0,0,0.6907888054847717
132,1,1,1,0.3748645782470703
133,1,1,1,0.23163454234600067
134,1,0,0,0.049003686755895615
135,1,1,1,0.3217385411262512
136,1,1,1,0.0350755974650383
137,1,1,1,0.19740523397922516
138,1,1,1,0.10872381180524826
139,1,1,1,0.10902423411607742
140,1,0,0,0.3669789135456085
141,1,0,0,1.0438668727874756
142,1,1,1,0.18403682112693787
143,1,0,0,0.5346910953521729
144,1,0,0,0.5184566974639893
145,1,1,1,0.4025125801563263
146,1,0,0,0.7649005651473999
147,1,0,0,1.1059229373931885
148,1,1,1,0.06798353791236877
149,1,1,1,0.45023614168167114
150,1,1,1,0.3711734414100647
151,1,0,0,0.1400424689054489
152,1,1,1,0.09712180495262146
153,1,0,0,0.3233305513858795
154,1,1,1,0.5910979509353638
155,1,0,0,0.16812960803508759
156,1,0,0,0.11773544549942017
157,1,0,0,1.086270809173584
158,1,0,0,1.006635308265686
159,1,1,1,0.7468346357345581
160,1,0,0,0.22844533622264862
161,1,0,0,0.41199395060539246
162,1,0,0,0.6809556484222412
163,1,0,0,0.32336193323135376
164,1,0,0,0.3405449092388153
165,1,0,0,0.16043154895305634
166,1,1,1,0.090049609541893
167,1,0,0,0.7375076413154602
168,1,0,0,0.45998457074165344
169,1,0,0,0.2506512999534607
170,1,1,1,0.1352258175611496
171,1,0,0,0.18885232508182526
172,1,0,0,0.16404102742671967
173,1,1,1,0.6135610342025757
174,1,1,1,0.3283933401107788
175,1,1,1,0.24904407560825348
176,1,1,1,0.1425868719816208
177,1,0,0,0.405388206243515
178,1,0,0,0.1854422241449356
179,1,0,0,0.4379471242427826
180,1,0,0,0.06366153806447983
181,1,1,1,0.7013159990310669
182,1,0,0,0.338314414024353
183,1,0,0,0.3792446553707123
184,1,0,0,0.2139408141374588
185,1,0,0,0.3400298058986664
186,1,0,0,0.6263872385025024
187,1,0,0,0.5501041412353516
188,1,0,0,0.0977698415517807
189,1,0,0,0.069841668009758
190,1,0,0,0.4427046477794647
191,1,0,0,0.12070828676223755
192,1,0,0,0.22797136008739471
193,1,0,0,0.21117423474788666
194,1,0,0,0.3105507791042328
195,1,0,0,0.5346004962921143
196,1,1,1,0.5257982015609741
197,1,0,0,0.3231581747531891
198,1,0,0,0.15477986633777618
199,1,1,1,0.14280925691127777
200,1,1,1,0.49102938175201416
201,1,0,0,0.17915911972522736
202,1,1,1,0.510733962059021
203,1,1,1,0.0857798159122467
204,1,0,0,0.5547444820404053
205,1,0,0,0.13979901373386383
206,1,1,1,0.26509493589401245
207,1,0,0,0.2324080467224121
208,1,1,1,0.11699199676513672
209,1,1,1,0.15698258578777313
210,1,1,1,0.6902828216552734
211,1,1,1,0.21339987218379974
212,1,0,0,0.5549572706222534
213,1,0,0,0.87190842628479
214,1,0,0,0.2676863372325897
215,1,1,1,0.23901362717151642
216,1,1,1,1.3331637382507324
217,1,1,1,0.6369274258613586
218,1,0,0,0.6823920011520386
219,1,0,0,0.4308367073535919
220,1,0,0,0.5437929630279541
221,1,0,0,0.9151160717010498
222,1,1,1,0.03185875713825226
223,1,0,0,0.712289571762085
224,1,1,1,0.8941256403923035
225,1,1,1,1.168017864227295
226,1,0,0,0.48063015937805176
227,1,0,0,0.4759697914123535
228,1,1,1,0.1815178543329239
229,1,0,0,0.16845406591892242
230,1,1,1,0.12677128612995148
231,1,1,1,0.3573448956012726
232,1,0,0,0.8073350787162781
233,1,1,1,0.25283282995224
234,1,1,1,0.5165411233901978
235,1,1,1,0.10488277673721313
236,1,1,1,0.33997365832328796
237,1,0,0,0.728882372379303
238,1,0,0,0.6909725666046143
239,1,0,0,0.07940065860748291
240,1,0,0,0.1176205724477768
241,1,1,1,0.11495094001293182
242,1,1,1,0.37167590856552124
243,1,1,1,0.4934784770011902
244,1,1,1,0.06196331977844238
245,1,1,1,1.6485357284545898
246,1,0,0,0.33918705582618713
247,1,1,1,0.5306186676025391
248,1,0,0,0.3429268002510071
249,1,1,1,0.2648533284664154
250,1,0,0,0.05843191221356392
251,1,1,1,1.4743587970733643
252,1,0,0,0.31175628304481506
253,1,0,0,0.14294293522834778
254,1,0,0,0.1575310230255127
255,0,0,1,0.2820340692996979
256,1,0,0,0.5055913329124451
257,1,1,1,0.8614615201950073
258,1,0,0,0.18903861939907074
259,1,0,0,0.4244842827320099
260,1,1,1,0.05989464372396469
261,1,1,1,0.1522747278213501
262,1,0,0,0.24839641153812408
263,1,1,1,0.09507229924201965
264,1,1,1,0.3143714964389801
265,1,0,0,0.05178743228316307
266,1,0,0,0.4031344950199127
267,1,0,0,0.3958684206008911
268,1,0,0,0.21234260499477386
269,1,0,0,0.30367547273635864
270,1,1,1,0.7466959953308105
271,1,1,1,0.34059271216392517
272,1,1,1,0.9954612255096436
273,1,1,1,0.4122776389122009
274,1,0,0,0.07385377585887909
275,1,1,1,0.14259269833564758
276,1,0,0,0.223697692155838
277,1,1,1,0.3260096311569214
278,1,1,1,0.31091421842575073
279,1,1,1,0.5838940143585205
280,1,1,1,0.24084965884685516
281,1,1,1,0.23844711482524872
282,1,1,1,0.8023488521575928
283,1,1,1,0.21379293501377106
284,1,0,0,0.24705921113491058
285,1,1,1,0.21003535389900208
286,1,0,0,0.3938347399234772
287,1,1,1,0.7630825638771057
288,1,1,1,0.38588273525238037
289,1,1,1,0.6525852680206299
290,1,1,1,0.10578356683254242
291,1,0,0,0.18770469725131989
292,1,1,1,0.721011757850647
293,1,1,1,1.0466668605804443
294,1,1,1,0.6084456443786621
295,1,1,1,0.6962316036224365
296,1,1,1,0.5212019085884094
297,1,1,1,0.2811776101589203
298,1,1,1,0.29603439569473267
299,1,1,1,0.42613062262535095
300,1,0,0,0.16835129261016846
301,1,0,0,0.3835105895996094
302,1,1,1,0.21754267811775208
303,1,1,1,0.15772046148777008
304,1,1,1,0.14795930683612823
305,1,1,1,0.24735413491725922
306,1,0,0,0.13712306320667267
307,1,1,1,0.03792528808116913
308,1,0,0,0.6847583055496216
309,1,0,0,0.3768734037876129
310,1,1,1,0.11482641100883484
311,1,0,0,0.07420884072780609
312,1,1,1,0.20925100147724152
313,1,0,0,0.15926454961299896
314,1,0,0,0.5314964056015015
315,1,1,1,1.0932159423828125
316,1,1,1,0.5251673460006714
317,1,0,0,0.5262238383293152
318,1,1,1,0.7458731532096863
319,1,0,0,0.6249548196792603
320,1,1,1,0.23164211213588715
321,1,0,0,0.38964033126831055
322,1,0,0,0.26690784096717834
323,1,1,1,0.745416522026062
324,1,1,1,0.512032151222229
325,1,1,1,0.5188806056976318
326,1,0,0,0.24688152968883514
327,1,0,0,0.07446002960205078
328,1,1,1,0.35331079363822937
329,1,1,1,0.14403508603572845
330,1,0,0,0.4070111811161041
331,1,1,1,0.9970886707305908
332,1,0,0,0.12260802090167999
333,1,1,1,0.2834869623184204
334,1,1,1,1.4203447103500366
335,1,0,0,0.12470470368862152
336,1,1,1,0.8153625726699829
337,1,0,0,0.0733138918876648
338,1,1,1,1.0529075860977173
339,1,0,0,0.06051275506615639
340,1,1,1,0.7700127363204956
341,1,1,1,0.34435632824897766
342,1,0,0,0.32948771119117737
343,1,1,1,0.19950230419635773
344,1,1,1,0.49192750453948975
345,1,1,1,0.5250588059425354
346,1,1,1,0.26443976163864136
347,1,0,0,-0.003533732146024704
348,1,0,0,0.26109036803245544
349,1,1,1,0.3492138385772705
350,1,1,1,0.10403640568256378
351,1,1,1,1.4044673442840576
352,1,0,0,0.1579526662826538
353,1,0,0,0.43216246366500854
354,1,0,0,0.03705547749996185
355,1,1,1,0.868262529373169
356,1,1,1,0.7162603735923767
357,1,1,1,0.4711453914642334
358,1,1,1,0.08028542250394821
359,1,0,0,0.2916570007801056
360,1,0,0,0.33052948117256165
361,1,1,1,0.6419991850852966
362,1,1,1,0.8747861385345459
363,1,1,1,1.6269806623458862
364,1,1,1,0.20036914944648743
365,1,1,1,0.2754591405391693
366,1,1,1,0.696037232875824
367,1,1,1,0.915289580821991
368,1,1,1,1.2632009983062744
369,1,1,1,1.124210238456726
370,1,1,1,0.9174652099609375
371,1,0,0,0.5432751774787903
372,1,1,1,0.791265070438385
373,1,1,1,0.5117852687835693
374,1,1,1,0.6144723892211914
375,1,1,1,0.9938298463821411
376,1,1,1,0.3478560745716095
377,1,1,1,0.8448338508605957
378,1,1,1,1.127621054649353
379,1,1,1,1.1135375499725342
380,1,1,1,0.7806302905082703
381,1,1,1,0.9619477391242981
382,1,1,1,0.2571510374546051
383,1,1,1,0.07129831612110138
384,1,1,1,0.5419588088989258
385,1,1,1,0.30059951543807983
386,1,1,1,1.2553130388259888
387,1,1,1,0.8381756544113159
388,1,1,1,0.5070438385009766
389,1,1,1,0.9994357824325562
390,1,0,0,0.16991719603538513
391,1,1,1,0.8730690479278564
392,1,0,0,1.076178789138794
393,1,1,1,1.03447687625885
394,1,1,1,0.8063012957572937
395,1,1,1,0.3325510025024414
396,1,1,1,1.1076334714889526
397,1,1,1,1.217695713043213
398,1,1,1,0.33722543716430664
399,1,1,1,0.28489750623703003
400,1,1,1,0.18154789507389069
401,1,1,1,0.8485881090164185
402,1,1,1,0.22985422611236572
403,1,0,0,0.13475239276885986
404,1,0,0,0.14075487852096558
405,1,0,0,0.5382811427116394
406,1,1,1,0.41791942715644836
407,1,1,1,0.2113158404827118
408,1,0,0,0.696245014667511
409,1,1,1,0.9031115770339966
410,1,0,0,0.27776220440864563
411,1,1,1,0.7547674179077148
412,1,1,1,0.5578562021255493
413,1,1,1,0.4793020188808441
414,1,1,1,0.2667428255081177
415,1,1,1,0.07256284356117249
416,1,1,1,0.38375577330589294
417,1,0,0,0.055209770798683167
418,1,1,1,0.10717788338661194
419,1,1,1,0.36911556124687195
420,1,0,0,0.554057240486145
421,1,1,1,0.06393156200647354
422,1,1,1,0.12476684153079987
423,1,1,1,0.3696349859237671
424,1,1,1,1.4520504474639893
425,1,0,0,0.056549329310655594
426,1,1,1,0.17150844633579254
427,1,1,1,0.3821454644203186
428,1,0,0,0.5078763961791992
429,1,0,0,0.4287007749080658
430,1,1,1,0.19735915958881378
431,1,1,1,0.023565342649817467
432,1,1,1,0.6529130339622498
433,1,1,1,0.48854678869247437
434,1,1,1,0.7170262932777405
435,1,1,1,1.1899281740188599
436,1,0,0,0.04980994760990143
437,1,0,0,0.20964615046977997
438,1,0,0,0.07797437906265259
439,1,1,1,0.16868744790554047
440,1,1,1,0.5551179647445679
441,1,0,0,0.12523134052753448
442,1,1,1,0.3431650698184967
443,1,0,0,0.18294058740139008
444,1,1,1,0.23585514724254608
445,1,1,1,0.2304861694574356
446,1,1,1,0.24587653577327728
447,1,1,1,0.7103313207626343
448,1,1,1,0.15199629962444305
449,1,0,0,0.26845866441726685
450,1,0,0,0.5372428894042969
451,1,1,1,0.31752702593803406
452,1,0,0,0.057488348335027695
453,1,0,0,0.3911488950252533
454,1,1,1,0.23278455436229706
455,1,0,0,0.2839793860912323
456,1,0,0,0.7096074819564819
457,1,1,1,0.49014246463775635
458,1,1,1,0.03421089053153992
459,1,1,1,0.32528841495513916
460,1,1,1,0.27219563722610474
461,1,1,1,0.5743721723556519
462,1,0,0,0.23872600495815277
463,1,1,1,0.3292594254016876
464,1,1,1,0.7743370532989502
465,1,0,0,0.2698562443256378
466,1,1,1,0.60433429479599
467,1,1,1,1.2882895469665527
468,1,1,1,1.4893062114715576
469,1,1,1,1.34027099609375
470,1,1,1,0.7139977812767029
471,1,1,1,0.6605303287506104
472,1,1,1,0.8502334952354431
473,1,0,0,0.2794009745121002
474,1,0,0,0.09601086378097534
475,1,1,1,0.9776570200920105
476,1,1,1,0.4531741440296173
477,1,1,1,0.57920241355896
478,1,1,1,0.6910687685012817
479,1,1,1,0.675131618976593
480,1,0,0,0.11687403917312622
481,1,1,1,1.2253522872924805
482,1,1,1,0.6881116628646851
483,1,1,1,0.7541252374649048
484,1,1,1,0.4706019163131714
485,1,1,1,0.30712997913360596
486,1,1,1,0.6138250827789307
487,1,1,1,0.7495312690734863
488,1,1,1,0.1279972940683365
489,1,1,1,0.7215217351913452
490,1,1,1,0.4363103210926056
491,1,0,0,0.08937062323093414
492,1,1,1,0.3214977979660034
493,1,1,1,0.7519248127937317
494,1,1,1,1.0730695724487305
495,1,1,1,1.3788394927978516
496,1,1,1,1.0754928588867188
497,1,1,1,0.26185673475265503
498,1,1,1,0.9181444048881531
499,1,1,1,0.29008689522743225
500,1,0,0,0.12958471477031708
501,1,1,1,0.9791675209999084
502,1,1,1,0.44794929027557373
503,1,1,1,0.7245852947235107
504,1,1,1,0.284955769777298
505,1,1,1,1.0377509593963623
506,1,1,1,0.3664659559726715
507,1,1,1,0.3545849919319153
508,1,1,1,0.43967491388320923
509,1,0,0,0.14303594827651978
510,1,1,1,0.369846910238266
511,1,1,1,0.6630550622940063
512,1,1,1,0.1737382560968399
513,1,1,1,0.3764839768409729
514,1,0,0,0.09255009889602661
515,1,1,1,0.3397688567638397
516,1,1,1,0.31405341625213623
517,1,1,1,0.2008713036775589
518,1,1,1,0.3305528461933136
519,1,1,1,0.18092454969882965
520,1,1,1,1.0201483964920044
521,1,1,1,1.5326576232910156
522,1,1,1,0.24634353816509247
523,1,1,1,0.16076944768428802
524,1,0,0,0.38639935851097107
525,1,1,1,0.1624421924352646
526,1,1,1,0.6125150322914124
527,1,0,0,0.09600608050823212
528,1,1,1,0.38186103105545044
529,1,1,1,1.1138545274734497
530,1,1,1,0.7334585189819336
531,1,1,1,0.4095837473869324
532,1,1,1,0.26974132657051086
533,1,0,0,0.3375456929206848
534,1,1,1,1.2828669548034668
535,1,1,1,1.2172508239746094
536,1,0,0,0.7026221752166748
537,1,1,1,0.3929658532142639
538,1,1,1,0.3358551263809204
539,1,1,1,0.4085025489330292
540,1,1,1,0.2483445554971695
541,1,1,1,0.46453073620796204
542,1,1,1,0.2815893590450287
543,1,1,1,0.278548002243042
544,1,1,1,0.7465946674346924
545,1,1,1,1.016449213027954
546,1,1,1,0.7335220575332642
547,1,1,1,1.2192397117614746
548,1,1,1,0.5492126941680908
549,1,0,0,0.15687334537506104
550,1,1,1,0.39633920788764954
551,1,1,1,0.23681463301181793
552,1,1,1,0.19975267350673676
553,1,0,0,0.24755288660526276
554,1,0,0,0.8522281050682068
555,1,1,1,0.3090730905532837
556,1,1,1,0.5762123465538025
557,1,1,1,0.08438325673341751
558,1,1,1,0.22123539447784424
559,1,0,0,0.5699222087860107
560,1,1,1,0.5322559475898743
561,1,1,1,0.21028557419776917
562,1,0,0,0.18420611321926117
563,1,1,1,0.09021426737308502
564,1,1,1,0.6327018141746521
565,1,1,1,0.2822568416595459
566,1,1,1,0.21447180211544037
567,1,1,1,0.3116167485713959
568,1,0,0,0.32924795150756836
569,1,0,0,0.4408082664012909
570,1,0,0,0.2098647803068161
571,1,1,1,0.8615719079971313
572,1,0,0,0.14564906060695648
573,1,1,1,0.41485315561294556
574,1,0,0,0.26669666171073914
575,1,1,1,1.332916498184204
576,1,1,1,0.7317684888839722
577,1,0,0,0.2400027960538864
578,1,1,1,0.06297910213470459
579,1,1,1,0.07411007583141327
580,1,0,0,0.09639400243759155
581,1,1,1,0.229347825050354
582,1,1,1,0.38019293546676636
583,1,0,0,0.10552389919757843
584,1,1,1,0.4177848696708679
585,1,1,1,0.3671572208404541
586,1,0,0,0.11304949223995209
587,1,1,1,0.16341088712215424
588,1,1,1,0.8530503511428833
589,1,1,1,0.21548469364643097
590,1,1,1,0.08346006274223328
591,1,1,1,0.07653205841779709
592,1,1,1,1.1146440505981445
593,1,1,1,0.329166054725647
594,1,1,1,0.24665968120098114
595,1,0,0,0.1124265193939209
596,1,1,1,0.44570356607437134
