sample_idx,true_label,pred_label,correct,confidence
0,1,1,1,0.06040848046541214
1,1,0,0,0.26662760972976685
2,1,0,0,0.07784517854452133
3,1,0,0,0.19266057014465332
4,1,1,1,0.022777453064918518
5,1,0,0,0.8002989292144775
6,1,0,0,0.4568083882331848
7,1,0,0,0.46847766637802124
8,1,0,0,0.058394111692905426
9,1,1,1,0.10251359641551971
10,1,0,0,-0.020346030592918396
11,1,0,0,-0.010553687810897827
12,1,0,0,0.08391056209802628
13,1,0,0,0.0809640884399414
14,1,1,1,-0.016322355717420578
15,1,0,0,0.6803504228591919
16,1,0,0,0.6265310645103455
17,1,0,0,0.17840304970741272
18,1,1,1,0.34883612394332886
19,1,0,0,0.07951169461011887
20,1,1,1,0.08277542889118195
21,1,0,0,0.7360360026359558
22,1,0,0,0.7327209711074829
23,1,0,0,0.41266247630119324
24,1,0,0,-0.014545291662216187
25,1,0,0,0.005126953125
26,1,1,1,0.27207350730895996
27,1,0,0,0.3934648036956787
28,1,1,1,0.09892392158508301
29,1,1,1,0.038134872913360596
30,1,0,0,0.08080504089593887
31,1,1,1,-0.0005521476268768311
32,1,1,1,0.018446922302246094
33,1,0,0,0.2042132019996643
34,1,1,1,0.1999446004629135
35,1,1,1,-0.0347835049033165
36,1,1,1,0.22887654602527618
37,1,0,0,-0.005337357521057129
38,1,1,1,0.23087625205516815
39,1,0,0,0.2044300138950348
40,1,0,0,0.5640404224395752
41,1,1,1,0.08199773728847504
42,1,0,0,0.5603923201560974
43,1,1,1,0.33244407176971436
44,1,1,1,0.35848647356033325
45,1,0,0,0.3801863491535187
46,1,0,0,0.2739236652851105
47,1,1,1,-0.009906619787216187
48,1,1,1,0.16219502687454224
49,1,1,1,0.11526800692081451
50,1,0,0,0.06175880506634712
51,1,0,0,0.1575973927974701
52,1,0,0,0.6354056000709534
53,1,1,1,0.2437155395746231
54,1,0,0,-0.007268853485584259
55,1,0,0,0.07530434429645538
56,1,1,1,0.011754967272281647
57,1,1,1,0.047885581851005554
58,1,1,1,0.025029219686985016
59,1,0,0,0.07461532950401306
60,1,1,1,0.0022932514548301697
61,1,0,0,-0.015498176217079163
62,1,0,0,0.2546890079975128
63,1,1,1,-0.032597340643405914
64,1,1,1,0.14493295550346375
65,1,1,1,0.13382504880428314
66,1,0,0,0.1165938675403595
67,1,1,1,0.12877298891544342
68,1,1,1,-0.017522193491458893
69,1,1,1,0.06128282845020294
70,1,0,0,0.053002338856458664
71,1,0,0,0.008956685662269592
72,1,0,0,0.060272954404354095
73,1,1,1,0.12003034353256226
74,1,1,1,0.05297732353210449
75,1,1,1,0.10163353383541107
76,1,1,1,0.01141156256198883
77,1,0,0,0.27786606550216675
78,1,1,1,0.0898158848285675
79,1,0,0,0.2986080050468445
80,1,0,0,0.0021306127309799194
81,1,0,0,0.09208120405673981
82,1,1,1,0.12653684616088867
83,1,0,0,0.20339086651802063
84,1,0,0,0.08436188101768494
85,1,1,1,0.026595860719680786
86,1,1,1,0.17292064428329468
87,1,1,1,0.041628189384937286
88,1,0,0,0.3797362446784973
89,1,1,1,0.04012596607208252
90,1,1,1,0.22064034640789032
91,1,0,0,0.13884636759757996
92,1,1,1,0.15941652655601501
93,1,0,0,0.01100853830575943
94,1,0,0,0.04053482413291931
95,1,0,0,0.45336228609085083
96,1,0,0,0.12075767666101456
97,1,1,1,-0.0025740936398506165
98,1,0,0,0.29975610971450806
99,1,0,0,0.24558871984481812
100,1,0,0,0.07167181372642517
101,1,1,1,0.08134827017784119
102,1,1,1,0.05811069905757904
103,1,0,0,0.18535779416561127
104,1,1,1,0.028027474880218506
105,1,0,0,0.24072428047657013
106,1,0,0,0.060905903577804565
107,1,1,1,0.19278483092784882
108,1,1,1,-0.003671802580356598
109,1,0,0,0.03331886976957321
110,1,0,0,0.19585373997688293
111,1,1,1,0.05986498296260834
112,1,1,1,0.10802938044071198
113,1,0,0,0.18978452682495117
114,1,1,1,0.010743707418441772
115,1,0,0,0.3202264904975891
116,1,1,1,0.022552087903022766
117,1,1,1,0.06916026771068573
118,1,1,1,0.17902666330337524
119,1,1,1,-0.01741446554660797
120,1,1,1,-0.025090418756008148
121,1,1,1,0.08821277320384979
122,1,0,0,0.05728774517774582
123,1,0,0,0.35019761323928833
124,1,1,1,0.06970705091953278
125,1,0,0,0.43060004711151123
126,1,0,0,0.1728951781988144
127,1,0,0,0.18615910410881042
128,1,0,0,0.266554594039917
129,1,1,1,0.0015445202589035034
130,1,0,0,0.017135441303253174
131,1,1,1,0.003811948001384735
132,1,1,1,-0.008668221533298492
133,1,1,1,0.22114096581935883
134,1,0,0,0.4243716895580292
135,1,0,0,0.08878026157617569
136,1,1,1,0.2926345467567444
137,1,0,0,0.14833764731884003
138,1,1,1,0.14622239768505096
139,1,1,1,-8.985400199890137e-06
140,1,0,0,0.051004573702812195
141,1,0,0,0.19912543892860413
142,1,1,1,0.12861022353172302
143,1,1,1,0.08272914588451385
144,1,1,1,0.04508479684591293
145,1,0,0,0.006856303662061691
146,1,0,0,0.11423728615045547
147,1,1,1,-0.02516232803463936
148,1,1,1,0.1691228449344635
149,1,1,1,0.09479555487632751
150,1,1,1,0.22586126625537872
151,1,1,1,-0.006832458078861237
152,1,0,0,0.055115893483161926
153,1,1,1,0.1873694509267807
154,1,0,0,0.2557313144207001
155,1,0,0,0.03415815532207489
156,1,1,1,0.1903570145368576
157,1,0,0,0.3783067464828491
158,1,0,0,0.2833291292190552
159,1,0,0,0.055051762610673904
160,1,0,0,0.0629032552242279
161,1,0,0,-0.014316491782665253
162,1,1,1,0.04451536387205124
163,1,1,1,0.20089803636074066
164,1,1,1,0.2244485765695572
165,1,0,0,0.07951276004314423
166,1,1,1,0.14220480620861053
167,1,1,1,-0.022512510418891907
168,1,0,0,0.006557725369930267
169,1,1,1,0.06848995387554169
170,1,0,0,0.5483104586601257
171,1,0,0,0.28388816118240356
172,1,0,0,0.13630691170692444
173,1,0,0,0.004025742411613464
174,1,0,0,0.3002268671989441
175,1,0,0,0.12122318148612976
176,1,1,1,0.0015878677368164062
177,1,0,0,0.1597311943769455
178,1,0,0,0.25570255517959595
179,1,0,0,-0.0029819607734680176
180,1,0,0,-9.234994649887085e-05
181,1,1,1,0.20545418560504913
182,1,0,0,0.6163902282714844
183,1,0,0,0.47045430541038513
184,1,1,1,0.012573018670082092
185,1,1,1,-0.006630901247262955
186,1,1,1,0.006897628307342529
187,1,0,0,0.004899859428405762
188,1,1,1,0.21097509562969208
189,1,0,0,0.5306606292724609
190,1,0,0,0.15310557186603546
191,1,0,0,0.07515397667884827
192,1,0,0,-0.014130480587482452
193,1,0,0,0.0825580283999443
194,1,0,0,0.48519837856292725
195,1,0,0,0.36872461438179016
196,1,1,1,0.24717338383197784
197,1,0,0,0.30238065123558044
198,1,0,0,0.16932474076747894
199,1,0,0,0.2483063042163849
200,1,0,0,0.38142910599708557
201,1,0,0,0.1503991186618805
202,1,0,0,0.3483729660511017
203,1,0,0,0.19110967218875885
