sample_idx,true_label,pred_label,correct,confidence
0,3,2,0,0.6762328147888184
1,8,8,1,0.47849082946777344
2,8,2,0,0.5233191847801208
3,0,0,1,0.5609132647514343
4,6,4,0,0.5520550608634949
5,6,5,0,0.6329535841941833
6,1,7,0,0.42357057332992554
7,6,3,0,0.712891697883606
8,3,2,0,0.6397708058357239
9,1,3,0,0.48972567915916443
10,0,3,0,0.6008074879646301
11,9,3,0,0.6334013342857361
12,5,3,0,0.496726930141449
13,7,3,0,0.6516636610031128
14,9,2,0,0.5643506050109863
15,8,3,0,0.4482288658618927
16,5,3,0,0.4848993718624115
17,7,3,0,0.5692455768585205
18,8,2,0,0.4188748896121979
19,6,2,0,0.47307905554771423
20,7,2,0,0.5508317351341248
21,0,5,0,0.5257366299629211
22,4,2,0,0.5575627088546753
23,9,2,0,0.39759597182273865
24,5,0,0,0.4281699061393738
25,2,3,0,0.6307010054588318
26,4,3,0,0.3101089298725128
27,0,2,0,0.5720053315162659
28,9,7,0,0.6438698768615723
29,6,3,0,0.6486024856567383
30,6,5,0,0.5553228259086609
31,5,3,0,0.5929179787635803
32,4,2,0,0.4527391791343689
33,5,8,0,0.47515445947647095
34,9,2,0,0.4828729033470154
35,2,3,0,0.6729907393455505
36,4,3,0,0.6373924016952515
37,1,3,0,0.44167202711105347
38,9,3,0,0.5363625884056091
39,5,3,0,0.55487459897995
40,4,3,0,0.4648594856262207
41,6,3,0,0.6323695778846741
42,5,1,0,0.4439432919025421
43,6,5,0,0.5029157400131226
44,0,2,0,0.5586187243461609
45,9,3,0,0.4025771915912628
46,3,7,0,0.4090132415294647
47,9,3,0,0.6547786593437195
48,7,2,0,0.4721667766571045
49,6,2,0,0.4024234116077423
50,9,3,0,0.6755140423774719
51,8,3,0,0.6240929961204529
52,0,8,0,0.33562400937080383
53,3,7,0,0.6535345911979675
54,8,3,0,0.5220553278923035
55,8,3,0,0.6146578788757324
56,7,3,0,0.6607064604759216
57,7,2,0,0.5294581651687622
58,4,3,0,0.6202735900878906
59,6,2,0,0.5574163198471069
60,7,5,0,0.3264297544956207
61,3,3,1,0.6573678851127625
62,6,3,0,0.5071545243263245
63,3,3,1,0.5770119428634644
64,6,0,0,0.4433523416519165
65,2,2,1,0.5042344331741333
66,1,3,0,0.5631518959999084
67,2,3,0,0.6156023144721985
68,3,5,0,0.3584165573120117
69,7,3,0,0.605575680732727
70,2,2,1,0.674896240234375
71,6,7,0,0.4738695025444031
72,8,7,0,0.5221425294876099
73,8,2,0,0.6767667531967163
74,0,2,0,0.6348351836204529
75,2,2,1,0.494078129529953
76,9,3,0,0.5410073399543762
77,3,5,0,0.5899696350097656
78,3,3,1,0.7026979327201843
79,8,2,0,0.6433030962944031
80,8,5,0,0.40519478917121887
81,1,2,0,0.48814916610717773
82,1,1,1,0.5869726538658142
83,7,3,0,0.6282944083213806
84,2,2,1,0.7408132553100586
85,5,3,0,0.4940527379512787
86,2,3,0,0.4446312487125397
87,7,0,0,0.5822598338127136
88,8,9,0,0.40769416093826294
89,9,3,0,0.6469622254371643
90,0,2,0,0.5296754240989685
91,3,3,1,0.6847620010375977
92,8,0,0,0.5340359807014465
93,6,2,0,0.47789040207862854
94,4,2,0,0.564847469329834
95,6,5,0,0.46691980957984924
96,6,2,0,0.5145221948623657
97,0,3,0,0.5447281002998352
98,0,0,1,0.5026403665542603
99,7,2,0,0.5374479293823242
100,4,3,0,0.5376659631729126
101,5,3,0,0.4825473129749298
102,6,5,0,0.5254673361778259
103,3,3,1,0.5687946081161499
104,1,2,0,0.3694703280925751
105,1,2,0,0.5824299454689026
106,3,1,0,0.3789921998977661
107,6,3,0,0.34648752212524414
108,8,2,0,0.5358577966690063
109,7,3,0,0.7501851320266724
110,4,3,0,0.7098726630210876
111,0,8,0,0.40598276257514954
112,6,3,0,0.492061048746109
113,2,5,0,0.5330579876899719
114,1,3,0,0.7063639760017395
115,3,0,0,0.3829497992992401
116,0,3,0,0.48859596252441406
117,4,5,0,0.5779584646224976
118,2,3,0,0.5747218728065491
119,7,3,0,0.5267655253410339
120,8,1,0,0.48559772968292236
121,3,7,0,0.41318264603614807
122,1,5,0,0.503060519695282
123,2,2,1,0.47572553157806396
124,8,7,0,0.6496809124946594
125,0,3,0,0.7327742576599121
126,8,2,0,0.40438491106033325
127,3,3,1,0.5807387232780457
128,5,3,0,0.5910807251930237
129,2,3,0,0.6629140973091125
130,4,2,0,0.6019660830497742
131,1,3,0,0.4647100865840912
132,8,3,0,0.7723478078842163
133,9,3,0,0.6221215128898621
134,1,2,0,0.5803611874580383
135,2,3,0,0.5361471772193909
136,9,3,0,0.680057942867279
137,7,2,0,0.609470784664154
138,2,1,0,0.5503407120704651
139,9,9,1,0.7082181572914124
140,6,1,0,0.7163293361663818
141,5,1,0,0.6736963987350464
142,6,0,0,0.6066416501998901
143,3,2,0,0.40764379501342773
144,8,4,0,0.4376392960548401
145,7,3,0,0.691717267036438
146,6,3,0,0.5653182864189148
147,2,2,1,0.4974457323551178
148,5,3,0,0.6553230881690979
149,2,3,0,0.6133468747138977
150,8,3,0,0.5838503241539001
151,9,3,0,0.6668944358825684
152,6,3,0,0.5611699819564819
153,0,1,0,0.5030057430267334
154,0,3,0,0.5706618428230286
155,5,3,0,0.6312955617904663
156,2,8,0,0.4267936050891876
157,9,0,0,0.597813606262207
158,5,3,0,0.4798341691493988
159,4,3,0,0.43979859352111816
160,2,3,0,0.41403838992118835
161,1,5,0,0.6948134899139404
162,6,2,0,0.4340858459472656
163,6,2,0,0.5491192936897278
164,8,3,0,0.5923312902450562
165,4,0,0,0.4924820363521576
166,8,0,0,0.7184044122695923
167,4,5,0,0.6258545517921448
168,5,9,0,0.5566403269767761
169,0,2,0,0.4620794951915741
170,9,3,0,0.5935837626457214
171,9,5,0,0.5077481865882874
172,9,2,0,0.3955923020839691
173,8,3,0,0.668519139289856
174,9,8,0,0.5369790196418762
175,9,3,0,0.5461151003837585
176,3,5,0,0.5522257685661316
177,7,5,0,0.6341856718063354
178,5,3,0,0.45638155937194824
179,0,3,0,0.41778162121772766
180,0,0,1,0.6161471009254456
181,5,5,1,0.49593958258628845
182,2,7,0,0.7692810297012329
183,2,3,0,0.5840999484062195
184,3,0,0,0.47604650259017944
185,8,3,0,0.5590345859527588
186,6,1,0,0.3467417061328888
187,3,1,0,0.34010013937950134
188,4,3,0,0.5582335591316223
189,0,3,0,0.615207850933075
190,5,5,1,0.46568232774734497
191,8,3,0,0.7724054455757141
192,0,3,0,0.6360232830047607
193,1,3,0,0.3949861228466034
194,7,5,0,0.41196930408477783
195,2,8,0,0.4478076100349426
196,8,7,0,0.592782199382782
197,8,3,0,0.45480141043663025
198,7,7,1,0.4918098747730255
199,8,2,0,0.4499357342720032
200,5,3,0,0.49917566776275635
201,1,3,0,0.6204178333282471
202,8,3,0,0.501319169998169
203,7,0,0,0.348601371049881
204,1,2,0,0.5310870409011841
205,3,6,0,0.45666685700416565
206,0,3,0,0.5960661172866821
207,5,2,0,0.6214013695716858
208,7,3,0,0.6596657633781433
209,9,2,0,0.4482843279838562
210,7,2,0,0.5028157830238342
211,4,4,1,0.4358787536621094
212,5,3,0,0.6812698841094971
213,9,7,0,0.48838305473327637
214,8,3,0,0.6088229417800903
215,0,3,0,0.5009128451347351
216,7,5,0,0.5321348905563354
217,9,8,0,0.6098576188087463
218,8,0,0,0.4085920453071594
219,2,5,0,0.5870504379272461
220,7,2,0,0.5877835154533386
221,6,4,0,0.465455025434494
222,9,4,0,0.40805965662002563
223,4,2,0,0.3177391290664673
224,3,3,1,0.5795057415962219
225,9,4,0,0.34985509514808655
226,6,3,0,0.6436896920204163
227,4,0,0,0.4444950819015503
228,7,7,1,0.5957205295562744
229,6,2,0,0.6961965560913086
230,5,3,0,0.5998920798301697
231,1,5,0,0.4748282730579376
232,5,5,1,0.5651044249534607
233,8,2,0,0.5481659770011902
234,8,5,0,0.5057595372200012
235,0,7,0,0.42917487025260925
236,4,3,0,0.6337453722953796
237,0,4,0,0.48067140579223633
238,5,9,0,0.5065954923629761
239,5,3,0,0.5098193883895874
240,1,5,0,0.6987622380256653
241,1,3,0,0.5393778085708618
242,8,2,0,0.38283953070640564
243,9,3,0,0.39363813400268555
244,0,2,0,0.7489480972290039
245,3,3,1,0.5890842080116272
246,1,3,0,0.4511324465274811
247,9,3,0,0.519891619682312
248,2,4,0,0.579307496547699
249,2,3,0,0.6184728741645813
250,5,5,1,0.555424153804779
251,3,3,1,0.5775700807571411
252,9,3,0,0.4041428565979004
253,9,3,0,0.6645075082778931
254,4,2,0,0.5547239780426025
255,0,3,0,0.7181234359741211
256,3,8,0,0.35522010922431946
257,0,3,0,0.554390013217926
258,0,1,0,0.6225429773330688
259,9,2,0,0.6223827004432678
260,8,8,1,0.4646131992340088
261,1,3,0,0.6825476288795471
262,5,3,0,0.5772483944892883
263,7,3,0,0.6389736533164978
264,0,2,0,0.46074196696281433
