sample_idx,true_label,pred_label,correct,confidence
0,3,3,1,0.750299870967865
1,8,8,1,0.9592524170875549
2,8,8,1,0.7713554501533508
3,0,0,1,0.5387617945671082
4,6,6,1,0.8694032430648804
5,6,6,1,0.6030647158622742
6,1,1,1,0.6466686725616455
7,6,6,1,0.8942344784736633
8,3,3,1,0.8346218466758728
9,1,1,1,0.7659844160079956
10,0,4,0,0.6160885691642761
11,9,9,1,0.9846638441085815
12,5,5,1,0.5333188772201538
13,7,7,1,0.9741351008415222
14,9,9,1,0.9801973700523376
15,8,8,1,0.7491341233253479
16,5,5,1,0.7969724535942078
17,7,7,1,0.39140602946281433
18,8,8,1,0.918329656124115
19,6,6,1,0.8321711421012878
20,7,7,1,0.7512573599815369
21,0,0,1,0.9169431924819946
22,4,8,0,0.6679515242576599
23,9,9,1,0.9730578660964966
24,5,4,0,0.7114489674568176
25,2,4,0,0.5742807984352112
26,4,4,1,0.633969783782959
27,0,2,0,0.44991958141326904
28,9,9,1,0.8054583072662354
29,6,6,1,0.9769634008407593
30,6,6,1,0.8407694101333618
31,5,5,1,0.6148121953010559
32,4,8,0,0.6692957282066345
33,5,3,0,0.704795777797699
34,9,9,1,0.9643603563308716
35,2,3,0,0.74714595079422
36,4,4,1,0.5705098509788513
37,1,9,0,0.5707675814628601
38,9,9,1,0.9827290177345276
39,5,5,1,0.9232122898101807
40,4,8,0,0.5508790016174316
41,6,6,1,0.9769851565361023
42,5,5,1,0.7963156700134277
43,6,6,1,0.9304141998291016
44,0,0,1,0.6511362791061401
45,9,9,1,0.9685448408126831
46,3,5,0,0.48132169246673584
47,9,5,0,0.4864920973777771
48,7,7,1,0.9789952635765076
49,6,6,1,0.8731456995010376
50,9,9,1,0.6697750687599182
51,8,8,1,0.9527080655097961
52,0,6,0,0.7112570405006409
53,3,3,1,0.48193490505218506
54,8,8,1,0.9630297422409058
55,8,8,1,0.9909554719924927
56,7,7,1,0.7255047559738159
57,7,3,0,0.518390953540802
58,4,7,0,0.3997678756713867
59,6,3,0,0.49582433700561523
60,7,7,1,0.7871934175491333
61,3,3,1,0.7451673746109009
62,6,6,1,0.4936184585094452
63,3,0,0,0.3899611532688141
64,6,6,1,0.4831113815307617
65,2,6,0,0.671790361404419
66,1,8,0,0.6971642374992371
67,2,0,0,0.8334566354751587
68,3,3,1,0.5816214680671692
69,7,9,0,0.6104380488395691
70,2,0,0,0.6501848101615906
71,6,3,0,0.3713456094264984
72,8,8,1,0.9497350454330444
73,8,8,1,0.9975290298461914
74,0,0,1,0.5008460879325867
75,2,2,1,0.8254241943359375
76,9,0,0,0.5958834886550903
77,3,3,1,0.6501438021659851
78,3,5,0,0.8099347949028015
79,8,8,1,0.9229214787483215
80,8,8,1,0.9104315638542175
81,1,8,0,0.5433655381202698
82,1,1,1,0.6297981142997742
83,7,7,1,0.7640833854675293
84,2,2,1,0.5675580501556396
85,5,7,0,0.5735204815864563
86,2,2,1,0.718469500541687
87,7,8,0,0.8425806760787964
88,8,8,1,0.6520954370498657
89,9,9,1,0.9233018755912781
90,0,8,0,0.7744677662849426
91,3,3,1,0.4527215361595154
92,8,8,1,0.9921633005142212
93,6,6,1,0.926963746547699
94,4,4,1,0.8488672375679016
95,6,6,1,0.957580029964447
96,6,6,1,0.9621002078056335
97,0,8,0,0.6019562482833862
98,0,0,1,0.6891500949859619
99,7,3,0,0.4012095630168915
100,4,7,0,0.5914602875709534
101,5,7,0,0.3817235231399536
102,6,6,1,0.508578360080719
103,3,3,1,0.7701214551925659
104,1,1,1,0.763556182384491
105,1,1,1,0.6065019965171814
106,3,3,1,0.380719393491745
107,6,6,1,0.9938920140266418
108,8,8,1,0.6804566979408264
109,7,5,0,0.7999078035354614
110,4,4,1,0.7125194072723389
111,0,0,1,0.9682066440582275
112,6,6,1,0.6395431756973267
113,2,2,1,0.7834813594818115
114,1,9,0,0.6792020797729492
115,3,6,0,0.456161767244339
116,0,0,1,0.6580188870429993
117,4,7,0,0.5642032623291016
118,2,6,0,0.7090978026390076
119,7,7,1,0.35404232144355774
120,8,8,1,0.7358525395393372
121,3,7,0,0.36383506655693054
122,1,9,0,0.4003942310810089
123,2,2,1,0.7688168883323669
124,8,8,1,0.7052878737449646
125,0,8,0,0.4173119068145752
126,8,8,1,0.47455108165740967
127,3,3,1,0.6574914455413818
128,5,6,0,0.5182484984397888
129,2,0,0,0.8053164482116699
130,4,4,1,0.8705648183822632
131,1,1,1,0.5560532212257385
132,8,9,0,0.6033231019973755
133,9,9,1,0.9037489891052246
134,1,1,1,0.7039597034454346
135,2,3,0,0.5615227222442627
136,9,9,1,0.8549262881278992
137,7,7,1,0.9379735589027405
138,2,6,0,0.6731932759284973
139,9,8,0,0.9622941613197327
140,6,3,0,0.6037840843200684
141,5,5,1,0.8174439072608948
142,6,6,1,0.8024774193763733
143,3,7,0,0.5841271281242371
144,8,8,1,0.8698437809944153
145,7,4,0,0.4071706235408783
146,6,3,0,0.5131585001945496
147,2,5,0,0.7248924970626831
148,5,5,1,0.6523632407188416
149,2,5,0,0.6599739789962769
150,8,8,1,0.656976044178009
151,9,9,1,0.3285239040851593
152,6,6,1,0.5210623741149902
153,0,0,1,0.6211360692977905
154,0,0,1,0.7435606718063354
155,5,5,1,0.5896561145782471
156,2,2,1,0.5943087935447693
157,9,9,1,0.8802859783172607
158,5,3,0,0.5726989507675171
159,4,4,1,0.8214459419250488
160,2,2,1,0.736415445804596
161,1,1,1,0.9835917949676514
162,6,5,0,0.5963981747627258
163,6,6,1,0.8842311501502991
164,8,8,1,0.9250785112380981
165,4,7,0,0.7652184963226318
166,8,8,1,0.8628695607185364
167,4,4,1,0.6633498668670654
168,5,5,1,0.6501222848892212
169,0,0,1,0.6580851674079895
170,9,9,1,0.8232489824295044
171,9,6,0,0.8462194204330444
172,9,9,1,0.39949801564216614
173,8,8,1,0.8152064085006714
174,9,9,1,0.6518164873123169
175,9,9,1,0.9229737520217896
176,3,3,1,0.7266740798950195
177,7,7,1,0.6435402035713196
178,5,3,0,0.5548513531684875
179,0,0,1,0.5568898320198059
180,0,0,1,0.44473445415496826
181,5,5,1,0.6025787591934204
182,2,2,1,0.7388365864753723
183,2,3,0,0.47177109122276306
184,3,5,0,0.21831077337265015
185,8,8,1,0.9894188046455383
186,6,6,1,0.8999840617179871
