sample_idx,true_label,pred_label,correct,confidence
0,3,3,1,0.8240060210227966
1,8,1,0,0.8696044087409973
2,8,8,1,0.6734212040901184
3,0,1,0,0.7351314425468445
4,6,1,0,0.6103395819664001
5,6,3,0,0.5865930318832397
6,1,1,1,0.8998932242393494
7,6,6,1,0.8453359603881836
8,3,3,1,0.8495103120803833
9,1,1,1,0.6873343586921692
10,0,4,0,0.46977585554122925
11,9,9,1,0.9935999512672424
12,5,3,0,0.6393153667449951
13,7,7,1,0.6919630169868469
14,9,9,1,0.5195558667182922
15,8,8,1,0.8398730754852295
16,5,3,0,0.6726427674293518
17,7,3,0,0.5191048383712769
18,8,9,0,0.6996080875396729
19,6,6,1,0.9312384724617004
20,7,5,0,0.38235577940940857
21,0,6,0,0.6535830497741699
22,4,0,0,0.41868701577186584
23,9,1,0,0.7868866920471191
24,5,4,0,0.5057051777839661
25,2,3,0,0.4687631130218506
26,4,3,0,0.5252164602279663
27,0,2,0,0.26221737265586853
28,9,9,1,0.8725687265396118
29,6,6,1,0.7844406366348267
30,6,6,1,0.8805791735649109
31,5,4,0,0.5476335287094116
32,4,4,1,0.43690192699432373
33,5,3,0,0.6227050423622131
34,9,9,1,0.8379359245300293
35,2,3,0,0.5213322639465332
36,4,5,0,0.5878373980522156
37,1,1,1,0.8772417306900024
38,9,3,0,0.50135338306427
39,5,6,0,0.6160365343093872
40,4,2,0,0.5462378263473511
41,6,6,1,0.9985294342041016
42,5,3,0,0.7830661535263062
43,6,6,1,0.7920984625816345
44,0,9,0,0.6630580425262451
45,9,9,1,0.9825615286827087
46,3,3,1,0.6450828909873962
47,9,3,0,0.3810725212097168
48,7,7,1,0.6232584714889526
49,6,4,0,0.8204861283302307
50,9,3,0,0.6110634207725525
51,8,0,0,0.48852211236953735
52,0,6,0,0.8176477551460266
53,3,6,0,0.6375490427017212
54,8,8,1,0.7732520699501038
55,8,8,1,0.5143615007400513
56,7,1,0,0.35707083344459534
57,7,9,0,0.7936030626296997
58,4,5,0,0.5774704813957214
59,6,3,0,0.5292503833770752
60,7,7,1,0.8938358426094055
61,3,3,1,0.8783114552497864
62,6,6,1,0.6533090472221375
63,3,0,0,0.5738384127616882
64,6,6,1,0.9072494506835938
65,2,2,1,0.49963998794555664
66,1,3,0,0.4157409071922302
67,2,1,0,0.31060585379600525
68,3,3,1,0.8875296711921692
69,7,7,1,0.6674432158470154
70,2,3,0,0.5418941974639893
71,6,6,1,0.6975256204605103
72,8,8,1,0.986352264881134
73,8,8,1,0.8189805150032043
74,0,9,0,0.8535091280937195
75,2,5,0,0.6621204614639282
76,9,1,0,0.5687494277954102
77,3,3,1,0.7337502837181091
78,3,3,1,0.763224184513092
79,8,8,1,0.9235196113586426
80,8,8,1,0.9354343414306641
81,1,1,1,0.6070976853370667
82,1,1,1,0.8598869442939758
83,7,9,0,0.6112235188484192
84,2,3,0,0.6063100695610046
85,5,5,1,0.5897500514984131
86,2,3,0,0.5989132523536682
87,7,7,1,0.6450856924057007
88,8,9,0,0.646831750869751
89,9,9,1,0.99083012342453
90,0,8,0,0.5375412106513977
