sample_idx,true_label,pred_label,correct,confidence
0,3,3,1,0.7766157984733582
1,8,8,1,0.9540602564811707
2,8,8,1,0.6212076544761658
3,0,0,1,0.7973105907440186
4,6,6,1,0.9210126399993896
5,6,6,1,0.9540488719940186
6,1,1,1,0.9520072340965271
7,6,6,1,0.9780917167663574
8,3,3,1,0.7465846538543701
9,1,1,1,0.9401425123214722
10,0,0,1,0.644367516040802
11,9,9,1,0.9722669124603271
12,5,5,1,0.49610307812690735
13,7,7,1,0.9812673926353455
14,9,9,1,0.9867830872535706
15,8,6,0,0.6669631004333496
16,5,5,1,0.9217890501022339
17,7,9,0,0.391311913728714
18,8,8,1,0.9911280870437622
19,6,6,1,0.9997859597206116
20,7,7,1,0.9061062932014465
21,0,0,1,0.7315470576286316
22,4,2,0,0.5731768012046814
23,9,9,1,0.9368578791618347
24,5,4,0,0.8392390608787537
25,2,6,0,0.46514686942100525
26,4,4,1,0.8121880888938904
27,0,0,1,0.9190880060195923
28,9,9,1,0.9445089101791382
29,6,6,1,0.9948244094848633
30,6,6,1,0.9213310480117798
31,5,5,1,0.786596417427063
32,4,4,1,0.8457592725753784
33,5,5,1,0.8424389362335205
34,9,9,1,0.9261283278465271
35,2,3,0,0.5756112933158875
36,4,4,1,0.8333877325057983
37,1,1,1,0.8912274837493896
38,9,9,1,0.9657552242279053
39,5,5,1,0.8160783648490906
40,4,0,0,0.5846866965293884
41,6,6,1,0.9986702799797058
42,5,7,0,0.5724868774414062
43,6,6,1,0.9759640693664551
44,0,0,1,0.8785333037376404
45,9,9,1,0.9898988604545593
46,3,3,1,0.6583283543586731
47,9,4,0,0.7386470437049866
48,7,7,1,0.8854406476020813
49,6,2,0,0.8339399099349976
50,9,9,1,0.7783370018005371
51,8,8,1,0.8825396299362183
52,0,2,0,0.47525718808174133
53,3,3,1,0.3963782489299774
54,8,8,1,0.9808530211448669
55,8,8,1,0.9464380741119385
56,7,5,0,0.7486152648925781
57,7,5,0,0.6637182831764221
58,4,5,0,0.588154673576355
59,6,2,0,0.5646791458129883
60,7,7,1,0.9986720085144043
61,3,5,0,0.8527002930641174
62,6,6,1,0.9495860934257507
63,3,3,1,0.7182857394218445
64,6,6,1,0.9461529850959778
65,2,2,1,0.6890884637832642
66,1,1,1,0.8061333298683167
67,2,0,0,0.7095590233802795
68,3,3,1,0.405419260263443
69,7,7,1,0.7877331972122192
70,2,0,0,0.6838139295578003
71,6,6,1,0.48974475264549255
72,8,8,1,0.9934707283973694
73,8,8,1,0.9596759676933289
74,0,9,0,0.7080469727516174
75,2,2,1,0.9913909435272217
76,9,0,0,0.491427481174469
77,3,3,1,0.8019733428955078
78,3,5,0,0.7133703827857971
79,8,8,1,0.9647233486175537
80,8,8,1,0.9569247364997864
81,1,1,1,0.6616896986961365
82,1,1,1,0.974460780620575
83,7,7,1,0.9604435563087463
84,2,2,1,0.7487195730209351
85,5,7,0,0.9451983571052551
86,2,2,1,0.8345359563827515
87,7,7,1,0.5854832530021667
88,8,9,0,0.6019756197929382
89,9,9,1,0.9602009057998657
90,0,0,1,0.9492946863174438
91,3,6,0,0.4095536768436432
92,8,8,1,0.985367476940155
93,6,6,1,0.9991431832313538
94,4,4,1,0.9030705690383911
95,6,6,1,0.9439041614532471
96,6,6,1,0.9945687055587769
97,0,0,1,0.7369565963745117
98,0,0,1,0.6270807385444641
99,7,7,1,0.7148775458335876
100,4,4,1,0.8763847351074219
101,5,5,1,0.38406553864479065
102,6,6,1,0.9841647744178772
103,3,3,1,0.9401624202728271
104,1,1,1,0.9847885370254517
105,1,1,1,0.9603963494300842
106,3,6,0,0.4963405132293701
107,6,6,1,0.9975435137748718
108,8,8,1,0.9595300555229187
109,7,7,1,0.8993072509765625
110,4,4,1,0.831170916557312
111,0,0,1,0.9349343776702881
112,6,6,1,0.6767867207527161
113,2,2,1,0.9365816116333008
114,1,1,1,0.9267169833183289
115,3,3,1,0.5208253860473633
116,0,0,1,0.965477466583252
117,4,4,1,0.7843992114067078
118,2,6,0,0.7075282335281372
119,7,7,1,0.757693886756897
120,8,8,1,0.8838787078857422
121,3,7,0,0.3574531078338623
122,1,1,1,0.8681992292404175
123,2,2,1,0.5922538638114929
124,8,8,1,0.952876091003418
125,0,0,1,0.6145654320716858
126,8,8,1,0.8374094367027283
127,3,3,1,0.7144888043403625
128,5,3,0,0.5245712399482727
129,2,2,1,0.6060646772384644
130,4,4,1,0.9255673289299011
131,1,1,1,0.9857037663459778
132,8,8,1,0.9309787750244141
133,9,9,1,0.9750403165817261
134,1,1,1,0.8968113660812378
135,2,2,1,0.8153237700462341
136,9,9,1,0.9592176079750061
137,7,7,1,0.7587025165557861
138,2,6,0,0.7272121906280518
139,9,8,0,0.5378696322441101
140,6,6,1,0.7885580658912659
141,5,5,1,0.8681142926216125
142,6,6,1,0.9208414554595947
143,3,5,0,0.7182231545448303
144,8,8,1,0.757818341255188
145,7,4,0,0.47694262862205505
146,6,6,1,0.9898806214332581
147,2,5,0,0.8125885128974915
148,5,5,1,0.5951452851295471
149,2,2,1,0.5835216045379639
150,8,0,0,0.8407900333404541
151,9,9,1,0.8379493951797485
152,6,6,1,0.8563864827156067
153,0,0,1,0.7477375864982605
154,0,0,1,0.8953315019607544
155,5,5,1,0.8313547968864441
156,2,6,0,0.6975759267807007
157,9,9,1,0.9529762268066406
158,5,3,0,0.5459093451499939
159,4,4,1,0.9751502871513367
160,2,0,0,0.8827429413795471
161,1,1,1,0.92659592628479
162,6,6,1,0.9387013912200928
163,6,6,1,0.99139004945755
164,8,8,1,0.5738709568977356
165,4,4,1,0.7606605291366577
166,8,8,1,0.9630370736122131
167,4,4,1,0.8352466225624084
168,5,9,0,0.603293776512146
169,0,0,1,0.6852502226829529
170,9,9,1,0.9134784936904907
171,9,9,1,0.8309314846992493
172,9,9,1,0.6361744403839111
173,8,8,1,0.9274023771286011
174,9,9,1,0.8928224444389343
175,9,9,1,0.95058274269104
176,3,3,1,0.7011138200759888
177,7,7,1,0.9744441509246826
178,5,5,1,0.8663318753242493
179,0,0,1,0.886201024055481
180,0,0,1,0.6414706110954285
181,5,5,1,0.9080020785331726
182,2,2,1,0.6055405735969543
183,2,6,0,0.569420576095581
184,3,6,0,0.3365372121334076
185,8,8,1,0.8591885566711426
186,6,6,1,0.9800662994384766
187,3,3,1,0.645420491695404
188,4,3,0,0.5935248732566833
189,0,8,0,0.810239851474762
190,5,5,1,0.40873488783836365
191,8,8,1,0.8149368166923523
192,0,0,1,0.4465591013431549
193,1,1,1,0.7040480971336365
194,7,7,1,0.790413498878479
195,2,6,0,0.6493282914161682
196,8,8,1,0.8930211067199707
197,8,8,1,0.7902067303657532
198,7,7,1,0.7957369089126587
199,8,8,1,0.8896905779838562
200,5,5,1,0.8958685994148254
201,1,0,0,0.4938165545463562
202,8,8,1,0.9343423247337341
203,7,7,1,0.8876681327819824
204,1,1,1,0.9854621291160583
205,3,3,1,0.8708673119544983
206,0,0,1,0.42103028297424316
207,5,5,1,0.8058642148971558
208,7,7,1,0.9205479025840759
209,9,9,1,0.7797231078147888
210,7,6,0,0.44859686493873596
211,4,0,0,0.6376711130142212
212,5,5,1,0.791511595249176
213,9,9,1,0.836351752281189
214,8,8,1,0.895948588848114
215,0,0,1,0.474368691444397
216,7,7,1,0.8798417448997498
217,9,9,1,0.9348850250244141
218,8,8,1,0.58831387758255
219,2,4,0,0.7815456390380859
220,7,7,1,0.7987157106399536
221,6,3,0,0.7611367106437683
222,9,9,1,0.9507607221603394
223,4,5,0,0.5967573523521423
224,3,3,1,0.5603321194648743
225,9,9,1,0.8370056748390198
226,6,0,0,0.45725855231285095
227,4,4,1,0.6459518671035767
228,7,3,0,0.5664120316505432
229,6,1,0,0.4331846237182617
230,5,5,1,0.7906491160392761
231,1,1,1,0.9834119081497192
232,5,7,0,0.575657308101654
233,8,1,0,0.7479802966117859
234,8,8,1,0.9868526458740234
235,0,0,1,0.992177426815033
236,4,4,1,0.9187160730361938
237,0,0,1,0.4738912582397461
238,5,5,1,0.7102833986282349
239,5,5,1,0.6933549046516418
240,1,1,1,0.9936584830284119
241,1,1,1,0.795543909072876
242,8,8,1,0.8391879200935364
243,9,9,1,0.9284643530845642
244,0,0,1,0.9975745677947998
245,3,3,1,0.4978047013282776
246,1,1,1,0.8845706582069397
247,9,8,0,0.8576061129570007
248,2,2,1,0.8867408633232117
249,2,0,0,0.4011242091655731
250,5,5,1,0.7071961164474487
251,3,5,0,0.780139148235321
252,9,9,1,0.8629169464111328
253,9,9,1,0.9076954126358032
254,4,6,0,0.5586991906166077
255,0,8,0,0.5405175089836121
