sample_idx,true_label,pred_label,correct,confidence
0,3,3,1,0.675639808177948
1,8,8,1,0.7027773261070251
2,8,8,1,0.5113871693611145
3,0,0,1,0.5142441987991333
4,6,1,0,0.8858053088188171
5,6,3,0,0.5498588681221008
6,1,3,0,0.6645613312721252
7,6,6,1,0.45458537340164185
8,3,3,1,0.49626389145851135
9,1,1,1,0.7260769009590149
10,0,9,0,0.7394416332244873
11,9,9,1,0.7336440086364746
12,5,5,1,0.6018826961517334
13,7,7,1,0.7821382284164429
14,9,1,0,0.62062668800354
15,8,9,0,0.5333582758903503
16,5,5,1,0.44065728783607483
17,7,3,0,0.312682569026947
18,8,2,0,0.4405848979949951
19,6,6,1,0.9845647215843201
20,7,6,0,0.45645618438720703
21,0,0,1,0.7065983414649963
22,4,4,1,0.8648889064788818
23,9,9,1,0.8320357203483582
24,5,4,0,0.4959754943847656
25,2,9,0,0.5297213196754456
26,4,4,1,0.42778968811035156
27,0,3,0,0.3456084728240967
28,9,3,0,0.41095757484436035
29,6,4,0,0.5546496510505676
30,6,3,0,0.4344426095485687
31,5,5,1,0.8562421798706055
32,4,8,0,0.41223379969596863
33,5,9,0,0.5950496196746826
34,9,9,1,0.9150380492210388
35,2,2,1,0.5166881084442139
36,4,9,0,0.6587492227554321
37,1,1,1,0.4816940426826477
38,9,9,1,0.920758068561554
39,5,5,1,0.9063879251480103
40,4,0,0,0.46985548734664917
41,6,6,1,0.9987228512763977
42,5,5,1,0.7808678150177002
43,6,3,0,0.5756040811538696
44,0,0,1,0.8666049242019653
45,9,8,0,0.6665144562721252
46,3,2,0,0.6892107129096985
47,9,9,1,0.933832049369812
48,7,4,0,0.8752856254577637
49,6,2,0,0.6109258532524109
50,9,9,1,0.8039650321006775
51,8,3,0,0.4261898994445801
52,0,2,0,0.45439159870147705
53,3,6,0,0.7348217368125916
54,8,8,1,0.9694854617118835
55,8,8,1,0.9067001342773438
56,7,5,0,0.4938324987888336
57,7,8,0,0.5057492256164551
58,4,9,0,0.8494290709495544
59,6,1,0,0.2900734543800354
60,7,4,0,0.4509023427963257
61,3,3,1,0.4346180856227875
62,6,2,0,0.319122314453125
63,3,3,1,0.4138319492340088
64,6,6,1,0.871239960193634
65,2,5,0,0.5319175124168396
66,1,8,0,0.6520238518714905
67,2,3,0,0.47399720549583435
68,3,5,0,0.6668580770492554
69,7,6,0,0.4297478199005127
70,2,3,0,0.5521600246429443
71,6,4,0,0.6339192986488342
72,8,9,0,0.861716628074646
73,8,8,1,0.6566739082336426
74,0,6,0,0.6348956227302551
75,2,2,1,0.359812468290329
76,9,9,1,0.7688632607460022
77,3,5,0,0.7845539450645447
78,3,2,0,0.28463906049728394
79,8,8,1,0.883613646030426
80,8,8,1,0.769138514995575
81,1,1,1,0.5709683299064636
82,1,1,1,0.7918655276298523
83,7,7,1,0.7575608491897583
84,2,3,0,0.5080803632736206
85,5,7,0,0.7454531788825989
86,2,3,0,0.5194237232208252
87,7,9,0,0.5639224052429199
88,8,8,1,0.37945684790611267
89,9,1,0,0.716949999332428
90,0,0,1,0.6572869420051575
91,3,6,0,0.6586280465126038
92,8,9,0,0.4478802978992462
93,6,2,0,0.40754878520965576
94,4,4,1,0.9172220826148987
95,6,6,1,0.5692004561424255
96,6,6,1,0.6832300424575806
97,0,9,0,0.4778376817703247
98,0,7,0,0.5530786514282227
99,7,7,1,0.7994936108589172
100,4,9,0,0.6929121613502502
101,5,3,0,0.5352858901023865
102,6,6,1,0.9341958165168762
103,3,3,1,0.4984108805656433
104,1,6,0,0.5314065217971802
105,1,9,0,0.5547394156455994
106,3,3,1,0.4849483072757721
107,6,6,1,0.5576905608177185
108,8,8,1,0.9506759643554688
109,7,7,1,0.5249883532524109
110,4,4,1,0.5407422184944153
111,0,0,1,0.5532493591308594
112,6,4,0,0.5441315174102783
113,2,2,1,0.6799750924110413
114,1,1,1,0.7156186103820801
115,3,9,0,0.5327374935150146
116,0,1,0,0.7924442291259766
117,4,4,1,0.45539066195487976
118,2,2,1,0.5051418542861938
119,7,5,0,0.32212164998054504
120,8,8,1,0.9001725912094116
121,3,3,1,0.6660500764846802
122,1,3,0,0.42065829038619995
123,2,7,0,0.607428789138794
124,8,8,1,0.5130764245986938
125,0,9,0,0.47886285185813904
126,8,8,1,0.6827174425125122
127,3,7,0,0.6751039028167725
128,5,8,0,0.6761209964752197
129,2,9,0,0.6230026483535767
130,4,9,0,0.7827780246734619
131,1,1,1,0.38062936067581177
132,8,9,0,0.6490485072135925
133,9,9,1,0.9497066140174866
134,1,3,0,0.5236008763313293
135,2,5,0,0.31740668416023254
136,9,3,0,0.4950518310070038
137,7,9,0,0.9450397491455078
138,2,2,1,0.6316366195678711
139,9,8,0,0.7930197715759277
140,6,2,0,0.6732094883918762
141,5,2,0,0.4894537925720215
142,6,6,1,0.805808961391449
143,3,7,0,0.617015540599823
144,8,8,1,0.590288519859314
145,7,7,1,0.3593376576900482
146,6,6,1,0.686175525188446
147,2,2,1,0.5600195527076721
148,5,7,0,0.42121371626853943
149,2,3,0,0.6901955008506775
150,8,2,0,0.4076700210571289
151,9,9,1,0.8890091776847839
152,6,6,1,0.6133895516395569
153,0,8,0,0.9038102626800537
154,0,1,0,0.5100383758544922
155,5,5,1,0.7736037373542786
156,2,3,0,0.6748088598251343
157,9,9,1,0.9574342966079712
158,5,3,0,0.745451033115387
159,4,4,1,0.7372943162918091
160,2,2,1,0.6622154712677002
161,1,1,1,0.6250095963478088
162,6,5,0,0.36414527893066406
163,6,6,1,0.9480344653129578
164,8,3,0,0.7331143617630005
165,4,7,0,0.7897399663925171
166,8,9,0,0.5986217856407166
167,4,4,1,0.5493861436843872
168,5,5,1,0.521538496017456
169,0,8,0,0.491091251373291
170,9,9,1,0.9680103063583374
171,9,3,0,0.32690736651420593
172,9,9,1,0.8448218703269958
173,8,2,0,0.35978806018829346
174,9,9,1,0.8837825059890747
175,9,9,1,0.6794214844703674
176,3,5,0,0.4668748676776886
177,7,7,1,0.5522536039352417
178,5,3,0,0.8120822310447693
179,0,0,1,0.48677733540534973
180,0,9,0,0.4068003296852112
181,5,5,1,0.7892290949821472
182,2,9,0,0.6243419051170349
183,2,3,0,0.719971239566803
184,3,6,0,0.7660201191902161
185,8,8,1,0.9544963836669922
186,6,6,1,0.7076745629310608
187,3,3,1,0.6162959933280945
188,4,3,0,0.6121082901954651
189,0,8,0,0.7471263408660889
190,5,6,0,0.46717900037765503
191,8,8,1,0.7555668950080872
192,0,0,1,0.30234476923942566
193,1,6,0,0.8741191029548645
194,7,6,0,0.425846666097641
195,2,3,0,0.4466971457004547
196,8,9,0,0.784680962562561
197,8,3,0,0.7285095453262329
198,7,5,0,0.5733973383903503
199,8,9,0,0.7467610836029053
200,5,3,0,0.5234323143959045
201,1,8,0,0.47228819131851196
202,8,9,0,0.7282613515853882
203,7,5,0,0.4793023467063904
204,1,1,1,0.9228744506835938
205,3,3,1,0.8110818266868591
206,0,4,0,0.47175565361976624
207,5,6,0,0.6977759599685669
208,7,2,0,0.45489734411239624
209,9,9,1,0.6905986070632935
210,7,3,0,0.6794692873954773
211,4,5,0,0.32671138644218445
212,5,4,0,0.40139350295066833
213,9,9,1,0.6819850206375122
214,8,2,0,0.42902320623397827
215,0,3,0,0.6260152459144592
216,7,7,1,0.5345539450645447
217,9,9,1,0.8987446427345276
218,8,0,0,0.42134684324264526
219,2,7,0,0.8730706572532654
220,7,7,1,0.4404032826423645
221,6,3,0,0.41941332817077637
222,9,9,1,0.8695194721221924
223,4,5,0,0.6739857792854309
224,3,5,0,0.30258437991142273
225,9,1,0,0.6341532468795776
226,6,7,0,0.775790274143219
227,4,3,0,0.6182156205177307
228,7,4,0,0.7194334268569946
229,6,1,0,0.6666630506515503
230,5,2,0,0.3448306918144226
231,1,1,1,0.6174622178077698
232,5,5,1,0.7280309200286865
233,8,4,0,0.7713586091995239
234,8,8,1,0.9526752829551697
235,0,2,0,0.6560730934143066
236,4,2,0,0.4190357029438019
237,0,7,0,0.6227734684944153
238,5,5,1,0.9082159996032715
239,5,5,1,0.5440028309822083
240,1,1,1,0.985328197479248
241,1,3,0,0.34111133217811584
242,8,1,0,0.8421905636787415
243,9,9,1,0.9704489707946777
244,0,0,1,0.47088146209716797
245,3,6,0,0.5026403665542603
246,1,9,0,0.864675760269165
247,9,8,0,0.6663873791694641
248,2,9,0,0.8465185165405273
249,2,6,0,0.7365613579750061
250,5,7,0,0.927790105342865
251,3,5,0,0.5354750156402588
252,9,9,1,0.9506524205207825
253,9,9,1,0.9423567056655884
254,4,2,0,0.499698281288147
255,0,3,0,0.5582285523414612
256,3,6,0,0.5994744300842285
257,0,0,1,0.7553419470787048
258,0,8,0,0.8621863126754761
259,9,1,0,0.5807268023490906
260,8,8,1,0.7669028043746948
261,1,1,1,0.8682057857513428
262,5,3,0,0.8112054467201233
263,7,2,0,0.45170313119888306
264,0,8,0,0.7636691331863403
265,8,9,0,0.3570111393928528
266,2,2,1,0.48907381296157837
267,4,4,1,0.9128993153572083
268,7,7,1,0.4587942659854889
269,0,0,1,0.30087319016456604
270,2,9,0,0.5629171133041382
271,3,3,1,0.6701624989509583
272,6,3,0,0.5100229978561401
273,3,7,0,0.38451483845710754
274,8,0,0,0.48314666748046875
275,5,6,0,0.3765265941619873
276,0,0,1,0.7193546295166016
277,3,1,0,0.5423330068588257
278,4,4,1,0.44492658972740173
279,3,7,0,0.6060171723365784
280,9,9,1,0.8361664414405823
281,0,1,0,0.8300975561141968
282,6,1,0,0.4938669800758362
283,1,9,0,0.695476770401001
284,0,9,0,0.6478872895240784
285,9,9,1,0.9176368713378906
286,1,1,1,0.6809729933738708
287,0,8,0,0.8664012551307678
288,7,7,1,0.9448987245559692
289,9,1,0,0.7611046433448792
290,1,1,1,0.9741707444190979
291,2,4,0,0.4697367250919342
292,6,2,0,0.6204006671905518
293,9,9,1,0.8615341782569885
294,3,3,1,0.8226751089096069
295,4,3,0,0.3055192530155182
296,6,6,1,0.9988131523132324
297,0,1,0,0.9721366167068481
298,0,0,1,0.7707828879356384
299,6,6,1,0.8755015134811401
300,6,6,1,0.6352644562721252
301,6,9,0,0.6644362807273865
302,3,9,0,0.9141027331352234
303,2,9,0,0.4200100004673004
304,6,8,0,0.5413815975189209
305,1,8,0,0.8511062860488892
306,8,5,0,0.605836033821106
307,2,2,1,0.48123809695243835
308,1,9,0,0.7846032381057739
309,6,4,0,0.8316987752914429
310,8,9,0,0.39077526330947876
311,6,6,1,0.998138427734375
312,8,4,0,0.5465444922447205
313,0,3,0,0.5535756945610046
314,4,4,1,0.8666264414787292
315,0,3,0,0.5997569561004639
316,7,4,0,0.7321802973747253
317,7,9,0,0.6405388712882996
318,5,6,0,0.931233823299408
319,5,3,0,0.43201518058776855
320,3,3,1,0.8440232872962952
321,5,3,0,0.6596092581748962
322,2,6,0,0.5237266421318054
323,3,1,0,0.48902904987335205
324,4,3,0,0.4574493169784546
325,1,9,0,0.9632357358932495
326,7,7,1,0.9617764949798584
327,5,5,1,0.4988214671611786
328,4,2,0,0.4505818486213684
329,6,6,1,0.8991365432739258
330,1,9,0,0.4534730017185211
331,9,9,1,0.8533971905708313
332,3,3,1,0.6335673928260803
333,6,6,1,0.7228280901908875
334,6,6,1,0.43124327063560486
335,9,9,1,0.9335558414459229
336,3,6,0,0.7005059123039246
337,8,8,1,0.6389121413230896
338,0,3,0,0.575566291809082
339,7,9,0,0.565364420413971
340,2,0,0,0.8487926125526428
341,6,3,0,0.5875070095062256
342,2,3,0,0.5762633085250854
343,5,3,0,0.6619426608085632
344,8,8,1,0.8678531050682068
345,5,9,0,0.576572060585022
346,4,1,0,0.5619056224822998
347,6,6,1,0.7083401679992676
348,8,8,1,0.527218222618103
349,9,9,1,0.9072272777557373
350,9,9,1,0.8687363862991333
351,1,1,1,0.6845325827598572
352,0,8,0,0.7871950268745422
353,2,9,0,0.37736448645591736
354,2,3,0,0.8400165438652039
355,7,6,0,0.5051096677780151
356,3,9,0,0.7051186561584473
357,2,2,1,0.7369012236595154
358,8,1,0,0.8528025150299072
359,0,2,0,0.39438802003860474
360,9,9,1,0.7545813322067261
361,5,7,0,0.7312767505645752
362,8,8,1,0.8696587681770325
363,1,1,1,0.939177393913269
364,9,9,1,0.8391212224960327
365,4,7,0,0.36383071541786194
366,1,1,1,0.6530290842056274
367,3,7,0,0.8328663110733032
368,8,9,0,0.38934770226478577
369,1,6,0,0.6894822120666504
370,4,3,0,0.5486612319946289
371,7,7,1,0.7845951914787292
372,9,9,1,0.8109858632087708
373,4,4,1,0.4274682104587555
374,2,2,1,0.6671897768974304
375,7,7,1,0.5932570695877075
376,0,8,0,0.8125848770141602
377,7,4,0,0.5788838863372803
378,0,9,0,0.7673534750938416
379,6,3,0,0.6159912347793579
380,6,9,0,0.7760832905769348
381,9,1,0,0.6454838514328003
382,0,0,1,0.35011541843414307
383,9,9,1,0.5298557877540588
384,2,3,0,0.8175837397575378
385,8,9,0,0.6860227584838867
386,7,5,0,0.2558914124965668
387,2,9,0,0.5347957611083984
388,2,3,0,0.3954201638698578
389,5,3,0,0.5920930504798889
390,1,2,0,0.4980899393558502
391,2,2,1,0.6623300909996033
392,6,2,0,0.5268559455871582
393,2,3,0,0.5433056950569153
394,9,2,0,0.6149123907089233
395,6,6,1,0.9564270973205566
396,2,5,0,0.5918779969215393
397,3,2,0,0.376532644033432
398,0,9,0,0.657461404800415
399,3,3,1,0.5569196939468384
400,9,9,1,0.8527479767799377
401,8,8,1,0.6560341119766235
402,7,9,0,0.7146080136299133
403,8,8,1,0.7365026473999023
404,8,8,1,0.47893670201301575
405,4,3,0,0.39100390672683716
406,0,8,0,0.5858802199363708
407,1,1,1,0.6659669876098633
408,8,8,1,0.9237249493598938
409,2,8,0,0.6964889168739319
410,7,9,0,0.8308067321777344
411,9,9,1,0.9487942457199097
412,3,3,1,0.5009005069732666
413,6,6,1,0.8431341052055359
414,1,9,0,0.6876790523529053
415,9,9,1,0.8879594206809998
416,0,3,0,0.22556768357753754
417,7,8,0,0.4544987380504608
418,3,4,0,0.6007671356201172
419,7,7,1,0.4788365662097931
420,4,4,1,0.8104172945022583
421,5,3,0,0.6608781814575195
422,0,8,0,0.6609970927238464
423,0,5,0,0.49853643774986267
424,2,2,1,0.6731623411178589
425,9,0,0,0.43543747067451477
426,3,5,0,0.90462726354599
427,4,3,0,0.7134373784065247
428,0,6,0,0.8365696668624878
429,6,8,0,0.9325569868087769
430,2,2,1,0.6784464120864868
431,5,5,1,0.6728523373603821
432,3,3,1,0.5888346433639526
433,7,7,1,0.6018364429473877
434,3,7,0,0.5238062143325806
435,7,6,0,0.38456276059150696
436,2,2,1,0.439712792634964
437,5,6,0,0.5134474039077759
438,3,5,0,0.7030140161514282
439,1,1,1,0.6099629402160645
440,1,1,1,0.9139875173568726
441,4,7,0,0.7816498279571533
442,9,9,1,0.9121423363685608
443,9,8,0,0.639152467250824
444,5,3,0,0.8387771844863892
445,7,4,0,0.4715140759944916
446,5,9,0,0.7826960682868958
447,0,3,0,0.5327519178390503
448,2,9,0,0.7408409714698792
449,2,1,0,0.5837319493293762
450,2,6,0,0.5264754891395569
451,9,9,1,0.7761980891227722
452,7,2,0,0.7170574069023132
453,3,7,0,0.8980134129524231
454,9,9,1,0.7885145545005798
455,4,6,0,0.4234939217567444
456,3,6,0,0.9081296920776367
457,5,3,0,0.3582054078578949
458,4,4,1,0.7019202709197998
459,6,2,0,0.8249812722206116
460,5,2,0,0.8924928903579712
461,6,3,0,0.3498469293117523
462,1,1,1,0.7134215831756592
463,4,3,0,0.579262375831604
464,3,9,0,0.9167153835296631
465,4,4,1,0.5286840200424194
466,4,7,0,0.2833700478076935
467,3,3,1,0.8128178119659424
468,7,6,0,0.7720369696617126
469,8,9,0,0.5998811721801758
470,3,3,1,0.7359075546264648
471,7,7,1,0.5476743578910828
472,8,8,1,0.697887659072876
473,0,8,0,0.8828697800636292
474,5,5,1,0.3927040696144104
475,7,7,1,0.7323720455169678
476,6,6,1,0.48244959115982056
477,0,9,0,0.7765671610832214
478,5,5,1,0.5075710415840149
479,4,4,1,0.685042142868042
480,8,1,0,0.7410586476325989
481,6,1,0,0.8150808215141296
482,8,8,1,0.9222587943077087
483,5,4,0,0.49796780943870544
484,5,5,1,0.633125364780426
485,9,9,1,0.9013724327087402
486,9,9,1,0.747273325920105
487,9,9,1,0.8753628730773926
488,5,3,0,0.6966985464096069
489,0,0,1,0.7309736013412476
490,1,1,1,0.7486280202865601
491,0,9,0,0.847624659538269
492,8,3,0,0.7159746289253235
493,1,2,0,0.5020866990089417
494,1,2,0,0.35511675477027893
495,8,8,1,0.9733307957649231
496,0,3,0,0.5239889025688171
497,2,9,0,0.8617129325866699
498,2,1,0,0.7228203415870667
499,0,1,0,0.6535613536834717
500,4,4,1,0.6534456014633179
501,6,2,0,0.559971272945404
502,5,3,0,0.4184049963951111
503,4,2,0,0.2926141321659088
504,9,8,0,0.7034327387809753
505,4,1,0,0.9097088575363159
506,7,9,0,0.9294242858886719
507,9,9,1,0.8810335397720337
508,9,3,0,0.4576011896133423
509,4,4,1,0.8774150013923645
510,5,5,1,0.6675833463668823
511,6,6,1,0.998603105545044
512,6,6,1,0.9995718002319336
513,1,9,0,0.7920401096343994
514,5,5,1,0.9541305899620056
515,3,3,1,0.7654311656951904
